* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 14:44:16 14-07-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Noble Zephyr L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 82.447 132.5764
1.015000 82.214 132.2695
1.030000 81.971 132.0487
1.044000 81.736 131.9266
1.060000 81.455 131.8941
1.075000 81.181 131.9749
1.090000 80.895 132.1705
1.106000 80.573 132.5067
1.120000 80.258 132.8704
1.138000 79.807 133.4220
1.150000 79.480 133.8423
1.172000 78.836 134.7230
1.180000 78.590 135.0787
1.206000 77.753 136.3658
1.220000 77.285 137.1423
1.241000 76.571 138.4173
1.250000 76.263 139.0044
1.265000 75.750 140.0373
1.280000 75.241 141.1385
1.315000 74.093 143.9749
1.320000 73.936 144.4108
1.340000 73.331 146.2314
1.360000 72.770 148.1760
1.380000 72.265 150.2451
1.400000 71.825 152.4394
1.430000 71.308 155.9671
1.450000 71.073 158.4774
1.475000 70.920 161.8378
1.500000 70.912 165.7917
1.525000 71.033 170.3264
1.550000 71.265 175.3306
1.575000 71.593 -179.3072
1.600000 72.002 -173.6982
1.625000 72.474 -167.9537
1.650000 72.994 -162.1852
1.675000 73.546 -156.5039
1.700000 74.114 -151.0211
1.725000 74.682 -145.8483
1.750000 75.234 -141.0967
1.775000 75.755 -136.8777
1.800000 76.227 -133.3026
1.825000 76.635 -130.4827
1.850000 76.989 -128.4517
1.875000 77.343 -127.0451
1.900000 77.697 -126.1917
1.925000 78.049 -125.8264
1.950000 78.398 -125.8842
1.975000 78.741 -126.3000
2.000000 79.077 -127.0089
2.030000 79.467 -128.1547
2.060000 79.841 -129.5163
2.090000 80.194 -130.9815
2.120000 80.524 -132.4378
2.140000 80.730 -133.3483
2.180000 81.101 -134.8742
2.200000 81.265 -135.4253
2.240000 81.552 -136.4950
2.270000 81.734 -137.3962
2.300000 81.890 -138.3668
2.330000 82.023 -139.3929
2.360000 82.135 -140.4606
2.400000 82.257 -141.9250
2.430000 82.329 -143.0360
2.470000 82.405 -144.5079
2.500000 82.450 -145.5867
2.540000 82.499 -146.9654
2.580000 82.536 -148.2591
2.620000 82.550 -149.5574
2.650000 82.543 -150.5405
2.690000 82.512 -151.8488
2.720000 82.475 -152.8183
2.760000 82.408 -154.0805
2.800000 82.324 -155.2910
2.850000 82.198 -156.7036
2.900000 82.052 -157.9709
2.950000 81.891 -159.0713
3.000000 81.694 -160.0963
3.040000 81.513 -160.8607
3.070000 81.367 -161.3901
3.110000 81.162 -162.0234
3.150000 80.948 -162.5578
3.200000 80.677 -163.0598
3.250000 80.408 -163.3454
3.300000 80.151 -163.3806
3.350000 79.884 -163.1290
3.400000 79.597 -162.6140
3.450000 79.304 -161.8834
3.500000 79.018 -160.9851
3.550000 78.752 -159.9670
3.600000 78.521 -158.8769
3.650000 78.336 -157.7627
3.700000 78.205 -156.5706
3.750000 78.113 -155.1351
3.820000 78.041 -152.8936
3.870000 78.024 -151.2666
3.950000 78.043 -148.9028
4.000000 78.076 -147.7354
4.060000 78.139 -146.7684
4.120000 78.253 -146.0934
4.180000 78.406 -145.6664
4.250000 78.607 -145.4698
4.310000 78.775 -145.5492
4.370000 78.919 -145.8481
4.440000 79.044 -146.5043
4.500000 79.143 -147.4001
4.550000 79.217 -148.3365
4.620000 79.303 -149.8552
4.680000 79.354 -151.2732
4.750000 79.381 -152.9641
4.820000 79.369 -154.7154
4.870000 79.339 -156.0850
4.940000 79.271 -158.1042
5.000000 79.191 -159.8691
5.080000 79.056 -162.1702
5.150000 78.914 -164.0549
5.220000 78.738 -165.9310
5.300000 78.502 -168.0521
5.380000 78.244 -170.0530
5.450000 78.013 -171.6270
5.520000 77.784 -172.9748
5.600000 77.498 -174.2964
5.700000 77.125 -175.6547
5.800000 76.782 -176.6884
5.900000 76.511 -177.3721
6.000000 76.285 -177.5619
6.080000 76.141 -177.5063
6.150000 76.051 -177.4386
6.220000 76.003 -177.4616
6.300000 76.008 -177.5556
6.400000 76.095 -177.6415
6.500000 76.238 -177.8759
6.600000 76.401 -178.4565
6.700000 76.598 -179.4478
6.800000 76.831 179.2608
6.900000 77.064 177.7656
7.000000 77.264 176.1351
7.100000 77.450 174.2560
7.200000 77.619 172.2417
7.300000 77.762 170.2631
7.400000 77.870 168.3852
7.500000 77.947 166.5014
7.620000 78.011 164.3882
7.750000 78.052 162.4738
7.880000 78.054 160.8882
8.000000 78.046 159.7224
8.120000 78.050 158.8906
8.250000 78.054 158.3935
8.380000 78.076 158.1436
8.500000 78.131 158.0326
8.620000 78.213 158.1145
8.750000 78.324 158.2289
8.850000 78.420 158.2235
9.000000 78.593 158.1613
9.120000 78.732 158.0260
9.250000 78.866 157.7376
9.380000 78.994 157.3232
9.500000 79.094 156.9039
9.620000 79.168 156.4715
9.750000 79.225 155.9663
9.880000 79.261 155.5130
10.000000 79.276 155.1756
10.150000 79.270 154.8300
10.300000 79.256 154.5937
10.440000 79.234 154.4928
10.600000 79.204 154.4429
10.750000 79.182 154.4220
10.900000 79.160 154.4245
11.060000 79.135 154.3577
11.200000 79.114 154.2481
11.380000 79.078 154.0257
11.500000 79.046 153.8141
11.720000 78.973 153.3395
11.800000 78.940 153.1496
12.060000 78.818 152.4638
12.200000 78.747 152.0742
12.410000 78.636 151.4483
12.500000 78.590 151.1516
12.650000 78.516 150.6283
12.800000 78.443 150.0425
13.150000 78.282 148.3673
13.200000 78.259 148.0975
13.400000 78.166 146.9272
13.600000 78.070 145.6897
13.800000 77.973 144.4050
14.000000 77.882 143.1408
14.300000 77.768 141.3061
14.500000 77.720 140.1351
14.750000 77.694 138.6682
15.000000 77.706 137.1701
15.250000 77.742 135.5944
15.500000 77.787 133.9969
15.750000 77.833 132.4271
16.000000 77.871 130.9918
16.250000 77.907 129.7601
16.500000 77.947 128.7424
16.750000 77.998 127.9274
17.000000 78.061 127.2238
17.250000 78.129 126.5874
17.500000 78.195 125.9630
17.750000 78.246 125.3543
18.000000 78.279 124.7837
18.250000 78.290 124.2787
18.500000 78.286 123.8599
18.750000 78.271 123.5058
19.000000 78.248 123.1959
19.250000 78.219 122.8735
19.500000 78.181 122.5160
19.750000 78.133 122.1065
20.000000 78.073 121.6469
20.299999 77.989 121.0413
20.600000 77.895 120.3763
20.900000 77.798 119.6379
21.200001 77.703 118.7980
21.400000 77.640 118.1750
21.799999 77.515 116.8053
22.000000 77.455 116.0793
22.400000 77.348 114.5954
22.700001 77.287 113.4676
23.000000 77.248 112.3116
23.299999 77.226 111.1129
23.600000 77.215 109.8890
24.000000 77.209 108.2937
24.299999 77.208 107.2024
24.700001 77.217 105.9472
25.000000 77.236 105.1389
25.400000 77.276 104.1655
25.799999 77.317 103.2438
26.200001 77.341 102.3834
26.500000 77.345 101.8105
26.900000 77.334 101.1601
27.200001 77.317 100.7346
27.600000 77.288 100.1942
28.000000 77.247 99.6321
28.500000 77.177 98.8761
29.000000 77.093 98.0515
29.500000 77.006 97.1141
30.000000 76.919 96.0356
30.400000 76.851 95.0961
30.700001 76.805 94.3647
31.100000 76.752 93.3625
31.500000 76.712 92.3314
32.000000 76.676 91.0289
32.500000 76.653 89.7786
33.000000 76.643 88.6290
33.500000 76.647 87.5675
34.000000 76.655 86.5746
34.500000 76.658 85.6634
35.000000 76.653 84.8431
35.500000 76.639 84.0936
36.000000 76.616 83.3890
36.500000 76.588 82.6990
37.000000 76.554 81.9661
37.500000 76.508 81.1591
38.200001 76.417 80.0300
38.700001 76.354 79.3221
39.500000 76.299 78.1532
40.000000 76.277 77.2762
40.599998 76.242 76.2033
41.200001 76.214 75.2339
41.799999 76.202 74.2691
42.500000 76.178 73.1189
43.099998 76.146 72.2865
43.700001 76.129 71.5728
44.400002 76.123 70.6734
45.000000 76.110 69.8297
45.500000 76.093 69.1256
46.200001 76.060 68.1347
46.799999 76.019 67.3433
47.500000 75.979 66.6133
48.200001 75.976 65.9035
48.700001 75.982 65.2601
49.400002 75.964 64.2651
50.000000 75.931 63.5121
50.799999 75.897 62.5786
51.500000 75.860 61.6717
52.200001 75.802 60.8308
53.000000 75.754 60.0280
53.799999 75.734 59.1048
54.500000 75.708 58.2167
55.200001 75.680 57.4422
56.000000 75.669 56.6316
57.000000 75.658 55.5927
58.000000 75.636 54.7037
59.000000 75.619 53.8277
60.000000 75.568 52.9047
60.799999 75.526 52.3301
61.500000 75.514 51.7157
62.200001 75.482 50.9214
63.000000 75.422 50.2331
64.000000 75.422 49.5284
65.000000 75.413 48.4015
66.000000 75.370 47.6810
67.000000 75.381 46.9313
68.000000 75.340 46.0952
69.000000 75.317 45.5647
70.000000 75.305 44.7780
71.000000 75.271 44.1141
72.000000 75.267 43.3907
73.000000 75.240 42.5623
74.000000 75.200 41.8452
75.000000 75.158 41.3478
76.199997 75.170 40.7244
77.500000 75.143 39.7375
78.800003 75.121 39.0223
80.000000 75.117 38.2651
81.199997 75.078 37.5301
82.500000 75.073 37.0804
83.800003 75.072 36.1533
85.000000 75.024 35.5540
86.199997 75.020 35.0553
87.500000 75.030 34.3628
88.500000 75.029 33.7542
90.000000 75.006 33.0772
91.199997 75.011 32.5087
92.500000 74.991 31.8385
93.800003 74.986 31.2251
95.000000 74.980 30.5047
96.199997 74.956 29.8793
97.500000 74.949 29.2991
98.800003 74.935 28.7169
100.000000 74.930 28.1950
101.500000 74.906 27.5080
103.000000 74.891 26.8892
104.400002 74.886 26.2270
106.000000 74.873 25.5736
107.500000 74.872 24.8784
109.000000 74.857 24.2316
110.599998 74.835 23.5517
112.000000 74.813 23.0600
113.800003 74.819 22.3906
115.000000 74.787 21.8062
117.199997 74.778 21.1791
118.000000 74.766 20.8279
120.599998 74.768 19.8069
122.000000 74.733 19.4281
124.099998 74.699 18.6342
125.000000 74.698 18.4246
126.500000 74.677 17.8187
128.000000 74.681 17.2880
131.500000 74.620 16.0780
132.000000 74.616 15.9004
134.000000 74.569 15.2318
136.000000 74.545 14.6087
138.000000 74.498 14.0898
140.000000 74.472 13.5330
143.000000 74.427 12.8162
145.000000 74.392 12.3047
147.500000 74.360 11.7419
150.000000 74.316 11.2472
152.500000 74.304 10.7584
155.000000 74.297 10.3065
157.500000 74.281 9.7693
160.000000 74.268 9.2314
162.500000 74.264 8.6558
165.000000 74.256 8.1498
167.500000 74.235 7.4914
170.000000 74.212 6.9113
172.500000 74.182 6.4040
175.000000 74.147 5.8565
177.500000 74.123 5.2398
180.000000 74.090 4.9031
182.500000 74.056 4.3160
185.000000 74.038 3.8860
187.500000 74.014 3.4209
190.000000 73.988 3.0227
192.500000 73.950 2.4832
195.000000 73.929 2.0920
197.500000 73.896 1.5884
200.000000 73.881 1.1828
203.000000 73.831 0.7133
206.000000 73.780 0.2115
209.000000 73.739 -0.2565
212.000000 73.692 -0.6476
214.000000 73.682 -1.0026
218.000000 73.626 -1.5595
220.000000 73.597 -1.7214
224.000000 73.543 -2.3382
227.000000 73.493 -2.6536
230.000000 73.472 -3.0966
233.000000 73.430 -3.4645
236.000000 73.389 -3.8601
240.000000 73.332 -4.1610
243.000000 73.278 -4.5572
247.000000 73.235 -4.9454
250.000000 73.189 -5.1596
254.000000 73.140 -5.5623
258.000000 73.101 -6.0812
262.000000 73.032 -6.3765
265.000000 72.988 -6.5490
269.000000 72.956 -6.8962
272.000000 72.908 -7.2427
276.000000 72.875 -7.5591
280.000000 72.798 -7.8365
285.000000 72.733 -8.1699
290.000000 72.674 -8.4889
295.000000 72.629 -8.8478
300.000000 72.567 -9.0417
304.000000 72.513 -9.3436
307.000000 72.470 -9.5655
311.000000 72.417 -9.7706
315.000000 72.387 -9.9873
320.000000 72.322 -10.1458
325.000000 72.252 -10.3530
330.000000 72.197 -10.4712
335.000000 72.155 -10.8937
340.000000 72.085 -11.0725
345.000000 72.044 -11.1665
350.000000 71.980 -11.3894
355.000000 71.917 -11.6040
