* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 14:43:01 14-07-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Noble Zephyr R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 83.099 127.0622
1.015000 82.866 126.4406
1.030000 82.619 125.8569
1.044000 82.374 125.3494
1.060000 82.077 124.8167
1.075000 81.781 124.3665
1.090000 81.468 123.9672
1.106000 81.109 123.5780
1.120000 80.754 123.1457
1.138000 80.242 122.4528
1.150000 79.870 121.9215
1.172000 79.133 120.8427
1.180000 78.850 120.4271
1.206000 77.885 119.0410
1.220000 77.343 118.2996
1.241000 76.512 117.2397
1.250000 76.151 116.8168
1.265000 75.550 116.1702
1.280000 74.950 115.6142
1.315000 73.587 114.7856
1.320000 73.399 114.7320
1.340000 72.671 114.7102
1.360000 71.989 115.0330
1.380000 71.365 115.7494
1.400000 70.810 116.9084
1.430000 70.132 119.5837
1.450000 69.798 122.0632
1.475000 69.532 126.0838
1.500000 69.410 131.5732
1.525000 69.410 138.4277
1.550000 69.521 146.4129
1.575000 69.727 155.2939
1.600000 70.015 164.8360
1.625000 70.371 174.8043
1.650000 70.780 -175.0357
1.675000 71.229 -164.9189
1.700000 71.704 -155.0800
1.725000 72.191 -145.7537
1.750000 72.675 -137.1749
1.775000 73.143 -129.5781
1.800000 73.581 -123.1982
1.825000 73.975 -118.2698
1.850000 74.339 -114.8390
1.875000 74.729 -112.5090
1.900000 75.143 -111.1456
1.925000 75.576 -110.6306
1.950000 76.022 -110.8457
1.975000 76.476 -111.6726
2.000000 76.931 -112.9929
2.030000 77.472 -115.0622
2.060000 77.998 -117.4673
2.090000 78.499 -120.0038
2.120000 78.967 -122.4674
2.140000 79.255 -123.9683
2.180000 79.761 -126.3580
2.200000 79.974 -127.1293
2.240000 80.334 -128.4886
2.270000 80.558 -129.5780
2.300000 80.747 -130.7145
2.330000 80.904 -131.8865
2.360000 81.033 -133.0823
2.400000 81.167 -134.6934
2.430000 81.245 -135.8992
2.470000 81.326 -137.4813
2.500000 81.373 -138.6337
2.540000 81.427 -140.1023
2.580000 81.475 -141.4803
2.620000 81.495 -142.8499
2.650000 81.491 -143.8761
2.690000 81.460 -145.2275
2.720000 81.421 -146.2179
2.760000 81.350 -147.4920
2.800000 81.259 -148.6955
2.850000 81.124 -150.0714
2.900000 80.969 -151.2693
2.950000 80.798 -152.2662
3.000000 80.587 -153.1566
3.040000 80.391 -153.7912
3.070000 80.233 -154.2101
3.110000 80.011 -154.6786
3.150000 79.782 -155.0277
3.200000 79.495 -155.2693
3.250000 79.217 -155.2622
3.300000 78.960 -154.9713
3.350000 78.701 -154.3232
3.400000 78.425 -153.3364
3.450000 78.148 -152.0904
3.500000 77.884 -150.6647
3.550000 77.647 -149.1387
3.600000 77.450 -147.5920
3.650000 77.309 -146.1039
3.700000 77.232 -144.6285
3.750000 77.211 -142.9581
3.820000 77.254 -140.4638
3.870000 77.323 -138.7096
3.950000 77.474 -136.2325
4.000000 77.578 -135.0494
4.060000 77.706 -134.1286
4.120000 77.875 -133.6090
4.180000 78.074 -133.4183
4.250000 78.318 -133.5495
4.310000 78.515 -133.9114
4.370000 78.681 -134.4542
4.440000 78.822 -135.3230
4.500000 78.922 -136.3856
4.550000 78.992 -137.4507
4.620000 79.065 -139.1288
4.680000 79.101 -140.6592
4.750000 79.108 -142.4471
4.820000 79.074 -144.2560
4.870000 79.026 -145.6457
4.940000 78.929 -147.6651
5.000000 78.821 -149.4053
5.080000 78.649 -151.6399
5.150000 78.475 -153.4360
5.220000 78.264 -155.1899
5.300000 77.986 -157.1331
5.380000 77.688 -158.9221
5.450000 77.424 -160.2886
5.520000 77.168 -161.4099
5.600000 76.854 -162.4191
5.700000 76.451 -163.3427
5.800000 76.090 -163.9601
5.900000 75.817 -164.3047
6.000000 75.609 -164.1796
6.080000 75.489 -163.9099
6.150000 75.421 -163.7087
6.220000 75.393 -163.6702
6.300000 75.422 -163.7994
6.400000 75.542 -164.0573
6.500000 75.714 -164.5525
6.600000 75.894 -165.4258
6.700000 76.095 -166.7635
6.800000 76.322 -168.4576
6.900000 76.541 -170.3572
7.000000 76.725 -172.3474
7.100000 76.888 -174.5676
7.200000 77.031 -176.9022
7.300000 77.147 -179.1653
7.400000 77.230 178.7172
7.500000 77.281 176.6310
7.620000 77.316 174.3215
7.750000 77.335 172.2520
7.880000 77.319 170.5798
8.000000 77.302 169.3706
8.120000 77.306 168.5119
8.250000 77.320 168.0216
8.380000 77.361 167.7793
8.500000 77.438 167.6458
8.620000 77.551 167.6900
8.750000 77.695 167.7422
8.850000 77.816 167.6677
9.000000 78.026 167.4658
9.120000 78.192 167.2102
9.250000 78.352 166.7968
9.380000 78.500 166.2548
9.500000 78.617 165.7302
9.620000 78.706 165.2134
9.750000 78.777 164.6337
9.880000 78.827 164.1245
10.000000 78.854 163.7543
10.150000 78.864 163.3901
10.300000 78.865 163.1489
10.440000 78.858 163.0572
10.600000 78.846 163.0278
10.750000 78.840 163.0295
10.900000 78.835 163.0606
11.060000 78.826 163.0313
11.200000 78.819 162.9600
11.380000 78.798 162.7988
11.500000 78.777 162.6371
11.720000 78.721 162.2679
11.800000 78.696 162.1206
12.060000 78.595 161.5836
12.200000 78.536 161.2716
12.410000 78.442 160.7579
12.500000 78.403 160.5039
12.650000 78.338 160.0449
12.800000 78.274 159.5173
13.150000 78.122 157.9584
13.200000 78.099 157.7053
13.400000 78.004 156.6034
13.600000 77.904 155.4382
13.800000 77.799 154.2329
14.000000 77.701 153.0432
14.300000 77.578 151.3015
14.500000 77.524 150.1628
14.750000 77.492 148.6970
15.000000 77.495 147.1566
15.250000 77.521 145.5094
15.500000 77.553 143.8313
15.750000 77.586 142.1827
16.000000 77.614 140.6821
16.250000 77.646 139.3943
16.500000 77.685 138.3262
16.750000 77.740 137.4583
17.000000 77.809 136.6996
17.250000 77.886 136.0110
17.500000 77.961 135.3452
17.750000 78.023 134.7157
18.000000 78.070 134.1431
18.250000 78.100 133.6527
18.500000 78.117 133.2478
18.750000 78.126 132.8968
19.000000 78.128 132.5697
19.250000 78.120 132.2086
19.500000 78.100 131.8028
19.750000 78.064 131.3450
20.000000 78.009 130.8574
20.299999 77.926 130.2578
20.600000 77.830 129.6474
20.900000 77.731 129.0054
21.200001 77.635 128.2836
21.400000 77.573 127.7365
21.799999 77.453 126.4889
22.000000 77.395 125.8011
22.400000 77.287 124.3454
22.700001 77.219 123.2111
23.000000 77.168 122.0454
23.299999 77.134 120.8458
23.600000 77.113 119.6273
24.000000 77.100 118.0256
24.299999 77.100 116.8940
24.700001 77.111 115.5232
25.000000 77.128 114.6015
25.400000 77.158 113.4975
25.799999 77.186 112.5312
26.200001 77.207 111.7173
26.500000 77.219 111.2029
26.900000 77.229 110.6063
27.200001 77.231 110.1843
27.600000 77.222 109.6174
28.000000 77.194 109.0444
28.500000 77.139 108.3316
29.000000 77.074 107.5490
29.500000 77.001 106.5858
30.000000 76.908 105.4682
30.400000 76.827 104.5616
30.700001 76.771 103.9000
31.100000 76.716 102.9977
31.500000 76.682 102.0011
32.000000 76.650 100.6034
32.500000 76.611 99.2000
33.000000 76.575 97.9847
33.500000 76.565 96.9479
34.000000 76.577 95.9433
34.500000 76.588 94.9135
35.000000 76.579 93.9389
35.500000 76.555 93.1024
36.000000 76.526 92.3864
36.500000 76.497 91.7174
37.000000 76.467 91.0350
37.500000 76.435 90.3091
38.200001 76.387 89.1748
38.700001 76.345 88.2738
39.500000 76.258 86.8237
40.000000 76.205 86.0149
40.599998 76.161 85.1202
41.200001 76.135 84.1902
41.799999 76.108 83.2381
42.500000 76.074 82.2245
43.099998 76.053 81.3934
43.700001 76.028 80.5467
44.400002 75.996 79.6373
45.000000 75.986 78.8512
45.500000 75.977 78.0768
46.200001 75.939 77.0283
46.799999 75.929 76.3803
47.500000 75.995 75.3536
48.200001 76.014 73.6345
48.700001 75.941 72.5182
49.400002 75.820 71.8631
50.000000 75.815 71.6400
50.799999 75.859 70.6594
51.500000 75.812 69.5854
52.200001 75.743 68.9154
53.000000 75.715 68.1892
53.799999 75.684 67.1664
54.500000 75.638 66.3009
55.200001 75.604 65.5025
56.000000 75.578 64.5538
57.000000 75.552 63.4136
58.000000 75.529 62.2322
59.000000 75.466 61.2127
60.000000 75.439 60.5270
60.799999 75.440 59.6731
61.500000 75.403 58.8092
62.200001 75.353 58.1345
63.000000 75.326 57.3924
64.000000 75.283 56.3175
65.000000 75.244 55.4702
66.000000 75.220 54.4927
67.000000 75.160 53.7074
68.000000 75.132 53.0646
69.000000 75.108 52.3097
70.000000 75.086 51.4346
71.000000 75.029 50.5406
72.000000 74.994 49.9244
73.000000 74.989 49.1063
74.000000 74.947 48.2323
75.000000 74.887 47.6753
76.199997 74.876 47.1497
77.500000 74.829 46.2405
78.800003 74.796 45.7398
80.000000 74.782 45.0606
81.199997 74.786 44.5065
82.500000 74.784 43.6785
83.800003 74.792 42.9947
85.000000 74.785 42.2286
86.199997 74.796 41.6143
87.500000 74.794 40.7231
88.500000 74.788 40.2557
90.000000 74.802 39.3026
91.199997 74.793 38.6737
92.500000 74.798 37.7495
93.800003 74.771 37.0913
95.000000 74.794 36.3321
96.199997 74.771 35.5836
97.500000 74.772 34.9705
98.800003 74.766 34.2357
100.000000 74.755 33.6108
101.500000 74.746 32.7522
103.000000 74.721 31.8666
104.400002 74.712 31.2042
106.000000 74.699 30.2938
107.500000 74.687 29.6026
109.000000 74.643 28.8329
110.599998 74.629 28.1818
112.000000 74.611 27.4842
113.800003 74.597 26.7169
115.000000 74.590 26.0729
117.199997 74.574 25.1806
118.000000 74.569 24.7544
120.599998 74.522 23.4226
122.000000 74.487 22.9595
124.099998 74.465 22.0230
125.000000 74.438 21.6707
126.500000 74.411 21.0527
128.000000 74.374 20.4782
131.500000 74.311 19.1619
132.000000 74.299 19.0410
134.000000 74.270 18.3044
136.000000 74.244 17.6355
138.000000 74.211 17.0568
140.000000 74.169 16.3681
143.000000 74.108 15.4893
145.000000 74.080 14.8497
147.500000 74.044 14.2132
150.000000 73.985 13.4163
152.500000 73.960 12.9289
155.000000 73.895 12.2487
157.500000 73.864 11.4753
160.000000 73.827 10.8939
162.500000 73.801 10.3372
165.000000 73.755 9.7700
167.500000 73.703 9.2424
170.000000 73.684 8.6115
172.500000 73.644 8.0744
175.000000 73.616 7.5012
177.500000 73.577 6.9923
180.000000 73.533 6.5133
182.500000 73.498 6.0589
185.000000 73.454 5.4962
187.500000 73.416 5.0416
190.000000 73.375 4.5845
192.500000 73.352 4.1654
195.000000 73.314 3.7343
197.500000 73.278 3.4070
200.000000 73.218 2.7569
203.000000 73.188 2.4284
206.000000 73.142 1.9277
209.000000 73.090 1.4446
212.000000 73.053 0.9852
214.000000 73.019 0.7476
218.000000 72.962 0.2985
220.000000 72.918 -0.1582
224.000000 72.852 -0.5380
227.000000 72.830 -0.9184
230.000000 72.785 -1.4259
233.000000 72.750 -1.7592
236.000000 72.709 -2.0557
240.000000 72.644 -2.4708
243.000000 72.612 -2.7406
247.000000 72.554 -3.1411
250.000000 72.497 -3.5123
254.000000 72.440 -3.8659
258.000000 72.408 -4.3816
262.000000 72.328 -4.5051
265.000000 72.308 -4.7545
269.000000 72.246 -5.2517
272.000000 72.217 -5.4150
276.000000 72.155 -5.6910
280.000000 72.107 -6.1270
285.000000 72.043 -6.4054
290.000000 71.967 -6.7472
295.000000 71.899 -7.2223
300.000000 71.845 -7.4627
304.000000 71.807 -7.6430
307.000000 71.744 -7.9150
311.000000 71.692 -8.0064
315.000000 71.636 -8.3207
320.000000 71.592 -8.6387
325.000000 71.529 -8.8432
330.000000 71.475 -8.9929
335.000000 71.381 -9.2430
340.000000 71.338 -9.2534
345.000000 71.289 -9.4323
350.000000 71.207 -9.6913
355.000000 71.166 -9.8542
