* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 15:43:04 13-07-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Oriveti Dynabird L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.038 122.5480
1.015000 83.845 121.6818
1.030000 83.643 120.8136
1.044000 83.447 120.0013
1.060000 83.212 119.0703
1.075000 82.981 118.1949
1.090000 82.740 117.3166
1.106000 82.471 116.3383
1.120000 82.222 115.2424
1.138000 81.885 113.4932
1.150000 81.651 112.1456
1.172000 81.202 109.3745
1.180000 81.034 108.2904
1.206000 80.467 104.5825
1.220000 80.151 102.5220
1.241000 79.666 99.4360
1.250000 79.454 98.1384
1.265000 79.097 96.0412
1.280000 78.734 94.0603
1.315000 77.876 90.1142
1.320000 77.752 89.6494
1.340000 77.256 88.0967
1.360000 76.760 87.1053
1.380000 76.265 86.7697
1.400000 75.774 87.1845
1.430000 75.048 89.4205
1.450000 74.575 92.1249
1.475000 73.992 97.1052
1.500000 73.346 104.4572
1.525000 72.637 113.9898
1.550000 71.883 125.3340
1.575000 71.102 138.1207
1.600000 70.311 151.9806
1.625000 69.531 166.5449
1.650000 68.777 -178.5558
1.675000 68.068 -163.6904
1.700000 67.423 -149.2279
1.725000 66.860 -135.5377
1.750000 66.396 -122.9887
1.775000 66.049 -111.9501
1.800000 65.839 -102.7909
1.825000 65.782 -95.8802
1.850000 65.906 -91.2983
1.875000 66.224 -88.4374
1.900000 66.712 -87.0814
1.925000 67.344 -87.0383
1.950000 68.093 -88.1161
1.975000 68.934 -90.1227
2.000000 69.839 -92.8660
2.030000 70.975 -96.8601
2.060000 72.121 -101.3067
2.090000 73.233 -105.8739
2.120000 74.265 -110.2299
2.140000 74.886 -112.8527
2.180000 75.908 -116.9808
2.200000 76.282 -118.2950
2.240000 76.863 -120.4281
2.270000 77.202 -121.9670
2.300000 77.468 -123.4557
2.330000 77.671 -124.8959
2.360000 77.820 -126.2892
2.400000 77.950 -128.0770
2.430000 78.007 -129.3676
2.470000 78.049 -131.0245
2.500000 78.065 -132.2216
2.540000 78.086 -133.7600
2.580000 78.117 -135.2441
2.620000 78.114 -136.7342
2.650000 78.083 -137.8456
2.690000 78.008 -139.2902
2.720000 77.929 -140.3257
2.760000 77.794 -141.6130
2.800000 77.632 -142.7602
2.850000 77.395 -143.9413
2.900000 77.130 -144.7751
2.950000 76.836 -145.2175
3.000000 76.460 -145.4473
3.040000 76.109 -145.4764
3.070000 75.826 -145.3859
3.110000 75.437 -145.0889
3.150000 75.047 -144.5594
3.200000 74.584 -143.5199
3.250000 74.176 -141.9998
3.300000 73.853 -139.9318
3.350000 73.582 -136.9988
3.400000 73.334 -133.2122
3.450000 73.119 -128.8717
3.500000 72.952 -124.2766
3.550000 72.845 -119.7262
3.600000 72.809 -115.5200
3.650000 72.858 -111.9574
3.700000 73.016 -109.0938
3.750000 73.302 -106.5034
3.820000 73.853 -103.3366
3.870000 74.305 -101.4300
3.950000 75.029 -99.0501
4.000000 75.427 -98.0129
4.060000 75.810 -97.2939
4.120000 76.163 -97.2842
4.180000 76.495 -97.8435
4.250000 76.843 -98.9794
4.310000 77.099 -100.1655
4.370000 77.308 -101.3612
4.440000 77.484 -102.6918
4.500000 77.581 -104.0466
4.550000 77.629 -105.2887
4.620000 77.649 -107.1024
4.680000 77.629 -108.6353
4.750000 77.567 -110.2807
4.820000 77.459 -111.7923
4.870000 77.346 -112.8849
4.940000 77.148 -114.3627
5.000000 76.950 -115.5154
5.080000 76.663 -116.7783
5.150000 76.400 -117.5331
5.220000 76.095 -118.0194
5.300000 75.707 -118.2856
5.380000 75.317 -118.2401
5.450000 75.007 -117.9424
5.520000 74.749 -117.3792
5.600000 74.481 -116.2080
5.700000 74.192 -114.2582
5.800000 73.988 -112.3023
5.900000 73.909 -110.8199
6.000000 73.971 -109.4704
6.080000 74.088 -108.5668
6.150000 74.211 -108.0420
6.220000 74.330 -107.8781
6.300000 74.471 -108.1973
6.400000 74.685 -109.2023
6.500000 74.897 -110.6926
6.600000 75.064 -112.4691
6.700000 75.184 -114.6415
6.800000 75.271 -117.1951
6.900000 75.325 -119.8709
7.000000 75.339 -122.4594
7.100000 75.307 -125.1388
7.200000 75.243 -127.8099
7.300000 75.163 -130.2835
7.400000 75.069 -132.4684
7.500000 74.948 -134.4726
7.620000 74.804 -136.5607
7.750000 74.691 -138.3066
7.880000 74.601 -139.4835
8.000000 74.562 -140.2631
8.120000 74.597 -140.8893
8.250000 74.709 -141.2604
8.380000 74.878 -141.5951
8.500000 75.075 -142.1004
8.620000 75.322 -142.6956
8.750000 75.605 -143.4714
8.850000 75.811 -144.2025
9.000000 76.122 -145.5244
9.120000 76.353 -146.6367
9.250000 76.566 -147.8168
9.380000 76.749 -149.0221
9.500000 76.895 -150.0323
9.620000 77.017 -150.8791
9.750000 77.123 -151.6624
9.880000 77.218 -152.2723
10.000000 77.300 -152.6466
10.150000 77.392 -152.9017
10.300000 77.490 -153.0253
10.440000 77.590 -152.9960
10.600000 77.708 -152.8971
10.750000 77.823 -152.8284
10.900000 77.939 -152.7567
11.060000 78.051 -152.7320
11.200000 78.141 -152.7563
11.380000 78.237 -152.8013
11.500000 78.287 -152.8365
11.720000 78.356 -152.8893
11.800000 78.375 -152.8909
12.060000 78.416 -152.8610
12.200000 78.431 -152.8389
12.410000 78.446 -152.8134
12.500000 78.450 -152.8304
12.650000 78.453 -152.8884
12.800000 78.448 -152.9915
13.150000 78.402 -153.4371
13.200000 78.391 -153.5127
13.400000 78.335 -153.8488
13.600000 78.270 -154.1944
13.800000 78.197 -154.5273
14.000000 78.129 -154.8751
14.300000 78.044 -155.4589
14.500000 78.006 -155.9675
14.750000 77.969 -156.7905
15.000000 77.941 -157.8338
15.250000 77.907 -159.0493
15.500000 77.868 -160.3202
15.750000 77.827 -161.5760
16.000000 77.795 -162.7185
16.250000 77.785 -163.7529
16.500000 77.804 -164.7012
16.750000 77.853 -165.6194
17.000000 77.922 -166.5509
17.250000 78.002 -167.4879
17.500000 78.082 -168.4116
17.750000 78.156 -169.2501
18.000000 78.225 -169.9755
18.250000 78.290 -170.5580
18.500000 78.355 -171.0135
18.750000 78.420 -171.3714
19.000000 78.484 -171.6589
19.250000 78.543 -171.9061
19.500000 78.592 -172.1132
19.750000 78.630 -172.2819
20.000000 78.658 -172.4090
20.299999 78.680 -172.5266
20.600000 78.690 -172.6348
20.900000 78.687 -172.7668
21.200001 78.670 -172.9415
21.400000 78.648 -173.0747
21.799999 78.589 -173.3633
22.000000 78.554 -173.5179
22.400000 78.486 -173.8737
22.700001 78.438 -174.2310
23.000000 78.394 -174.7049
23.299999 78.346 -175.2849
23.600000 78.296 -175.9299
24.000000 78.229 -176.8145
24.299999 78.188 -177.4597
24.700001 78.155 -178.3060
25.000000 78.149 -178.9580
25.400000 78.155 -179.8607
25.799999 78.169 179.2523
26.200001 78.186 178.4615
26.500000 78.204 177.9549
26.900000 78.233 177.3831
27.200001 78.256 177.0129
27.600000 78.285 176.5855
28.000000 78.306 176.2403
28.500000 78.321 175.9163
29.000000 78.323 175.6459
29.500000 78.307 175.3708
30.000000 78.270 175.0894
30.400000 78.231 174.8576
30.700001 78.199 174.6631
31.100000 78.154 174.3515
31.500000 78.105 173.9796
32.000000 78.041 173.4660
32.500000 77.985 172.9190
33.000000 77.944 172.3021
33.500000 77.911 171.6025
34.000000 77.878 170.8979
34.500000 77.849 170.2810
35.000000 77.832 169.7611
35.500000 77.826 169.2948
36.000000 77.822 168.8637
36.500000 77.816 168.4764
37.000000 77.804 168.1314
37.500000 77.784 167.8228
38.200001 77.744 167.4482
38.700001 77.713 167.1825
39.500000 77.651 166.6523
40.000000 77.599 166.3023
40.599998 77.534 165.9434
41.200001 77.486 165.5984
41.799999 77.452 165.1683
42.500000 77.410 164.5813
43.099998 77.369 164.1087
43.700001 77.332 163.6990
44.400002 77.294 163.2476
45.000000 77.258 162.8535
45.500000 77.220 162.5622
46.200001 77.167 162.2570
46.799999 77.133 161.9967
47.500000 77.088 161.5948
48.200001 77.030 161.2449
48.700001 76.997 161.0591
49.400002 76.969 160.7046
50.000000 76.935 160.2822
50.799999 76.865 159.8506
51.500000 76.818 159.6224
52.200001 76.782 159.3137
53.000000 76.721 158.9261
53.799999 76.655 158.6634
54.500000 76.611 158.4056
55.200001 76.561 158.0675
56.000000 76.497 157.7173
57.000000 76.436 157.2841
58.000000 76.371 156.8188
59.000000 76.313 156.4747
60.000000 76.257 156.1412
60.799999 76.207 155.9222
61.500000 76.160 155.7155
62.200001 76.103 155.5423
63.000000 76.047 155.4144
64.000000 75.991 155.0460
65.000000 75.902 154.6546
66.000000 75.839 154.4476
67.000000 75.792 154.0717
68.000000 75.720 153.7711
69.000000 75.661 153.6116
70.000000 75.601 153.3859
71.000000 75.528 153.2021
72.000000 75.459 153.0457
73.000000 75.397 152.8357
74.000000 75.328 152.5668
75.000000 75.256 152.3998
76.199997 75.187 152.2296
77.500000 75.115 152.0627
78.800003 75.041 151.8795
80.000000 74.966 151.7451
81.199997 74.900 151.6812
82.500000 74.842 151.5038
83.800003 74.771 151.3506
85.000000 74.718 151.2198
86.199997 74.650 151.0434
87.500000 74.586 150.9387
88.500000 74.533 150.7817
90.000000 74.461 150.6962
91.199997 74.412 150.4762
92.500000 74.329 150.3636
93.800003 74.267 150.2697
95.000000 74.200 150.2065
96.199997 74.139 150.0649
97.500000 74.069 150.1143
98.800003 74.006 150.0017
100.000000 73.972 150.2981
101.500000 73.940 149.7685
103.000000 73.839 149.7407
104.400002 73.772 149.5532
106.000000 73.693 149.3546
107.500000 73.636 149.3078
109.000000 73.590 149.2521
110.599998 73.507 149.0501
112.000000 73.447 149.1192
113.800003 73.344 149.0643
115.000000 73.296 149.1714
117.199997 73.219 148.9394
118.000000 73.168 148.9456
120.599998 73.090 149.0577
122.000000 73.023 148.9659
124.099998 72.939 149.0129
125.000000 72.909 149.0165
126.500000 72.839 149.0232
128.000000 72.780 148.9920
131.500000 72.640 149.0211
132.000000 72.632 149.1192
134.000000 72.572 148.9199
136.000000 72.516 149.1188
138.000000 72.445 149.0877
140.000000 72.356 149.1712
143.000000 72.252 149.1930
145.000000 72.187 149.3611
147.500000 72.113 149.4248
150.000000 72.032 149.4501
152.500000 71.958 149.6647
155.000000 71.894 149.7154
157.500000 71.829 149.8019
160.000000 71.745 149.7286
162.500000 71.656 150.0291
165.000000 71.580 149.9910
167.500000 71.514 150.0654
170.000000 71.431 150.2542
172.500000 71.389 150.2910
175.000000 71.327 150.5823
177.500000 71.232 150.6092
180.000000 71.195 150.8017
182.500000 71.146 151.0438
185.000000 71.078 151.1595
187.500000 71.007 151.3309
190.000000 70.957 151.4884
192.500000 70.905 151.6318
195.000000 70.842 151.7231
197.500000 70.769 151.9494
200.000000 70.751 151.9931
203.000000 70.672 152.3006
206.000000 70.610 152.4263
209.000000 70.548 152.6160
212.000000 70.513 152.8216
214.000000 70.466 153.1396
218.000000 70.380 153.2823
220.000000 70.352 153.3456
224.000000 70.284 153.6264
227.000000 70.211 153.8724
230.000000 70.184 154.1387
233.000000 70.138 154.2757
236.000000 70.066 154.5668
240.000000 69.995 154.9574
243.000000 69.961 155.0537
247.000000 69.909 155.3277
250.000000 69.899 155.5233
254.000000 69.790 155.9300
258.000000 69.747 156.1207
262.000000 69.693 156.4330
265.000000 69.667 156.7055
269.000000 69.583 156.9075
272.000000 69.580 157.2119
276.000000 69.513 157.4904
280.000000 69.485 157.9193
285.000000 69.429 158.2219
290.000000 69.365 158.5319
295.000000 69.330 158.9095
300.000000 69.237 159.2549
304.000000 69.212 159.5385
307.000000 69.182 159.8513
311.000000 69.150 160.0029
315.000000 69.140 160.3049
320.000000 69.079 160.6617
325.000000 69.053 161.1619
330.000000 68.989 161.5463
335.000000 68.960 161.8310
