* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 15:44:43 13-07-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Oriveti Dynabird R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.063 122.7235
1.015000 83.870 121.8631
1.030000 83.668 121.0013
1.044000 83.471 120.1953
1.060000 83.235 119.2723
1.075000 83.004 118.4050
1.090000 82.762 117.5355
1.106000 82.492 116.5679
1.120000 82.242 115.4849
1.138000 81.903 113.7573
1.150000 81.667 112.4268
1.172000 81.216 109.6917
1.180000 81.046 108.6219
1.206000 80.474 104.9637
1.220000 80.156 102.9313
1.241000 79.667 99.8880
1.250000 79.453 98.6087
1.265000 79.093 96.5413
1.280000 78.728 94.5890
1.315000 77.865 90.7024
1.320000 77.740 90.2450
1.340000 77.242 88.7182
1.360000 76.743 87.7460
1.380000 76.247 87.4216
1.400000 75.756 87.8384
1.430000 75.032 90.0573
1.450000 74.561 92.7352
1.475000 73.982 97.6621
1.500000 73.344 104.9296
1.525000 72.645 114.3490
1.550000 71.902 125.5565
1.575000 71.135 138.1881
1.600000 70.359 151.8799
1.625000 69.593 166.2678
1.650000 68.855 -179.0121
1.675000 68.162 -164.3237
1.700000 67.532 -150.0309
1.725000 66.983 -136.4978
1.750000 66.532 -124.0883
1.775000 66.196 -113.1663
1.800000 65.994 -104.0958
1.825000 65.943 -97.2407
1.850000 66.070 -92.6786
1.875000 66.389 -89.8072
1.900000 66.875 -88.4143
1.925000 67.504 -88.3118
1.950000 68.249 -89.3115
1.975000 69.084 -91.2251
2.000000 69.983 -93.8645
2.030000 71.110 -97.7247
2.060000 72.247 -102.0337
2.090000 73.350 -106.4662
2.120000 74.374 -110.6971
2.140000 74.991 -113.2451
2.180000 76.005 -117.2530
2.200000 76.378 -118.5257
2.240000 76.956 -120.5976
2.270000 77.294 -122.1025
2.300000 77.560 -123.5658
2.330000 77.763 -124.9877
2.360000 77.912 -126.3686
2.400000 78.043 -128.1464
2.430000 78.102 -129.4326
2.470000 78.146 -131.0852
2.500000 78.164 -132.2784
2.540000 78.187 -133.8080
2.580000 78.220 -135.2770
2.620000 78.220 -136.7494
2.650000 78.191 -137.8473
2.690000 78.119 -139.2741
2.720000 78.042 -140.2969
2.760000 77.912 -141.5691
2.800000 77.753 -142.7039
2.850000 77.523 -143.8751
2.900000 77.265 -144.7065
2.950000 76.979 -145.1550
3.000000 76.615 -145.3907
3.040000 76.275 -145.4255
3.070000 76.001 -145.3413
3.110000 75.624 -145.0571
3.150000 75.246 -144.5479
3.200000 74.796 -143.5472
3.250000 74.399 -142.0853
3.300000 74.084 -140.0993
3.350000 73.818 -137.2868
3.400000 73.572 -133.6577
3.450000 73.359 -129.4967
3.500000 73.191 -125.0887
3.550000 73.081 -120.7187
3.600000 73.041 -116.6714
3.650000 73.082 -113.2318
3.700000 73.231 -110.4481
3.750000 73.504 -107.9091
3.820000 74.030 -104.7779
3.870000 74.463 -102.8783
3.950000 75.159 -100.4939
4.000000 75.542 -99.4529
4.060000 75.912 -98.7332
4.120000 76.258 -98.7115
4.180000 76.583 -99.2492
4.250000 76.927 -100.3552
4.310000 77.181 -101.5180
4.370000 77.387 -102.6982
4.440000 77.561 -104.0241
4.500000 77.657 -105.3799
4.550000 77.705 -106.6260
4.620000 77.726 -108.4509
4.680000 77.707 -109.9991
4.750000 77.646 -111.6698
4.820000 77.539 -113.2146
4.870000 77.427 -114.3354
4.940000 77.231 -115.8591
5.000000 77.035 -117.0570
5.080000 76.748 -118.3892
5.150000 76.485 -119.2136
5.220000 76.178 -119.7840
5.300000 75.787 -120.1586
5.380000 75.394 -120.2253
5.450000 75.078 -120.0209
5.520000 74.812 -119.5411
5.600000 74.530 -118.4661
5.700000 74.220 -116.6306
5.800000 73.995 -114.7646
5.900000 73.897 -113.3285
6.000000 73.942 -111.9771
6.080000 74.045 -111.0512
6.150000 74.158 -110.5020
6.220000 74.270 -110.3174
6.300000 74.407 -110.6154
6.400000 74.620 -111.5870
6.500000 74.834 -113.0468
6.600000 75.005 -114.8070
6.700000 75.131 -116.9794
6.800000 75.227 -119.5441
6.900000 75.289 -122.2401
7.000000 75.312 -124.8564
7.100000 75.290 -127.5740
7.200000 75.236 -130.2907
7.300000 75.164 -132.8137
7.400000 75.078 -135.0510
7.500000 74.964 -137.1141
7.620000 74.826 -139.2717
7.750000 74.716 -141.0808
7.880000 74.625 -142.3149
8.000000 74.584 -143.1323
8.120000 74.614 -143.7706
8.250000 74.720 -144.1281
8.380000 74.882 -144.4294
8.500000 75.074 -144.8890
8.620000 75.318 -145.4200
8.750000 75.598 -146.1207
8.850000 75.803 -146.7984
9.000000 76.114 -148.0392
9.120000 76.346 -149.0916
9.250000 76.560 -150.2172
9.380000 76.744 -151.3761
9.500000 76.891 -152.3496
9.620000 77.013 -153.1658
9.750000 77.118 -153.9229
9.880000 77.211 -154.5097
10.000000 77.291 -154.8644
10.150000 77.379 -155.0980
10.300000 77.473 -155.1992
10.440000 77.568 -155.1478
10.600000 77.680 -155.0233
10.750000 77.789 -154.9301
10.900000 77.900 -154.8339
11.060000 78.006 -154.7857
11.200000 78.090 -154.7916
11.380000 78.180 -154.8155
11.500000 78.225 -154.8389
11.720000 78.285 -154.8723
11.800000 78.301 -154.8671
12.060000 78.330 -154.8157
12.200000 78.340 -154.7814
12.410000 78.347 -154.7375
12.500000 78.347 -154.7475
12.650000 78.344 -154.7941
12.800000 78.335 -154.8882
13.150000 78.278 -155.3280
13.200000 78.266 -155.4046
13.400000 78.205 -155.7498
13.600000 78.134 -156.1103
13.800000 78.054 -156.4631
14.000000 77.980 -156.8312
14.300000 77.885 -157.4442
14.500000 77.840 -157.9680
14.750000 77.796 -158.8056
15.000000 77.762 -159.8592
15.250000 77.724 -161.0827
15.500000 77.683 -162.3611
15.750000 77.642 -163.6246
16.000000 77.610 -164.7762
16.250000 77.603 -165.8216
16.500000 77.624 -166.7830
16.750000 77.675 -167.7160
17.000000 77.745 -168.6608
17.250000 77.825 -169.6068
17.500000 77.904 -170.5314
17.750000 77.976 -171.3593
18.000000 78.042 -172.0630
18.250000 78.105 -172.6136
18.500000 78.169 -173.0336
18.750000 78.234 -173.3574
19.000000 78.299 -173.6169
19.250000 78.357 -173.8450
19.500000 78.405 -174.0392
19.750000 78.440 -174.1988
20.000000 78.463 -174.3145
20.299999 78.479 -174.4125
20.600000 78.483 -174.4952
20.900000 78.475 -174.6008
21.200001 78.453 -174.7561
21.400000 78.429 -174.8836
21.799999 78.364 -175.1765
22.000000 78.325 -175.3384
22.400000 78.248 -175.7103
22.700001 78.193 -176.0745
23.000000 78.141 -176.5492
23.299999 78.089 -177.1272
23.600000 78.035 -177.7717
24.000000 77.965 -178.6630
24.299999 77.923 -179.3193
24.700001 77.889 179.8146
25.000000 77.881 179.1485
25.400000 77.887 178.2327
25.799999 77.900 177.3411
26.200001 77.917 176.5519
26.500000 77.934 176.0479
26.900000 77.963 175.4795
27.200001 77.986 175.1133
27.600000 78.012 174.6987
28.000000 78.030 174.3794
28.500000 78.042 174.1000
29.000000 78.043 173.8627
29.500000 78.026 173.5922
30.000000 77.983 173.3035
30.400000 77.936 173.0804
30.700001 77.898 172.9061
31.100000 77.848 172.6295
31.500000 77.798 172.2817
32.000000 77.734 171.7585
32.500000 77.674 171.1697
33.000000 77.623 170.5266
33.500000 77.579 169.8488
34.000000 77.542 169.1979
34.500000 77.516 168.6169
35.000000 77.504 168.0848
35.500000 77.498 167.5760
36.000000 77.488 167.1203
36.500000 77.474 166.7534
37.000000 77.460 166.4504
37.500000 77.444 166.1561
38.200001 77.406 165.7291
38.700001 77.366 165.4354
39.500000 77.293 164.9890
40.000000 77.249 164.6959
40.599998 77.200 164.2807
41.200001 77.149 163.7839
41.799999 77.091 163.2959
42.500000 77.030 162.8346
43.099998 76.996 162.4476
43.700001 76.963 162.0119
44.400002 76.912 161.5512
45.000000 76.868 161.2393
45.500000 76.834 160.9939
46.200001 76.783 160.6616
46.799999 76.742 160.3885
47.500000 76.696 159.9985
48.200001 76.636 159.5565
48.700001 76.586 159.2981
49.400002 76.526 159.0396
50.000000 76.489 158.8282
50.799999 76.449 158.4826
51.500000 76.407 158.1577
52.200001 76.359 157.8798
53.000000 76.307 157.6014
53.799999 76.252 157.2739
54.500000 76.196 156.9848
55.200001 76.141 156.7082
56.000000 76.082 156.3365
57.000000 76.001 155.9053
58.000000 75.944 155.5255
59.000000 75.882 155.0539
60.000000 75.804 154.8000
60.799999 75.758 154.6485
61.500000 75.711 154.4580
62.200001 75.655 154.3227
63.000000 75.602 154.1748
64.000000 75.531 153.8666
65.000000 75.460 153.6128
66.000000 75.401 153.2759
67.000000 75.334 153.0228
68.000000 75.288 152.8150
69.000000 75.231 152.5289
70.000000 75.163 152.3369
71.000000 75.095 152.1007
72.000000 75.011 151.9134
73.000000 74.950 151.7605
74.000000 74.883 151.4706
75.000000 74.814 151.3132
76.199997 74.746 151.0762
77.500000 74.661 150.8878
78.800003 74.572 150.8103
80.000000 74.512 150.7039
81.199997 74.426 150.5880
82.500000 74.371 150.5756
83.800003 74.307 150.3904
85.000000 74.250 150.2430
86.199997 74.183 150.1436
87.500000 74.135 149.9569
88.500000 74.079 149.7507
90.000000 74.003 149.5122
91.199997 73.933 149.3559
92.500000 73.858 149.2393
93.800003 73.784 149.2546
95.000000 73.739 149.1744
96.199997 73.671 149.0254
97.500000 73.609 148.9750
98.800003 73.534 148.9385
100.000000 73.504 149.0399
101.500000 73.427 148.7365
103.000000 73.337 148.8585
104.400002 73.282 148.7179
106.000000 73.191 148.5338
107.500000 73.120 148.5155
109.000000 73.053 148.3985
110.599998 72.990 148.4742
112.000000 72.922 148.3596
113.800003 72.860 148.3559
115.000000 72.803 148.3169
117.199997 72.703 148.4192
118.000000 72.687 148.3856
120.599998 72.569 148.2350
122.000000 72.489 148.3037
124.099998 72.436 148.2038
125.000000 72.386 148.2358
126.500000 72.318 148.3696
128.000000 72.272 148.4300
131.500000 72.115 148.3722
132.000000 72.101 148.4273
134.000000 72.054 148.3630
136.000000 71.976 148.4501
138.000000 71.901 148.6375
140.000000 71.823 148.6555
143.000000 71.733 148.7655
145.000000 71.674 148.7222
147.500000 71.590 149.0226
150.000000 71.504 149.1377
152.500000 71.415 149.0323
155.000000 71.352 149.2303
157.500000 71.268 149.3243
160.000000 71.189 149.5178
162.500000 71.120 149.4372
165.000000 71.063 149.6140
167.500000 70.979 149.7961
170.000000 70.931 149.8356
172.500000 70.860 150.0835
175.000000 70.800 150.1667
177.500000 70.717 150.4945
180.000000 70.653 150.4827
182.500000 70.609 150.5351
185.000000 70.560 150.7758
187.500000 70.493 151.0418
190.000000 70.422 151.2276
192.500000 70.360 151.2086
195.000000 70.320 151.4959
197.500000 70.252 151.5796
200.000000 70.200 151.9812
203.000000 70.135 152.0678
206.000000 70.087 152.2285
209.000000 70.023 152.4653
212.000000 69.969 152.7618
214.000000 69.912 152.8080
218.000000 69.841 153.0422
220.000000 69.826 153.1828
224.000000 69.744 153.6583
227.000000 69.695 153.8371
230.000000 69.626 154.0947
233.000000 69.601 154.0187
236.000000 69.533 154.5085
240.000000 69.496 154.8888
243.000000 69.457 155.2805
247.000000 69.343 155.3678
250.000000 69.302 155.6583
254.000000 69.255 155.8672
258.000000 69.228 156.1782
262.000000 69.162 156.5419
265.000000 69.134 157.1131
269.000000 69.058 156.9780
272.000000 69.030 157.3606
276.000000 69.019 157.5027
280.000000 68.931 157.7806
285.000000 68.902 158.1241
290.000000 68.848 158.8643
295.000000 68.769 159.1261
300.000000 68.756 159.3912
304.000000 68.691 159.7016
307.000000 68.640 160.0053
311.000000 68.605 160.2172
315.000000 68.592 160.4995
320.000000 68.575 160.7195
325.000000 68.516 161.2195
330.000000 68.449 161.6416
335.000000 68.415 161.9597
