* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 11:58:39 19-03-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Oriveti OD100 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.707 120.6934
1.015000 84.535 119.8043
1.030000 84.357 118.9150
1.044000 84.184 118.0847
1.060000 83.980 117.1354
1.075000 83.781 116.2450
1.090000 83.574 115.3542
1.106000 83.349 114.4342
1.120000 83.171 113.8195
1.138000 82.972 113.2995
1.150000 82.853 113.0968
1.172000 82.658 112.9630
1.180000 82.592 112.9748
1.206000 82.385 113.1577
1.220000 82.274 113.3054
1.241000 82.097 113.5210
1.250000 82.015 113.5924
1.265000 81.867 113.6581
1.280000 81.702 113.6293
1.315000 81.222 113.0158
1.320000 81.141 112.8483
1.340000 80.777 111.9318
1.360000 80.344 110.5638
1.380000 79.832 108.6687
1.400000 79.232 106.1709
1.430000 78.143 101.1285
1.450000 77.277 96.7928
1.475000 75.998 90.0981
1.500000 74.314 81.5752
1.525000 72.252 71.3748
1.550000 69.887 59.7719
1.575000 67.299 47.0413
1.600000 64.563 33.4578
1.625000 61.758 19.2964
1.650000 58.961 4.8319
1.675000 56.251 -9.6609
1.700000 53.703 -23.9070
1.725000 51.397 -37.6316
1.750000 49.409 -50.5598
1.775000 47.818 -62.4168
1.800000 46.700 -72.9276
1.825000 46.134 -81.8176
1.850000 46.186 -89.0775
1.875000 46.832 -95.2613
1.900000 47.992 -100.4973
1.925000 49.588 -104.8903
1.950000 51.542 -108.5451
1.975000 53.774 -111.5664
2.000000 56.207 -114.0592
2.030000 59.279 -116.5004
2.060000 62.390 -118.5125
2.090000 65.404 -120.2767
2.120000 68.185 -121.9741
2.140000 69.842 -123.1580
2.180000 72.503 -125.8928
2.200000 73.319 -127.5474
2.240000 73.412 -130.7556
2.270000 73.574 -132.8674
2.300000 73.796 -134.7656
2.330000 74.062 -136.4851
2.360000 74.355 -138.0609
2.400000 74.761 -139.9984
2.430000 75.055 -141.3742
2.470000 75.402 -143.1716
2.500000 75.607 -144.5373
2.540000 75.776 -146.4479
2.580000 75.822 -148.5200
2.620000 75.832 -150.6541
2.650000 75.809 -152.2636
2.690000 75.738 -154.4031
2.720000 75.652 -155.9907
2.760000 75.495 -158.0665
2.800000 75.286 -160.0749
2.850000 74.951 -162.4560
2.900000 74.531 -164.6524
2.950000 74.019 -166.7599
3.000000 73.393 -169.7802
3.040000 72.817 -172.6348
3.070000 72.347 -174.8009
3.110000 71.680 -177.4406
3.150000 70.974 -179.4742
3.200000 70.053 179.3715
3.250000 69.106 -179.6003
3.300000 68.152 -175.6985
3.350000 67.002 -167.8380
3.400000 65.617 -156.4375
3.450000 64.142 -142.7599
3.500000 62.727 -128.0682
3.550000 61.518 -113.6252
3.600000 60.664 -100.6940
3.650000 60.312 -90.5375
3.700000 60.613 -83.6113
3.750000 61.549 -78.4670
3.820000 63.578 -73.6314
3.870000 65.287 -71.5008
3.950000 67.953 -69.6374
4.000000 69.286 -69.0179
4.060000 70.320 -68.6299
4.120000 71.035 -69.5434
4.180000 71.536 -71.5367
4.250000 71.917 -74.6640
4.310000 72.127 -77.5489
4.370000 72.282 -80.1770
4.440000 72.425 -82.6907
4.500000 72.451 -84.9421
4.550000 72.406 -86.8528
4.620000 72.247 -89.4476
4.680000 72.030 -91.4740
4.750000 71.691 -93.4480
4.820000 71.244 -95.2141
4.870000 70.844 -96.5728
4.940000 70.196 -98.2501
5.000000 69.584 -99.1487
5.080000 68.725 -99.0201
5.150000 67.953 -97.1475
5.220000 66.995 -93.4510
5.300000 65.780 -87.5842
5.380000 64.672 -80.7162
5.450000 63.984 -74.5010
5.520000 63.724 -68.4700
5.600000 63.955 -60.4554
5.700000 64.733 -49.8160
5.800000 65.670 -40.8099
5.900000 66.415 -35.7828
6.000000 67.176 -34.6157
6.080000 67.776 -35.3979
6.150000 68.229 -36.6752
6.220000 68.561 -37.9651
6.300000 68.782 -39.5556
6.400000 68.891 -42.3984
6.500000 68.833 -45.6728
6.600000 68.627 -48.8223
6.700000 68.270 -52.0043
6.800000 67.757 -55.2853
6.900000 67.100 -58.2453
7.000000 66.299 -60.5812
7.100000 65.306 -62.7649
7.200000 64.191 -64.3380
7.300000 63.045 -64.6037
7.400000 61.852 -62.8954
7.500000 60.524 -59.4371
7.620000 59.097 -54.3005
7.750000 58.201 -48.7640
7.880000 57.946 -41.9544
8.000000 57.994 -37.1384
8.120000 58.115 -36.5199
8.250000 58.449 -39.8911
8.380000 58.847 -45.8132
8.500000 59.129 -52.7960
8.620000 59.374 -61.8705
8.750000 59.665 -72.3558
8.850000 59.943 -79.9630
9.000000 60.436 -91.6213
9.120000 60.844 -100.1786
9.250000 61.266 -107.8458
9.380000 61.688 -114.2724
9.500000 62.055 -119.0073
9.620000 62.379 -122.4273
9.750000 62.695 -124.7438
9.880000 63.027 -126.0651
10.000000 63.367 -126.4021
10.150000 63.819 -125.7022
10.300000 64.331 -124.7959
10.440000 64.879 -123.7045
10.600000 65.522 -122.4708
10.750000 66.100 -121.7377
10.900000 66.660 -121.2255
11.060000 67.178 -120.8030
11.200000 67.565 -120.5805
11.380000 67.989 -120.2050
11.500000 68.220 -119.8384
11.720000 68.571 -118.9601
11.800000 68.687 -118.5423
12.060000 69.014 -116.9364
12.200000 69.181 -116.0470
12.410000 69.413 -114.7032
12.500000 69.501 -114.1913
12.650000 69.636 -113.4159
12.800000 69.746 -112.7036
13.150000 69.881 -111.2436
13.200000 69.889 -111.0262
13.400000 69.889 -110.1185
13.600000 69.869 -109.1521
13.800000 69.838 -108.0934
14.000000 69.815 -107.1470
14.300000 69.794 -106.0642
14.500000 69.777 -105.7781
14.750000 69.720 -105.8836
15.000000 69.613 -106.4634
15.250000 69.445 -107.2809
15.500000 69.250 -108.1684
15.750000 69.054 -109.0672
16.000000 68.905 -109.9942
16.250000 68.823 -111.1591
16.500000 68.806 -112.6485
16.750000 68.844 -114.5764
17.000000 68.906 -116.7933
17.250000 68.985 -119.1480
17.500000 69.073 -121.4293
17.750000 69.185 -123.4273
18.000000 69.327 -125.1177
18.250000 69.512 -126.4824
18.500000 69.733 -127.6369
18.750000 69.976 -128.6301
19.000000 70.227 -129.5060
19.250000 70.464 -130.2379
19.500000 70.683 -130.7857
19.750000 70.882 -131.1248
20.000000 71.068 -131.2597
20.299999 71.276 -131.2445
20.600000 71.464 -131.1299
20.900000 71.624 -130.9959
21.200001 71.743 -130.8525
21.400000 71.799 -130.7224
21.799999 71.870 -130.3645
22.000000 71.892 -130.1582
22.400000 71.927 -129.8126
22.700001 71.942 -129.7382
23.000000 71.939 -129.8850
23.299999 71.910 -130.2089
23.600000 71.861 -130.6442
24.000000 71.784 -131.3292
24.299999 71.738 -131.9403
24.700001 71.704 -132.9746
25.000000 71.696 -133.9451
25.400000 71.698 -135.4257
25.799999 71.714 -136.9305
26.200001 71.759 -138.3090
26.500000 71.821 -139.2483
26.900000 71.938 -140.4124
27.200001 72.042 -141.2311
27.600000 72.185 -142.2182
28.000000 72.325 -143.0276
28.500000 72.490 -143.7745
29.000000 72.635 -144.2932
29.500000 72.747 -144.6131
30.000000 72.831 -144.7525
30.400000 72.887 -144.8224
30.700001 72.923 -144.9175
31.100000 72.954 -145.1486
31.500000 72.961 -145.4781
32.000000 72.943 -145.9521
32.500000 72.918 -146.4892
33.000000 72.899 -147.1682
33.500000 72.883 -147.9918
34.000000 72.875 -148.8601
34.500000 72.888 -149.7211
35.000000 72.928 -150.6134
35.500000 72.980 -151.5416
36.000000 73.033 -152.4196
36.500000 73.084 -153.1680
37.000000 73.138 -153.7803
37.500000 73.192 -154.2890
38.200001 73.262 -154.9056
38.700001 73.302 -155.3442
39.500000 73.328 -156.0499
40.000000 73.327 -156.4265
40.599998 73.330 -156.8571
41.200001 73.338 -157.4072
41.799999 73.335 -158.0657
42.500000 73.320 -158.7921
43.099998 73.319 -159.3403
43.700001 73.334 -159.9142
44.400002 73.354 -160.6769
45.000000 73.356 -161.3281
45.500000 73.351 -161.7914
46.200001 73.350 -162.3825
46.799999 73.344 -162.9439
47.500000 73.312 -163.5073
48.200001 73.295 -163.8833
48.700001 73.298 -164.2231
49.400002 73.277 -164.7852
50.000000 73.245 -164.9581
50.799999 73.288 -164.9661
51.500000 73.346 -165.4326
52.200001 73.330 -165.7903
53.000000 73.358 -165.5241
53.799999 73.491 -165.7466
54.500000 73.549 -166.5419
55.200001 73.543 -167.1932
56.000000 73.548 -167.7961
57.000000 73.545 -168.7661
58.000000 73.528 -169.5524
59.000000 73.543 -170.3026
60.000000 73.551 -171.0166
60.799999 73.557 -171.4699
61.500000 73.563 -171.8159
62.200001 73.571 -172.1653
63.000000 73.571 -172.6487
64.000000 73.541 -173.2420
65.000000 73.520 -173.7383
66.000000 73.514 -174.3514
67.000000 73.505 -175.0339
68.000000 73.493 -175.6821
69.000000 73.479 -176.3136
70.000000 73.444 -176.8547
71.000000 73.420 -177.2234
72.000000 73.404 -177.7296
73.000000 73.368 -178.2407
74.000000 73.340 -178.6908
75.000000 73.323 -179.1794
76.199997 73.289 -179.8312
77.500000 73.246 179.6852
78.800003 73.216 179.1527
80.000000 73.185 178.6535
81.199997 73.138 178.0818
82.500000 73.108 177.5847
83.800003 73.021 176.8291
85.000000 72.954 176.6314
86.199997 72.793 176.3463
87.500000 72.803 177.8647
88.500000 72.988 177.2647
90.000000 72.955 175.8602
91.199997 72.904 175.0905
92.500000 72.828 174.6854
93.800003 72.773 174.2303
95.000000 72.699 174.0145
96.199997 72.642 173.8177
97.500000 72.564 173.5752
98.800003 72.475 173.6733
100.000000 72.470 173.9394
101.500000 72.485 173.8409
103.000000 72.517 173.8419
104.400002 72.567 173.3207
106.000000 72.546 172.7405
107.500000 72.535 172.1449
109.000000 72.494 171.6570
110.599998 72.451 171.0209
112.000000 72.392 170.6902
113.800003 72.356 170.2775
115.000000 72.313 169.9303
117.199997 72.261 169.5375
118.000000 72.223 169.2527
120.599998 72.134 168.8103
122.000000 72.081 168.5468
124.099998 72.015 168.3029
125.000000 72.009 168.2435
126.500000 71.953 167.8143
128.000000 71.892 167.7217
131.500000 71.787 167.1243
132.000000 71.775 167.0336
134.000000 71.697 166.6950
136.000000 71.627 166.6245
138.000000 71.581 166.3428
140.000000 71.523 166.1140
143.000000 71.431 165.8568
145.000000 71.369 165.6429
147.500000 71.302 165.4371
150.000000 71.197 165.0897
152.500000 71.139 164.9404
155.000000 71.096 164.8411
157.500000 71.005 164.7722
160.000000 70.927 164.6397
162.500000 70.848 164.6130
165.000000 70.782 164.5872
167.500000 70.717 164.6620
170.000000 70.649 164.5409
172.500000 70.613 164.7103
175.000000 70.569 164.5102
177.500000 70.492 164.5623
180.000000 70.435 164.2095
182.500000 70.382 164.2200
185.000000 70.301 164.2129
187.500000 70.232 164.1047
190.000000 70.185 164.1346
192.500000 70.115 163.9662
195.000000 70.078 163.9792
197.500000 70.007 163.7224
200.000000 69.955 163.6801
203.000000 69.866 163.9135
206.000000 69.787 164.0468
209.000000 69.714 164.1828
212.000000 69.708 164.3389
214.000000 69.646 164.3291
218.000000 69.580 164.3590
220.000000 69.561 164.3507
224.000000 69.480 164.2850
227.000000 69.416 164.3862
230.000000 69.348 164.4057
233.000000 69.300 164.4708
236.000000 69.257 164.5115
240.000000 69.140 164.7596
243.000000 69.103 164.8268
247.000000 69.018 164.8637
250.000000 69.015 164.6370
254.000000 68.906 165.0417
258.000000 68.815 165.4754
262.000000 68.742 165.3598
265.000000 68.720 165.6476
269.000000 68.639 165.9104
272.000000 68.601 165.8488
276.000000 68.502 166.1460
280.000000 68.436 166.3598
285.000000 68.394 166.5931
290.000000 68.305 166.8890
295.000000 68.229 167.0533
300.000000 68.127 167.3781
304.000000 68.082 167.5932
307.000000 68.065 167.6273
311.000000 68.000 167.9733
