* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 11:44:56 19-03-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Oriveti OD100 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.641 120.9228
1.015000 84.468 120.0343
1.030000 84.289 119.1449
1.044000 84.115 118.3141
1.060000 83.910 117.3635
1.075000 83.709 116.4713
1.090000 83.501 115.5780
1.106000 83.274 114.6522
1.120000 83.091 114.0172
1.138000 82.878 113.4496
1.150000 82.748 113.2036
1.172000 82.525 112.9713
1.180000 82.448 112.9424
1.206000 82.202 112.9809
1.220000 82.068 113.0465
1.241000 81.857 113.1386
1.250000 81.762 113.1585
1.265000 81.592 113.1421
1.280000 81.406 113.0382
1.315000 80.890 112.2899
1.320000 80.806 112.1092
1.340000 80.433 111.1584
1.360000 80.001 109.7903
1.380000 79.501 107.9352
1.400000 78.925 105.5234
1.430000 77.901 100.7091
1.450000 77.099 96.6002
1.475000 75.927 90.2904
1.500000 74.403 82.3280
1.525000 72.545 72.8509
1.550000 70.424 62.1029
1.575000 68.107 50.3278
1.600000 65.662 37.7696
1.625000 63.159 24.6719
1.650000 60.665 11.2786
1.675000 58.250 -2.1665
1.700000 55.981 -15.4197
1.725000 53.927 -28.2369
1.750000 52.156 -40.3746
1.775000 50.737 -51.5889
1.800000 49.739 -61.6359
1.825000 49.229 -70.2719
1.850000 49.269 -77.5117
1.875000 49.835 -83.8919
1.900000 50.859 -89.5117
1.925000 52.271 -94.4469
1.950000 54.001 -98.7733
1.975000 55.979 -102.5668
2.000000 58.136 -105.9033
2.030000 60.861 -109.4105
2.060000 63.622 -112.4998
2.090000 66.299 -115.3023
2.120000 68.770 -117.9490
2.140000 70.244 -119.6916
2.180000 72.614 -123.2992
2.200000 73.441 -125.2388
2.240000 74.639 -128.8159
2.270000 75.274 -131.0839
2.300000 75.716 -133.0507
2.330000 75.992 -134.7655
2.360000 76.133 -136.2773
2.400000 76.161 -138.0619
2.430000 76.100 -139.2906
2.470000 75.964 -140.8759
2.500000 75.859 -142.0886
2.540000 75.771 -143.8306
2.580000 75.786 -145.7981
2.620000 75.790 -147.8507
2.650000 75.762 -149.4012
2.690000 75.684 -151.4582
2.720000 75.594 -152.9759
2.760000 75.431 -154.9411
2.800000 75.218 -156.8109
2.850000 74.880 -158.9660
2.900000 74.460 -160.8619
2.950000 73.951 -162.5530
3.000000 73.303 -164.8600
3.040000 72.699 -166.9844
3.070000 72.207 -168.5591
3.110000 71.516 -170.4120
3.150000 70.801 -171.7297
3.200000 69.901 -172.2030
3.250000 69.029 -170.8684
3.300000 68.221 -167.1817
3.350000 67.338 -160.2127
3.400000 66.335 -150.2806
3.450000 65.306 -138.4430
3.500000 64.348 -125.7574
3.550000 63.554 -113.2816
3.600000 63.022 -102.0732
3.650000 62.845 -93.1897
3.700000 63.134 -86.9998
3.750000 63.896 -82.2706
3.820000 65.499 -77.6149
3.870000 66.835 -75.4135
3.950000 68.922 -73.2701
4.000000 69.975 -72.4716
4.060000 70.818 -71.9277
4.120000 71.430 -72.5913
4.180000 71.884 -74.2478
4.250000 72.256 -76.9250
4.310000 72.473 -79.4209
4.370000 72.629 -81.6989
4.440000 72.751 -83.8854
4.500000 72.763 -85.8898
4.550000 72.710 -87.6078
4.620000 72.547 -89.9415
4.680000 72.333 -91.7415
4.750000 72.006 -93.4341
4.820000 71.576 -94.8565
4.870000 71.189 -95.9185
4.940000 70.566 -97.1672
5.000000 69.986 -97.7394
5.080000 69.192 -97.3228
5.150000 68.508 -95.4123
5.220000 67.693 -91.8385
5.300000 66.681 -86.2706
5.380000 65.768 -79.8601
5.450000 65.202 -74.1665
5.520000 64.985 -68.7840
5.600000 65.172 -61.8553
5.700000 65.811 -52.8214
5.800000 66.589 -45.2195
5.900000 67.218 -40.9134
6.000000 67.878 -39.8082
6.080000 68.402 -40.3841
6.150000 68.798 -41.4300
6.220000 69.085 -42.5525
6.300000 69.271 -44.0342
6.400000 69.356 -46.7212
6.500000 69.291 -49.8382
6.600000 69.086 -52.8513
6.700000 68.735 -55.9142
6.800000 68.240 -59.0888
6.900000 67.615 -61.9668
7.000000 66.863 -64.2423
7.100000 65.935 -66.3174
7.200000 64.902 -67.8384
7.300000 63.858 -68.2487
7.400000 62.802 -66.9831
7.500000 61.652 -64.2035
7.620000 60.429 -60.0853
7.750000 59.664 -55.8478
7.880000 59.450 -50.7585
8.000000 59.517 -47.3390
8.120000 59.690 -47.3693
8.250000 60.099 -50.7730
8.380000 60.583 -56.2435
8.500000 60.961 -62.4429
8.620000 61.324 -70.2967
8.750000 61.716 -79.2733
8.850000 62.021 -85.7427
9.000000 62.488 -95.5378
9.120000 62.842 -102.7298
9.250000 63.183 -109.2767
9.380000 63.489 -114.8445
9.500000 63.748 -118.9538
9.620000 63.974 -121.9023
9.750000 64.184 -123.8939
9.880000 64.422 -124.9623
10.000000 64.687 -125.0856
10.150000 65.060 -124.1861
10.300000 65.511 -123.1105
10.440000 66.023 -121.8780
10.600000 66.641 -120.5382
10.750000 67.211 -119.7776
10.900000 67.776 -119.3026
11.060000 68.303 -119.0077
11.200000 68.705 -118.9729
11.380000 69.144 -118.9208
11.500000 69.380 -118.8297
11.720000 69.729 -118.5153
11.800000 69.837 -118.3069
12.060000 70.118 -117.3743
12.200000 70.249 -116.7595
12.410000 70.414 -115.7150
12.500000 70.475 -115.2708
12.650000 70.566 -114.5228
12.800000 70.639 -113.7694
13.150000 70.741 -112.0141
13.200000 70.750 -111.7566
13.400000 70.771 -110.6878
13.600000 70.788 -109.6514
13.800000 70.809 -108.6542
14.000000 70.834 -107.8916
14.300000 70.871 -107.2831
14.500000 70.872 -107.3645
14.750000 70.821 -107.8883
15.000000 70.701 -108.7915
15.250000 70.514 -109.7801
15.500000 70.304 -110.6899
15.750000 70.101 -111.4753
16.000000 69.962 -112.1970
16.250000 69.904 -113.1421
16.500000 69.923 -114.4355
16.750000 69.997 -116.2376
17.000000 70.087 -118.3915
17.250000 70.180 -120.7259
17.500000 70.264 -123.0003
17.750000 70.356 -124.9534
18.000000 70.469 -126.5441
18.250000 70.621 -127.7363
18.500000 70.819 -128.6782
18.750000 71.049 -129.4642
19.000000 71.300 -130.1808
19.250000 71.543 -130.8508
19.500000 71.769 -131.4258
19.750000 71.970 -131.8723
20.000000 72.149 -132.1440
20.299999 72.340 -132.2752
20.600000 72.509 -132.2532
20.900000 72.655 -132.1578
21.200001 72.773 -132.0445
21.400000 72.833 -131.9594
21.799999 72.913 -131.7579
22.000000 72.938 -131.6504
22.400000 72.968 -131.4777
22.700001 72.977 -131.4628
23.000000 72.974 -131.6066
23.299999 72.955 -131.9140
23.600000 72.923 -132.3620
24.000000 72.864 -133.1299
24.299999 72.820 -133.8051
24.700001 72.773 -134.8199
25.000000 72.754 -135.6561
25.400000 72.757 -136.8510
25.799999 72.797 -138.1181
26.200001 72.870 -139.4411
26.500000 72.937 -140.4371
26.900000 73.033 -141.6822
27.200001 73.108 -142.4754
27.600000 73.220 -143.2889
28.000000 73.353 -143.8899
28.500000 73.537 -144.5790
29.000000 73.685 -145.2936
29.500000 73.767 -145.7938
30.000000 73.818 -145.8858
30.400000 73.874 -145.8342
30.700001 73.925 -145.8859
31.100000 73.981 -146.1908
31.500000 74.001 -146.7043
32.000000 73.971 -147.3855
32.500000 73.919 -147.9339
33.000000 73.888 -148.4282
33.500000 73.889 -149.0176
34.000000 73.920 -149.7798
34.500000 73.968 -150.7536
35.000000 74.006 -151.8904
35.500000 74.015 -152.9326
36.000000 74.016 -153.5888
36.500000 74.061 -153.8914
37.000000 74.163 -154.2280
37.500000 74.273 -154.8688
38.200001 74.345 -155.9815
38.700001 74.340 -156.5529
39.500000 74.330 -157.0251
40.000000 74.341 -157.2702
40.599998 74.367 -157.6719
41.200001 74.394 -158.2703
41.799999 74.403 -159.0092
42.500000 74.393 -159.7759
43.099998 74.409 -160.3092
43.700001 74.449 -160.9893
44.400002 74.463 -161.9900
45.000000 74.429 -162.6123
45.500000 74.413 -162.8049
46.200001 74.459 -162.9875
46.799999 74.526 -163.4919
47.500000 74.558 -164.3159
48.200001 74.563 -165.0138
48.700001 74.573 -165.4955
49.400002 74.579 -166.2851
50.000000 74.560 -166.9229
50.799999 74.531 -167.5275
51.500000 74.525 -167.9270
52.200001 74.536 -168.3341
53.000000 74.545 -168.9302
53.799999 74.518 -169.4740
54.500000 74.504 -169.7162
55.200001 74.529 -170.0685
56.000000 74.545 -170.8404
57.000000 74.507 -171.7273
58.000000 74.485 -172.3727
59.000000 74.475 -172.9582
60.000000 74.479 -173.4055
60.799999 74.492 -173.7961
61.500000 74.490 -174.1874
62.200001 74.480 -174.5342
63.000000 74.476 -174.9910
64.000000 74.438 -175.8284
65.000000 74.366 -176.4047
66.000000 74.350 -176.9645
67.000000 74.316 -177.6688
68.000000 74.304 -178.0525
69.000000 74.314 -178.6041
70.000000 74.290 -178.9478
71.000000 74.312 -179.2578
72.000000 74.291 -179.8493
73.000000 74.256 179.7928
74.000000 74.231 179.2728
75.000000 74.186 178.8276
76.199997 74.159 178.2304
77.500000 74.110 177.6184
78.800003 74.085 176.9852
80.000000 74.035 176.4452
81.199997 74.003 175.9905
82.500000 73.947 175.5182
83.800003 73.910 175.1373
85.000000 73.847 174.6609
86.199997 73.789 174.4060
87.500000 73.739 173.8543
88.500000 73.679 173.5498
90.000000 73.634 173.1491
91.199997 73.585 172.8033
92.500000 73.507 172.7181
93.800003 73.460 173.0036
95.000000 73.461 173.1314
96.199997 73.439 173.0022
97.500000 73.440 172.9543
98.800003 73.432 172.4614
100.000000 73.432 172.3472
101.500000 73.461 171.5033
103.000000 73.405 171.0540
104.400002 73.395 170.5525
106.000000 73.323 169.9743
107.500000 73.285 169.6754
109.000000 73.231 169.1903
110.599998 73.182 168.9588
112.000000 73.148 168.4652
113.800003 73.078 168.1475
115.000000 73.037 167.9474
117.199997 72.984 167.4716
118.000000 72.939 167.3661
120.599998 72.847 167.0878
122.000000 72.804 166.8634
124.099998 72.749 166.6058
125.000000 72.733 166.4636
126.500000 72.682 166.2495
128.000000 72.642 166.1636
131.500000 72.535 165.5932
132.000000 72.513 165.6326
134.000000 72.486 165.2901
136.000000 72.419 165.0409
138.000000 72.345 164.7878
140.000000 72.300 164.5678
143.000000 72.200 164.2982
145.000000 72.148 164.1768
147.500000 72.080 163.9852
150.000000 71.999 163.5215
152.500000 71.931 163.4633
155.000000 71.877 163.3924
157.500000 71.814 163.2675
160.000000 71.714 162.9800
162.500000 71.653 162.7036
165.000000 71.591 162.6526
167.500000 71.546 162.6470
170.000000 71.468 162.3596
172.500000 71.409 162.3279
175.000000 71.355 162.3064
177.500000 71.299 162.1614
180.000000 71.209 162.0065
182.500000 71.156 161.9159
185.000000 71.077 161.8625
187.500000 71.027 161.7465
190.000000 70.979 161.5866
192.500000 70.937 161.6512
195.000000 70.857 161.6013
197.500000 70.789 161.5037
200.000000 70.713 161.2492
203.000000 70.646 161.4898
206.000000 70.601 161.3907
209.000000 70.506 161.6127
212.000000 70.438 161.5668
214.000000 70.371 161.6657
218.000000 70.304 161.7747
220.000000 70.265 161.6384
224.000000 70.164 161.7782
227.000000 70.096 161.5994
230.000000 70.032 161.7692
233.000000 69.975 161.9988
236.000000 69.877 162.0865
240.000000 69.803 162.1909
243.000000 69.759 162.2657
247.000000 69.685 162.4250
250.000000 69.650 162.2102
254.000000 69.559 162.4432
258.000000 69.476 162.5690
262.000000 69.388 162.7708
265.000000 69.317 163.0803
269.000000 69.238 163.3879
272.000000 69.186 163.5862
276.000000 69.141 163.8788
280.000000 69.121 164.1369
285.000000 69.016 164.1557
290.000000 68.933 164.4276
295.000000 68.858 164.4087
300.000000 68.802 165.0626
304.000000 68.737 165.0451
307.000000 68.695 165.0530
311.000000 68.619 165.5066
