* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 12:11:20 30-03-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Oriveti OD200 Black L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.721 120.8221
1.015000 84.550 119.9343
1.030000 84.372 119.0462
1.044000 84.201 118.2169
1.060000 83.998 117.2687
1.075000 83.800 116.3792
1.090000 83.595 115.4891
1.106000 83.373 114.5643
1.120000 83.203 113.9110
1.138000 83.022 113.2926
1.150000 82.920 112.9983
1.172000 82.761 112.6536
1.180000 82.710 112.5777
1.206000 82.558 112.4495
1.220000 82.477 112.4208
1.241000 82.346 112.3725
1.250000 82.283 112.3346
1.265000 82.165 112.2275
1.280000 82.027 112.0428
1.315000 81.597 111.1634
1.320000 81.520 110.9723
1.340000 81.169 110.0054
1.360000 80.735 108.6680
1.380000 80.208 106.8982
1.400000 79.574 104.6339
1.430000 78.400 100.1745
1.450000 77.449 96.4026
1.475000 76.025 90.6534
1.500000 74.131 83.5110
1.525000 71.794 75.0960
1.550000 69.106 65.6040
1.575000 66.154 55.2308
1.600000 63.030 44.1721
1.625000 59.822 32.6236
1.650000 56.620 20.7809
1.675000 53.515 8.8398
1.700000 50.595 -3.0041
1.725000 47.950 -14.5549
1.750000 45.670 -25.6170
1.775000 43.845 -35.9947
1.800000 42.564 -45.4923
1.825000 41.916 -53.9142
1.850000 41.981 -61.3183
1.875000 42.724 -68.2276
1.900000 44.058 -74.6919
1.925000 45.890 -80.7373
1.950000 48.132 -86.3900
1.975000 50.693 -91.6761
2.000000 53.482 -96.6218
2.030000 57.003 -102.1440
2.060000 60.567 -107.2587
2.090000 64.018 -112.0112
2.120000 67.199 -116.4465
2.140000 69.093 -119.2496
2.180000 72.128 -124.5466
2.200000 73.055 -127.0652
2.240000 73.149 -131.4206
2.270000 73.313 -134.0344
2.300000 73.538 -136.1775
2.330000 73.807 -137.9296
2.360000 74.104 -139.3708
2.400000 74.514 -140.9466
2.430000 74.812 -141.9727
2.470000 75.163 -143.2849
2.500000 75.370 -144.3308
2.540000 75.541 -145.9594
2.580000 75.587 -147.9832
2.620000 75.594 -150.1225
2.650000 75.570 -151.7362
2.690000 75.495 -153.8817
2.720000 75.407 -155.4735
2.760000 75.244 -157.5546
2.800000 75.027 -159.5671
2.850000 74.676 -161.9515
2.900000 74.233 -164.1479
2.950000 73.688 -166.2684
3.000000 73.002 -169.4383
3.040000 72.364 -172.4813
3.070000 71.844 -174.7989
3.110000 71.109 -177.6178
3.150000 70.342 -179.7630
3.200000 69.363 179.1078
3.250000 68.391 -179.5732
3.300000 67.458 -175.0250
3.350000 66.390 -165.9316
3.400000 65.137 -152.7535
3.450000 63.828 -136.9932
3.500000 62.593 -120.1528
3.550000 61.561 -103.7348
3.600000 60.861 -89.2414
3.650000 60.623 -78.1748
3.700000 60.989 -71.1758
3.750000 61.960 -66.6757
3.820000 64.002 -63.5481
3.870000 65.703 -62.9298
3.950000 68.342 -63.4153
4.000000 69.661 -63.8945
4.060000 70.688 -64.1911
4.120000 71.390 -65.4029
4.180000 71.872 -67.4462
4.250000 72.230 -70.4278
4.310000 72.422 -73.1077
4.370000 72.565 -75.5438
4.440000 72.701 -77.9077
4.500000 72.724 -80.0045
4.550000 72.677 -81.7575
4.620000 72.521 -84.0841
4.680000 72.316 -85.8329
4.750000 72.005 -87.4227
4.820000 71.593 -88.6697
4.870000 71.216 -89.5420
4.940000 70.611 -90.4755
5.000000 70.054 -90.7681
5.080000 69.315 -90.0270
5.150000 68.711 -87.9241
5.220000 68.024 -84.1510
5.300000 67.194 -78.3748
5.380000 66.466 -71.8741
5.450000 66.037 -66.2783
5.520000 65.909 -61.2411
5.600000 66.153 -55.1282
5.700000 66.823 -47.4458
5.800000 67.604 -41.0972
5.900000 68.229 -37.4886
6.000000 68.855 -36.6202
6.080000 69.342 -37.1936
6.150000 69.710 -38.1637
6.220000 69.983 -39.1962
6.300000 70.172 -40.5536
6.400000 70.274 -42.9836
6.500000 70.242 -45.7618
6.600000 70.089 -48.3878
6.700000 69.803 -51.0009
6.800000 69.388 -53.6624
6.900000 68.872 -55.9997
7.000000 68.271 -57.7119
7.100000 67.531 -59.0613
7.200000 66.718 -59.8961
7.300000 65.928 -59.9326
7.400000 65.182 -58.8030
7.500000 64.414 -56.5479
7.620000 63.618 -53.3647
7.750000 63.118 -50.3901
7.880000 62.984 -47.1933
8.000000 63.036 -45.1484
8.120000 63.153 -45.2290
8.250000 63.425 -47.4059
8.380000 63.735 -50.9945
8.500000 63.952 -55.2262
8.620000 64.141 -60.6467
8.750000 64.327 -66.9844
8.850000 64.455 -71.7278
9.000000 64.620 -79.1571
9.120000 64.744 -84.7688
9.250000 64.879 -90.0468
9.380000 65.007 -94.7454
9.500000 65.143 -98.3607
9.620000 65.301 -101.0982
9.750000 65.492 -103.1932
9.880000 65.730 -104.6618
10.000000 66.007 -105.4581
10.150000 66.415 -105.7468
10.300000 66.867 -105.9134
10.440000 67.345 -105.9409
10.600000 67.901 -105.9397
10.750000 68.393 -106.1166
10.900000 68.868 -106.3598
11.060000 69.316 -106.5773
11.200000 69.660 -106.7573
11.380000 70.051 -106.8256
11.500000 70.278 -106.7254
11.720000 70.647 -106.3196
11.800000 70.773 -106.0986
12.060000 71.151 -105.1757
12.200000 71.342 -104.6736
12.410000 71.607 -103.9150
12.500000 71.707 -103.6241
12.650000 71.860 -103.1867
12.800000 71.989 -102.7647
13.150000 72.186 -101.7604
13.200000 72.207 -101.5966
13.400000 72.265 -100.8680
13.600000 72.313 -100.0859
13.800000 72.360 -99.2440
14.000000 72.413 -98.5329
14.300000 72.500 -97.8112
14.500000 72.545 -97.7040
14.750000 72.565 -97.9153
15.000000 72.534 -98.4535
15.250000 72.451 -99.1008
15.500000 72.347 -99.7445
15.750000 72.242 -100.3542
16.000000 72.174 -100.9804
16.250000 72.151 -101.8024
16.500000 72.171 -102.8897
16.750000 72.220 -104.3245
17.000000 72.277 -105.9834
17.250000 72.339 -107.7529
17.500000 72.403 -109.4757
17.750000 72.485 -111.0134
18.000000 72.594 -112.3589
18.250000 72.739 -113.5115
18.500000 72.916 -114.5590
18.750000 73.114 -115.5281
19.000000 73.322 -116.4424
19.250000 73.523 -117.2640
19.500000 73.715 -117.9543
19.750000 73.895 -118.4871
20.000000 74.067 -118.8569
20.299999 74.265 -119.1449
20.600000 74.451 -119.3246
20.900000 74.617 -119.4524
21.200001 74.757 -119.5432
21.400000 74.834 -119.5711
21.799999 74.958 -119.5496
22.000000 75.008 -119.5167
22.400000 75.093 -119.4797
22.700001 75.142 -119.5437
23.000000 75.175 -119.7158
23.299999 75.191 -119.9742
23.600000 75.194 -120.2952
24.000000 75.194 -120.8107
24.299999 75.197 -121.2897
24.700001 75.213 -122.0969
25.000000 75.230 -122.8267
25.400000 75.260 -123.9062
25.799999 75.304 -125.0184
26.200001 75.371 -126.1243
26.500000 75.437 -126.9549
26.900000 75.539 -128.0560
27.200001 75.620 -128.8395
27.600000 75.728 -129.7606
28.000000 75.843 -130.5049
28.500000 75.998 -131.2568
29.000000 76.147 -131.9213
29.500000 76.267 -132.4719
30.000000 76.361 -132.8307
30.400000 76.432 -133.0287
30.700001 76.484 -133.1900
31.100000 76.544 -133.4809
31.500000 76.587 -133.8498
32.000000 76.615 -134.3412
32.500000 76.635 -134.8314
33.000000 76.663 -135.3977
33.500000 76.697 -136.1089
34.000000 76.729 -136.9313
34.500000 76.758 -137.7726
35.000000 76.793 -138.5634
35.500000 76.840 -139.2752
36.000000 76.905 -139.9326
36.500000 76.983 -140.5912
37.000000 77.059 -141.2694
37.500000 77.121 -141.9089
38.200001 77.191 -142.6290
38.700001 77.240 -143.0580
39.500000 77.309 -143.7584
40.000000 77.341 -144.1988
40.599998 77.374 -144.7197
41.200001 77.406 -145.2744
41.799999 77.435 -145.8716
42.500000 77.468 -146.5895
43.099998 77.496 -147.2048
43.700001 77.528 -147.8016
44.400002 77.570 -148.4935
45.000000 77.602 -149.1025
45.500000 77.621 -149.5702
46.200001 77.649 -150.1231
46.799999 77.681 -150.6100
47.500000 77.704 -151.2256
48.200001 77.720 -151.6912
48.700001 77.753 -151.9928
49.400002 77.817 -152.6878
50.000000 77.835 -153.4766
50.799999 77.807 -154.2189
51.500000 77.812 -154.5297
52.200001 77.853 -154.9441
53.000000 77.882 -155.5975
53.799999 77.887 -156.1471
54.500000 77.896 -156.5645
55.200001 77.906 -157.0251
56.000000 77.913 -157.5896
57.000000 77.917 -158.3282
58.000000 77.913 -159.0451
59.000000 77.911 -159.6554
60.000000 77.911 -160.1910
60.799999 77.907 -160.5101
61.500000 77.913 -160.6861
62.200001 77.933 -160.9077
63.000000 77.942 -161.2961
64.000000 77.933 -161.5936
65.000000 77.975 -161.9352
66.000000 77.995 -162.5882
67.000000 78.010 -163.0188
68.000000 78.052 -163.5678
69.000000 78.071 -164.0960
70.000000 78.100 -164.5424
71.000000 78.116 -165.0769
72.000000 78.120 -165.5509
73.000000 78.123 -166.0782
74.000000 78.110 -166.5948
75.000000 78.107 -167.0369
76.199997 78.111 -167.6545
77.500000 78.108 -168.2487
78.800003 78.117 -168.7717
80.000000 78.126 -169.3320
81.199997 78.123 -169.8415
82.500000 78.123 -170.4323
83.800003 78.106 -170.9603
85.000000 78.102 -171.4249
86.199997 78.083 -171.9012
87.500000 78.070 -172.3456
88.500000 78.063 -172.7383
90.000000 78.041 -173.3400
91.199997 78.032 -173.7107
92.500000 78.023 -174.2764
93.800003 77.994 -174.6859
95.000000 77.975 -175.0760
96.199997 77.961 -175.4095
97.500000 77.936 -175.9720
98.800003 77.904 -176.2745
100.000000 77.884 -176.6615
101.500000 77.862 -176.9701
103.000000 77.844 -177.3226
104.400002 77.835 -177.7837
106.000000 77.796 -178.1684
107.500000 77.775 -178.5450
109.000000 77.763 -178.9546
110.599998 77.712 -179.3445
112.000000 77.707 -179.6069
113.800003 77.663 179.8638
115.000000 77.642 179.6315
117.199997 77.601 179.1502
118.000000 77.588 178.9813
120.599998 77.531 178.4735
122.000000 77.506 178.1577
124.099998 77.466 177.7550
125.000000 77.447 177.5750
126.500000 77.414 177.3258
128.000000 77.390 177.0009
131.500000 77.302 176.3555
132.000000 77.290 176.2885
134.000000 77.257 175.9478
136.000000 77.202 175.6609
138.000000 77.143 175.3671
140.000000 77.107 174.9941
143.000000 77.033 174.7240
145.000000 76.982 174.4442
147.500000 76.942 174.3750
150.000000 76.885 174.2070
152.500000 76.805 173.9968
155.000000 76.774 173.8562
157.500000 76.732 173.6899
160.000000 76.695 173.5560
162.500000 76.668 173.2937
165.000000 76.616 173.0956
167.500000 76.584 172.7798
170.000000 76.548 172.5530
172.500000 76.493 172.4182
175.000000 76.447 172.2363
177.500000 76.405 172.0743
180.000000 76.367 171.8281
182.500000 76.320 171.6951
185.000000 76.281 171.5634
187.500000 76.225 171.4168
190.000000 76.181 171.3018
192.500000 76.137 171.0616
195.000000 76.096 170.8239
197.500000 76.059 170.8648
200.000000 75.996 170.7668
203.000000 75.953 170.5485
206.000000 75.907 170.3633
209.000000 75.853 170.2574
212.000000 75.787 170.1869
214.000000 75.760 170.1549
218.000000 75.681 170.0438
220.000000 75.657 169.9037
224.000000 75.582 169.8231
227.000000 75.527 169.7803
230.000000 75.473 169.6797
233.000000 75.428 169.6478
236.000000 75.365 169.6275
240.000000 75.297 169.6113
243.000000 75.237 169.5718
247.000000 75.174 169.5892
250.000000 75.136 169.4399
254.000000 75.061 169.5726
258.000000 74.991 169.6159
262.000000 74.942 169.6393
265.000000 74.888 169.6176
269.000000 74.825 169.7491
272.000000 74.777 169.8303
276.000000 74.701 169.7993
280.000000 74.649 169.9216
285.000000 74.575 170.1085
290.000000 74.498 170.1669
295.000000 74.439 170.2817
300.000000 74.356 170.4558
304.000000 74.308 170.5670
