* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 12:17:25 30-03-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Oriveti OD200 Black R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.866 121.2254
1.015000 84.696 120.3533
1.030000 84.520 119.4821
1.044000 84.351 118.6700
1.060000 84.150 117.7431
1.075000 83.954 116.8752
1.090000 83.751 116.0087
1.106000 83.531 115.0708
1.120000 83.366 114.1588
1.138000 83.194 112.8564
1.150000 83.099 111.9189
1.172000 82.957 110.0864
1.180000 82.913 109.3911
1.206000 82.784 107.0629
1.220000 82.716 105.7863
1.241000 82.605 103.8755
1.250000 82.551 103.0672
1.265000 82.447 101.7463
1.280000 82.321 100.4718
1.315000 81.915 97.7653
1.320000 81.841 97.4176
1.340000 81.497 96.1470
1.360000 81.067 95.0961
1.380000 80.537 94.3017
1.400000 79.895 93.8002
1.430000 78.694 93.6774
1.450000 77.715 94.0686
1.475000 76.242 95.1424
1.500000 74.275 96.7917
1.525000 71.843 98.9527
1.550000 69.042 101.5792
1.575000 65.963 104.6251
1.600000 62.703 108.0443
1.625000 59.353 111.7907
1.650000 56.009 115.8182
1.675000 52.764 120.0807
1.700000 49.712 124.5321
1.725000 46.946 129.1263
1.750000 44.561 133.8171
1.775000 42.650 138.5585
1.800000 41.308 143.3044
1.825000 40.628 148.0086
1.850000 40.690 152.8557
1.875000 41.460 158.3090
1.900000 42.845 164.2708
1.925000 44.751 170.6185
1.950000 47.082 177.2301
1.975000 49.746 -176.0168
2.000000 52.648 -169.2446
2.030000 56.312 -161.2646
2.060000 60.021 -153.6445
2.090000 63.612 -146.5953
2.120000 66.923 -140.3285
2.140000 68.894 -136.6896
2.180000 72.053 -130.9871
2.200000 73.018 -129.0479
2.240000 73.116 -126.9532
2.270000 73.287 -126.7170
2.300000 73.521 -127.4368
2.330000 73.802 -128.9438
2.360000 74.112 -131.0687
2.400000 74.540 -134.5709
2.430000 74.851 -137.4800
2.470000 75.217 -141.4139
2.500000 75.433 -144.1866
2.540000 75.612 -147.3247
2.580000 75.663 -149.5720
2.620000 75.680 -151.6540
2.650000 75.662 -153.2308
2.690000 75.596 -155.3345
2.720000 75.513 -156.9001
2.760000 75.358 -158.9522
2.800000 75.150 -160.9417
2.850000 74.815 -163.3043
2.900000 74.391 -165.4851
2.950000 73.873 -167.5858
3.000000 73.234 -170.6693
3.040000 72.643 -173.6116
3.070000 72.162 -175.8510
3.110000 71.478 -178.5812
3.150000 70.756 179.3226
3.200000 69.818 178.1622
3.250000 68.860 179.3037
3.300000 67.905 -176.5195
3.350000 66.765 -168.1294
3.400000 65.395 -155.9666
3.450000 63.942 -141.3937
3.500000 62.552 -125.7730
3.550000 61.371 -110.4670
3.600000 60.545 -96.8379
3.650000 60.220 -86.2483
3.700000 60.547 -79.2270
3.750000 61.513 -74.2700
3.820000 63.588 -70.0157
3.870000 65.329 -68.4184
3.950000 68.040 -67.3887
4.000000 69.395 -67.1520
4.060000 70.446 -66.9841
4.120000 71.167 -67.9805
4.180000 71.668 -69.9687
4.250000 72.045 -73.0140
4.310000 72.251 -75.7940
4.370000 72.406 -78.3129
4.440000 72.553 -80.7136
4.500000 72.584 -82.8539
4.550000 72.542 -84.6568
4.620000 72.392 -87.0739
4.680000 72.187 -88.9193
4.750000 71.870 -90.6437
4.820000 71.450 -92.0759
4.870000 71.067 -93.1259
4.940000 70.449 -94.3323
5.000000 69.875 -94.8460
5.080000 69.095 -94.3220
5.150000 68.433 -92.2878
5.220000 67.651 -88.5196
5.300000 66.685 -82.6768
5.380000 65.822 -76.0024
5.450000 65.301 -70.1423
5.520000 65.127 -64.7024
5.600000 65.365 -57.8531
5.700000 66.070 -49.0336
5.800000 66.907 -41.6347
5.900000 67.581 -37.3888
6.000000 68.266 -36.2547
6.080000 68.806 -36.7585
6.150000 69.217 -37.7022
6.220000 69.526 -38.6828
6.300000 69.743 -39.9554
6.400000 69.871 -42.3142
6.500000 69.858 -45.0223
6.600000 69.726 -47.5385
6.700000 69.457 -50.0005
6.800000 69.057 -52.4839
6.900000 68.562 -54.6125
7.000000 67.993 -56.0729
7.100000 67.290 -57.0827
7.200000 66.524 -57.5656
7.300000 65.796 -57.3361
7.400000 65.139 -56.0681
7.500000 64.487 -53.7431
7.620000 63.828 -50.6355
7.750000 63.429 -48.0631
7.880000 63.361 -45.6745
8.000000 63.441 -44.4257
8.120000 63.545 -45.0700
8.250000 63.756 -47.7035
8.380000 63.979 -51.6142
8.500000 64.116 -56.0074
8.620000 64.217 -61.4534
8.750000 64.301 -67.7276
8.850000 64.351 -72.3939
9.000000 64.394 -79.6348
9.120000 64.425 -85.0259
9.250000 64.469 -89.9863
9.380000 64.514 -94.2877
9.500000 64.592 -97.4899
9.620000 64.720 -99.7510
9.750000 64.904 -101.2628
9.880000 65.162 -102.2340
10.000000 65.489 -102.6957
10.150000 65.992 -102.6931
10.300000 66.537 -102.8161
10.440000 67.102 -103.0689
10.600000 67.745 -103.4903
10.750000 68.287 -104.1534
10.900000 68.787 -104.9690
11.060000 69.238 -105.7292
11.200000 69.561 -106.3472
11.380000 69.911 -106.8461
11.500000 70.100 -106.9260
11.720000 70.396 -106.6606
11.800000 70.501 -106.4215
12.060000 70.820 -105.2419
12.200000 71.001 -104.5574
12.410000 71.273 -103.4907
12.500000 71.382 -103.1083
12.650000 71.560 -102.5567
12.800000 71.719 -102.0829
13.150000 71.977 -101.2538
13.200000 72.003 -101.1318
13.400000 72.073 -100.6258
13.600000 72.118 -100.0528
13.800000 72.146 -99.3721
14.000000 72.175 -98.7302
14.300000 72.226 -97.9378
14.500000 72.260 -97.6993
14.750000 72.279 -97.7388
15.000000 72.262 -98.1384
15.250000 72.198 -98.7388
15.500000 72.107 -99.4066
15.750000 72.007 -100.0869
16.000000 71.928 -100.7654
16.250000 71.888 -101.5630
16.500000 71.888 -102.5356
16.750000 71.925 -103.7620
17.000000 71.985 -105.1795
17.250000 72.064 -106.7170
17.500000 72.161 -108.2719
17.750000 72.281 -109.7509
18.000000 72.428 -111.1461
18.250000 72.602 -112.4544
18.500000 72.794 -113.7091
18.750000 72.994 -114.8959
19.000000 73.189 -115.9998
19.250000 73.370 -116.9455
19.500000 73.540 -117.6945
19.750000 73.699 -118.2219
20.000000 73.857 -118.5469
20.299999 74.046 -118.7672
20.600000 74.231 -118.8979
20.900000 74.400 -119.0167
21.200001 74.538 -119.1340
21.400000 74.612 -119.1830
21.799999 74.721 -119.1761
22.000000 74.762 -119.1226
22.400000 74.833 -118.9804
22.700001 74.881 -118.9352
23.000000 74.920 -119.0113
23.299999 74.946 -119.2154
23.600000 74.961 -119.5307
24.000000 74.968 -120.0961
24.299999 74.971 -120.6229
24.700001 74.980 -121.4677
25.000000 74.991 -122.1972
25.400000 75.015 -123.2526
25.799999 75.058 -124.3427
26.200001 75.125 -125.4417
26.500000 75.191 -126.2698
26.900000 75.292 -127.3584
27.200001 75.374 -128.1241
27.600000 75.487 -129.0198
28.000000 75.610 -129.7537
28.500000 75.774 -130.5161
29.000000 75.930 -131.1904
29.500000 76.058 -131.7381
30.000000 76.164 -132.1087
30.400000 76.242 -132.3410
30.700001 76.297 -132.5355
31.100000 76.357 -132.8595
31.500000 76.398 -133.2358
32.000000 76.427 -133.7146
32.500000 76.452 -134.2072
33.000000 76.482 -134.8004
33.500000 76.513 -135.5276
34.000000 76.543 -136.3335
34.500000 76.578 -137.1591
35.000000 76.621 -137.9790
35.500000 76.671 -138.7604
36.000000 76.729 -139.4758
36.500000 76.797 -140.1376
37.000000 76.865 -140.7610
37.500000 76.927 -141.3142
38.200001 77.011 -141.9409
38.700001 77.072 -142.3748
39.500000 77.143 -143.1554
40.000000 77.165 -143.5822
40.599998 77.195 -144.0087
41.200001 77.240 -144.5347
41.799999 77.273 -145.2198
42.500000 77.290 -145.9916
43.099998 77.314 -146.5481
43.700001 77.354 -147.1549
44.400002 77.394 -147.9515
45.000000 77.414 -148.5391
45.500000 77.438 -148.9280
46.200001 77.490 -149.4948
46.799999 77.528 -150.0785
47.500000 77.554 -150.7045
48.200001 77.590 -151.2744
48.700001 77.618 -151.7890
49.400002 77.623 -152.6085
50.000000 77.598 -153.1012
50.799999 77.599 -153.3859
51.500000 77.651 -153.7212
52.200001 77.701 -154.3043
53.000000 77.721 -155.0022
53.799999 77.725 -155.5236
54.500000 77.739 -155.9164
55.200001 77.755 -156.3796
56.000000 77.755 -156.9163
57.000000 77.761 -157.4342
58.000000 77.789 -158.0117
59.000000 77.813 -158.5802
60.000000 77.858 -159.1241
60.799999 77.887 -159.7042
61.500000 77.884 -160.1621
62.200001 77.879 -160.4335
63.000000 77.901 -160.7236
64.000000 77.929 -161.3407
65.000000 77.929 -161.9702
66.000000 77.935 -162.5594
67.000000 77.945 -163.1759
68.000000 77.953 -163.8012
69.000000 77.950 -164.3614
70.000000 77.961 -164.8016
71.000000 77.974 -165.4307
72.000000 77.945 -165.9323
73.000000 77.951 -166.2652
74.000000 77.955 -166.8870
75.000000 77.924 -167.3668
76.199997 77.910 -167.8397
77.500000 77.883 -168.3845
78.800003 77.860 -168.8164
80.000000 77.844 -169.2426
81.199997 77.836 -169.7289
82.500000 77.796 -170.2420
83.800003 77.768 -170.5373
85.000000 77.747 -170.6776
86.199997 77.762 -170.9486
87.500000 77.731 -171.3355
88.500000 77.720 -171.4361
90.000000 77.749 -171.7600
91.199997 77.759 -172.1282
92.500000 77.784 -172.4797
93.800003 77.791 -172.8237
95.000000 77.809 -173.1237
96.199997 77.822 -173.4967
97.500000 77.819 -174.0411
98.800003 77.816 -174.4429
100.000000 77.813 -174.9345
101.500000 77.813 -175.3788
103.000000 77.807 -175.9385
104.400002 77.781 -176.4048
106.000000 77.753 -176.8574
107.500000 77.713 -177.3394
109.000000 77.684 -177.7289
110.599998 77.658 -178.1634
112.000000 77.628 -178.6702
113.800003 77.588 -179.0024
115.000000 77.561 -179.3292
117.199997 77.514 -179.7747
118.000000 77.495 -179.9034
120.599998 77.465 179.5439
122.000000 77.434 179.3448
124.099998 77.405 178.9463
125.000000 77.390 178.8152
126.500000 77.361 178.5580
128.000000 77.336 178.3504
131.500000 77.276 177.6589
132.000000 77.266 177.5968
134.000000 77.249 177.3141
136.000000 77.205 176.9849
138.000000 77.167 176.6090
140.000000 77.133 176.3453
143.000000 77.084 175.8935
145.000000 77.048 175.6092
147.500000 77.019 175.1503
150.000000 76.961 174.9765
152.500000 76.904 174.5487
155.000000 76.857 174.2349
157.500000 76.817 173.8887
160.000000 76.757 173.6650
162.500000 76.704 173.3055
165.000000 76.651 173.0471
167.500000 76.607 172.8388
170.000000 76.540 172.5928
172.500000 76.494 172.4116
175.000000 76.444 172.2309
177.500000 76.401 172.1022
180.000000 76.338 171.9662
182.500000 76.287 171.9495
185.000000 76.254 171.8275
187.500000 76.205 171.7405
190.000000 76.160 171.6088
192.500000 76.127 171.4765
195.000000 76.093 171.2499
197.500000 76.046 171.2015
200.000000 76.002 171.0692
203.000000 75.954 170.9539
206.000000 75.896 170.7622
209.000000 75.849 170.5740
212.000000 75.785 170.4191
214.000000 75.762 170.3227
218.000000 75.685 170.3560
220.000000 75.646 170.1962
224.000000 75.582 170.1751
227.000000 75.520 170.0404
230.000000 75.462 169.9334
233.000000 75.416 169.8997
236.000000 75.364 169.8374
240.000000 75.300 169.7459
243.000000 75.250 169.7259
247.000000 75.178 169.7540
250.000000 75.107 169.5295
254.000000 75.074 169.7699
258.000000 75.000 169.7800
262.000000 74.915 169.7297
265.000000 74.870 169.7178
269.000000 74.812 169.8265
272.000000 74.755 169.8903
276.000000 74.688 169.9716
280.000000 74.616 170.0085
285.000000 74.538 170.1450
290.000000 74.470 170.2690
295.000000 74.387 170.3951
300.000000 74.328 170.5166
304.000000 74.262 170.6697
307.000000 74.215 170.7382
