* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 12:44:48 19-03-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Oriveti OD200 Silver L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.683 120.8892
1.015000 84.511 120.0024
1.030000 84.333 119.1152
1.044000 84.161 118.2867
1.060000 83.956 117.3392
1.075000 83.757 116.4503
1.090000 83.550 115.5609
1.106000 83.325 114.6404
1.120000 83.148 114.0141
1.138000 82.948 113.4633
1.150000 82.830 113.2317
1.172000 82.634 113.0310
1.180000 82.568 113.0149
1.206000 82.361 113.0985
1.220000 82.250 113.1897
1.241000 82.072 113.3207
1.250000 81.990 113.3570
1.265000 81.842 113.3671
1.280000 81.677 113.2882
1.315000 81.197 112.5884
1.320000 81.116 112.4132
1.340000 80.752 111.4798
1.360000 80.320 110.1207
1.380000 79.809 108.2648
1.400000 79.209 105.8406
1.430000 78.122 100.9832
1.450000 77.259 96.8268
1.475000 75.982 90.4328
1.500000 74.303 82.3467
1.525000 72.246 72.7095
1.550000 69.888 61.7718
1.575000 67.307 49.7837
1.600000 64.579 36.9958
1.625000 61.782 23.6585
1.650000 58.993 10.0221
1.675000 56.290 -3.6629
1.700000 53.750 -17.1463
1.725000 51.450 -30.1775
1.750000 49.467 -42.5062
1.775000 47.879 -53.8820
1.800000 46.763 -64.0545
1.825000 46.196 -72.7734
1.850000 46.246 -80.0497
1.875000 46.887 -86.4262
1.900000 48.041 -92.0075
1.925000 49.629 -96.8745
1.950000 51.573 -101.1083
1.975000 53.795 -104.7898
2.000000 56.217 -108.0001
2.030000 59.275 -111.3446
2.060000 62.372 -114.2672
2.090000 65.372 -116.9079
2.120000 68.141 -119.4067
2.140000 69.790 -121.0628
2.180000 72.439 -124.5385
2.200000 73.251 -126.4378
2.240000 73.344 -129.9637
2.270000 73.505 -132.2091
2.300000 73.725 -134.1652
2.330000 73.990 -135.8796
2.360000 74.282 -137.3999
2.400000 74.686 -139.2074
2.430000 74.978 -140.4600
2.470000 75.323 -142.0831
2.500000 75.527 -143.3269
2.540000 75.695 -145.1111
2.580000 75.740 -147.1186
2.620000 75.746 -149.2092
2.650000 75.721 -150.7886
2.690000 75.646 -152.8872
2.720000 75.557 -154.4404
2.760000 75.395 -156.4610
2.800000 75.181 -158.3984
2.850000 74.839 -160.6605
2.900000 74.409 -162.6938
2.950000 73.884 -164.5772
3.000000 73.218 -167.2639
3.040000 72.598 -169.7909
3.070000 72.093 -171.6910
3.110000 71.381 -173.9673
3.150000 70.641 -175.6488
3.200000 69.704 -176.4137
3.250000 68.786 -175.0945
3.300000 67.921 -171.0447
3.350000 66.956 -163.1727
3.400000 65.840 -151.8592
3.450000 64.685 -138.3499
3.500000 63.602 -123.8899
3.550000 62.703 -109.7248
3.600000 62.098 -97.0999
3.650000 61.898 -87.2606
3.700000 62.228 -80.6863
3.750000 63.093 -75.9961
3.820000 64.907 -71.8908
3.870000 66.419 -70.2892
3.950000 68.773 -69.1621
4.000000 69.957 -68.8646
4.060000 70.894 -68.6591
4.120000 71.558 -69.5644
4.180000 72.037 -71.4138
4.250000 72.415 -74.2699
4.310000 72.634 -76.8926
4.370000 72.797 -79.2851
4.440000 72.942 -81.5920
4.500000 72.973 -83.6666
4.550000 72.936 -85.4254
4.620000 72.796 -87.8018
4.680000 72.604 -89.6362
4.750000 72.308 -91.3812
4.820000 71.916 -92.8471
4.870000 71.560 -93.9127
4.940000 70.984 -95.1650
5.000000 70.446 -95.7724
5.080000 69.708 -95.5054
5.150000 69.071 -93.8775
5.220000 68.314 -90.7765
5.300000 67.373 -85.8966
5.380000 66.520 -80.2066
5.450000 65.983 -75.0678
5.520000 65.760 -70.0912
5.600000 65.885 -63.5302
5.700000 66.405 -54.8412
5.800000 67.068 -47.4310
5.900000 67.639 -43.1256
6.000000 68.281 -41.7670
6.080000 68.810 -42.0356
6.150000 69.219 -42.8029
6.220000 69.525 -43.6924
6.300000 69.740 -44.9708
6.400000 69.875 -47.4270
6.500000 69.874 -50.3314
6.600000 69.749 -53.1418
6.700000 69.488 -55.9901
6.800000 69.096 -58.9566
6.900000 68.596 -61.6763
7.000000 68.003 -63.8606
7.100000 67.269 -65.7974
7.200000 66.454 -67.2877
7.300000 65.640 -67.9871
7.400000 64.840 -67.5359
7.500000 63.988 -66.0286
7.620000 63.082 -63.6288
7.750000 62.483 -61.0851
7.880000 62.251 -57.8771
8.000000 62.244 -55.6884
8.120000 62.369 -55.7055
8.250000 62.722 -57.8158
8.380000 63.147 -61.3517
8.500000 63.483 -65.5905
8.620000 63.817 -71.0719
8.750000 64.161 -77.4437
8.850000 64.401 -82.1358
9.000000 64.730 -89.3952
9.120000 64.968 -94.8237
9.250000 65.198 -99.8702
9.380000 65.398 -104.2931
9.500000 65.579 -107.6444
9.620000 65.759 -110.1294
9.750000 65.949 -111.9498
9.880000 66.173 -113.1236
10.000000 66.428 -113.6177
10.150000 66.793 -113.5020
10.300000 67.209 -113.2570
10.440000 67.655 -112.8807
10.600000 68.182 -112.4467
10.750000 68.656 -112.2875
10.900000 69.118 -112.2473
11.060000 69.553 -112.2352
11.200000 69.886 -112.2796
11.380000 70.261 -112.2216
11.500000 70.474 -112.0662
11.720000 70.813 -111.5872
11.800000 70.927 -111.3354
12.060000 71.262 -110.3092
12.200000 71.432 -109.7350
12.410000 71.669 -108.8570
12.500000 71.761 -108.5205
12.650000 71.901 -108.0091
12.800000 72.020 -107.5301
13.150000 72.203 -106.4951
13.200000 72.221 -106.3367
13.400000 72.268 -105.6605
13.600000 72.302 -104.9479
13.800000 72.331 -104.1844
14.000000 72.363 -103.5348
14.300000 72.419 -102.8669
14.500000 72.448 -102.7708
14.750000 72.452 -102.9944
15.000000 72.413 -103.5550
15.250000 72.326 -104.2536
15.500000 72.219 -104.9667
15.750000 72.112 -105.6537
16.000000 72.041 -106.3396
16.250000 72.018 -107.1896
16.500000 72.042 -108.2732
16.750000 72.102 -109.6798
17.000000 72.175 -111.3084
17.250000 72.257 -113.0547
17.500000 72.341 -114.7725
17.750000 72.439 -116.3170
18.000000 72.558 -117.6692
18.250000 72.705 -118.8143
18.500000 72.880 -119.8211
18.750000 73.072 -120.7167
19.000000 73.274 -121.5251
19.250000 73.471 -122.2272
19.500000 73.661 -122.8011
19.750000 73.841 -123.2342
20.000000 74.014 -123.5365
20.299999 74.210 -123.7826
20.600000 74.388 -123.9512
20.900000 74.542 -124.0761
21.200001 74.666 -124.1475
21.400000 74.732 -124.1476
21.799999 74.840 -124.0508
22.000000 74.886 -123.9851
22.400000 74.970 -123.9336
22.700001 75.020 -124.0525
23.000000 75.049 -124.3300
23.299999 75.053 -124.7098
23.600000 75.037 -125.1312
24.000000 75.005 -125.7033
24.299999 74.988 -126.1629
24.700001 74.985 -126.8967
25.000000 74.995 -127.5660
25.400000 75.017 -128.5682
25.799999 75.053 -129.5723
26.200001 75.115 -130.5013
26.500000 75.186 -131.1637
26.900000 75.308 -132.0475
27.200001 75.410 -132.7192
27.600000 75.549 -133.5890
28.000000 75.683 -134.3632
28.500000 75.844 -135.1576
29.000000 75.991 -135.8002
29.500000 76.117 -136.3213
30.000000 76.219 -136.7285
30.400000 76.287 -137.0102
30.700001 76.331 -137.2270
31.100000 76.378 -137.5469
31.500000 76.412 -137.8986
32.000000 76.442 -138.3741
32.500000 76.470 -138.9324
33.000000 76.497 -139.6291
33.500000 76.517 -140.4267
34.000000 76.536 -141.2237
34.500000 76.568 -141.9854
35.000000 76.620 -142.7565
35.500000 76.680 -143.5532
36.000000 76.741 -144.3211
36.500000 76.802 -145.0099
37.000000 76.864 -145.6142
37.500000 76.923 -146.1463
38.200001 77.003 -146.8009
38.700001 77.055 -147.2527
39.500000 77.116 -148.0021
40.000000 77.141 -148.4526
40.599998 77.167 -148.9793
41.200001 77.192 -149.5453
41.799999 77.213 -150.1406
42.500000 77.241 -150.8290
43.099998 77.271 -151.4423
43.700001 77.301 -152.0665
44.400002 77.334 -152.7285
45.000000 77.372 -153.2603
45.500000 77.406 -153.7356
46.200001 77.441 -154.4237
46.799999 77.462 -154.9463
47.500000 77.497 -155.5189
48.200001 77.534 -156.2300
48.700001 77.543 -156.7908
49.400002 77.534 -157.3901
50.000000 77.549 -157.7028
50.799999 77.618 -158.3110
51.500000 77.648 -159.1061
52.200001 77.639 -159.6885
53.000000 77.656 -160.0747
53.799999 77.691 -160.6427
54.500000 77.692 -161.1919
55.200001 77.687 -161.6115
56.000000 77.700 -162.1120
57.000000 77.710 -162.9247
58.000000 77.708 -163.6816
59.000000 77.725 -164.4254
60.000000 77.734 -165.1834
60.799999 77.738 -165.6806
61.500000 77.745 -166.0751
62.200001 77.753 -166.4591
63.000000 77.762 -166.9277
64.000000 77.759 -167.5548
65.000000 77.755 -168.1530
66.000000 77.747 -168.8443
67.000000 77.727 -169.4361
68.000000 77.729 -169.9386
69.000000 77.736 -170.5079
70.000000 77.734 -171.0522
71.000000 77.732 -171.5600
72.000000 77.723 -172.1247
73.000000 77.697 -172.6064
74.000000 77.688 -173.0228
75.000000 77.680 -173.5705
76.199997 77.650 -174.1452
77.500000 77.628 -174.6873
78.800003 77.608 -175.2337
80.000000 77.579 -175.7538
81.199997 77.558 -176.1681
82.500000 77.537 -176.7417
83.800003 77.499 -177.1932
85.000000 77.470 -177.5622
86.199997 77.437 -177.9003
87.500000 77.399 -178.2259
88.500000 77.381 -178.4111
90.000000 77.365 -178.7662
91.199997 77.371 -178.9834
92.500000 77.380 -179.3474
93.800003 77.393 -179.7041
95.000000 77.396 179.8771
96.199997 77.396 179.4205
97.500000 77.383 178.9338
98.800003 77.384 178.3244
100.000000 77.340 177.8585
101.500000 77.333 177.4462
103.000000 77.304 176.9704
104.400002 77.282 176.4981
106.000000 77.239 175.8795
107.500000 77.190 175.5730
109.000000 77.173 175.0994
110.599998 77.145 174.6354
112.000000 77.104 174.2516
113.800003 77.073 173.7906
115.000000 77.036 173.4475
117.199997 76.979 172.9461
118.000000 76.953 172.7833
120.599998 76.894 172.1732
122.000000 76.857 171.9468
124.099998 76.821 171.4896
125.000000 76.798 171.3253
126.500000 76.759 171.0246
128.000000 76.724 170.7881
131.500000 76.638 170.0365
132.000000 76.620 169.9766
134.000000 76.587 169.6041
136.000000 76.540 169.3166
138.000000 76.487 168.9480
140.000000 76.440 168.7044
143.000000 76.376 168.2242
145.000000 76.305 167.9290
147.500000 76.247 167.5745
150.000000 76.173 167.1760
152.500000 76.130 166.8340
155.000000 76.076 166.4619
157.500000 76.015 166.2007
160.000000 75.952 165.9398
162.500000 75.900 165.7014
165.000000 75.827 165.4333
167.500000 75.781 165.2222
170.000000 75.702 164.9900
172.500000 75.644 164.7529
175.000000 75.591 164.5009
177.500000 75.532 164.3221
180.000000 75.465 164.1282
182.500000 75.413 163.9119
185.000000 75.355 163.8258
187.500000 75.306 163.6425
190.000000 75.239 163.4804
192.500000 75.174 163.3552
195.000000 75.136 163.1576
197.500000 75.059 163.0938
200.000000 75.022 163.1221
203.000000 74.944 162.7487
206.000000 74.884 162.6150
209.000000 74.819 162.5523
212.000000 74.751 162.5163
214.000000 74.718 162.4589
218.000000 74.623 162.2935
220.000000 74.578 162.3682
224.000000 74.505 162.2662
227.000000 74.430 162.0424
230.000000 74.378 162.0681
233.000000 74.306 162.0284
236.000000 74.248 161.9685
240.000000 74.195 162.0503
243.000000 74.133 162.0005
247.000000 74.050 161.8500
250.000000 74.014 161.8333
254.000000 73.911 161.9496
258.000000 73.842 162.0486
262.000000 73.760 162.0063
265.000000 73.713 161.9100
269.000000 73.646 161.9911
272.000000 73.592 161.9846
276.000000 73.529 162.0283
280.000000 73.461 162.1853
285.000000 73.362 162.4070
290.000000 73.272 162.3926
295.000000 73.214 162.5188
300.000000 73.138 162.4706
304.000000 73.063 162.6510
307.000000 73.020 162.7689
