* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 12:40:37 19-03-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Oriveti OD200 Silver R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.679 120.9371
1.015000 84.507 120.0521
1.030000 84.328 119.1667
1.044000 84.155 118.3401
1.060000 83.950 117.3950
1.075000 83.751 116.5086
1.090000 83.543 115.6218
1.106000 83.318 114.7063
1.120000 83.139 114.0970
1.138000 82.935 113.5860
1.150000 82.813 113.3905
1.172000 82.609 113.2716
1.180000 82.540 113.2893
1.206000 82.322 113.4925
1.220000 82.204 113.6516
1.241000 82.017 113.8841
1.250000 81.931 113.9626
1.265000 81.777 114.0397
1.280000 81.605 114.0217
1.315000 81.115 113.4289
1.320000 81.032 113.2638
1.340000 80.666 112.3548
1.360000 80.233 110.9908
1.380000 79.724 109.0957
1.400000 79.131 106.5931
1.430000 78.060 101.5336
1.450000 77.212 97.1790
1.475000 75.964 90.4501
1.500000 74.326 81.8735
1.525000 72.322 71.6011
1.550000 70.027 59.9115
1.575000 67.516 47.0831
1.600000 64.864 33.3946
1.625000 62.145 19.1245
1.650000 59.436 4.5514
1.675000 56.810 -10.0464
1.700000 54.342 -24.3903
1.725000 52.108 -38.2015
1.750000 50.183 -51.2018
1.775000 48.642 -63.1125
1.800000 47.558 -73.6551
1.825000 47.009 -82.5512
1.850000 47.058 -89.7884
1.875000 47.682 -95.9221
1.900000 48.804 -101.0840
1.925000 50.349 -105.3828
1.950000 52.240 -108.9268
1.975000 54.401 -111.8247
2.000000 56.756 -114.1850
2.030000 59.730 -116.4604
2.060000 62.743 -118.3054
2.090000 65.662 -119.9075
2.120000 68.355 -121.4542
2.140000 69.960 -122.5472
2.180000 72.539 -125.1315
2.200000 73.330 -126.7302
2.240000 73.422 -129.8550
2.270000 73.582 -131.9222
2.300000 73.802 -133.7883
2.330000 74.065 -135.4856
2.360000 74.355 -137.0464
2.400000 74.757 -138.9712
2.430000 75.047 -140.3393
2.470000 75.391 -142.1244
2.500000 75.593 -143.4758
2.540000 75.761 -145.3558
2.580000 75.805 -147.3812
2.620000 75.812 -149.4714
2.650000 75.787 -151.0505
2.690000 75.712 -153.1495
2.720000 75.624 -154.7041
2.760000 75.463 -156.7288
2.800000 75.251 -158.6739
2.850000 74.911 -160.9518
2.900000 74.485 -163.0100
2.950000 73.964 -164.9292
3.000000 73.310 -167.6646
3.040000 72.702 -170.2382
3.070000 72.207 -172.1767
3.110000 71.508 -174.5075
3.150000 70.779 -176.2459
3.200000 69.849 -177.0830
3.250000 68.929 -175.8341
3.300000 68.048 -171.8501
3.350000 67.045 -164.0551
3.400000 65.874 -152.8349
3.450000 64.654 -139.4228
3.500000 63.502 -125.0524
3.550000 62.537 -110.9570
3.600000 61.878 -98.3703
3.650000 61.644 -88.5255
3.700000 61.964 -81.8863
3.750000 62.838 -77.0671
3.820000 64.686 -72.7127
3.870000 66.230 -70.9128
3.950000 68.637 -69.4912
4.000000 69.847 -69.0569
4.060000 70.802 -68.7627
4.120000 71.476 -69.6366
4.180000 71.961 -71.4935
4.250000 72.344 -74.3888
4.310000 72.564 -77.0548
4.370000 72.729 -79.4847
4.440000 72.877 -81.8182
4.500000 72.910 -83.9171
4.550000 72.873 -85.6985
4.620000 72.733 -88.1097
4.680000 72.538 -89.9768
4.750000 72.237 -91.7629
4.820000 71.839 -93.2829
4.870000 71.478 -94.4006
4.940000 70.894 -95.7300
5.000000 70.346 -96.3947
5.080000 69.590 -96.1696
5.150000 68.932 -94.5273
5.220000 68.142 -91.3726
5.300000 67.156 -86.3936
5.380000 66.259 -80.5688
5.450000 65.694 -75.2863
5.520000 65.460 -70.1404
5.600000 65.593 -63.3100
5.700000 66.142 -54.2309
5.800000 66.838 -46.4802
5.900000 67.435 -41.9935
6.000000 68.102 -40.6063
6.080000 68.650 -40.9133
6.150000 69.073 -41.7288
6.220000 69.390 -42.6557
6.300000 69.612 -43.9633
6.400000 69.751 -46.4672
6.500000 69.750 -49.4251
6.600000 69.621 -52.2876
6.700000 69.354 -55.1886
6.800000 68.952 -58.2093
6.900000 68.439 -60.9791
7.000000 67.825 -63.2091
7.100000 67.063 -65.2090
7.200000 66.214 -66.7480
7.300000 65.362 -67.4388
7.400000 64.511 -66.8950
7.500000 63.596 -65.2322
7.620000 62.618 -62.5750
7.750000 61.968 -59.6563
7.880000 61.710 -55.9125
8.000000 61.692 -53.2648
8.120000 61.815 -53.0304
8.250000 62.181 -55.0478
8.380000 62.626 -58.6169
8.500000 62.973 -62.9786
8.620000 63.315 -68.6923
8.750000 63.672 -75.3734
8.850000 63.925 -80.3082
9.000000 64.279 -87.9759
9.120000 64.539 -93.7402
9.250000 64.794 -99.1371
9.380000 65.022 -103.9087
9.500000 65.224 -107.5691
9.620000 65.418 -110.3519
9.750000 65.617 -112.4837
9.880000 65.841 -113.9195
10.000000 66.085 -114.6028
10.150000 66.424 -114.6582
10.300000 66.811 -114.4691
10.440000 67.226 -114.0283
10.600000 67.720 -113.4264
10.750000 68.174 -113.0327
10.900000 68.624 -112.6902
11.060000 69.059 -112.3486
11.200000 69.402 -112.0872
11.380000 69.803 -111.6719
11.500000 70.041 -111.3086
11.720000 70.435 -110.5337
11.800000 70.571 -110.2162
12.060000 70.980 -109.1068
12.200000 71.183 -108.5699
12.410000 71.460 -107.8365
12.500000 71.563 -107.5700
12.650000 71.714 -107.1998
12.800000 71.837 -106.8566
13.150000 71.999 -106.0325
13.200000 72.013 -105.8876
13.400000 72.038 -105.2176
13.600000 72.052 -104.4494
13.800000 72.063 -103.5664
14.000000 72.086 -102.7771
14.300000 72.138 -101.8869
14.500000 72.171 -101.6704
14.750000 72.182 -101.7768
15.000000 72.149 -102.2566
15.250000 72.066 -102.8931
15.500000 71.962 -103.5541
15.750000 71.858 -104.1971
16.000000 71.791 -104.8532
16.250000 71.772 -105.6994
16.500000 71.800 -106.8075
16.750000 71.862 -108.2673
17.000000 71.933 -109.9615
17.250000 72.010 -111.7749
17.500000 72.087 -113.5468
17.750000 72.179 -115.1232
18.000000 72.293 -116.4874
18.250000 72.440 -117.6283
18.500000 72.618 -118.6301
18.750000 72.817 -119.5268
19.000000 73.026 -120.3491
19.250000 73.231 -121.0767
19.500000 73.427 -121.6801
19.750000 73.611 -122.1408
20.000000 73.786 -122.4581
20.299999 73.983 -122.7016
20.600000 74.164 -122.8459
20.900000 74.322 -122.9330
21.200001 74.452 -122.9662
21.400000 74.524 -122.9473
21.799999 74.642 -122.8315
22.000000 74.692 -122.7636
22.400000 74.780 -122.7084
22.700001 74.831 -122.8094
23.000000 74.860 -123.0462
23.299999 74.867 -123.3669
23.600000 74.859 -123.7250
24.000000 74.844 -124.2374
24.299999 74.844 -124.6930
24.700001 74.864 -125.4869
25.000000 74.888 -126.2418
25.400000 74.922 -127.3899
25.799999 74.962 -128.5500
26.200001 75.024 -129.6245
26.500000 75.090 -130.3804
26.900000 75.204 -131.3604
27.200001 75.299 -132.0813
27.600000 75.429 -132.9895
28.000000 75.555 -133.7791
28.500000 75.705 -134.5662
29.000000 75.842 -135.1598
29.500000 75.960 -135.5818
30.000000 76.065 -135.8757
30.400000 76.140 -136.1003
30.700001 76.189 -136.3063
31.100000 76.237 -136.6398
31.500000 76.264 -136.9994
32.000000 76.280 -137.4218
32.500000 76.301 -137.8615
33.000000 76.332 -138.4525
33.500000 76.362 -139.2199
34.000000 76.384 -140.0452
34.500000 76.411 -140.8238
35.000000 76.456 -141.5605
35.500000 76.519 -142.2992
36.000000 76.589 -143.0425
36.500000 76.658 -143.7593
37.000000 76.721 -144.4089
37.500000 76.778 -144.9600
38.200001 76.856 -145.6021
38.700001 76.909 -146.0623
39.500000 76.961 -146.8179
40.000000 76.978 -147.1869
40.599998 77.016 -147.5675
41.200001 77.074 -148.1329
41.799999 77.114 -148.9257
42.500000 77.122 -149.7800
43.099998 77.139 -150.2772
43.700001 77.193 -150.7944
44.400002 77.253 -151.6261
45.000000 77.267 -152.2818
45.500000 77.276 -152.5928
46.200001 77.333 -152.8906
46.799999 77.407 -153.3916
47.500000 77.453 -154.2111
48.200001 77.463 -154.9425
48.700001 77.468 -155.4151
49.400002 77.470 -156.1012
50.000000 77.465 -156.6597
50.799999 77.455 -157.3800
51.500000 77.425 -157.9211
52.200001 77.401 -158.0806
53.000000 77.467 -158.1174
53.799999 77.574 -158.7522
54.500000 77.611 -159.5998
55.200001 77.604 -160.2975
56.000000 77.592 -160.8231
57.000000 77.623 -161.4169
58.000000 77.646 -162.2911
59.000000 77.645 -162.9074
60.000000 77.686 -163.5878
60.799999 77.681 -164.2180
61.500000 77.672 -164.5306
62.200001 77.689 -164.8475
63.000000 77.697 -165.3859
64.000000 77.682 -165.9119
65.000000 77.692 -166.4457
66.000000 77.693 -167.0574
67.000000 77.702 -167.6402
68.000000 77.705 -168.2617
69.000000 77.710 -168.8155
70.000000 77.707 -169.3960
71.000000 77.698 -169.8770
72.000000 77.694 -170.3736
73.000000 77.685 -170.8427
74.000000 77.686 -171.3296
75.000000 77.676 -171.8366
76.199997 77.670 -172.3181
77.500000 77.665 -172.9444
78.800003 77.646 -173.4687
80.000000 77.642 -173.9831
81.199997 77.633 -174.6147
82.500000 77.608 -175.2488
83.800003 77.590 -175.8044
85.000000 77.578 -176.2485
86.199997 77.570 -176.7343
87.500000 77.543 -177.2386
88.500000 77.525 -177.5648
90.000000 77.498 -178.1029
91.199997 77.479 -178.5254
92.500000 77.451 -178.9639
93.800003 77.439 -179.3743
95.000000 77.414 -179.8355
96.199997 77.385 179.7726
97.500000 77.356 179.3795
98.800003 77.324 178.9734
100.000000 77.304 178.7380
101.500000 77.282 178.1308
103.000000 77.242 177.7926
104.400002 77.203 177.2745
106.000000 77.172 176.9444
107.500000 77.137 176.5487
109.000000 77.108 176.1780
110.599998 77.064 175.8732
112.000000 77.033 175.6230
113.800003 76.989 175.2482
115.000000 76.973 175.0551
117.199997 76.939 174.7178
118.000000 76.936 174.4934
120.599998 76.895 173.8903
122.000000 76.874 173.6075
124.099998 76.840 173.0803
125.000000 76.827 172.9062
126.500000 76.791 172.5460
128.000000 76.746 172.3074
131.500000 76.677 171.4991
132.000000 76.668 171.3967
134.000000 76.620 171.0277
136.000000 76.575 170.6963
138.000000 76.519 170.3645
140.000000 76.485 169.9862
143.000000 76.405 169.5573
145.000000 76.351 169.2564
147.500000 76.290 168.9444
150.000000 76.204 168.6422
152.500000 76.150 168.2738
155.000000 76.091 168.0099
157.500000 76.038 167.8062
160.000000 75.974 167.5218
162.500000 75.907 167.3439
165.000000 75.845 167.1465
167.500000 75.795 166.9435
170.000000 75.739 166.7472
172.500000 75.695 166.6271
175.000000 75.633 166.5185
177.500000 75.588 166.3880
180.000000 75.546 166.2448
182.500000 75.499 166.0604
185.000000 75.472 165.9781
187.500000 75.430 165.7064
190.000000 75.368 165.5508
192.500000 75.333 165.4336
195.000000 75.284 165.2029
197.500000 75.253 165.0623
200.000000 75.171 164.8665
203.000000 75.130 164.6516
206.000000 75.070 164.4412
209.000000 75.013 164.3059
212.000000 74.947 164.1990
214.000000 74.905 164.1002
218.000000 74.818 163.9579
220.000000 74.802 163.8389
224.000000 74.707 163.7299
227.000000 74.657 163.6168
230.000000 74.576 163.5023
233.000000 74.528 163.5624
236.000000 74.469 163.3998
240.000000 74.391 163.3167
243.000000 74.327 163.3672
247.000000 74.261 163.2676
250.000000 74.191 163.1193
254.000000 74.123 163.1373
258.000000 74.057 163.1634
262.000000 73.988 163.1692
265.000000 73.919 163.2048
269.000000 73.857 163.2121
272.000000 73.800 163.2193
276.000000 73.733 163.3140
280.000000 73.670 163.3189
285.000000 73.586 163.4514
290.000000 73.503 163.4850
295.000000 73.417 163.5118
300.000000 73.347 163.6146
304.000000 73.278 163.6563
307.000000 73.239 163.8546
