* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 18:05:25 18-04-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: P1 Max 2 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.015 121.4418
1.015000 83.825 120.5156
1.030000 83.628 119.5799
1.044000 83.436 118.6975
1.060000 83.207 117.6773
1.075000 82.983 116.7088
1.090000 82.750 115.7278
1.106000 82.489 114.6926
1.120000 82.250 113.9346
1.138000 81.928 113.1716
1.150000 81.706 112.7747
1.172000 81.281 112.2293
1.180000 81.122 112.0765
1.206000 80.588 111.6838
1.220000 80.291 111.5035
1.241000 79.834 111.2164
1.250000 79.635 111.0719
1.265000 79.298 110.7817
1.280000 78.956 110.4071
1.315000 78.144 109.0585
1.320000 78.026 108.7974
1.340000 77.553 107.5437
1.360000 77.077 105.9083
1.380000 76.600 103.8295
1.400000 76.123 101.2454
1.430000 75.410 96.2869
1.450000 74.940 92.1696
1.475000 74.351 85.9583
1.500000 73.691 78.1888
1.525000 72.961 68.9855
1.550000 72.179 58.5855
1.575000 71.365 47.2257
1.600000 70.537 35.1433
1.625000 69.714 22.5753
1.650000 68.917 9.7586
1.675000 68.163 -3.0697
1.700000 67.471 -15.6726
1.725000 66.862 -27.8129
1.750000 66.354 -39.2537
1.775000 65.966 -49.7580
1.800000 65.717 -59.0887
1.825000 65.627 -67.0089
1.850000 65.720 -73.5107
1.875000 66.008 -79.0718
1.900000 66.467 -83.8028
1.925000 67.070 -87.7940
1.950000 67.790 -91.1359
1.975000 68.603 -93.9188
2.000000 69.482 -96.2332
2.030000 70.587 -98.5192
2.060000 71.705 -100.4168
2.090000 72.790 -102.0822
2.120000 73.798 -103.6717
2.140000 74.404 -104.7662
2.180000 75.401 -107.2474
2.200000 75.765 -108.7236
2.240000 76.330 -111.5909
2.270000 76.661 -113.4900
2.300000 76.923 -115.1988
2.330000 77.124 -116.7399
2.360000 77.272 -118.1360
2.400000 77.405 -119.8110
2.430000 77.466 -120.9569
2.470000 77.513 -122.3805
2.500000 77.533 -123.3994
2.540000 77.558 -124.7361
2.580000 77.592 -126.0905
2.620000 77.586 -127.4320
2.650000 77.552 -128.4044
2.690000 77.470 -129.6297
2.720000 77.386 -130.4770
2.760000 77.249 -131.4847
2.800000 77.089 -132.3226
2.850000 76.867 -133.0807
2.900000 76.633 -133.4570
2.950000 76.390 -133.3957
3.000000 76.082 -132.9398
3.040000 75.795 -132.3186
3.070000 75.566 -131.7119
3.110000 75.254 -130.7264
3.150000 74.951 -129.5517
3.200000 74.606 -127.8378
3.250000 74.327 -125.8763
3.300000 74.144 -123.6917
3.350000 74.046 -120.9891
3.400000 74.005 -117.7077
3.450000 74.017 -114.0808
3.500000 74.076 -110.3416
3.550000 74.177 -106.7236
3.600000 74.314 -103.4601
3.650000 74.483 -100.7843
3.700000 74.697 -98.7690
3.750000 74.987 -97.1285
3.820000 75.477 -95.3783
3.870000 75.856 -94.4757
3.950000 76.446 -93.5464
4.000000 76.768 -93.2383
4.060000 77.080 -93.1423
4.120000 77.360 -93.5279
4.180000 77.612 -94.3104
4.250000 77.867 -95.5557
4.310000 78.047 -96.7627
4.370000 78.186 -97.9646
4.440000 78.294 -99.3112
4.500000 78.339 -100.6216
4.550000 78.347 -101.7887
4.620000 78.318 -103.4531
4.680000 78.260 -104.8299
4.750000 78.160 -106.2766
4.820000 78.017 -107.5693
4.870000 77.881 -108.4802
4.940000 77.657 -109.6771
5.000000 77.442 -110.5732
5.080000 77.141 -111.4863
5.150000 76.877 -111.9365
5.220000 76.580 -112.0779
5.300000 76.212 -111.9235
5.380000 75.853 -111.4848
5.450000 75.576 -110.9109
5.520000 75.357 -110.1700
5.600000 75.150 -108.8836
5.700000 74.952 -106.9007
5.800000 74.832 -105.0322
5.900000 74.808 -103.7663
6.000000 74.906 -102.8230
6.080000 75.039 -102.3197
6.150000 75.168 -102.1452
6.220000 75.285 -102.2867
6.300000 75.412 -102.8992
6.400000 75.589 -104.2447
6.500000 75.753 -106.0358
6.600000 75.872 -108.0610
6.700000 75.942 -110.4182
6.800000 75.976 -113.1051
6.900000 75.975 -115.8847
7.000000 75.938 -118.5652
7.100000 75.856 -121.3122
7.200000 75.742 -124.0313
7.300000 75.615 -126.5450
7.400000 75.477 -128.7672
7.500000 75.314 -130.7994
7.620000 75.123 -132.9145
7.750000 74.965 -134.6884
7.880000 74.836 -135.8881
8.000000 74.767 -136.6887
8.120000 74.775 -137.3410
8.250000 74.867 -137.7439
8.380000 75.019 -138.1141
8.500000 75.204 -138.6567
8.620000 75.444 -139.2938
8.750000 75.722 -140.1161
8.850000 75.926 -140.8814
9.000000 76.238 -142.2536
9.120000 76.473 -143.4065
9.250000 76.693 -144.6304
9.380000 76.886 -145.8790
9.500000 77.043 -146.9354
9.620000 77.178 -147.8372
9.750000 77.299 -148.6876
9.880000 77.409 -149.3773
10.000000 77.505 -149.8405
10.150000 77.614 -150.2226
10.300000 77.725 -150.4809
10.440000 77.834 -150.5883
10.600000 77.958 -150.6421
10.750000 78.074 -150.7006
10.900000 78.188 -150.7439
11.060000 78.296 -150.8171
11.200000 78.380 -150.9058
11.380000 78.468 -151.0129
11.500000 78.513 -151.0764
11.720000 78.573 -151.1619
11.800000 78.588 -151.1727
12.060000 78.616 -151.1583
12.200000 78.623 -151.1366
12.410000 78.623 -151.0969
12.500000 78.619 -151.0970
12.650000 78.608 -151.1149
12.800000 78.590 -151.1574
13.150000 78.513 -151.3677
13.200000 78.499 -151.4021
13.400000 78.433 -151.5484
13.600000 78.364 -151.7002
13.800000 78.294 -151.8439
14.000000 78.234 -152.0405
14.300000 78.166 -152.4816
14.500000 78.136 -152.9607
14.750000 78.103 -153.7874
15.000000 78.069 -154.8607
15.250000 78.022 -156.0883
15.500000 77.967 -157.3457
15.750000 77.911 -158.5643
16.000000 77.869 -159.6680
16.250000 77.855 -160.6946
16.500000 77.870 -161.6755
16.750000 77.913 -162.6736
17.000000 77.969 -163.6947
17.250000 78.029 -164.7046
17.500000 78.085 -165.6487
17.750000 78.138 -166.4377
18.000000 78.191 -167.0582
18.250000 78.252 -167.4973
18.500000 78.325 -167.8240
18.750000 78.405 -168.0894
19.000000 78.488 -168.3400
19.250000 78.562 -168.5970
19.500000 78.622 -168.8339
19.750000 78.664 -169.0315
20.000000 78.692 -169.1569
20.299999 78.712 -169.2325
20.600000 78.723 -169.2672
20.900000 78.725 -169.3197
21.200001 78.712 -169.4314
21.400000 78.692 -169.5305
21.799999 78.630 -169.7450
22.000000 78.591 -169.8471
22.400000 78.515 -170.0508
22.700001 78.467 -170.2688
23.000000 78.427 -170.6163
23.299999 78.387 -171.1104
23.600000 78.343 -171.7151
24.000000 78.276 -172.5931
24.299999 78.229 -173.2305
24.700001 78.185 -174.0221
25.000000 78.173 -174.5993
25.400000 78.184 -175.3949
25.799999 78.213 -176.2246
26.200001 78.247 -177.0300
26.500000 78.272 -177.5726
26.900000 78.306 -178.1762
27.200001 78.332 -178.5303
27.600000 78.370 -178.8806
28.000000 78.410 -179.1312
28.500000 78.459 -179.4000
29.000000 78.487 -179.7002
29.500000 78.480 -179.9927
30.000000 78.441 179.8278
30.400000 78.406 179.7596
30.700001 78.385 179.6996
31.100000 78.359 179.5266
31.500000 78.330 179.2192
32.000000 78.278 178.7084
32.500000 78.216 178.1684
33.000000 78.160 177.6370
33.500000 78.119 177.0865
34.000000 78.090 176.5182
34.500000 78.070 175.9690
35.000000 78.062 175.4590
35.500000 78.061 174.9926
36.000000 78.065 174.5756
36.500000 78.072 174.2037
37.000000 78.076 173.8557
37.500000 78.073 173.5234
38.200001 78.053 173.1022
38.700001 78.029 172.8270
39.500000 77.975 172.4265
40.000000 77.941 172.2214
40.599998 77.913 171.9518
41.200001 77.891 171.5371
41.799999 77.854 171.0493
42.500000 77.804 170.6081
43.099998 77.782 170.2841
43.700001 77.766 169.8605
44.400002 77.726 169.3511
45.000000 77.684 169.0596
45.500000 77.659 168.8781
46.200001 77.633 168.5731
46.799999 77.606 168.2502
47.500000 77.564 167.8871
48.200001 77.523 167.5609
48.700001 77.496 167.3344
49.400002 77.462 167.0284
50.000000 77.440 166.7778
50.799999 77.421 166.3734
51.500000 77.393 165.9327
52.200001 77.346 165.5462
53.000000 77.288 165.2426
53.799999 77.239 164.9969
54.500000 77.207 164.7470
55.200001 77.173 164.3829
56.000000 77.114 163.9666
57.000000 77.060 163.6574
58.000000 77.032 163.1436
59.000000 76.964 162.7346
60.000000 76.925 162.6195
60.799999 76.907 162.3745
61.500000 76.865 162.1009
62.200001 76.807 161.9657
63.000000 76.761 161.8835
64.000000 76.705 161.5232
65.000000 76.621 161.2557
66.000000 76.569 161.0659
67.000000 76.527 160.8590
68.000000 76.518 160.5536
69.000000 76.456 160.0717
70.000000 76.385 160.1288
71.000000 76.383 160.0406
72.000000 76.349 159.6344
73.000000 76.283 159.2682
74.000000 76.206 159.0898
75.000000 76.170 158.9417
76.199997 76.101 158.5574
77.500000 76.048 158.3972
78.800003 75.985 158.0044
80.000000 75.917 157.8221
81.199997 75.852 157.7509
82.500000 75.810 157.7094
83.800003 75.762 157.4941
85.000000 75.686 157.3661
86.199997 75.642 157.2739
87.500000 75.558 156.9748
88.500000 75.532 156.9944
90.000000 75.481 156.3120
91.199997 75.417 156.2763
92.500000 75.381 155.9951
93.800003 75.320 155.9044
95.000000 75.264 155.7261
96.199997 75.196 155.7505
97.500000 75.158 155.5582
98.800003 75.075 155.4865
100.000000 75.054 155.3408
101.500000 74.961 155.1488
103.000000 74.903 154.9840
104.400002 74.849 154.8204
106.000000 74.750 154.6548
107.500000 74.703 154.5185
109.000000 74.625 154.5029
110.599998 74.556 154.4675
112.000000 74.501 154.3815
113.800003 74.403 154.4196
115.000000 74.383 154.3786
117.199997 74.268 154.1021
118.000000 74.238 154.1586
120.599998 74.137 153.8556
122.000000 74.094 153.8434
124.099998 73.993 153.7654
125.000000 73.974 153.8148
126.500000 73.922 153.6439
128.000000 73.853 153.6069
131.500000 73.711 153.5356
132.000000 73.689 153.5216
134.000000 73.612 153.5994
136.000000 73.528 153.6514
138.000000 73.458 153.5703
140.000000 73.362 153.6877
143.000000 73.254 153.6924
145.000000 73.166 153.6460
147.500000 73.086 153.7754
150.000000 73.012 154.0720
152.500000 72.884 154.2999
155.000000 72.784 154.5496
157.500000 72.688 154.9506
160.000000 72.637 155.3466
162.500000 72.571 155.6571
165.000000 72.527 156.0024
167.500000 72.514 156.1326
170.000000 72.481 156.3345
172.500000 72.415 156.2471
175.000000 72.385 156.3511
177.500000 72.325 156.2156
180.000000 72.275 156.3571
182.500000 72.211 156.5877
185.000000 72.151 156.6012
187.500000 72.090 156.7570
190.000000 72.022 156.8726
192.500000 71.958 157.0359
195.000000 71.906 157.0135
197.500000 71.862 157.4816
200.000000 71.784 157.3881
203.000000 71.744 157.6971
206.000000 71.721 157.9221
209.000000 71.666 158.0562
212.000000 71.602 158.0822
214.000000 71.554 158.1566
218.000000 71.465 158.2712
220.000000 71.424 158.5871
224.000000 71.319 158.8061
227.000000 71.250 158.9331
230.000000 71.226 159.2004
233.000000 71.151 159.3593
236.000000 71.095 159.6097
240.000000 71.034 159.9193
243.000000 70.960 160.0723
247.000000 70.905 160.4471
250.000000 70.906 160.8557
254.000000 70.751 161.0621
258.000000 70.707 161.3865
262.000000 70.632 161.6642
265.000000 70.569 161.8611
269.000000 70.551 162.2586
272.000000 70.508 162.4595
276.000000 70.435 162.9204
280.000000 70.358 163.2701
285.000000 70.319 163.8817
290.000000 70.247 164.1975
295.000000 70.168 164.7090
300.000000 70.127 165.1921
304.000000 70.067 165.6181
307.000000 70.030 165.9039
311.000000 69.955 166.2390
315.000000 69.934 166.5736
320.000000 69.872 167.0851
325.000000 69.813 167.6710
330.000000 69.766 168.1116
335.000000 69.728 168.6418
