* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 18:13:58 18-04-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: P1 Max 2 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.482 122.0691
1.015000 84.304 121.1838
1.030000 84.119 120.2950
1.044000 83.940 119.4620
1.060000 83.727 118.5057
1.075000 83.519 117.6046
1.090000 83.303 116.6988
1.106000 83.065 115.7538
1.120000 82.858 115.0873
1.138000 82.596 114.4588
1.150000 82.422 114.1613
1.172000 82.102 113.8153
1.180000 81.986 113.7400
1.206000 81.600 113.6140
1.220000 81.387 113.5852
1.241000 81.058 113.5327
1.250000 80.912 113.4907
1.265000 80.662 113.3728
1.280000 80.403 113.1714
1.315000 79.753 112.2229
1.320000 79.654 112.0178
1.340000 79.243 110.9832
1.360000 78.803 109.5569
1.380000 78.331 107.6742
1.400000 77.824 105.2700
1.430000 76.992 100.5444
1.450000 76.384 96.5531
1.475000 75.548 90.4661
1.500000 74.516 82.8220
1.525000 73.299 73.7495
1.550000 71.937 63.4793
1.575000 70.469 52.2422
1.600000 68.937 40.2691
1.625000 67.380 27.7908
1.650000 65.839 15.0381
1.675000 64.355 2.2418
1.700000 62.966 -10.3675
1.725000 61.714 -22.5586
1.750000 60.639 -34.1010
1.775000 59.781 -44.7638
1.800000 59.180 -54.3161
1.825000 58.877 -62.5274
1.850000 58.910 -69.4116
1.875000 59.273 -75.4772
1.900000 59.923 -80.8180
1.925000 60.817 -85.5055
1.950000 61.911 -89.6115
1.975000 63.161 -93.2076
2.000000 64.524 -96.3655
2.030000 66.247 -99.6774
2.060000 67.996 -102.5853
2.090000 69.694 -105.2129
2.120000 71.266 -107.6841
2.140000 72.207 -109.3059
2.180000 73.733 -112.6528
2.200000 74.274 -114.4485
2.240000 75.085 -117.7641
2.270000 75.539 -119.8677
2.300000 75.879 -121.6876
2.330000 76.120 -123.2641
2.360000 76.278 -124.6373
2.400000 76.388 -126.2219
2.430000 76.414 -127.2776
2.470000 76.405 -128.5848
2.500000 76.385 -129.5421
2.540000 76.372 -130.8642
2.580000 76.396 -132.3132
2.620000 76.384 -133.8239
2.650000 76.341 -134.9542
2.690000 76.241 -136.4150
2.720000 76.139 -137.4471
2.760000 75.968 -138.6957
2.800000 75.765 -139.7502
2.850000 75.473 -140.7144
2.900000 75.148 -141.1888
2.950000 74.789 -141.0978
3.000000 74.315 -140.6140
3.040000 73.867 -139.9626
3.070000 73.507 -139.3094
3.110000 73.016 -138.2054
3.150000 72.535 -136.8204
3.200000 71.986 -134.6691
3.250000 71.542 -132.0213
3.300000 71.252 -128.8418
3.350000 71.096 -124.6508
3.400000 71.031 -119.4108
3.450000 71.048 -113.5406
3.500000 71.139 -107.4586
3.550000 71.292 -101.5836
3.600000 71.501 -96.3343
3.650000 71.755 -92.1291
3.700000 72.075 -89.1302
3.750000 72.512 -86.8747
3.820000 73.252 -84.7269
3.870000 73.823 -83.7684
3.950000 74.703 -82.9361
4.000000 75.175 -82.6872
4.060000 75.618 -82.5869
4.120000 75.995 -83.0709
4.180000 76.319 -84.0470
4.250000 76.636 -85.5771
4.310000 76.856 -87.0261
4.370000 77.031 -88.4194
4.440000 77.178 -89.8966
4.500000 77.245 -91.2952
4.550000 77.265 -92.5204
4.620000 77.243 -94.2371
4.680000 77.188 -95.6265
4.750000 77.088 -97.0438
4.820000 76.944 -98.2589
4.870000 76.802 -99.0889
4.940000 76.566 -100.1362
5.000000 76.340 -100.8692
5.080000 76.027 -101.5125
5.150000 75.759 -101.6732
5.220000 75.459 -101.4446
5.300000 75.090 -100.7958
5.380000 74.735 -99.8368
5.450000 74.471 -98.8279
5.520000 74.278 -97.7000
5.600000 74.118 -95.9730
5.700000 73.994 -93.4630
5.800000 73.949 -91.1630
5.900000 73.985 -89.6356
6.000000 74.138 -88.6202
6.080000 74.310 -88.1400
6.150000 74.464 -88.0036
6.220000 74.597 -88.1662
6.300000 74.726 -88.7908
6.400000 74.888 -90.1756
6.500000 75.024 -91.9916
6.600000 75.106 -93.9832
6.700000 75.129 -96.2453
6.800000 75.107 -98.7922
6.900000 75.045 -101.3850
7.000000 74.950 -103.8290
7.100000 74.806 -106.2810
7.200000 74.632 -108.6618
7.300000 74.454 -110.8131
7.400000 74.278 -112.6418
7.500000 74.085 -114.2294
7.620000 73.876 -115.8325
7.750000 73.730 -117.1755
7.880000 73.650 -118.0147
8.000000 73.642 -118.6262
8.120000 73.719 -119.3262
8.250000 73.901 -120.0326
8.380000 74.140 -120.8749
8.500000 74.384 -121.9603
8.620000 74.670 -123.2860
8.750000 74.984 -124.8867
8.850000 75.203 -126.2004
9.000000 75.518 -128.3847
9.120000 75.746 -130.1272
9.250000 75.954 -131.8833
9.380000 76.127 -133.5767
9.500000 76.266 -134.9648
9.620000 76.386 -136.1145
9.750000 76.493 -137.1429
9.880000 76.595 -137.9475
10.000000 76.691 -138.4623
10.150000 76.809 -138.8380
10.300000 76.940 -139.0751
10.440000 77.077 -139.1441
10.600000 77.242 -139.1563
10.750000 77.402 -139.2065
10.900000 77.564 -139.2596
11.060000 77.721 -139.3630
11.200000 77.848 -139.4975
11.380000 77.991 -139.6688
11.500000 78.070 -139.7755
11.720000 78.189 -139.9372
11.800000 78.226 -139.9712
12.060000 78.322 -140.0216
12.200000 78.365 -140.0315
12.410000 78.420 -140.0381
12.500000 78.440 -140.0628
12.650000 78.468 -140.1258
12.800000 78.487 -140.2230
13.150000 78.492 -140.6098
13.200000 78.488 -140.6738
13.400000 78.460 -140.9529
13.600000 78.421 -141.2427
13.800000 78.373 -141.5263
14.000000 78.328 -141.8412
14.300000 78.268 -142.4056
14.500000 78.237 -142.9133
14.750000 78.201 -143.7238
15.000000 78.166 -144.7314
15.250000 78.121 -145.8748
15.500000 78.073 -147.0586
15.750000 78.028 -148.2306
16.000000 77.998 -149.3316
16.250000 77.994 -150.3930
16.500000 78.019 -151.4403
16.750000 78.070 -152.5241
17.000000 78.136 -153.6474
17.250000 78.208 -154.7795
17.500000 78.279 -155.8731
17.750000 78.347 -156.8461
18.000000 78.415 -157.6779
18.250000 78.486 -158.3474
18.500000 78.566 -158.8931
18.750000 78.650 -159.3515
19.000000 78.738 -159.7565
19.250000 78.819 -160.1332
19.500000 78.892 -160.4728
19.750000 78.951 -160.7695
20.000000 78.999 -161.0090
20.299999 79.042 -161.2338
20.600000 79.072 -161.4140
20.900000 79.090 -161.5822
21.200001 79.093 -161.7629
21.400000 79.087 -161.8903
21.799999 79.059 -162.1587
22.000000 79.039 -162.3050
22.400000 78.997 -162.6533
22.700001 78.964 -163.0041
23.000000 78.929 -163.4575
23.299999 78.888 -163.9978
23.600000 78.844 -164.5905
24.000000 78.787 -165.4095
24.299999 78.754 -166.0305
24.700001 78.730 -166.8915
25.000000 78.727 -167.5826
25.400000 78.733 -168.5529
25.799999 78.746 -169.5058
26.200001 78.764 -170.3593
26.500000 78.785 -170.9172
26.900000 78.823 -171.5677
27.200001 78.855 -172.0030
27.600000 78.899 -172.5201
28.000000 78.937 -172.9568
28.500000 78.977 -173.4036
29.000000 79.003 -173.8002
29.500000 79.006 -174.1745
30.000000 78.986 -174.4951
30.400000 78.962 -174.7158
30.700001 78.944 -174.8902
31.100000 78.920 -175.1844
31.500000 78.892 -175.5674
32.000000 78.845 -176.1298
32.500000 78.794 -176.7118
33.000000 78.752 -177.2960
33.500000 78.725 -177.9151
34.000000 78.709 -178.5748
34.500000 78.699 -179.2349
35.000000 78.693 -179.8516
35.500000 78.694 179.5959
36.000000 78.699 179.0977
36.500000 78.705 178.6292
37.000000 78.704 178.1877
37.500000 78.690 177.8085
38.200001 78.664 177.4117
38.700001 78.649 177.1469
39.500000 78.616 176.5950
40.000000 78.581 176.2217
40.599998 78.536 175.8089
41.200001 78.499 175.3900
41.799999 78.466 174.9288
42.500000 78.430 174.3865
43.099998 78.405 173.9471
43.700001 78.386 173.5110
44.400002 78.364 172.9894
45.000000 78.336 172.5649
45.500000 78.309 172.2773
46.200001 78.281 171.9373
46.799999 78.261 171.5551
47.500000 78.206 171.0792
48.200001 78.143 170.9282
48.700001 78.141 170.9080
49.400002 78.178 170.4550
50.000000 78.162 169.7119
50.799999 78.062 169.0985
51.500000 78.012 169.0253
52.200001 78.010 168.7817
53.000000 77.981 168.2792
53.799999 77.935 167.9128
54.500000 77.904 167.5708
55.200001 77.862 167.1662
56.000000 77.806 166.8150
57.000000 77.765 166.3829
58.000000 77.721 165.8341
59.000000 77.676 165.3701
60.000000 77.630 164.8928
60.799999 77.581 164.5880
61.500000 77.544 164.3880
62.200001 77.513 164.1566
63.000000 77.469 163.8207
64.000000 77.403 163.4708
65.000000 77.356 163.1010
66.000000 77.291 162.6400
67.000000 77.232 162.4199
68.000000 77.203 162.0817
69.000000 77.150 161.6740
70.000000 77.084 161.3622
71.000000 77.023 161.1888
72.000000 76.991 160.9109
73.000000 76.930 160.4819
74.000000 76.867 160.3003
75.000000 76.829 160.0334
76.199997 76.764 159.7278
77.500000 76.696 159.4288
78.800003 76.626 159.1921
80.000000 76.558 158.8954
81.199997 76.500 158.7064
82.500000 76.442 158.3743
83.800003 76.379 158.1012
85.000000 76.306 157.9326
86.199997 76.257 157.7891
87.500000 76.178 157.5047
88.500000 76.126 157.3785
90.000000 76.056 157.0762
91.199997 76.004 156.8446
92.500000 75.939 156.6703
93.800003 75.887 156.5127
95.000000 75.821 156.3934
96.199997 75.762 156.2422
97.500000 75.686 156.1843
98.800003 75.634 155.9117
100.000000 75.546 155.8840
101.500000 75.517 155.7543
103.000000 75.432 155.5316
104.400002 75.370 155.4465
106.000000 75.300 155.2918
107.500000 75.238 155.2053
109.000000 75.167 155.0846
110.599998 75.119 154.9870
112.000000 75.043 154.7910
113.800003 74.969 154.7668
115.000000 74.918 154.7202
117.199997 74.823 154.5305
118.000000 74.783 154.4960
120.599998 74.659 154.3818
122.000000 74.592 154.3316
124.099998 74.497 154.3018
125.000000 74.462 154.3158
126.500000 74.388 154.3181
128.000000 74.317 154.3605
131.500000 74.181 154.6278
132.000000 74.170 154.6961
134.000000 74.115 154.7278
136.000000 74.054 154.9402
138.000000 74.006 154.9880
140.000000 73.953 155.0498
143.000000 73.894 154.9149
145.000000 73.836 154.7908
147.500000 73.766 154.7320
150.000000 73.696 154.4853
152.500000 73.603 154.5995
155.000000 73.519 154.6901
157.500000 73.434 154.8093
160.000000 73.360 154.6906
162.500000 73.273 154.7128
165.000000 73.204 154.8134
167.500000 73.122 154.9699
170.000000 73.048 155.0980
172.500000 72.965 155.1026
175.000000 72.901 155.3407
177.500000 72.821 155.3343
180.000000 72.760 155.5300
182.500000 72.689 155.5905
185.000000 72.616 155.9122
187.500000 72.544 156.0104
190.000000 72.497 156.1642
192.500000 72.422 156.2598
195.000000 72.358 156.3930
197.500000 72.307 156.5381
200.000000 72.250 156.7198
203.000000 72.166 156.8824
206.000000 72.114 157.1931
209.000000 72.027 157.3319
212.000000 71.958 157.6127
214.000000 71.922 157.7550
218.000000 71.828 158.0240
220.000000 71.790 158.2229
224.000000 71.697 158.5267
227.000000 71.634 158.8282
230.000000 71.561 158.9904
233.000000 71.516 159.1574
236.000000 71.460 159.5068
240.000000 71.373 159.9081
243.000000 71.328 160.2307
247.000000 71.251 160.4171
250.000000 71.252 160.9204
254.000000 71.150 161.1613
258.000000 71.081 161.4145
262.000000 71.046 161.8009
265.000000 70.986 162.1374
269.000000 70.928 162.4538
272.000000 70.872 162.6203
276.000000 70.857 163.0811
280.000000 70.785 163.5485
285.000000 70.707 163.9897
290.000000 70.629 164.3197
295.000000 70.585 164.8644
300.000000 70.490 164.9876
304.000000 70.465 165.6092
307.000000 70.437 165.8574
311.000000 70.393 166.3419
315.000000 70.337 166.5378
320.000000 70.290 167.1630
325.000000 70.222 167.5647
330.000000 70.170 168.0803
