* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 16:04:18 13-07-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Penon Fan 2 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 86.117 126.0949
1.015000 85.925 125.3606
1.030000 85.725 124.6378
1.044000 85.531 123.9744
1.060000 85.298 123.2304
1.075000 85.070 122.5474
1.090000 84.832 121.8796
1.106000 84.566 121.1580
1.120000 84.319 120.3752
1.138000 83.985 119.1516
1.150000 83.752 118.2214
1.172000 83.305 116.3299
1.180000 83.137 115.5958
1.206000 82.571 113.1053
1.220000 82.256 111.7339
1.241000 81.772 109.6965
1.250000 81.561 108.8465
1.265000 81.206 107.4822
1.280000 80.846 106.2067
1.315000 79.995 103.7277
1.320000 79.873 103.4451
1.340000 79.384 102.5331
1.360000 78.897 102.0188
1.380000 78.414 101.9664
1.400000 77.937 102.4396
1.430000 77.238 104.2750
1.450000 76.787 106.3423
1.475000 76.235 110.0331
1.500000 75.634 115.3481
1.525000 74.980 122.1584
1.550000 74.290 130.2166
1.575000 73.579 139.2755
1.600000 72.863 149.0877
1.625000 72.158 159.4058
1.650000 71.481 169.9825
1.675000 70.846 -179.4294
1.700000 70.270 -169.0774
1.725000 69.769 -159.2089
1.750000 69.359 -150.0710
1.775000 69.055 -141.9112
1.800000 68.874 -134.9768
1.825000 68.831 -129.5151
1.850000 68.950 -125.5466
1.875000 69.248 -122.5976
1.900000 69.700 -120.5448
1.925000 70.283 -119.2845
1.950000 70.974 -118.7130
1.975000 71.748 -118.7268
2.000000 72.582 -119.2222
2.030000 73.628 -120.3064
2.060000 74.684 -121.7557
2.090000 75.708 -123.3911
2.120000 76.661 -125.0334
2.140000 77.235 -126.0437
2.180000 78.184 -127.6224
2.200000 78.534 -128.0883
2.240000 79.084 -129.0179
2.270000 79.410 -129.9163
2.300000 79.671 -130.9562
2.330000 79.875 -132.1094
2.360000 80.030 -133.3480
2.400000 80.174 -135.0838
2.430000 80.246 -136.4126
2.470000 80.307 -138.1671
2.500000 80.337 -139.4336
2.540000 80.373 -141.0033
2.580000 80.414 -142.4026
2.620000 80.422 -143.8066
2.650000 80.402 -144.8760
2.690000 80.343 -146.2967
2.720000 80.275 -147.3398
2.760000 80.157 -148.6736
2.800000 80.009 -149.9112
2.850000 79.788 -151.2712
2.900000 79.533 -152.3619
2.950000 79.243 -153.1514
3.000000 78.881 -153.8707
3.040000 78.546 -154.3782
3.070000 78.275 -154.6827
3.110000 77.897 -154.9434
3.150000 77.509 -154.9870
3.200000 77.028 -154.6523
3.250000 76.572 -153.7845
3.300000 76.162 -152.2747
3.350000 75.749 -149.9045
3.400000 75.309 -146.7333
3.450000 74.871 -142.9997
3.500000 74.466 -138.9422
3.550000 74.123 -134.7995
3.600000 73.871 -130.8102
3.650000 73.740 -127.2126
3.700000 73.760 -123.9812
3.750000 73.927 -120.6676
3.820000 74.341 -116.0888
3.870000 74.712 -113.0341
3.950000 75.335 -108.8729
4.000000 75.684 -106.9244
4.060000 76.024 -105.4453
4.120000 76.365 -104.8650
4.180000 76.707 -104.9855
4.250000 77.083 -105.7435
4.310000 77.363 -106.6926
4.370000 77.584 -107.7056
4.440000 77.755 -108.8837
4.500000 77.844 -110.2018
4.550000 77.882 -111.4709
4.620000 77.882 -113.3903
4.680000 77.837 -115.0588
4.750000 77.735 -116.8909
4.820000 77.574 -118.6312
4.870000 77.420 -119.9357
4.940000 77.154 -121.7538
5.000000 76.888 -123.2160
5.080000 76.488 -124.8797
5.150000 76.104 -125.9497
5.220000 75.651 -126.8160
5.300000 75.070 -127.5441
5.380000 74.470 -127.8643
5.450000 73.967 -127.7043
5.520000 73.512 -127.0209
5.600000 72.983 -125.4105
5.700000 72.348 -122.5979
5.800000 71.838 -119.5986
5.900000 71.552 -117.0165
6.000000 71.499 -114.2637
6.080000 71.566 -112.1895
6.150000 71.665 -110.7776
6.220000 71.767 -109.9966
6.300000 71.906 -109.9810
6.400000 72.153 -110.9356
6.500000 72.412 -112.6909
6.600000 72.608 -114.9492
6.700000 72.735 -117.8746
6.800000 72.822 -121.4447
6.900000 72.866 -125.2730
7.000000 72.863 -129.0477
7.100000 72.805 -133.0446
7.200000 72.707 -137.1005
7.300000 72.586 -140.9136
7.400000 72.444 -144.3623
7.500000 72.266 -147.6317
7.620000 72.048 -151.0759
7.750000 71.853 -153.8896
7.880000 71.668 -155.7785
8.000000 71.557 -156.8991
8.120000 71.555 -157.2508
8.250000 71.662 -157.1318
8.380000 71.862 -157.0237
8.500000 72.130 -157.0199
8.620000 72.493 -157.0429
8.750000 72.919 -157.0643
8.850000 73.230 -157.2991
9.000000 73.712 -158.1723
9.120000 74.070 -159.0021
9.250000 74.397 -159.9337
9.380000 74.676 -160.9666
9.500000 74.893 -161.8111
9.620000 75.067 -162.4536
9.750000 75.209 -162.9988
9.880000 75.328 -163.3068
10.000000 75.422 -163.3208
10.150000 75.517 -163.0416
10.300000 75.620 -162.5609
10.440000 75.724 -161.8870
10.600000 75.850 -161.0229
10.750000 75.978 -160.2565
10.900000 76.112 -159.4947
11.060000 76.239 -158.7883
11.200000 76.341 -158.2623
11.380000 76.447 -157.6357
11.500000 76.497 -157.2465
11.720000 76.558 -156.5458
11.800000 76.571 -156.2715
12.060000 76.584 -155.3530
12.200000 76.584 -154.8576
12.410000 76.571 -154.1372
12.500000 76.562 -153.8732
12.650000 76.543 -153.4823
12.800000 76.513 -153.1628
13.150000 76.390 -152.7370
13.200000 76.367 -152.6943
13.400000 76.252 -152.5738
13.600000 76.124 -152.4672
13.800000 75.984 -152.3385
14.000000 75.855 -152.2426
14.300000 75.690 -152.2230
14.500000 75.610 -152.4319
14.750000 75.528 -153.0316
15.000000 75.457 -154.0281
15.250000 75.377 -155.3362
15.500000 75.290 -156.7626
15.750000 75.203 -158.1907
16.000000 75.134 -159.4603
16.250000 75.110 -160.5813
16.500000 75.135 -161.5892
16.750000 75.216 -162.5746
17.000000 75.329 -163.5961
17.250000 75.463 -164.6315
17.500000 75.596 -165.6377
17.750000 75.721 -166.4901
18.000000 75.838 -167.1447
18.250000 75.951 -167.5547
18.500000 76.068 -167.7559
18.750000 76.186 -167.8025
19.000000 76.306 -167.7445
19.250000 76.417 -167.6353
19.500000 76.514 -167.4750
19.750000 76.595 -167.2658
20.000000 76.658 -166.9993
20.299999 76.714 -166.6275
20.600000 76.749 -166.2347
20.900000 76.763 -165.8630
21.200001 76.754 -165.5343
21.400000 76.734 -165.3300
21.799999 76.670 -164.9453
22.000000 76.633 -164.7743
22.400000 76.558 -164.5385
22.700001 76.505 -164.5377
23.000000 76.450 -164.7398
23.299999 76.386 -165.1149
23.600000 76.315 -165.5948
24.000000 76.219 -166.2875
24.299999 76.164 -166.8085
24.700001 76.128 -167.5430
25.000000 76.128 -168.1667
25.400000 76.152 -169.0903
25.799999 76.188 -170.0038
26.200001 76.235 -170.7663
26.500000 76.282 -171.2055
26.900000 76.361 -171.6409
27.200001 76.428 -171.8881
27.600000 76.516 -172.1302
28.000000 76.594 -172.2584
28.500000 76.673 -172.2563
29.000000 76.730 -172.1438
29.500000 76.760 -171.9852
30.000000 76.760 -171.7976
30.400000 76.748 -171.6568
30.700001 76.733 -171.5901
31.100000 76.707 -171.5883
31.500000 76.671 -171.6832
32.000000 76.618 -171.8934
32.500000 76.570 -172.1884
33.000000 76.537 -172.6024
33.500000 76.515 -173.1217
34.000000 76.502 -173.6546
34.500000 76.507 -174.1401
35.000000 76.529 -174.5867
35.500000 76.560 -174.9856
36.000000 76.596 -175.2928
36.500000 76.635 -175.5165
37.000000 76.672 -175.7165
37.500000 76.691 -175.8854
38.200001 76.691 -175.9244
38.700001 76.696 -175.8483
39.500000 76.711 -175.9398
40.000000 76.700 -176.1301
40.599998 76.669 -176.3049
41.200001 76.656 -176.4306
41.799999 76.665 -176.7001
42.500000 76.664 -177.2147
43.099998 76.643 -177.5739
43.700001 76.634 -177.7406
44.400002 76.655 -177.9112
45.000000 76.670 -178.1790
45.500000 76.664 -178.3629
46.200001 76.654 -178.4338
46.799999 76.663 -178.5363
47.500000 76.644 -178.8064
48.200001 76.597 -178.7673
48.700001 76.603 -178.5566
49.400002 76.679 -178.6408
50.000000 76.716 -179.2018
50.799999 76.675 -179.8164
51.500000 76.647 -179.9258
52.200001 76.653 179.9278
53.000000 76.642 179.6691
53.799999 76.630 179.5839
54.500000 76.642 179.4423
55.200001 76.641 179.1287
56.000000 76.613 178.8277
57.000000 76.597 178.6343
58.000000 76.608 178.3654
59.000000 76.621 178.0440
60.000000 76.621 177.7442
60.799999 76.611 177.6095
61.500000 76.606 177.5472
62.200001 76.603 177.4630
63.000000 76.594 177.2915
64.000000 76.567 177.0926
65.000000 76.556 176.9074
66.000000 76.546 176.6013
67.000000 76.536 176.4072
68.000000 76.545 176.2059
69.000000 76.544 175.9954
70.000000 76.541 175.8541
71.000000 76.535 175.6646
72.000000 76.513 175.4894
73.000000 76.502 175.3507
74.000000 76.493 175.1060
75.000000 76.479 174.8916
76.199997 76.469 174.6614
77.500000 76.461 174.4583
78.800003 76.452 174.2520
80.000000 76.445 174.0517
81.199997 76.427 173.8352
82.500000 76.416 173.6798
83.800003 76.407 173.5091
85.000000 76.406 173.3145
86.199997 76.387 173.1184
87.500000 76.380 172.8854
88.500000 76.355 172.6707
90.000000 76.341 172.5740
91.199997 76.347 172.3515
92.500000 76.325 172.1711
93.800003 76.326 172.0677
95.000000 76.305 171.8089
96.199997 76.278 171.6894
97.500000 76.267 171.4906
98.800003 76.254 171.2950
100.000000 76.251 171.0930
101.500000 76.229 170.9497
103.000000 76.218 170.7740
104.400002 76.196 170.7232
106.000000 76.173 170.4452
107.500000 76.162 170.3039
109.000000 76.131 170.0612
110.599998 76.117 169.9313
112.000000 76.098 169.7890
113.800003 76.081 169.5916
115.000000 76.062 169.4527
117.199997 76.040 169.2099
118.000000 76.028 169.0981
120.599998 75.988 168.8126
122.000000 75.960 168.7598
124.099998 75.937 168.5394
125.000000 75.931 168.5033
126.500000 75.914 168.3000
128.000000 75.884 168.2209
131.500000 75.844 167.8933
132.000000 75.836 167.8505
134.000000 75.786 167.7146
136.000000 75.757 167.6362
138.000000 75.719 167.4617
140.000000 75.697 167.3876
143.000000 75.644 167.3964
145.000000 75.627 167.5016
147.500000 75.638 167.6586
150.000000 75.653 167.5471
152.500000 75.663 167.2398
155.000000 75.658 166.9029
157.500000 75.645 166.6756
160.000000 75.623 166.3013
162.500000 75.601 166.1070
165.000000 75.582 165.7371
167.500000 75.540 165.5140
170.000000 75.517 165.2480
172.500000 75.484 165.1315
175.000000 75.456 164.9970
177.500000 75.423 164.7365
180.000000 75.380 164.4961
182.500000 75.363 164.3621
185.000000 75.318 164.1690
187.500000 75.291 163.9994
190.000000 75.265 163.8707
192.500000 75.226 163.6828
195.000000 75.206 163.5792
197.500000 75.169 163.4918
200.000000 75.130 163.4360
203.000000 75.084 163.1467
206.000000 75.053 163.0531
209.000000 75.009 162.9235
212.000000 74.971 162.8000
214.000000 74.959 162.6714
218.000000 74.892 162.4429
220.000000 74.870 162.3480
224.000000 74.827 162.2070
227.000000 74.798 162.2013
230.000000 74.748 162.0753
233.000000 74.710 161.9057
236.000000 74.666 161.7830
240.000000 74.618 161.7462
243.000000 74.589 161.6905
247.000000 74.539 161.4870
250.000000 74.487 161.4171
254.000000 74.441 161.2494
258.000000 74.409 161.2784
262.000000 74.347 161.2692
265.000000 74.321 161.1821
269.000000 74.263 161.0301
272.000000 74.220 161.0973
276.000000 74.177 160.9806
280.000000 74.136 161.0726
285.000000 74.069 161.0749
290.000000 74.017 161.0117
295.000000 73.977 160.9633
300.000000 73.896 161.0867
304.000000 73.872 160.9813
307.000000 73.857 161.0724
311.000000 73.847 161.1210
315.000000 73.823 161.0219
320.000000 73.766 160.9393
