* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 16:21:52 13-07-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Penon Fan 2 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 86.484 125.5588
1.015000 86.295 124.7990
1.030000 86.097 124.0475
1.044000 85.906 123.3543
1.060000 85.677 122.5723
1.075000 85.453 121.8497
1.090000 85.219 121.1380
1.106000 84.957 120.3631
1.120000 84.718 119.5191
1.138000 84.397 118.1968
1.150000 84.175 117.1897
1.172000 83.751 115.1383
1.180000 83.592 114.3409
1.206000 83.059 111.6309
1.220000 82.763 110.1351
1.241000 82.307 107.9074
1.250000 82.108 106.9756
1.265000 81.772 105.4763
1.280000 81.430 104.0692
1.315000 80.616 101.3077
1.320000 80.498 100.9885
1.340000 80.023 99.9431
1.360000 79.545 99.3193
1.380000 79.063 99.1857
1.400000 78.581 99.6111
1.430000 77.857 101.4473
1.450000 77.378 103.5703
1.475000 76.775 107.4035
1.500000 76.095 112.9612
1.525000 75.339 120.1052
1.550000 74.526 128.5730
1.575000 73.678 138.1021
1.600000 72.814 148.4297
1.625000 71.954 159.2936
1.650000 71.120 170.4310
1.675000 70.330 -178.4205
1.700000 69.607 -167.5235
1.725000 68.969 -157.1406
1.750000 68.437 -147.5343
1.775000 68.032 -138.9671
1.800000 67.774 -131.7016
1.825000 67.683 -126.0002
1.850000 67.786 -121.8877
1.875000 68.093 -118.8668
1.900000 68.580 -116.8047
1.925000 69.217 -115.5893
1.950000 69.979 -115.1084
1.975000 70.837 -115.2500
2.000000 71.765 -115.9019
2.030000 72.930 -117.1997
2.060000 74.109 -118.8771
2.090000 75.254 -120.7403
2.120000 76.316 -122.5954
2.140000 76.956 -123.7320
2.180000 78.008 -125.5065
2.200000 78.392 -126.0333
2.240000 78.989 -127.0522
2.270000 79.338 -128.0058
2.300000 79.615 -129.0915
2.330000 79.826 -130.2823
2.360000 79.983 -131.5511
2.400000 80.123 -133.3172
2.430000 80.187 -134.6625
2.470000 80.237 -136.4323
2.500000 80.260 -137.7065
2.540000 80.288 -139.2832
2.580000 80.327 -140.6877
2.620000 80.334 -142.0966
2.650000 80.311 -143.1681
2.690000 80.246 -144.5874
2.720000 80.173 -145.6248
2.760000 80.047 -146.9423
2.800000 79.891 -148.1512
2.850000 79.658 -149.4540
2.900000 79.389 -150.4584
2.950000 79.085 -151.1289
3.000000 78.702 -151.7058
3.040000 78.346 -152.0833
3.070000 78.057 -152.2804
3.110000 77.657 -152.3836
3.150000 77.248 -152.2528
3.200000 76.749 -151.6744
3.250000 76.284 -150.5327
3.300000 75.880 -148.7162
3.350000 75.489 -145.9525
3.400000 75.084 -142.2953
3.450000 74.691 -138.0298
3.500000 74.337 -133.4410
3.550000 74.049 -128.8140
3.600000 73.852 -124.4338
3.650000 73.774 -120.5856
3.700000 73.847 -117.2779
3.750000 74.075 -114.0368
3.820000 74.577 -109.7363
3.870000 75.011 -106.9549
3.950000 75.723 -103.2547
4.000000 76.115 -101.5497
4.060000 76.488 -100.2760
4.120000 76.845 -99.8842
4.180000 77.190 -100.1846
4.250000 77.558 -101.1317
4.310000 77.828 -102.2164
4.370000 78.042 -103.3330
4.440000 78.208 -104.5846
4.500000 78.292 -105.9300
4.550000 78.324 -107.1998
4.620000 78.316 -109.0912
4.680000 78.264 -110.7127
4.750000 78.155 -112.4683
4.820000 77.990 -114.1094
4.870000 77.831 -115.3257
4.940000 77.561 -116.9970
5.000000 77.293 -118.3128
5.080000 76.895 -119.7532
5.150000 76.519 -120.6003
5.220000 76.078 -121.1892
5.300000 75.515 -121.5562
5.380000 74.941 -121.5129
5.450000 74.470 -121.0699
5.520000 74.058 -120.1617
5.600000 73.600 -118.3144
5.700000 73.071 -115.2558
5.800000 72.663 -112.1286
5.900000 72.455 -109.6106
6.000000 72.465 -107.1671
6.080000 72.574 -105.4296
6.150000 72.699 -104.3080
6.220000 72.817 -103.7555
6.300000 72.957 -103.9235
6.400000 73.182 -105.0653
6.500000 73.406 -106.9499
6.600000 73.567 -109.2672
6.700000 73.659 -112.1630
6.800000 73.706 -115.6323
6.900000 73.709 -119.3228
7.000000 73.667 -122.9514
7.100000 73.570 -126.7709
7.200000 73.434 -130.6295
7.300000 73.279 -134.2480
7.400000 73.107 -137.5107
7.500000 72.903 -140.5872
7.620000 72.661 -143.8241
7.750000 72.453 -146.4805
7.880000 72.272 -148.2601
8.000000 72.170 -149.3518
8.120000 72.183 -150.0380
8.250000 72.313 -150.1345
8.380000 72.535 -150.0714
8.500000 72.813 -150.2647
8.620000 73.180 -150.5191
8.750000 73.605 -150.9700
8.850000 73.913 -151.5398
9.000000 74.383 -152.7355
9.120000 74.732 -153.7894
9.250000 75.051 -154.9202
9.380000 75.324 -156.1102
9.500000 75.539 -157.0804
9.620000 75.714 -157.8356
9.750000 75.861 -158.4830
9.880000 75.987 -158.8924
10.000000 76.092 -159.0062
10.150000 76.202 -158.8539
10.300000 76.319 -158.5127
10.440000 76.438 -157.9837
10.600000 76.578 -157.2900
10.750000 76.718 -156.6819
10.900000 76.860 -156.0773
11.060000 76.996 -155.5230
11.200000 77.103 -155.1177
11.380000 77.216 -154.6313
11.500000 77.271 -154.3249
11.720000 77.341 -153.7609
11.800000 77.358 -153.5336
12.060000 77.385 -152.7555
12.200000 77.391 -152.3311
12.410000 77.389 -151.7098
12.500000 77.385 -151.4850
12.650000 77.374 -151.1545
12.800000 77.353 -150.8911
13.150000 77.253 -150.5802
13.200000 77.233 -150.5543
13.400000 77.134 -150.5012
13.600000 77.022 -150.4711
13.800000 76.898 -150.4326
14.000000 76.782 -150.4344
14.300000 76.631 -150.5676
14.500000 76.555 -150.8636
14.750000 76.474 -151.5397
15.000000 76.403 -152.5704
15.250000 76.323 -153.8751
15.500000 76.238 -155.2821
15.750000 76.155 -156.6891
16.000000 76.093 -157.9590
16.250000 76.072 -159.1077
16.500000 76.099 -160.1681
16.750000 76.175 -161.2216
17.000000 76.281 -162.3099
17.250000 76.404 -163.4059
17.500000 76.526 -164.4619
17.750000 76.640 -165.3589
18.000000 76.750 -166.0584
18.250000 76.857 -166.5193
18.500000 76.969 -166.7831
18.750000 77.085 -166.9035
19.000000 77.202 -166.9305
19.250000 77.310 -166.9131
19.500000 77.404 -166.8477
19.750000 77.481 -166.7335
20.000000 77.541 -166.5574
20.299999 77.593 -166.2867
20.600000 77.627 -165.9884
20.900000 77.642 -165.7103
21.200001 77.635 -165.4836
21.400000 77.618 -165.3559
21.799999 77.556 -165.1390
22.000000 77.518 -165.0521
22.400000 77.437 -164.9613
22.700001 77.378 -165.0318
23.000000 77.319 -165.2704
23.299999 77.255 -165.6622
23.600000 77.187 -166.1578
24.000000 77.100 -166.8935
24.299999 77.050 -167.4665
24.700001 77.015 -168.2788
25.000000 77.013 -168.9496
25.400000 77.032 -169.9108
25.799999 77.064 -170.8456
26.200001 77.108 -171.6360
26.500000 77.152 -172.1084
26.900000 77.225 -172.6022
27.200001 77.286 -172.8976
27.600000 77.366 -173.2043
28.000000 77.434 -173.3972
28.500000 77.502 -173.4790
29.000000 77.548 -173.4500
29.500000 77.567 -173.3690
30.000000 77.560 -173.2567
30.400000 77.543 -173.1820
30.700001 77.526 -173.1709
31.100000 77.495 -173.2490
31.500000 77.454 -173.4228
32.000000 77.392 -173.7126
32.500000 77.336 -174.0540
33.000000 77.299 -174.4930
33.500000 77.276 -175.0435
34.000000 77.263 -175.6270
34.500000 77.263 -176.1672
35.000000 77.279 -176.6570
35.500000 77.303 -177.0934
36.000000 77.329 -177.4406
36.500000 77.357 -177.6908
37.000000 77.384 -177.8851
37.500000 77.400 -178.0402
38.200001 77.404 -178.1498
38.700001 77.403 -178.1925
39.500000 77.389 -178.3814
40.000000 77.366 -178.5348
40.599998 77.340 -178.6978
41.200001 77.331 -178.9579
41.799999 77.320 -179.3939
42.500000 77.283 -179.9258
43.099998 77.248 179.7925
43.700001 77.234 179.6353
44.400002 77.242 179.4507
45.000000 77.252 179.2376
45.500000 77.254 179.0525
46.200001 77.250 178.8246
46.799999 77.242 178.6412
47.500000 77.229 178.4239
48.200001 77.217 178.2173
48.700001 77.213 178.0406
49.400002 77.202 177.7271
50.000000 77.184 177.4949
50.799999 77.170 177.3048
51.500000 77.172 177.1095
52.200001 77.165 176.8814
53.000000 77.147 176.7067
53.799999 77.134 176.5719
54.500000 77.123 176.4134
55.200001 77.108 176.2148
56.000000 77.088 175.9730
57.000000 77.068 175.6408
58.000000 77.048 175.3134
59.000000 77.040 175.0820
60.000000 77.037 174.8199
60.799999 77.025 174.6727
61.500000 77.015 174.5721
62.200001 77.003 174.4438
63.000000 76.982 174.2704
64.000000 76.948 174.0563
65.000000 76.923 173.8586
66.000000 76.909 173.5924
67.000000 76.896 173.3146
68.000000 76.879 173.0870
69.000000 76.863 172.9741
70.000000 76.854 172.8571
71.000000 76.835 172.7031
72.000000 76.809 172.5501
73.000000 76.787 172.4193
74.000000 76.776 172.2051
75.000000 76.753 171.9418
76.199997 76.730 171.7802
77.500000 76.715 171.5906
78.800003 76.702 171.4051
80.000000 76.673 171.1845
81.199997 76.653 171.0616
82.500000 76.631 170.8221
83.800003 76.606 170.6777
85.000000 76.591 170.5550
86.199997 76.571 170.3936
87.500000 76.543 170.2323
88.500000 76.522 170.1255
90.000000 76.504 169.9181
91.199997 76.485 169.7634
92.500000 76.472 169.6252
93.800003 76.449 169.4709
95.000000 76.426 169.3828
96.199997 76.406 169.2583
97.500000 76.381 169.0620
98.800003 76.357 168.9506
100.000000 76.349 168.7585
101.500000 76.316 168.6221
103.000000 76.301 168.4511
104.400002 76.266 168.3489
106.000000 76.248 168.2048
107.500000 76.222 168.0689
109.000000 76.201 167.9373
110.599998 76.175 167.8161
112.000000 76.146 167.7190
113.800003 76.130 167.5719
115.000000 76.106 167.4794
117.199997 76.074 167.1942
118.000000 76.057 167.1793
120.599998 76.013 166.9636
122.000000 75.989 166.8674
124.099998 75.965 166.6806
125.000000 75.952 166.6689
126.500000 75.934 166.5490
128.000000 75.905 166.4739
131.500000 75.853 166.2465
132.000000 75.844 166.2173
134.000000 75.813 166.1250
136.000000 75.778 165.9979
138.000000 75.750 165.8526
140.000000 75.726 165.8227
143.000000 75.679 165.7572
145.000000 75.644 165.5696
147.500000 75.609 165.4836
150.000000 75.588 165.3491
152.500000 75.533 165.4890
155.000000 75.501 165.4812
157.500000 75.486 165.4352
160.000000 75.474 165.4216
162.500000 75.475 165.4504
165.000000 75.465 165.2188
167.500000 75.440 165.0405
170.000000 75.424 164.8483
172.500000 75.396 164.6794
175.000000 75.363 164.4331
177.500000 75.332 164.3112
180.000000 75.307 164.1743
182.500000 75.270 164.0840
185.000000 75.242 164.0131
187.500000 75.204 163.8001
190.000000 75.174 163.6878
192.500000 75.149 163.5948
195.000000 75.128 163.6211
197.500000 75.085 163.4069
200.000000 75.052 163.1848
203.000000 75.027 163.1152
206.000000 74.989 163.0840
209.000000 74.947 162.9647
212.000000 74.912 162.9229
214.000000 74.885 162.7757
218.000000 74.832 162.8246
220.000000 74.815 162.7098
224.000000 74.765 162.5809
227.000000 74.735 162.4963
230.000000 74.698 162.4316
233.000000 74.662 162.3386
236.000000 74.618 162.3334
240.000000 74.570 162.2799
243.000000 74.548 162.1902
247.000000 74.489 162.2060
250.000000 74.453 162.1016
254.000000 74.392 162.0642
258.000000 74.357 162.0392
262.000000 74.298 162.0645
265.000000 74.270 161.8786
269.000000 74.236 161.9594
272.000000 74.191 161.9828
276.000000 74.147 161.9916
280.000000 74.109 161.9863
285.000000 74.050 162.0766
290.000000 74.025 162.0375
295.000000 73.977 162.1070
300.000000 73.920 162.0340
304.000000 73.896 161.9756
307.000000 73.864 162.1708
311.000000 73.837 162.0987
315.000000 73.799 162.0391
320.000000 73.759 161.9755
325.000000 73.684 161.8992
