* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 23:49:55 30-09-2023
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Penon Serial L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 82.913 21.5991
20.600000 82.948 21.0297
20.900000 82.971 20.5474
21.200001 82.989 20.0790
21.400000 82.999 19.7642
21.799999 83.013 19.1186
22.000000 83.018 18.7844
22.400000 83.025 18.0925
22.700001 83.027 17.5565
23.000000 83.030 17.0086
23.299999 83.032 16.4508
23.600000 83.035 15.8853
24.000000 83.040 15.1248
24.299999 83.045 14.5556
24.700001 83.055 13.8053
25.000000 83.064 13.2523
25.400000 83.078 12.5285
25.799999 83.094 11.8206
26.200001 83.109 11.1343
26.500000 83.119 10.6412
26.900000 83.130 10.0220
27.200001 83.137 9.5893
27.600000 83.148 9.0501
28.000000 83.159 8.5385
28.500000 83.174 7.9105
29.000000 83.184 7.2797
29.500000 83.190 6.6503
30.000000 83.190 6.0283
30.400000 83.190 5.5318
30.700001 83.188 5.1554
31.100000 83.186 4.6441
31.500000 83.183 4.1230
32.000000 83.178 3.4657
32.500000 83.172 2.8115
33.000000 83.167 2.1658
33.500000 83.163 1.5302
34.000000 83.161 0.9082
34.500000 83.160 0.3040
35.000000 83.161 -0.2830
35.500000 83.161 -0.8574
36.000000 83.161 -1.4202
36.500000 83.158 -1.9640
37.000000 83.153 -2.4797
37.500000 83.147 -2.9698
38.200001 83.141 -3.6469
38.700001 83.136 -4.1469
39.500000 83.121 -4.9645
40.000000 83.109 -5.4643
40.599998 83.095 -6.0509
41.200001 83.083 -6.6417
41.799999 83.072 -7.2400
42.500000 83.058 -7.9256
43.099998 83.047 -8.4919
43.700001 83.039 -9.0464
44.400002 83.029 -9.6836
45.000000 83.021 -10.2189
45.500000 83.013 -10.6582
46.200001 83.000 -11.2674
46.799999 82.987 -11.7836
47.500000 82.968 -12.3734
48.200001 82.947 -12.9427
48.700001 82.932 -13.3347
49.400002 82.914 -13.8734
50.000000 82.902 -14.3470
50.799999 82.886 -15.0103
51.500000 82.869 -15.5966
52.200001 82.850 -16.1631
53.000000 82.829 -16.7846
53.799999 82.810 -17.3816
54.500000 82.794 -17.8906
55.200001 82.780 -18.4075
56.000000 82.759 -19.0044
57.000000 82.728 -19.7027
58.000000 82.702 -20.3793
59.000000 82.676 -21.0715
60.000000 82.651 -21.7712
60.799999 82.627 -22.3418
61.500000 82.604 -22.8168
62.200001 82.582 -23.2665
63.000000 82.560 -23.7775
64.000000 82.535 -24.4301
65.000000 82.504 -25.0831
66.000000 82.474 -25.6695
67.000000 82.453 -26.3022
68.000000 82.418 -26.9581
69.000000 82.386 -27.5292
70.000000 82.357 -28.1377
71.000000 82.325 -28.7167
72.000000 82.298 -29.2921
73.000000 82.272 -29.8665
74.000000 82.248 -30.4864
75.000000 82.209 -31.0881
76.199997 82.169 -31.6887
77.500000 82.131 -32.3792
78.800003 82.093 -33.0628
80.000000 82.053 -33.6747
81.199997 82.025 -34.2978
82.500000 81.981 -35.0264
83.800003 81.944 -35.6691
85.000000 81.906 -36.3177
86.199997 81.867 -36.8950
87.500000 81.826 -37.5149
88.500000 81.800 -37.9855
90.000000 81.752 -38.7234
91.199997 81.719 -39.2872
92.500000 81.675 -39.9389
93.800003 81.636 -40.5128
95.000000 81.599 -41.1047
96.199997 81.559 -41.6289
97.500000 81.521 -42.2282
98.800003 81.483 -42.8222
100.000000 81.438 -43.3784
101.500000 81.393 -43.9801
103.000000 81.346 -44.6293
104.400002 81.303 -45.2139
106.000000 81.256 -45.8864
107.500000 81.208 -46.5027
109.000000 81.159 -47.1230
110.599998 81.109 -47.7437
112.000000 81.063 -48.2766
113.800003 81.009 -48.9723
115.000000 80.966 -49.4155
117.199997 80.903 -50.2144
118.000000 80.875 -50.5089
120.599998 80.797 -51.4051
122.000000 80.757 -51.8876
124.099998 80.706 -52.5942
125.000000 80.675 -52.9203
126.500000 80.635 -53.3707
128.000000 80.599 -53.9196
131.500000 80.501 -55.0775
132.000000 80.492 -55.2395
134.000000 80.436 -55.9524
136.000000 80.384 -56.5899
138.000000 80.335 -57.2115
140.000000 80.272 -57.8743
143.000000 80.191 -58.7869
145.000000 80.146 -59.4347
147.500000 80.074 -60.2162
150.000000 80.007 -60.9913
152.500000 79.945 -61.6254
155.000000 79.878 -62.3779
157.500000 79.814 -63.0688
160.000000 79.751 -63.7431
162.500000 79.688 -64.4231
165.000000 79.626 -65.0697
167.500000 79.566 -65.6545
170.000000 79.516 -66.3029
172.500000 79.453 -66.9507
175.000000 79.398 -67.5779
177.500000 79.341 -68.2093
180.000000 79.290 -68.8323
182.500000 79.237 -69.4633
185.000000 79.175 -70.1094
187.500000 79.131 -70.6987
190.000000 79.074 -71.2121
192.500000 79.017 -71.8735
195.000000 78.962 -72.4268
197.500000 78.905 -73.0770
200.000000 78.860 -73.5970
203.000000 78.788 -74.2666
206.000000 78.717 -74.8841
209.000000 78.667 -75.5198
212.000000 78.605 -76.2046
214.000000 78.557 -76.4976
218.000000 78.476 -77.3578
220.000000 78.446 -77.6896
224.000000 78.360 -78.5162
227.000000 78.299 -79.0360
230.000000 78.250 -79.5576
233.000000 78.197 -80.1422
236.000000 78.138 -80.7150
240.000000 78.072 -81.3749
243.000000 78.019 -81.8923
247.000000 77.945 -82.5823
250.000000 77.900 -83.1348
254.000000 77.827 -83.7584
258.000000 77.753 -84.3573
262.000000 77.689 -84.9533
265.000000 77.642 -85.4463
269.000000 77.581 -86.0024
272.000000 77.536 -86.4720
276.000000 77.484 -87.1208
280.000000 77.421 -87.6155
285.000000 77.344 -88.3846
290.000000 77.273 -89.0414
295.000000 77.204 -89.6417
300.000000 77.139 -90.3134
304.000000 77.083 -90.8139
307.000000 77.044 -91.0825
311.000000 76.993 -91.5684
315.000000 76.942 -92.0149
320.000000 76.889 -92.5393
325.000000 76.832 -93.1172
330.000000 76.777 -93.7528
335.000000 76.729 -94.2380
340.000000 76.669 -94.7728
345.000000 76.607 -95.2996
350.000000 76.557 -95.8335
355.000000 76.519 -96.2831
360.000000 76.462 -96.7401
365.000000 76.417 -97.1913
370.000000 76.382 -97.6569
375.000000 76.343 -98.0037
382.000000 76.286 -98.6505
387.000000 76.244 -99.1214
395.000000 76.194 -99.6622
400.000000 76.162 -100.1034
406.000000 76.134 -100.5523
412.000000 76.098 -101.0750
418.000000 76.078 -101.5914
425.000000 76.059 -102.2861
431.000000 76.014 -103.1235
437.000000 75.948 -103.8311
444.000000 75.816 -104.5806
450.000000 75.718 -104.8060
455.000000 75.652 -104.9146
462.000000 75.579 -105.0435
468.000000 75.533 -105.2528
475.000000 75.470 -105.3662
482.000000 75.440 -105.5707
487.000000 75.404 -105.6036
494.000000 75.365 -105.6587
500.000000 75.366 -105.6360
508.000000 75.350 -105.7648
515.000000 75.367 -106.0319
522.000000 75.351 -106.3046
530.000000 75.333 -106.6417
538.000000 75.304 -106.9305
545.000000 75.302 -107.2503
552.000000 75.268 -107.4916
560.000000 75.249 -107.5655
570.000000 75.243 -107.9723
580.000000 75.222 -108.2266
590.000000 75.190 -108.3911
600.000000 75.182 -108.5421
608.000000 75.171 -108.7543
615.000000 75.144 -108.8718
622.000000 75.149 -108.9554
630.000000 75.135 -109.0289
640.000000 75.130 -109.1910
650.000000 75.125 -109.2736
660.000000 75.114 -109.2844
670.000000 75.105 -109.3697
680.000000 75.124 -109.3597
690.000000 75.110 -109.4127
700.000000 75.116 -109.4569
710.000000 75.136 -109.3112
720.000000 75.149 -109.4295
730.000000 75.150 -109.3740
740.000000 75.169 -109.3263
750.000000 75.190 -109.1730
762.000000 75.218 -109.0774
775.000000 75.255 -108.9841
788.000000 75.276 -108.8130
800.000000 75.336 -108.5402
812.000000 75.372 -108.4886
825.000000 75.430 -108.2660
838.000000 75.481 -108.0051
850.000000 75.539 -107.8667
862.000000 75.611 -107.6090
875.000000 75.685 -107.2825
885.000000 75.739 -107.0075
900.000000 75.840 -106.6403
912.000000 75.958 -106.2031
925.000000 76.092 -105.8636
938.000000 76.259 -105.7552
950.000000 76.415 -105.7379
962.000000 76.559 -105.9622
975.000000 76.703 -106.3464
988.000000 76.815 -106.6482
1000.000000 76.892 -107.2430
1015.000000 77.047 -107.2493
1030.000000 77.162 -107.5878
1044.000000 77.260 -107.9134
1060.000000 77.391 -108.2442
1075.000000 77.492 -108.3984
1090.000000 77.621 -108.6067
1106.000000 77.757 -108.8345
1120.000000 77.878 -109.0719
1138.000000 78.034 -109.5820
1150.000000 78.132 -109.8919
1172.000000 78.330 -110.5042
1180.000000 78.380 -110.7602
1206.000000 78.596 -111.7010
1220.000000 78.695 -112.2107
1241.000000 78.838 -112.9343
1250.000000 78.904 -113.3565
1265.000000 78.992 -113.9493
1280.000000 79.080 -114.5087
1315.000000 79.270 -115.8979
1320.000000 79.281 -116.0467
1340.000000 79.390 -116.8424
1360.000000 79.473 -117.5212
1380.000000 79.563 -118.1654
1400.000000 79.643 -118.7952
1430.000000 79.765 -119.7462
1450.000000 79.852 -120.3829
1475.000000 79.953 -121.2560
1500.000000 80.050 -121.9971
1525.000000 80.146 -122.7988
1550.000000 80.242 -123.4318
1575.000000 80.329 -124.2467
1600.000000 80.423 -124.9943
1625.000000 80.507 -125.6496
1650.000000 80.602 -126.4242
1675.000000 80.700 -127.1395
1700.000000 80.789 -127.9460
1725.000000 80.871 -128.7118
1750.000000 80.962 -129.5177
1775.000000 81.042 -130.3083
1800.000000 81.124 -131.1917
1825.000000 81.215 -132.0131
1850.000000 81.284 -132.9087
1875.000000 81.361 -133.8605
1900.000000 81.432 -134.6285
1925.000000 81.485 -135.5786
1950.000000 81.541 -136.5330
1975.000000 81.603 -137.5193
2000.000000 81.656 -138.2424
2030.000000 81.702 -139.5536
2060.000000 81.726 -140.7287
2090.000000 81.772 -141.9006
2120.000000 81.788 -143.0447
2140.000000 81.807 -143.8266
2180.000000 81.819 -145.2401
2200.000000 81.813 -146.0974
2240.000000 81.799 -147.4954
2270.000000 81.777 -148.4751
2300.000000 81.764 -149.4997
2330.000000 81.735 -150.4697
2360.000000 81.691 -151.3867
2400.000000 81.646 -152.5146
2430.000000 81.607 -153.3902
2470.000000 81.534 -154.4024
2500.000000 81.491 -155.2630
2540.000000 81.407 -156.1567
2580.000000 81.336 -157.0912
2620.000000 81.246 -157.8736
2650.000000 81.183 -158.3746
2690.000000 81.100 -159.0368
2720.000000 81.028 -159.4547
2760.000000 80.928 -159.9570
2800.000000 80.846 -160.3495
2850.000000 80.740 -160.7446
2900.000000 80.660 -160.9907
2950.000000 80.552 -161.0928
3000.000000 80.472 -161.4336
3040.000000 80.438 -160.9145
3070.000000 80.435 -160.8187
3110.000000 80.440 -160.7444
3150.000000 80.455 -160.6618
3200.000000 80.508 -160.8564
3250.000000 80.549 -161.1418
3300.000000 80.586 -161.3950
3350.000000 80.605 -161.8788
3400.000000 80.615 -162.1222
3450.000000 80.642 -162.4709
3500.000000 80.670 -162.7400
3550.000000 80.708 -163.1809
3600.000000 80.734 -163.6609
3650.000000 80.759 -163.9258
3700.000000 80.786 -164.1575
3750.000000 80.844 -164.4715
3820.000000 80.935 -164.9089
3870.000000 81.014 -165.3035
3950.000000 81.183 -166.3304
4000.000000 81.310 -167.0215
4060.000000 81.380 -168.2258
4120.000000 81.476 -169.4994
4180.000000 81.581 -170.8638
4250.000000 81.661 -172.9206
4310.000000 81.720 -174.6532
4370.000000 81.742 -176.7093
4440.000000 81.709 -179.3304
4500.000000 81.620 178.3811
4550.000000 81.521 176.4366
4620.000000 81.307 173.7867
4680.000000 81.068 171.7578
4750.000000 80.734 169.7677
4820.000000 80.351 168.2256
4870.000000 80.089 167.3879
4940.000000 79.704 166.5589
5000.000000 79.434 166.1262
5080.000000 78.961 165.7497
5150.000000 78.582 165.5944
5220.000000 78.214 165.8144
