* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 23:51:31 30-09-2023
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Penon Serial R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 83.744 11.6151
20.600000 83.762 11.1578
20.900000 83.769 10.7765
21.200001 83.771 10.4063
21.400000 83.770 10.1550
21.799999 83.764 9.6308
22.000000 83.759 9.3546
22.400000 83.746 8.7748
22.700001 83.734 8.3211
23.000000 83.721 7.8562
23.299999 83.709 7.3829
23.600000 83.699 6.9036
24.000000 83.688 6.2589
24.299999 83.682 5.7752
24.700001 83.678 5.1357
25.000000 83.677 4.6634
25.400000 83.679 4.0469
25.799999 83.683 3.4500
26.200001 83.687 2.8791
26.500000 83.690 2.4726
26.900000 83.694 1.9626
27.200001 83.697 1.6031
27.600000 83.700 1.1484
28.000000 83.703 0.7129
28.500000 83.702 0.1851
29.000000 83.698 -0.3280
29.500000 83.689 -0.8294
30.000000 83.678 -1.3291
30.400000 83.667 -1.7348
30.700001 83.659 -2.0437
31.100000 83.646 -2.4598
31.500000 83.633 -2.8785
32.000000 83.619 -3.4057
32.500000 83.607 -3.9416
33.000000 83.597 -4.4874
33.500000 83.589 -5.0364
34.000000 83.582 -5.5790
34.500000 83.575 -6.1093
35.000000 83.569 -6.6222
35.500000 83.563 -7.1117
36.000000 83.557 -7.5767
36.500000 83.551 -8.0266
37.000000 83.544 -8.4734
37.500000 83.535 -8.9176
38.200001 83.516 -9.5166
38.700001 83.501 -9.9259
39.500000 83.478 -10.5864
40.000000 83.464 -11.0150
40.599998 83.445 -11.5357
41.200001 83.425 -12.0556
41.799999 83.407 -12.5757
42.500000 83.384 -13.1685
43.099998 83.367 -13.6483
43.700001 83.354 -14.1156
44.400002 83.341 -14.6719
45.000000 83.326 -15.1461
45.500000 83.311 -15.5190
46.200001 83.292 -16.0123
46.799999 83.277 -16.4396
47.500000 83.257 -16.9585
48.200001 83.231 -17.4709
48.700001 83.211 -17.8161
49.400002 83.186 -18.2723
50.000000 83.169 -18.6631
50.799999 83.150 -19.2248
51.500000 83.131 -19.7413
52.200001 83.108 -20.2355
53.000000 83.086 -20.7702
53.799999 83.065 -21.3166
54.500000 83.044 -21.7991
55.200001 83.020 -22.2537
56.000000 82.994 -22.7378
57.000000 82.967 -23.3504
58.000000 82.937 -23.9976
59.000000 82.900 -24.6182
60.000000 82.867 -25.1828
60.799999 82.847 -25.6547
61.500000 82.826 -26.0968
62.200001 82.799 -26.5157
63.000000 82.773 -26.9512
64.000000 82.744 -27.5216
65.000000 82.711 -28.0871
66.000000 82.681 -28.6339
67.000000 82.648 -29.1818
68.000000 82.619 -29.7002
69.000000 82.589 -30.2780
70.000000 82.548 -30.8288
71.000000 82.509 -31.3275
72.000000 82.477 -31.8075
73.000000 82.449 -32.3363
74.000000 82.412 -32.8677
75.000000 82.381 -33.3329
76.199997 82.349 -33.9551
77.500000 82.303 -34.6097
78.800003 82.258 -35.2081
80.000000 82.219 -35.7910
81.199997 82.170 -36.3429
82.500000 82.132 -36.9050
83.800003 82.089 -37.5498
85.000000 82.048 -38.0812
86.199997 82.011 -38.6377
87.500000 81.965 -39.1839
88.500000 81.936 -39.6039
90.000000 81.883 -40.2463
91.199997 81.845 -40.7393
92.500000 81.800 -41.2929
93.800003 81.759 -41.8560
95.000000 81.716 -42.3385
96.199997 81.682 -42.8176
97.500000 81.640 -43.3236
98.800003 81.597 -43.8240
100.000000 81.562 -44.2432
101.500000 81.513 -44.8958
103.000000 81.460 -45.4490
104.400002 81.412 -45.9829
106.000000 81.365 -46.5911
107.500000 81.318 -47.0999
109.000000 81.272 -47.6478
110.599998 81.210 -48.2137
112.000000 81.168 -48.5592
113.800003 81.117 -49.3138
115.000000 81.079 -49.7131
117.199997 81.013 -50.4496
118.000000 80.991 -50.7388
120.599998 80.907 -51.6246
122.000000 80.866 -52.0380
124.099998 80.800 -52.7254
125.000000 80.773 -53.0034
126.500000 80.732 -53.4577
128.000000 80.681 -53.9582
131.500000 80.582 -54.9902
132.000000 80.568 -55.1565
134.000000 80.503 -55.7219
136.000000 80.451 -56.3252
138.000000 80.388 -56.8821
140.000000 80.332 -57.4285
143.000000 80.249 -58.2982
145.000000 80.190 -58.8346
147.500000 80.113 -59.5049
150.000000 80.050 -60.1862
152.500000 79.980 -60.8007
155.000000 79.911 -61.4858
157.500000 79.847 -62.0863
160.000000 79.776 -62.7345
162.500000 79.706 -63.3122
165.000000 79.647 -63.8834
167.500000 79.577 -64.5050
170.000000 79.523 -65.0603
172.500000 79.460 -65.6656
175.000000 79.394 -66.2037
177.500000 79.327 -66.7229
180.000000 79.260 -67.2962
182.500000 79.206 -67.8709
185.000000 79.140 -68.3536
187.500000 79.076 -68.9101
190.000000 79.019 -69.3505
192.500000 78.947 -69.8280
195.000000 78.889 -70.3330
197.500000 78.827 -70.8712
200.000000 78.769 -71.2210
203.000000 78.697 -71.7451
206.000000 78.629 -72.1401
209.000000 78.565 -72.5239
212.000000 78.513 -72.9312
214.000000 78.497 -73.2337
218.000000 78.448 -73.8225
220.000000 78.420 -74.1997
224.000000 78.368 -75.0363
227.000000 78.310 -75.5723
230.000000 78.258 -76.1043
233.000000 78.201 -76.6393
236.000000 78.145 -77.1264
240.000000 78.075 -77.8161
243.000000 78.019 -78.2695
247.000000 77.952 -78.8443
250.000000 77.909 -79.2669
254.000000 77.838 -79.8884
258.000000 77.770 -80.4532
262.000000 77.712 -81.0403
265.000000 77.670 -81.4635
269.000000 77.607 -81.9672
272.000000 77.553 -82.3681
276.000000 77.505 -82.9308
280.000000 77.453 -83.5450
285.000000 77.374 -84.1182
290.000000 77.291 -84.7163
295.000000 77.230 -85.3732
300.000000 77.159 -85.9546
304.000000 77.111 -86.3349
307.000000 77.076 -86.5997
311.000000 77.027 -87.1476
315.000000 76.973 -87.5174
320.000000 76.918 -88.0314
325.000000 76.876 -88.5800
330.000000 76.821 -89.1441
335.000000 76.759 -89.5785
340.000000 76.699 -90.0810
345.000000 76.654 -90.5541
350.000000 76.601 -91.0432
355.000000 76.541 -91.5200
360.000000 76.491 -91.9840
365.000000 76.449 -92.3381
370.000000 76.407 -92.7442
375.000000 76.357 -93.2304
382.000000 76.282 -93.6841
387.000000 76.250 -93.9476
395.000000 76.182 -94.5586
400.000000 76.147 -94.7913
406.000000 76.101 -95.2424
412.000000 76.061 -95.6717
418.000000 76.033 -96.1254
425.000000 75.976 -96.4995
431.000000 75.946 -96.8727
437.000000 75.900 -97.0916
444.000000 75.869 -97.4728
450.000000 75.858 -97.7428
455.000000 75.830 -98.0872
462.000000 75.818 -98.3962
468.000000 75.781 -98.8334
475.000000 75.757 -99.2268
482.000000 75.729 -99.6133
487.000000 75.691 -99.8044
494.000000 75.682 -100.0617
500.000000 75.649 -100.4612
508.000000 75.614 -100.7307
515.000000 75.582 -101.0498
522.000000 75.560 -101.3040
530.000000 75.536 -101.5936
538.000000 75.508 -101.8819
545.000000 75.495 -102.1414
552.000000 75.469 -102.4007
560.000000 75.453 -102.5205
570.000000 75.422 -102.7959
580.000000 75.397 -103.1227
590.000000 75.389 -103.3014
600.000000 75.354 -103.6151
608.000000 75.346 -103.8301
615.000000 75.357 -103.8527
622.000000 75.333 -103.9197
630.000000 75.340 -104.0412
640.000000 75.320 -104.2769
650.000000 75.304 -104.4340
660.000000 75.312 -104.4308
670.000000 75.309 -104.4878
680.000000 75.295 -104.6693
690.000000 75.311 -104.7040
700.000000 75.318 -104.7321
710.000000 75.324 -104.7139
720.000000 75.332 -104.8037
730.000000 75.357 -104.8173
740.000000 75.348 -104.6357
750.000000 75.387 -104.6654
762.000000 75.410 -104.5824
775.000000 75.442 -104.6199
788.000000 75.484 -104.4842
800.000000 75.514 -104.4209
812.000000 75.563 -104.2918
825.000000 75.614 -104.2015
838.000000 75.668 -104.0135
850.000000 75.731 -103.9068
862.000000 75.795 -103.7083
875.000000 75.874 -103.6890
885.000000 75.909 -103.4646
900.000000 76.024 -103.2646
912.000000 76.109 -103.1925
925.000000 76.185 -103.1426
938.000000 76.285 -102.9265
950.000000 76.385 -102.8740
962.000000 76.480 -102.8708
975.000000 76.595 -102.9022
988.000000 76.713 -102.9207
1000.000000 76.784 -103.1400
1015.000000 76.934 -103.0211
1030.000000 77.080 -103.0969
1044.000000 77.215 -103.2805
1060.000000 77.362 -103.4939
1075.000000 77.482 -103.7663
1090.000000 77.619 -104.1015
1106.000000 77.748 -104.3503
1120.000000 77.863 -104.6611
1138.000000 78.021 -105.1641
1150.000000 78.124 -105.4267
1172.000000 78.293 -105.9154
1180.000000 78.356 -106.2905
1206.000000 78.563 -107.0115
1220.000000 78.666 -107.5285
1241.000000 78.807 -108.2503
1250.000000 78.880 -108.5122
1265.000000 78.968 -109.0813
1280.000000 79.054 -109.7046
1315.000000 79.232 -110.9092
1320.000000 79.237 -110.9893
1340.000000 79.347 -111.5754
1360.000000 79.456 -112.0979
1380.000000 79.554 -112.7176
1400.000000 79.665 -113.3247
1430.000000 79.805 -114.2287
1450.000000 79.897 -114.8188
1475.000000 80.011 -115.5869
1500.000000 80.134 -116.3119
1525.000000 80.240 -116.9923
1550.000000 80.354 -117.7591
1575.000000 80.464 -118.5213
1600.000000 80.557 -119.2754
1625.000000 80.661 -119.8914
1650.000000 80.766 -120.6119
1675.000000 80.868 -121.3374
1700.000000 80.969 -122.0920
1725.000000 81.081 -122.8557
1750.000000 81.183 -123.6290
1775.000000 81.285 -124.4929
1800.000000 81.383 -125.3790
1825.000000 81.459 -126.2024
1850.000000 81.549 -127.1582
1875.000000 81.630 -128.0039
1900.000000 81.703 -128.9899
1925.000000 81.773 -129.9272
1950.000000 81.824 -130.7732
1975.000000 81.894 -131.7055
2000.000000 81.941 -132.4282
2030.000000 81.996 -133.7599
2060.000000 82.057 -134.8028
2090.000000 82.098 -135.9401
2120.000000 82.142 -137.0963
2140.000000 82.159 -137.6971
2180.000000 82.199 -139.3036
2200.000000 82.214 -139.9527
2240.000000 82.235 -141.4332
2270.000000 82.232 -142.5388
2300.000000 82.240 -143.4742
2330.000000 82.214 -144.6048
2360.000000 82.202 -145.5622
2400.000000 82.180 -146.7962
2430.000000 82.148 -147.7177
2470.000000 82.078 -148.8934
2500.000000 82.037 -149.6413
2540.000000 81.983 -150.7001
2580.000000 81.919 -151.6386
2620.000000 81.854 -152.4799
2650.000000 81.796 -153.0130
2690.000000 81.730 -153.7626
2720.000000 81.676 -154.3069
2760.000000 81.595 -154.8984
2800.000000 81.535 -155.4454
2850.000000 81.436 -156.1243
2900.000000 81.347 -156.5346
2950.000000 81.248 -156.8624
3000.000000 81.154 -157.3408
3040.000000 81.102 -157.0562
3070.000000 81.103 -156.9684
3110.000000 81.078 -156.9466
3150.000000 81.079 -156.9744
3200.000000 81.074 -157.0603
3250.000000 81.111 -157.0883
3300.000000 81.130 -157.2018
3350.000000 81.174 -157.4536
3400.000000 81.212 -157.5184
3450.000000 81.263 -157.8304
3500.000000 81.309 -157.9888
3550.000000 81.365 -158.3545
3600.000000 81.401 -158.7629
3650.000000 81.453 -159.0526
3700.000000 81.514 -159.3338
3750.000000 81.577 -159.7228
3820.000000 81.691 -160.2522
3870.000000 81.754 -160.5879
3950.000000 81.915 -161.0749
4000.000000 82.102 -161.1588
4060.000000 82.262 -162.3188
4120.000000 82.484 -163.5971
4180.000000 82.696 -165.4899
4250.000000 82.866 -168.0474
4310.000000 82.965 -170.5910
4370.000000 82.999 -173.3047
4440.000000 82.953 -176.6265
4500.000000 82.834 -179.4527
4550.000000 82.696 178.2954
4620.000000 82.429 175.4388
4680.000000 82.140 173.3315
4750.000000 81.772 171.3172
4820.000000 81.380 169.7353
4870.000000 81.121 168.7693
4940.000000 80.717 167.7970
5000.000000 80.413 167.4430
5080.000000 79.958 166.7308
5150.000000 79.596 166.7146
