* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 20:57:10 26-09-2023
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: QKZ HBB L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 86.836 21.3596
20.600000 86.834 20.8433
20.900000 86.822 20.5376
21.200001 86.821 20.3325
21.400000 86.829 20.1958
21.799999 86.864 19.8234
22.000000 86.886 19.5489
22.400000 86.923 18.7999
22.700001 86.934 18.1132
23.000000 86.928 17.3956
23.299999 86.908 16.7092
23.600000 86.881 16.0861
24.000000 86.844 15.3673
24.299999 86.823 14.8957
24.700001 86.806 14.3242
25.000000 86.801 13.9204
25.400000 86.802 13.4031
25.799999 86.808 12.9136
26.200001 86.815 12.4774
26.500000 86.823 12.2073
26.900000 86.844 11.9296
27.200001 86.873 11.7479
27.600000 86.932 11.4409
28.000000 86.999 10.9310
28.500000 87.048 9.9860
29.000000 87.022 9.0257
29.500000 86.949 8.4696
30.000000 86.909 8.3257
30.400000 86.927 8.1673
30.700001 86.955 7.8539
31.100000 86.971 7.1825
31.500000 86.940 6.4476
32.000000 86.862 5.8659
32.500000 86.823 5.6982
33.000000 86.862 5.3868
33.500000 86.911 4.5177
34.000000 86.880 3.3867
34.500000 86.775 2.6665
35.000000 86.686 2.6098
35.500000 86.689 2.7791
36.000000 86.759 2.5790
36.500000 86.816 1.8793
37.000000 86.808 0.9864
37.500000 86.738 0.2671
38.200001 86.615 -0.0790
38.700001 86.578 0.0272
39.500000 86.637 -0.2833
40.000000 86.651 -1.0743
40.599998 86.567 -2.0084
41.200001 86.468 -2.1907
41.799999 86.493 -2.1711
42.500000 86.581 -3.2277
43.099998 86.510 -4.5495
43.700001 86.357 -4.9506
44.400002 86.317 -4.4743
45.000000 86.408 -4.5805
45.500000 86.452 -5.1864
46.200001 86.413 -5.9951
46.799999 86.350 -6.2743
47.500000 86.297 -6.3176
48.200001 86.282 -6.2399
48.700001 86.298 -6.2811
49.400002 86.324 -6.6811
50.000000 86.317 -7.1878
50.799999 86.283 -7.9018
51.500000 86.222 -8.5801
52.200001 86.132 -8.9518
53.000000 86.098 -9.0601
53.799999 86.103 -9.6409
54.500000 86.041 -10.1797
55.200001 85.982 -10.2517
56.000000 85.983 -10.2699
57.000000 86.006 -10.6609
58.000000 86.001 -11.4374
59.000000 85.893 -12.1467
60.000000 85.814 -12.1890
60.799999 85.813 -12.4851
61.500000 85.786 -13.0006
62.200001 85.733 -13.4151
63.000000 85.685 -13.7369
64.000000 85.641 -14.2069
65.000000 85.588 -14.6881
66.000000 85.513 -15.1403
67.000000 85.429 -15.1346
68.000000 85.454 -15.1946
69.000000 85.431 -15.9871
70.000000 85.338 -16.3398
71.000000 85.306 -16.5538
72.000000 85.260 -16.9262
73.000000 85.218 -17.0496
74.000000 85.215 -17.2309
75.000000 85.201 -17.6270
76.199997 85.143 -18.1595
77.500000 85.024 -18.3927
78.800003 84.994 -18.3946
80.000000 84.949 -18.9273
81.199997 84.878 -19.2377
82.500000 84.824 -19.4627
83.800003 84.787 -19.7618
85.000000 84.748 -20.0409
86.199997 84.679 -20.4449
87.500000 84.619 -20.4385
88.500000 84.594 -20.9275
90.000000 84.465 -21.0005
91.199997 84.468 -21.3287
92.500000 84.369 -21.5598
93.800003 84.367 -21.7535
95.000000 84.276 -22.1553
96.199997 84.243 -22.1164
97.500000 84.176 -22.6748
98.800003 84.102 -22.5103
100.000000 84.111 -22.8340
101.500000 84.024 -23.1521
103.000000 83.980 -23.1868
104.400002 83.920 -23.3038
106.000000 83.842 -23.3525
107.500000 83.763 -23.5337
109.000000 83.691 -23.6515
110.599998 83.638 -24.0670
112.000000 83.575 -24.2689
113.800003 83.527 -24.6439
115.000000 83.447 -24.6406
117.199997 83.386 -24.6122
118.000000 83.354 -24.6728
120.599998 83.235 -24.8769
122.000000 83.198 -25.0815
124.099998 83.091 -25.5018
125.000000 83.053 -25.2342
126.500000 83.042 -25.4547
128.000000 82.978 -25.4978
131.500000 82.824 -25.6177
132.000000 82.806 -25.6222
134.000000 82.758 -25.8533
136.000000 82.649 -25.7768
138.000000 82.584 -25.7926
140.000000 82.529 -26.0443
143.000000 82.391 -26.1595
145.000000 82.304 -25.9219
147.500000 82.227 -25.6783
150.000000 82.150 -25.8826
152.500000 82.042 -25.8065
155.000000 81.951 -25.6166
157.500000 81.909 -25.4210
160.000000 81.798 -25.2561
162.500000 81.711 -25.1909
165.000000 81.706 -24.8991
167.500000 81.654 -24.5151
170.000000 81.633 -24.4418
172.500000 81.630 -24.2507
175.000000 81.607 -24.1386
177.500000 81.575 -24.3981
180.000000 81.520 -24.4234
182.500000 81.450 -24.7323
185.000000 81.393 -24.6285
187.500000 81.362 -24.7523
190.000000 81.286 -24.7709
192.500000 81.225 -24.5699
195.000000 81.166 -24.6380
197.500000 81.083 -24.5872
200.000000 81.037 -24.5500
203.000000 80.984 -24.4733
206.000000 80.895 -24.2571
209.000000 80.829 -24.4144
212.000000 80.776 -24.3344
214.000000 80.732 -24.2293
218.000000 80.660 -24.1501
220.000000 80.590 -24.0996
224.000000 80.525 -23.9293
227.000000 80.453 -23.8043
230.000000 80.401 -23.7315
233.000000 80.331 -23.6077
236.000000 80.270 -23.3487
240.000000 80.201 -23.2826
243.000000 80.139 -23.2319
247.000000 80.071 -22.9373
250.000000 80.016 -22.7643
254.000000 79.940 -22.5986
258.000000 79.853 -22.2865
262.000000 79.792 -22.1002
265.000000 79.736 -21.8719
269.000000 79.669 -21.5517
272.000000 79.614 -21.3539
276.000000 79.544 -21.0215
280.000000 79.482 -20.6946
285.000000 79.413 -20.2880
290.000000 79.368 -19.6803
295.000000 79.328 -19.2541
300.000000 79.259 -19.0258
304.000000 79.235 -18.7904
307.000000 79.208 -18.5968
311.000000 79.174 -18.4624
315.000000 79.133 -18.2902
320.000000 79.066 -17.9901
325.000000 78.999 -17.6878
330.000000 78.955 -17.1629
335.000000 78.896 -16.8120
340.000000 78.864 -16.4953
345.000000 78.799 -16.1290
350.000000 78.786 -15.7900
355.000000 78.753 -15.6403
360.000000 78.746 -15.2048
365.000000 78.699 -15.0127
370.000000 78.636 -14.8160
375.000000 78.595 -14.5284
382.000000 78.535 -14.1300
387.000000 78.495 -13.8729
395.000000 78.420 -13.3810
400.000000 78.359 -13.2817
406.000000 78.343 -12.8268
412.000000 78.293 -12.3276
418.000000 78.267 -11.9392
425.000000 78.215 -11.4851
431.000000 78.152 -11.2137
437.000000 78.120 -10.7738
444.000000 78.076 -10.2100
450.000000 78.041 -9.9318
455.000000 78.018 -9.6293
462.000000 77.981 -9.2007
468.000000 77.956 -8.7388
475.000000 77.918 -8.3837
482.000000 77.896 -7.9107
487.000000 77.875 -7.5449
494.000000 77.843 -7.1141
500.000000 77.835 -6.7792
508.000000 77.780 -6.2589
515.000000 77.750 -5.8375
522.000000 77.719 -5.3283
530.000000 77.685 -4.8367
538.000000 77.655 -4.2741
545.000000 77.633 -3.8801
552.000000 77.609 -3.5024
560.000000 77.584 -3.0455
570.000000 77.557 -2.4321
580.000000 77.525 -1.7893
590.000000 77.475 -1.1538
600.000000 77.457 -0.4856
608.000000 77.430 -0.0116
615.000000 77.435 0.4217
622.000000 77.423 0.7731
630.000000 77.403 1.2964
640.000000 77.423 1.8541
650.000000 77.392 2.6389
660.000000 77.380 3.1896
670.000000 77.371 3.6921
680.000000 77.360 4.3923
690.000000 77.325 4.9141
700.000000 77.335 5.5213
710.000000 77.319 6.2520
720.000000 77.303 6.7616
730.000000 77.284 7.4625
740.000000 77.255 8.0576
750.000000 77.234 8.8421
762.000000 77.251 10.4262
775.000000 77.369 11.5945
788.000000 77.472 12.0834
800.000000 77.526 12.5041
812.000000 77.552 12.9438
825.000000 77.552 13.5210
838.000000 77.587 14.1826
850.000000 77.617 14.9049
862.000000 77.643 15.3524
875.000000 77.668 16.0252
885.000000 77.679 16.5632
900.000000 77.722 17.3941
912.000000 77.759 18.1530
925.000000 77.799 18.8158
938.000000 77.866 19.6377
950.000000 77.928 20.3709
962.000000 77.999 20.9447
975.000000 78.064 21.5800
988.000000 78.151 22.2638
1000.000000 78.215 22.9993
1015.000000 78.319 23.3729
1030.000000 78.420 23.9646
1044.000000 78.508 24.3882
1060.000000 78.636 24.9308
1075.000000 78.730 25.3136
1090.000000 78.820 25.8324
1106.000000 78.934 26.1983
1120.000000 79.030 26.5157
1138.000000 79.124 26.8759
1150.000000 79.208 27.0354
1172.000000 79.344 27.4193
1180.000000 79.399 27.4106
1206.000000 79.557 27.7089
1220.000000 79.666 27.8990
1241.000000 79.761 28.0513
1250.000000 79.804 28.0652
1265.000000 79.886 28.3556
1280.000000 79.954 28.3857
1315.000000 80.138 28.4369
1320.000000 80.160 28.4863
1340.000000 80.240 28.4770
1360.000000 80.335 28.5593
1380.000000 80.412 28.6961
1400.000000 80.482 28.6822
1430.000000 80.609 28.7112
1450.000000 80.674 28.7146
1475.000000 80.755 28.8014
1500.000000 80.852 28.8357
1525.000000 80.928 28.8233
1550.000000 81.035 28.8867
1575.000000 81.129 28.9453
1600.000000 81.196 28.8141
1625.000000 81.292 28.8671
1650.000000 81.372 28.8278
1675.000000 81.463 28.8994
1700.000000 81.536 28.8053
1725.000000 81.613 28.7505
1750.000000 81.677 28.7339
1775.000000 81.761 28.7019
1800.000000 81.839 28.7756
1825.000000 81.908 28.6572
1850.000000 81.979 28.5720
1875.000000 82.059 28.4130
1900.000000 82.140 28.4138
1925.000000 82.201 28.2506
1950.000000 82.280 28.1642
1975.000000 82.369 28.1124
2000.000000 82.448 27.8136
2030.000000 82.513 27.8451
2060.000000 82.595 27.7768
2090.000000 82.689 27.5413
2120.000000 82.796 27.4443
2140.000000 82.859 27.3032
2180.000000 83.012 27.0020
2200.000000 83.073 26.7576
2240.000000 83.209 26.2353
2270.000000 83.301 25.6071
2300.000000 83.381 25.0223
2330.000000 83.457 24.4363
2360.000000 83.478 23.8418
2400.000000 83.545 23.0698
2430.000000 83.569 22.6517
2470.000000 83.635 21.9657
2500.000000 83.661 21.5632
2540.000000 83.696 21.1783
2580.000000 83.727 20.4710
2620.000000 83.770 20.0034
2650.000000 83.775 19.6328
2690.000000 83.828 19.1048
2720.000000 83.843 18.6583
2760.000000 83.861 18.2086
2800.000000 83.877 17.7729
2850.000000 83.916 17.2643
2900.000000 83.953 16.7855
2950.000000 84.015 16.4123
3000.000000 84.081 15.8463
3040.000000 84.120 15.0888
3070.000000 84.147 14.6103
3110.000000 84.183 13.8788
3150.000000 84.201 13.3916
3200.000000 84.228 12.5314
3250.000000 84.266 11.7039
3300.000000 84.287 10.9908
3350.000000 84.293 10.2837
3400.000000 84.327 9.4127
3450.000000 84.328 8.5083
3500.000000 84.349 7.6742
3550.000000 84.329 6.6627
3600.000000 84.294 5.7041
3650.000000 84.285 4.7318
3700.000000 84.262 3.7225
3750.000000 84.230 2.7813
3820.000000 84.143 1.4588
3870.000000 84.060 0.5018
3950.000000 83.951 -1.0700
4000.000000 83.840 -2.1290
4060.000000 83.735 -2.8736
4120.000000 83.601 -3.7450
4180.000000 83.469 -4.6466
4250.000000 83.312 -5.6157
4310.000000 83.151 -6.5026
4370.000000 82.990 -7.2550
4440.000000 82.785 -7.9862
4500.000000 82.599 -8.7958
4550.000000 82.451 -9.2288
4620.000000 82.191 -9.6841
4680.000000 81.952 -10.1457
4750.000000 81.690 -10.2335
4820.000000 81.431 -10.3452
4870.000000 81.228 -10.2167
4940.000000 80.963 -10.0333
5000.000000 80.730 -9.9300
5080.000000 80.484 -9.2531
5150.000000 80.201 -8.6639
5220.000000 79.917 -7.9035
5300.000000 79.589 -6.7838
5380.000000 79.439 -5.2534
5450.000000 79.281 -4.0989
5520.000000 79.055 -3.2399
5600.000000 78.850 -1.8116
5700.000000 78.619 0.2289
5800.000000 78.425 2.2990
5900.000000 78.266 4.4153
