* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 14:29:04 06-01-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: QKZ ZXT L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 80.205 73.9002
1.015000 79.917 73.4981
1.030000 79.628 73.0773
1.044000 79.358 72.6665
1.060000 79.048 72.1741
1.075000 78.758 71.6889
1.090000 78.469 71.1794
1.106000 78.162 70.6254
1.120000 77.899 70.2266
1.138000 77.567 69.8388
1.150000 77.349 69.6450
1.172000 76.955 69.3917
1.180000 76.812 69.3238
1.206000 76.350 69.1506
1.220000 76.100 69.0649
1.241000 75.720 68.9087
1.250000 75.555 68.8215
1.265000 75.275 68.6356
1.280000 74.990 68.3844
1.315000 74.295 67.4480
1.320000 74.191 67.2650
1.340000 73.765 66.3845
1.360000 73.318 65.2364
1.380000 72.846 63.7803
1.400000 72.348 61.9759
1.430000 71.544 58.5278
1.450000 70.965 55.6760
1.475000 70.180 51.4019
1.500000 69.242 46.1905
1.525000 68.160 40.1197
1.550000 66.966 33.3139
1.575000 65.690 25.8975
1.600000 64.365 17.9950
1.625000 63.023 9.7306
1.650000 61.695 1.2288
1.675000 60.414 -7.3861
1.700000 59.210 -15.9897
1.725000 58.117 -24.4576
1.750000 57.165 -32.6654
1.775000 56.387 -40.4888
1.800000 55.814 -47.8033
1.825000 55.477 -54.4847
1.850000 55.409 -60.6158
1.875000 55.602 -66.6207
1.900000 56.023 -72.5014
1.925000 56.639 -78.2401
1.950000 57.414 -83.8187
1.975000 58.315 -89.2192
2.000000 59.307 -94.4234
2.030000 60.570 -100.3843
2.060000 61.856 -106.0056
2.090000 63.106 -111.2562
2.120000 64.261 -116.1051
2.140000 64.948 -119.0991
2.180000 66.048 -124.4729
2.200000 66.426 -126.8337
2.240000 66.985 -130.7591
2.270000 67.298 -133.0370
2.300000 67.531 -134.8182
2.330000 67.692 -136.1698
2.360000 67.790 -137.1589
2.400000 67.839 -138.0293
2.430000 67.825 -138.4327
2.470000 67.758 -138.7655
2.500000 67.682 -138.9481
2.540000 67.563 -139.2297
2.580000 67.433 -139.6898
2.620000 67.211 -140.2992
2.650000 66.983 -140.7720
2.690000 66.617 -141.3181
2.720000 66.308 -141.5924
2.760000 65.871 -141.6724
2.800000 65.425 -141.3053
2.850000 64.894 -140.0172
2.900000 64.434 -137.5681
2.950000 64.074 -133.6370
3.000000 63.695 -127.6817
3.040000 63.380 -121.7435
3.070000 63.151 -116.8146
3.110000 62.875 -109.8652
3.150000 62.653 -102.7771
3.200000 62.485 -94.2085
3.250000 62.483 -86.5460
3.300000 62.690 -80.4086
3.350000 63.171 -75.4601
3.400000 63.899 -71.1457
3.450000 64.796 -67.4254
3.500000 65.784 -64.2589
3.550000 66.787 -61.6063
3.600000 67.728 -59.4274
3.650000 68.528 -57.6822
3.700000 69.169 -56.4708
3.750000 69.751 -56.0179
3.820000 70.481 -56.3537
3.870000 70.949 -57.0501
3.950000 71.618 -58.4740
4.000000 71.993 -59.2865
4.060000 72.400 -60.0038
4.120000 72.744 -60.8331
4.180000 73.029 -61.7822
4.250000 73.304 -62.9441
4.310000 73.500 -63.9038
4.370000 73.673 -64.7535
4.440000 73.846 -65.5714
4.500000 73.949 -66.2305
4.550000 74.008 -66.7377
4.620000 74.064 -67.3496
4.680000 74.097 -67.7510
4.750000 74.134 -68.0344
4.820000 74.165 -68.0900
4.870000 74.170 -68.0049
4.940000 74.165 -67.7379
5.000000 74.160 -67.3956
5.080000 74.169 -66.8156
5.150000 74.206 -66.2174
5.220000 74.259 -65.4276
5.300000 74.335 -64.3479
5.380000 74.432 -63.2184
5.450000 74.538 -62.3032
5.520000 74.668 -61.5396
5.600000 74.852 -60.7221
5.700000 75.120 -59.8017
5.800000 75.403 -59.1122
5.900000 75.680 -58.7732
6.000000 75.968 -58.7795
6.080000 76.201 -58.9782
6.150000 76.397 -59.2588
6.220000 76.577 -59.6106
6.300000 76.765 -60.1280
6.400000 76.982 -60.9801
6.500000 77.176 -61.9549
6.600000 77.347 -62.9398
6.700000 77.489 -63.9636
6.800000 77.606 -65.0420
6.900000 77.707 -66.0963
7.000000 77.798 -67.0586
7.100000 77.870 -67.9617
7.200000 77.931 -68.8101
7.300000 77.993 -69.5920
7.400000 78.059 -70.2903
7.500000 78.124 -70.9059
7.620000 78.208 -71.5854
7.750000 78.319 -72.3009
7.880000 78.448 -72.9581
8.000000 78.579 -73.5719
8.120000 78.723 -74.2529
8.250000 78.895 -75.0385
8.380000 79.074 -75.8863
8.500000 79.239 -76.7456
8.620000 79.408 -77.6772
8.750000 79.589 -78.7300
8.850000 79.723 -79.5542
9.000000 79.918 -80.8396
9.120000 80.069 -81.8642
9.250000 80.226 -82.9368
9.380000 80.376 -83.9892
9.500000 80.511 -84.9236
9.620000 80.645 -85.8098
9.750000 80.788 -86.7245
9.880000 80.931 -87.5977
10.000000 81.064 -88.3645
10.150000 81.230 -89.2742
10.300000 81.397 -90.1557
10.440000 81.554 -90.9509
10.600000 81.733 -91.8370
10.750000 81.898 -92.6570
10.900000 82.060 -93.4621
11.060000 82.225 -94.3064
11.200000 82.364 -95.0346
11.380000 82.534 -95.9393
11.500000 82.642 -96.5198
11.720000 82.830 -97.5368
11.800000 82.895 -97.8890
12.060000 83.096 -98.9756
12.200000 83.197 -99.5311
12.410000 83.341 -100.3251
12.500000 83.400 -100.6516
12.650000 83.497 -101.1746
12.800000 83.590 -101.6826
13.150000 83.795 -102.8343
13.200000 83.823 -102.9970
13.400000 83.932 -103.6440
13.600000 84.037 -104.2884
13.800000 84.137 -104.9292
14.000000 84.233 -105.5881
14.300000 84.369 -106.6142
14.500000 84.454 -107.3168
14.750000 84.553 -108.2072
15.000000 84.644 -109.1087
15.250000 84.731 -110.0323
15.500000 84.814 -110.9581
15.750000 84.894 -111.8805
16.000000 84.973 -112.8043
16.250000 85.051 -113.7327
16.500000 85.129 -114.6636
16.750000 85.205 -115.5914
17.000000 85.281 -116.5060
17.250000 85.356 -117.4029
17.500000 85.432 -118.2766
17.750000 85.510 -119.1297
18.000000 85.589 -119.9626
18.250000 85.669 -120.7760
18.500000 85.749 -121.5777
18.750000 85.828 -122.3642
19.000000 85.904 -123.1319
19.250000 85.977 -123.8683
19.500000 86.048 -124.5726
19.750000 86.116 -125.2445
20.000000 86.184 -125.8894
20.299999 86.264 -126.6414
20.600000 86.341 -127.3816
20.900000 86.413 -128.1197
21.200001 86.478 -128.8594
21.400000 86.517 -129.3463
21.799999 86.585 -130.2918
22.000000 86.614 -130.7487
22.400000 86.668 -131.6395
22.700001 86.705 -132.2857
23.000000 86.740 -132.9220
23.299999 86.774 -133.5614
23.600000 86.807 -134.2008
24.000000 86.851 -135.0592
24.299999 86.884 -135.7177
24.700001 86.926 -136.6149
25.000000 86.955 -137.2920
25.400000 86.991 -138.1819
25.799999 87.025 -139.0329
26.200001 87.063 -139.8395
26.500000 87.094 -140.4276
26.900000 87.140 -141.2108
27.200001 87.175 -141.8057
27.600000 87.218 -142.6026
28.000000 87.253 -143.3762
28.500000 87.290 -144.2611
29.000000 87.325 -145.0553
29.500000 87.362 -145.8039
30.000000 87.401 -146.5558
30.400000 87.428 -147.1747
30.700001 87.444 -147.6407
31.100000 87.461 -148.2524
31.500000 87.475 -148.8464
32.000000 87.493 -149.5666
32.500000 87.513 -150.3012
33.000000 87.531 -151.0707
33.500000 87.544 -151.8576
34.000000 87.550 -152.6166
34.500000 87.555 -153.3236
35.000000 87.563 -153.9825
35.500000 87.577 -154.6137
36.000000 87.597 -155.2345
36.500000 87.618 -155.8613
37.000000 87.640 -156.4992
37.500000 87.657 -157.1329
38.200001 87.677 -157.9987
38.700001 87.689 -158.6102
39.500000 87.699 -159.5965
40.000000 87.696 -160.1857
40.599998 87.689 -160.8377
41.200001 87.686 -161.4562
41.799999 87.684 -162.0862
42.500000 87.676 -162.8141
43.099998 87.668 -163.3958
43.700001 87.663 -163.9558
44.400002 87.658 -164.6093
45.000000 87.653 -165.1579
45.500000 87.651 -165.6087
46.200001 87.648 -166.2426
46.799999 87.647 -166.7846
47.500000 87.644 -167.4168
48.200001 87.642 -168.0824
48.700001 87.636 -168.5745
49.400002 87.619 -169.2089
50.000000 87.605 -169.6758
50.799999 87.601 -170.2895
51.500000 87.594 -170.8888
52.200001 87.572 -171.4403
53.000000 87.548 -171.9239
53.799999 87.541 -172.4183
54.500000 87.531 -172.8955
55.200001 87.522 -173.3526
56.000000 87.519 -173.9637
57.000000 87.480 -174.8341
58.000000 87.440 -175.3749
59.000000 87.441 -176.0602
60.000000 87.400 -176.7777
60.799999 87.385 -177.1327
61.500000 87.391 -177.5806
62.200001 87.374 -178.1306
63.000000 87.333 -178.6086
64.000000 87.302 -179.1205
65.000000 87.259 -179.6569
66.000000 87.226 179.9443
67.000000 87.200 179.3707
68.000000 87.151 178.8932
69.000000 87.126 178.5079
70.000000 87.093 178.0084
71.000000 87.063 177.6786
72.000000 87.059 177.2106
73.000000 87.025 176.6769
74.000000 86.992 176.2761
75.000000 86.961 175.8208
76.199997 86.915 175.4556
77.500000 86.901 174.9753
78.800003 86.856 174.5718
80.000000 86.866 174.1369
81.199997 86.824 173.4568
82.500000 86.787 173.0842
83.800003 86.760 172.4857
85.000000 86.720 172.0981
86.199997 86.700 171.6669
87.500000 86.666 171.2023
88.500000 86.652 170.8412
90.000000 86.598 170.1982
91.199997 86.568 169.8841
92.500000 86.535 169.3306
93.800003 86.488 168.9630
95.000000 86.462 168.4874
96.199997 86.411 168.0977
97.500000 86.378 167.6675
98.800003 86.325 167.3115
100.000000 86.301 166.9904
101.500000 86.256 166.5068
103.000000 86.189 165.9620
104.400002 86.122 165.7083
106.000000 86.078 165.3922
107.500000 86.042 164.9657
109.000000 85.991 164.6218
110.599998 85.948 164.2983
112.000000 85.896 164.0696
113.800003 85.849 163.8551
115.000000 85.817 163.6833
117.199997 85.777 163.2653
118.000000 85.757 163.0219
120.599998 85.674 162.4692
122.000000 85.639 162.0674
124.099998 85.566 161.6335
125.000000 85.546 161.4442
126.500000 85.509 161.0676
128.000000 85.457 160.6972
131.500000 85.333 160.0621
132.000000 85.319 159.9966
134.000000 85.258 159.6207
136.000000 85.200 159.3073
138.000000 85.129 158.9388
140.000000 85.061 158.6634
143.000000 84.957 158.1617
145.000000 84.892 157.8242
147.500000 84.811 157.5518
150.000000 84.738 157.2259
152.500000 84.655 156.9667
155.000000 84.576 156.7758
157.500000 84.495 156.4356
160.000000 84.409 156.2355
162.500000 84.336 155.9995
165.000000 84.256 155.7300
167.500000 84.180 155.5379
170.000000 84.101 155.3705
172.500000 84.033 155.1672
175.000000 83.959 155.0503
177.500000 83.894 154.9313
180.000000 83.822 154.7574
182.500000 83.754 154.6191
185.000000 83.681 154.4875
187.500000 83.623 154.3626
190.000000 83.555 154.1706
192.500000 83.487 154.0839
195.000000 83.420 153.9358
197.500000 83.349 153.7957
200.000000 83.275 153.6630
203.000000 83.198 153.6441
206.000000 83.120 153.5202
209.000000 83.038 153.4504
212.000000 82.956 153.4222
214.000000 82.904 153.3328
218.000000 82.800 153.2693
220.000000 82.749 153.1945
224.000000 82.647 153.1921
227.000000 82.567 153.1770
230.000000 82.493 153.1527
233.000000 82.426 153.1528
236.000000 82.347 153.1263
240.000000 82.260 153.1343
243.000000 82.188 153.1231
247.000000 82.087 153.1447
250.000000 82.008 153.1619
254.000000 81.932 153.2561
258.000000 81.837 153.3574
262.000000 81.751 153.4129
265.000000 81.686 153.4642
269.000000 81.600 153.5562
272.000000 81.533 153.6768
276.000000 81.453 153.7841
280.000000 81.365 153.8855
285.000000 81.272 154.0709
290.000000 81.179 154.1893
295.000000 81.082 154.4040
300.000000 80.998 154.6029
304.000000 80.923 154.7507
307.000000 80.873 154.8668
311.000000 80.796 155.0076
315.000000 80.717 155.1691
