* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 18:35:21 14-06-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: QoA Adonis New L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 85.410 129.4648
1.015000 85.306 128.8009
1.030000 85.200 128.1450
1.044000 85.099 127.5405
1.060000 84.983 126.8594
1.075000 84.872 126.2307
1.090000 84.760 125.6120
1.106000 84.638 124.9622
1.120000 84.529 124.3951
1.138000 84.387 123.6669
1.150000 84.290 123.1827
1.172000 84.109 122.2995
1.180000 84.042 121.9802
1.206000 83.821 120.9518
1.220000 83.700 120.4051
1.241000 83.516 119.5964
1.250000 83.436 119.2545
1.265000 83.302 118.6918
1.280000 83.167 118.1387
1.315000 82.847 116.8905
1.320000 82.800 116.7175
1.340000 82.615 116.0405
1.360000 82.427 115.3887
1.380000 82.239 114.7645
1.400000 82.050 114.1699
1.430000 81.765 113.3385
1.450000 81.575 112.8277
1.475000 81.337 112.2404
1.500000 81.090 111.6976
1.525000 80.835 111.1956
1.550000 80.573 110.7343
1.575000 80.306 110.3133
1.600000 80.037 109.9325
1.625000 79.766 109.5915
1.650000 79.496 109.2901
1.675000 79.229 109.0280
1.700000 78.966 108.8050
1.725000 78.709 108.6208
1.750000 78.461 108.4752
1.775000 78.222 108.3679
1.800000 77.996 108.2987
1.825000 77.783 108.2672
1.850000 77.582 108.2948
1.875000 77.384 108.4244
1.900000 77.191 108.6424
1.925000 77.002 108.9330
1.950000 76.820 109.2802
1.975000 76.644 109.6681
2.000000 76.476 110.0808
2.030000 76.287 110.5864
2.060000 76.111 111.0773
2.090000 75.950 111.5261
2.120000 75.807 111.9052
2.140000 75.721 112.1056
2.180000 75.577 112.3444
2.200000 75.518 112.3670
2.240000 75.436 112.3325
2.270000 75.402 112.2683
2.300000 75.388 112.1619
2.330000 75.392 112.0049
2.360000 75.412 111.7887
2.400000 75.458 111.3940
2.430000 75.502 111.0071
2.470000 75.571 110.3541
2.500000 75.626 109.7505
2.540000 75.698 108.7780
2.580000 75.766 107.5927
2.620000 75.846 106.1691
2.650000 75.915 104.9592
2.690000 76.018 103.1823
2.720000 76.101 101.7448
2.760000 76.216 99.7142
2.800000 76.336 97.5834
2.850000 76.485 94.8284
2.900000 76.629 92.0311
2.950000 76.764 89.2313
3.000000 76.899 86.2761
3.040000 77.009 83.8001
3.070000 77.092 81.8959
3.110000 77.201 79.3161
3.150000 77.309 76.7148
3.200000 77.439 73.4748
3.250000 77.563 70.2979
3.300000 77.679 67.2370
3.350000 77.789 64.2245
3.400000 77.896 61.2076
3.450000 77.998 58.2152
3.500000 78.094 55.2763
3.550000 78.182 52.4198
3.600000 78.261 49.6748
3.650000 78.330 47.0702
3.700000 78.386 44.6030
3.750000 78.432 42.2189
3.820000 78.481 39.0446
3.870000 78.506 36.9146
3.950000 78.530 33.7874
4.000000 78.538 32.0322
4.060000 78.538 30.1463
4.120000 78.519 28.4756
4.180000 78.486 27.0122
4.250000 78.441 25.5630
4.310000 78.405 24.5387
4.370000 78.378 23.7123
4.440000 78.362 23.0278
4.500000 78.346 22.7367
4.550000 78.335 22.6623
4.620000 78.330 22.7432
4.680000 78.344 22.9174
4.750000 78.389 23.1562
4.820000 78.472 23.4673
4.870000 78.550 23.8132
4.940000 78.682 24.3922
5.000000 78.811 24.9032
5.080000 78.997 25.4836
5.150000 79.167 25.7934
5.220000 79.359 25.9878
5.300000 79.600 26.1083
5.380000 79.846 26.1101
5.450000 80.050 26.0058
5.520000 80.232 25.7911
5.600000 80.431 25.3693
5.700000 80.664 24.6516
5.800000 80.865 23.8458
5.900000 81.021 23.0585
6.000000 81.135 22.1872
6.080000 81.201 21.4727
6.150000 81.242 20.8885
6.220000 81.270 20.3867
6.300000 81.282 19.9062
6.400000 81.264 19.3894
6.500000 81.226 19.0070
6.600000 81.186 18.8033
6.700000 81.138 18.8150
6.800000 81.079 19.0013
6.900000 81.027 19.2954
7.000000 80.995 19.6496
7.100000 80.979 20.1407
7.200000 80.974 20.6928
7.300000 80.981 21.1914
7.400000 81.005 21.5833
7.500000 81.045 21.9350
7.620000 81.101 22.2464
7.750000 81.151 22.3650
7.880000 81.201 22.2567
8.000000 81.235 22.0242
8.120000 81.244 21.7080
8.250000 81.230 21.2250
8.380000 81.194 20.6998
8.500000 81.141 20.2552
8.620000 81.065 19.8087
8.750000 80.973 19.3683
8.850000 80.901 19.0938
9.000000 80.781 18.7713
9.120000 80.689 18.5518
9.250000 80.603 18.3405
9.380000 80.525 18.1690
9.500000 80.464 17.9758
9.620000 80.415 17.7163
9.750000 80.375 17.3869
9.880000 80.341 16.9717
10.000000 80.314 16.4888
10.150000 80.285 15.7771
10.300000 80.255 14.9868
10.440000 80.224 14.1629
10.600000 80.188 13.1801
10.750000 80.152 12.2632
10.900000 80.117 11.3409
11.060000 80.086 10.3988
11.200000 80.064 9.6079
11.380000 80.049 8.6253
11.500000 80.048 7.9938
11.720000 80.062 6.8688
11.800000 80.072 6.4634
12.060000 80.121 5.1738
12.200000 80.151 4.5030
12.410000 80.203 3.5382
12.500000 80.225 3.1556
12.650000 80.263 2.5531
12.800000 80.304 2.0051
13.150000 80.406 0.9695
13.200000 80.422 0.8425
13.400000 80.490 0.3933
13.600000 80.561 -0.0066
13.800000 80.633 -0.3732
14.000000 80.699 -0.7181
14.300000 80.782 -1.1910
14.500000 80.821 -1.4535
14.750000 80.854 -1.6905
15.000000 80.871 -1.8167
15.250000 80.881 -1.8306
15.500000 80.888 -1.8234
15.750000 80.892 -1.8017
16.000000 80.890 -1.8372
16.250000 80.876 -1.9389
16.500000 80.846 -2.0999
16.750000 80.798 -2.2957
17.000000 80.738 -2.4980
17.250000 80.670 -2.7072
17.500000 80.601 -2.9283
17.750000 80.534 -3.2003
18.000000 80.469 -3.5403
18.250000 80.407 -3.9671
18.500000 80.345 -4.4719
18.750000 80.283 -5.0342
19.000000 80.223 -5.6351
19.250000 80.168 -6.2502
19.500000 80.121 -6.8781
19.750000 80.084 -7.5168
20.000000 80.058 -8.1707
20.299999 80.038 -8.9648
20.600000 80.027 -9.7482
20.900000 80.025 -10.4908
21.200001 80.030 -11.1656
21.400000 80.038 -11.5743
21.799999 80.064 -12.3043
22.000000 80.080 -12.6305
22.400000 80.110 -13.2094
22.700001 80.127 -13.5666
23.000000 80.138 -13.8437
23.299999 80.146 -14.0454
23.600000 80.149 -14.1935
24.000000 80.148 -14.3528
24.299999 80.138 -14.4716
24.700001 80.109 -14.6369
25.000000 80.075 -14.7599
25.400000 80.019 -14.9237
25.799999 79.956 -15.1188
26.200001 79.886 -15.3861
26.500000 79.831 -15.6414
26.900000 79.751 -16.0410
27.200001 79.691 -16.3710
27.600000 79.616 -16.8461
28.000000 79.550 -17.3702
28.500000 79.479 -18.0897
29.000000 79.420 -18.8225
29.500000 79.377 -19.5121
30.000000 79.350 -20.1564
30.400000 79.334 -20.6425
30.700001 79.323 -20.9766
31.100000 79.307 -21.3546
31.500000 79.290 -21.6484
32.000000 79.272 -21.9357
32.500000 79.251 -22.1953
33.000000 79.216 -22.4412
33.500000 79.167 -22.6535
34.000000 79.110 -22.8458
34.500000 79.046 -23.0620
35.000000 78.976 -23.3205
35.500000 78.902 -23.6113
36.000000 78.828 -23.9300
36.500000 78.757 -24.2807
37.000000 78.691 -24.6548
37.500000 78.631 -25.0377
38.200001 78.556 -25.5734
38.700001 78.507 -25.9317
39.500000 78.437 -26.4012
40.000000 78.399 -26.6564
40.599998 78.350 -26.9584
41.200001 78.288 -27.2023
41.799999 78.223 -27.3429
42.500000 78.155 -27.4686
43.099998 78.095 -27.6327
43.700001 78.026 -27.8052
44.400002 77.940 -27.9229
45.000000 77.880 -27.9581
45.500000 77.841 -27.9922
46.200001 77.799 -28.0771
46.799999 77.771 -28.1533
47.500000 77.757 -28.2868
48.200001 77.749 -28.6214
48.700001 77.723 -28.9603
49.400002 77.654 -29.3397
50.000000 77.594 -29.4710
50.799999 77.548 -29.5843
51.500000 77.525 -29.8461
52.200001 77.493 -30.2317
53.000000 77.441 -30.6426
53.799999 77.395 -30.9609
54.500000 77.362 -31.2492
55.200001 77.322 -31.5471
56.000000 77.270 -31.8432
57.000000 77.196 -32.1777
58.000000 77.117 -32.4578
59.000000 77.041 -32.8559
60.000000 76.944 -33.2685
60.799999 76.878 -33.5416
61.500000 76.822 -33.8284
62.200001 76.760 -34.0627
63.000000 76.701 -34.2125
64.000000 76.641 -34.4572
65.000000 76.566 -34.6873
66.000000 76.492 -34.8981
67.000000 76.408 -35.1547
68.000000 76.317 -35.4764
69.000000 76.204 -35.6840
70.000000 76.140 -35.7106
71.000000 76.084 -36.0867
72.000000 75.992 -36.2192
73.000000 75.942 -36.2945
74.000000 75.861 -36.4768
75.000000 75.792 -36.4325
76.199997 75.712 -36.6970
77.500000 75.591 -36.7754
78.800003 75.486 -36.8997
80.000000 75.414 -36.9183
81.199997 75.318 -37.2647
82.500000 75.219 -37.1475
83.800003 75.144 -37.4456
85.000000 75.059 -37.4279
86.199997 75.000 -37.6395
87.500000 74.899 -37.6513
88.500000 74.847 -37.6597
90.000000 74.732 -37.6245
91.199997 74.667 -37.5379
92.500000 74.578 -37.5186
93.800003 74.513 -37.5056
95.000000 74.405 -37.5284
96.199997 74.353 -37.2245
97.500000 74.245 -37.1969
98.800003 74.273 -36.5492
100.000000 74.207 -37.2606
101.500000 74.164 -36.0820
103.000000 74.214 -36.4516
104.400002 74.224 -36.6636
106.000000 74.124 -36.7872
107.500000 74.074 -37.2006
109.000000 73.992 -37.3054
110.599998 73.877 -37.5594
112.000000 73.862 -37.7007
113.800003 73.718 -37.6842
115.000000 73.701 -37.5362
117.199997 73.696 -37.7036
118.000000 73.623 -37.9418
120.599998 73.565 -38.0337
122.000000 73.485 -37.8989
124.099998 73.412 -38.1975
125.000000 73.367 -38.2383
126.500000 73.317 -38.3433
128.000000 73.213 -38.5330
131.500000 73.070 -38.5994
132.000000 73.058 -38.6003
134.000000 72.956 -38.7704
136.000000 72.862 -38.7468
138.000000 72.785 -38.8520
140.000000 72.679 -38.7067
143.000000 72.565 -38.5260
145.000000 72.485 -38.7408
147.500000 72.384 -38.5589
150.000000 72.266 -38.5049
152.500000 72.172 -38.3802
155.000000 72.093 -38.3527
157.500000 72.025 -38.3302
160.000000 71.947 -38.2833
162.500000 71.861 -38.1807
165.000000 71.783 -38.1091
167.500000 71.694 -38.1892
170.000000 71.600 -38.0625
172.500000 71.497 -37.9657
175.000000 71.425 -37.9201
177.500000 71.343 -37.7224
180.000000 71.241 -37.6239
182.500000 71.147 -37.5148
185.000000 71.062 -37.3487
187.500000 71.000 -37.1146
190.000000 70.913 -36.7166
192.500000 70.859 -36.5742
195.000000 70.803 -36.1240
197.500000 70.752 -35.9538
200.000000 70.676 -35.7333
203.000000 70.623 -35.5414
206.000000 70.560 -35.3361
209.000000 70.520 -34.9945
212.000000 70.466 -34.8353
214.000000 70.472 -34.4430
218.000000 70.419 -34.3899
220.000000 70.408 -34.3970
224.000000 70.330 -34.4368
227.000000 70.240 -34.5694
230.000000 70.216 -34.6154
233.000000 70.145 -34.4992
236.000000 70.081 -34.6051
240.000000 69.971 -34.4863
243.000000 69.902 -34.4031
247.000000 69.785 -34.2333
250.000000 69.752 -34.0736
254.000000 69.635 -33.8815
258.000000 69.554 -33.5295
262.000000 69.447 -33.5621
265.000000 69.391 -33.1876
269.000000 69.336 -33.0573
272.000000 69.238 -33.0860
276.000000 69.184 -32.5434
280.000000 69.126 -32.7464
285.000000 69.036 -32.2703
290.000000 68.894 -31.8628
295.000000 68.810 -31.6067
300.000000 68.701 -31.3847
304.000000 68.678 -31.0501
307.000000 68.621 -30.8044
311.000000 68.552 -30.6680
315.000000 68.493 -30.4017
320.000000 68.424 -29.9522
325.000000 68.324 -29.7831
