* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 18:24:58 14-06-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: QoA Adonis New R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 85.153 129.8234
1.015000 85.038 129.1859
1.030000 84.921 128.5591
1.044000 84.810 127.9843
1.060000 84.681 127.3404
1.075000 84.558 126.7498
1.090000 84.433 126.1726
1.106000 84.298 125.5704
1.120000 84.176 125.0434
1.138000 84.017 124.3646
1.150000 83.908 123.9123
1.172000 83.705 123.0866
1.180000 83.630 122.7882
1.206000 83.381 121.8294
1.220000 83.244 121.3219
1.241000 83.036 120.5756
1.250000 82.946 120.2621
1.265000 82.794 119.7495
1.280000 82.641 119.2503
1.315000 82.278 118.1468
1.320000 82.226 117.9969
1.340000 82.015 117.4194
1.360000 81.803 116.8794
1.380000 81.590 116.3807
1.400000 81.375 115.9268
1.430000 81.053 115.3379
1.450000 80.837 115.0120
1.475000 80.567 114.6836
1.500000 80.284 114.4273
1.525000 79.989 114.2370
1.550000 79.685 114.1109
1.575000 79.373 114.0470
1.600000 79.058 114.0436
1.625000 78.743 114.0987
1.650000 78.429 114.2105
1.675000 78.120 114.3771
1.700000 77.818 114.5967
1.725000 77.527 114.8673
1.750000 77.250 115.1872
1.775000 76.989 115.5544
1.800000 76.747 115.9671
1.825000 76.527 116.4235
1.850000 76.327 116.9583
1.875000 76.139 117.6447
1.900000 75.962 118.4612
1.925000 75.797 119.3824
1.950000 75.643 120.3826
1.975000 75.501 121.4365
2.000000 75.370 122.5185
2.030000 75.229 123.8180
2.060000 75.105 125.0772
2.090000 74.998 126.2521
2.120000 74.908 127.2984
2.140000 74.858 127.9028
2.180000 74.782 128.8294
2.200000 74.755 129.1262
2.240000 74.742 129.5235
2.270000 74.765 129.6995
2.300000 74.813 129.7700
2.330000 74.881 129.7342
2.360000 74.965 129.5914
2.400000 75.094 129.2333
2.430000 75.198 128.8380
2.470000 75.339 128.1404
2.500000 75.439 127.4883
2.540000 75.560 126.4458
2.580000 75.658 125.1941
2.620000 75.753 123.6627
2.650000 75.826 122.3406
2.690000 75.923 120.3787
2.720000 75.996 118.7800
2.760000 76.092 116.5107
2.800000 76.185 114.1212
2.850000 76.297 111.0263
2.900000 76.402 107.8849
2.950000 76.498 104.7476
3.000000 76.587 101.4362
3.040000 76.653 98.6591
3.070000 76.701 96.5212
3.110000 76.761 93.6216
3.150000 76.818 90.6933
3.200000 76.886 87.0382
3.250000 76.950 83.4437
3.300000 77.011 79.9677
3.350000 77.070 76.5292
3.400000 77.126 73.0695
3.450000 77.179 69.6263
3.500000 77.227 66.2371
3.550000 77.269 62.9396
3.600000 77.305 59.7714
3.650000 77.332 56.7701
3.700000 77.350 53.9311
3.750000 77.361 51.1830
3.820000 77.364 47.5209
3.870000 77.358 45.0659
3.950000 77.338 41.4745
4.000000 77.320 39.4728
4.060000 77.290 37.3427
4.120000 77.242 35.4759
4.180000 77.182 33.8607
4.250000 77.110 32.2869
4.310000 77.054 31.1980
4.370000 77.015 30.3432
4.440000 76.992 29.6815
4.500000 76.976 29.4799
4.550000 76.968 29.5150
4.620000 76.976 29.7753
4.680000 77.005 30.1029
4.750000 77.077 30.4879
4.820000 77.197 30.9099
4.870000 77.310 31.3366
4.940000 77.497 32.0195
5.000000 77.676 32.6004
5.080000 77.929 33.2284
5.150000 78.152 33.5204
5.220000 78.397 33.6358
5.300000 78.699 33.6100
5.380000 79.002 33.4302
5.450000 79.251 33.1580
5.520000 79.472 32.7809
5.600000 79.707 32.1536
5.700000 79.977 31.1584
5.800000 80.207 30.0836
5.900000 80.387 29.0648
6.000000 80.515 27.9831
6.080000 80.588 27.1165
6.150000 80.633 26.4155
6.220000 80.665 25.8158
6.300000 80.679 25.2479
6.400000 80.660 24.6539
6.500000 80.620 24.2261
6.600000 80.580 24.0056
6.700000 80.533 24.0379
6.800000 80.477 24.2768
6.900000 80.429 24.6364
7.000000 80.407 25.0537
7.100000 80.403 25.6202
7.200000 80.414 26.2503
7.300000 80.439 26.8121
7.400000 80.481 27.2416
7.500000 80.543 27.6141
7.620000 80.623 27.9322
7.750000 80.696 28.0371
7.880000 80.765 27.8871
8.000000 80.814 27.6074
8.120000 80.834 27.2498
8.250000 80.829 26.7204
8.380000 80.798 26.1563
8.500000 80.748 25.6916
8.620000 80.674 25.2370
8.750000 80.583 24.7986
8.850000 80.511 24.5331
9.000000 80.393 24.2393
9.120000 80.303 24.0454
9.250000 80.220 23.8573
9.380000 80.146 23.7087
9.500000 80.089 23.5291
9.620000 80.043 23.2716
9.750000 80.007 22.9342
9.880000 79.975 22.5036
10.000000 79.948 21.9991
10.150000 79.918 21.2518
10.300000 79.885 20.4268
10.440000 79.850 19.5709
10.600000 79.808 18.5542
10.750000 79.767 17.6126
10.900000 79.725 16.6696
11.060000 79.690 15.7056
11.200000 79.666 14.8969
11.380000 79.649 13.8842
11.500000 79.649 13.2262
11.720000 79.666 12.0396
11.800000 79.677 11.6063
12.060000 79.731 10.2100
12.200000 79.764 9.4764
12.410000 79.819 8.4126
12.500000 79.843 7.9899
12.650000 79.884 7.3220
12.800000 79.926 6.7128
13.150000 80.037 5.5562
13.200000 80.055 5.4135
13.400000 80.130 4.9056
13.600000 80.208 4.4497
13.800000 80.289 4.0280
14.000000 80.363 3.6301
14.300000 80.458 3.0841
14.500000 80.504 2.7820
14.750000 80.545 2.5097
15.000000 80.570 2.3648
15.250000 80.590 2.3357
15.500000 80.606 2.3563
15.750000 80.621 2.3839
16.000000 80.630 2.3525
16.250000 80.625 2.2535
16.500000 80.604 2.0948
16.750000 80.564 1.9035
17.000000 80.510 1.7088
17.250000 80.448 1.5095
17.500000 80.383 1.2996
17.750000 80.320 1.0385
18.000000 80.259 0.7099
18.250000 80.198 0.2954
18.500000 80.137 -0.1943
18.750000 80.076 -0.7402
19.000000 80.017 -1.3244
19.250000 79.964 -1.9285
19.500000 79.920 -2.5546
19.750000 79.886 -3.2031
20.000000 79.862 -3.8786
20.299999 79.844 -4.7072
20.600000 79.834 -5.5268
20.900000 79.832 -6.3009
21.200001 79.839 -7.0011
21.400000 79.850 -7.4273
21.799999 79.884 -8.2023
22.000000 79.904 -8.5581
22.400000 79.942 -9.2076
22.700001 79.963 -9.6153
23.000000 79.977 -9.9270
23.299999 79.987 -10.1421
23.600000 79.996 -10.2862
24.000000 80.005 -10.4295
24.299999 80.006 -10.5435
24.700001 79.992 -10.7221
25.000000 79.968 -10.8659
25.400000 79.921 -11.0580
25.799999 79.864 -11.2668
26.200001 79.800 -11.5310
26.500000 79.749 -11.7794
26.900000 79.675 -12.1720
27.200001 79.619 -12.5008
27.600000 79.547 -12.9747
28.000000 79.482 -13.4896
28.500000 79.414 -14.1842
29.000000 79.362 -14.8988
29.500000 79.328 -15.6027
30.000000 79.308 -16.2918
30.400000 79.296 -16.8167
30.700001 79.287 -17.1730
31.100000 79.274 -17.5712
31.500000 79.263 -17.8829
32.000000 79.254 -18.2038
32.500000 79.241 -18.5077
33.000000 79.213 -18.7917
33.500000 79.172 -19.0270
34.000000 79.123 -19.2344
34.500000 79.070 -19.4672
35.000000 79.011 -19.7451
35.500000 78.947 -20.0576
36.000000 78.883 -20.4027
36.500000 78.821 -20.7835
37.000000 78.764 -21.1871
37.500000 78.712 -21.5994
38.200001 78.648 -22.1885
38.700001 78.603 -22.5881
39.500000 78.537 -23.0796
40.000000 78.506 -23.3235
40.599998 78.473 -23.6353
41.200001 78.428 -23.9501
41.799999 78.374 -24.1988
42.500000 78.313 -24.4366
43.099998 78.261 -24.6729
43.700001 78.203 -24.9242
44.400002 78.138 -25.1816
45.000000 78.094 -25.4017
45.500000 78.064 -25.6422
46.200001 78.015 -26.0560
46.799999 77.959 -26.3452
47.500000 77.904 -26.5128
48.200001 77.878 -26.7340
48.700001 77.854 -27.0300
49.400002 77.782 -27.4496
50.000000 77.707 -27.6102
50.799999 77.642 -27.7171
51.500000 77.600 -28.0228
52.200001 77.535 -28.4480
53.000000 77.439 -28.7895
53.799999 77.361 -28.9567
54.500000 77.312 -29.0998
55.200001 77.266 -29.2988
56.000000 77.200 -29.5053
57.000000 77.112 -29.6151
58.000000 77.029 -29.6944
59.000000 76.948 -29.7784
60.000000 76.867 -29.9194
60.799999 76.812 -29.9522
61.500000 76.793 -30.0621
62.200001 76.767 -30.3304
63.000000 76.724 -30.4764
64.000000 76.725 -30.6778
65.000000 76.684 -31.0529
66.000000 76.672 -31.1603
67.000000 76.626 -31.7294
68.000000 76.546 -31.6632
69.000000 76.544 -32.1298
70.000000 76.395 -32.5801
71.000000 76.348 -32.3589
72.000000 76.289 -33.0249
73.000000 76.162 -33.0300
74.000000 76.153 -33.1893
75.000000 76.062 -33.7548
76.199997 75.975 -33.7895
77.500000 75.902 -34.1020
78.800003 75.825 -34.2934
80.000000 75.726 -34.3018
81.199997 75.685 -34.4458
82.500000 75.557 -34.6935
83.800003 75.500 -34.8108
85.000000 75.414 -35.1406
86.199997 75.339 -35.3009
87.500000 75.268 -35.3306
88.500000 75.227 -35.4571
90.000000 75.125 -35.6536
91.199997 75.029 -35.7657
92.500000 74.952 -35.7569
93.800003 74.873 -36.0015
95.000000 74.815 -35.9958
96.199997 74.749 -36.1411
97.500000 74.699 -36.0271
98.800003 74.598 -36.0352
100.000000 74.591 -35.7454
101.500000 74.438 -36.2805
103.000000 74.357 -35.6041
104.400002 74.320 -35.6910
106.000000 74.231 -35.7680
107.500000 74.199 -35.6922
109.000000 74.131 -35.7448
110.599998 74.097 -35.8998
112.000000 74.020 -35.9101
113.800003 73.968 -36.0435
115.000000 73.891 -36.1106
117.199997 73.839 -36.3258
118.000000 73.798 -36.3959
120.599998 73.684 -36.4223
122.000000 73.614 -36.4790
124.099998 73.522 -36.4679
125.000000 73.474 -36.4171
126.500000 73.429 -36.4082
128.000000 73.368 -36.5607
131.500000 73.222 -36.4786
132.000000 73.205 -36.4469
134.000000 73.120 -36.3390
136.000000 73.034 -36.4241
138.000000 72.949 -36.3951
140.000000 72.885 -36.2479
143.000000 72.804 -36.1929
145.000000 72.718 -36.2252
147.500000 72.639 -36.1743
150.000000 72.567 -36.2886
152.500000 72.475 -36.1427
155.000000 72.389 -36.1634
157.500000 72.310 -35.9555
160.000000 72.221 -35.8431
162.500000 72.153 -35.8706
165.000000 72.064 -35.6975
167.500000 72.004 -35.7277
170.000000 71.929 -35.5985
172.500000 71.858 -35.5761
175.000000 71.785 -35.4759
177.500000 71.698 -35.3297
180.000000 71.625 -35.4084
182.500000 71.541 -35.3153
185.000000 71.472 -35.1964
187.500000 71.404 -35.1089
190.000000 71.333 -34.9973
192.500000 71.270 -34.9223
195.000000 71.199 -34.6739
197.500000 71.123 -34.6055
200.000000 71.028 -34.5334
203.000000 70.955 -34.3020
206.000000 70.901 -33.9802
209.000000 70.807 -33.7800
212.000000 70.724 -33.5801
214.000000 70.683 -33.4542
218.000000 70.620 -32.9812
220.000000 70.577 -32.8071
224.000000 70.524 -32.4892
227.000000 70.513 -32.4012
230.000000 70.462 -32.2111
233.000000 70.375 -32.3350
236.000000 70.339 -32.2658
240.000000 70.222 -32.1181
243.000000 70.160 -31.8383
247.000000 70.102 -31.8043
250.000000 70.016 -31.5628
254.000000 69.921 -31.3728
258.000000 69.854 -31.1894
262.000000 69.822 -30.9901
265.000000 69.717 -30.8133
269.000000 69.653 -30.4838
272.000000 69.601 -30.3357
276.000000 69.530 -30.0089
280.000000 69.470 -29.8139
285.000000 69.369 -29.5387
290.000000 69.279 -29.1771
295.000000 69.222 -29.1321
300.000000 69.134 -28.6426
304.000000 69.056 -28.3220
307.000000 69.013 -27.9751
311.000000 68.943 -27.7003
315.000000 68.899 -27.6636
320.000000 68.848 -27.3050
325.000000 68.772 -26.8746
330.000000 68.691 -26.4022
