* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 22:22:36 21-04-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Quattro W1 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.685 143.4359
1.015000 84.618 143.0041
1.030000 84.551 142.5787
1.044000 84.489 142.1876
1.060000 84.417 141.7479
1.075000 84.350 141.3429
1.090000 84.283 140.9453
1.106000 84.211 140.5294
1.120000 84.148 140.1717
1.138000 84.064 139.7200
1.150000 84.008 139.4240
1.172000 83.903 138.8914
1.180000 83.865 138.7010
1.206000 83.738 138.0941
1.220000 83.669 137.7745
1.241000 83.565 137.3046
1.250000 83.521 137.1066
1.265000 83.446 136.7811
1.280000 83.372 136.4609
1.315000 83.198 135.7347
1.320000 83.174 135.6333
1.340000 83.076 135.2332
1.360000 82.979 134.8419
1.380000 82.883 134.4592
1.400000 82.789 134.0848
1.430000 82.651 133.5385
1.450000 82.562 133.1840
1.475000 82.454 132.7531
1.500000 82.346 132.3482
1.525000 82.238 131.9694
1.550000 82.131 131.6131
1.575000 82.025 131.2757
1.600000 81.920 130.9538
1.625000 81.818 130.6438
1.650000 81.717 130.3421
1.675000 81.619 130.0452
1.700000 81.524 129.7496
1.725000 81.433 129.4518
1.750000 81.346 129.1481
1.775000 81.263 128.8350
1.800000 81.186 128.5090
1.825000 81.113 128.1666
1.850000 81.046 127.8141
1.875000 80.983 127.4716
1.900000 80.924 127.1364
1.925000 80.870 126.8052
1.950000 80.819 126.4744
1.975000 80.772 126.1404
2.000000 80.729 125.7999
2.030000 80.681 125.3775
2.060000 80.638 124.9345
2.090000 80.600 124.4647
2.120000 80.566 123.9621
2.140000 80.546 123.6058
2.180000 80.510 122.8341
2.200000 80.495 122.4153
2.240000 80.472 121.5284
2.270000 80.462 120.8270
2.300000 80.458 120.0951
2.330000 80.458 119.3331
2.360000 80.462 118.5414
2.400000 80.474 117.4404
2.430000 80.486 116.5812
2.470000 80.505 115.3918
2.500000 80.520 114.4675
2.540000 80.541 113.1930
2.580000 80.563 111.8682
2.620000 80.589 110.4715
2.650000 80.611 109.3789
2.690000 80.645 107.8708
2.720000 80.672 106.7072
2.760000 80.710 105.1213
2.800000 80.749 103.5058
2.850000 80.800 101.4617
2.900000 80.849 99.4100
2.950000 80.895 97.3632
3.000000 80.943 95.2640
3.040000 80.982 93.5483
3.070000 81.012 92.2480
3.110000 81.052 90.5052
3.150000 81.091 88.7625
3.200000 81.140 86.6019
3.250000 81.186 84.4819
3.300000 81.230 82.4243
3.350000 81.271 80.3975
3.400000 81.311 78.3790
3.450000 81.350 76.3839
3.500000 81.387 74.4273
3.550000 81.423 72.5243
3.600000 81.457 70.6899
3.650000 81.490 68.9393
3.700000 81.521 67.2732
3.750000 81.548 65.6666
3.820000 81.584 63.5237
3.870000 81.608 62.0750
3.950000 81.647 59.9112
4.000000 81.674 58.6622
4.060000 81.708 57.2769
4.120000 81.741 56.0209
4.180000 81.774 54.8822
4.250000 81.816 53.6832
4.310000 81.857 52.7504
4.370000 81.904 51.8906
4.440000 81.969 50.9836
4.500000 82.031 50.3263
4.550000 82.087 49.8476
4.620000 82.172 49.2524
4.680000 82.250 48.7835
4.750000 82.347 48.2482
4.820000 82.455 47.7299
4.870000 82.538 47.3988
4.940000 82.661 46.9707
5.000000 82.769 46.6183
5.080000 82.915 46.1389
5.150000 83.040 45.6842
5.220000 83.168 45.2121
5.300000 83.316 44.6626
5.380000 83.462 44.1037
5.450000 83.584 43.6076
5.520000 83.695 43.1040
5.600000 83.816 42.5038
5.700000 83.957 41.7384
5.800000 84.083 40.9942
5.900000 84.192 40.3048
6.000000 84.282 39.6419
6.080000 84.343 39.1405
6.150000 84.391 38.7362
6.220000 84.434 38.3751
6.300000 84.477 38.0179
6.400000 84.519 37.6403
6.500000 84.554 37.3331
6.600000 84.589 37.0901
6.700000 84.622 36.9291
6.800000 84.652 36.8393
6.900000 84.684 36.7831
7.000000 84.719 36.7310
7.100000 84.759 36.7122
7.200000 84.800 36.7066
7.300000 84.841 36.6796
7.400000 84.883 36.6127
7.500000 84.926 36.5252
7.620000 84.974 36.3857
7.750000 85.017 36.1782
7.880000 85.053 35.9068
8.000000 85.077 35.6263
8.120000 85.090 35.3373
8.250000 85.092 34.9988
8.380000 85.084 34.6619
8.500000 85.071 34.3762
8.620000 85.049 34.1048
8.750000 85.021 33.8278
8.850000 85.000 33.6306
9.000000 84.967 33.3641
9.120000 84.941 33.1526
9.250000 84.917 32.9114
9.380000 84.897 32.6665
9.500000 84.880 32.4147
9.620000 84.866 32.1258
9.750000 84.853 31.7802
9.880000 84.841 31.3979
10.000000 84.829 31.0066
10.150000 84.815 30.4730
10.300000 84.799 29.9134
10.440000 84.782 29.3632
10.600000 84.763 28.7200
10.750000 84.746 28.1195
10.900000 84.730 27.5165
11.060000 84.718 26.8805
11.200000 84.711 26.3301
11.380000 84.709 25.6247
11.500000 84.711 25.1545
11.720000 84.723 24.2950
11.800000 84.729 23.9821
12.060000 84.756 22.9721
12.200000 84.773 22.4441
12.410000 84.802 21.6776
12.500000 84.816 21.3674
12.650000 84.839 20.8722
12.800000 84.865 20.4074
13.150000 84.936 19.4525
13.200000 84.947 19.3271
13.400000 84.996 18.8559
13.600000 85.047 18.4139
13.800000 85.100 17.9938
14.000000 85.150 17.5954
14.300000 85.217 17.0437
14.500000 85.254 16.7220
14.750000 85.293 16.3872
15.000000 85.324 16.1307
15.250000 85.351 15.9424
15.500000 85.376 15.7842
15.750000 85.398 15.6317
16.000000 85.414 15.4458
16.250000 85.416 15.2265
16.500000 85.401 14.9891
16.750000 85.365 14.7665
17.000000 85.313 14.6219
17.250000 85.249 14.5820
17.500000 85.183 14.6801
17.750000 85.130 14.8923
18.000000 85.099 15.1644
18.250000 85.097 15.4350
18.500000 85.124 15.5843
18.750000 85.171 15.5615
19.000000 85.230 15.3198
19.250000 85.286 14.8599
19.500000 85.330 14.2368
19.750000 85.356 13.4972
20.000000 85.363 12.7386
20.299999 85.354 11.8847
20.600000 85.336 11.1501
20.900000 85.324 10.5475
21.200001 85.327 10.0345
21.400000 85.337 9.7037
21.799999 85.371 9.0307
22.000000 85.388 8.6842
22.400000 85.414 8.0109
22.700001 85.425 7.5819
23.000000 85.432 7.2589
23.299999 85.442 7.0319
23.600000 85.458 6.8621
24.000000 85.489 6.6485
24.299999 85.511 6.4551
24.700001 85.529 6.1489
25.000000 85.530 5.9097
25.400000 85.516 5.6176
25.799999 85.491 5.3730
26.200001 85.462 5.1576
26.500000 85.440 4.9955
26.900000 85.412 4.7598
27.200001 85.391 4.5610
27.600000 85.366 4.2627
28.000000 85.342 3.9278
28.500000 85.317 3.4687
29.000000 85.299 2.9845
29.500000 85.289 2.4868
30.000000 85.285 1.9832
30.400000 85.284 1.5914
30.700001 85.284 1.3161
31.100000 85.285 0.9847
31.500000 85.289 0.6911
32.000000 85.296 0.3568
32.500000 85.300 0.0451
33.000000 85.298 -0.2311
33.500000 85.290 -0.4601
34.000000 85.281 -0.6616
34.500000 85.270 -0.8711
35.000000 85.255 -1.1047
35.500000 85.236 -1.3585
36.000000 85.215 -1.6267
36.500000 85.193 -1.9074
37.000000 85.171 -2.1945
37.500000 85.151 -2.4817
38.200001 85.131 -2.8871
38.700001 85.120 -3.1840
39.500000 85.104 -3.6525
40.000000 85.094 -3.9228
40.599998 85.083 -4.2168
41.200001 85.072 -4.4877
41.799999 85.060 -4.7509
42.500000 85.042 -5.0554
43.099998 85.024 -5.3089
43.700001 85.004 -5.5559
44.400002 84.981 -5.8433
45.000000 84.963 -6.1004
45.500000 84.948 -6.3317
46.200001 84.923 -6.6599
46.799999 84.901 -6.9006
47.500000 84.882 -7.1533
48.200001 84.863 -7.4496
48.700001 84.842 -7.6542
49.400002 84.809 -7.8410
50.000000 84.792 -7.9731
50.799999 84.768 -8.2619
51.500000 84.727 -8.4854
52.200001 84.689 -8.5600
53.000000 84.671 -8.6466
53.799999 84.655 -8.8030
54.500000 84.646 -8.9033
55.200001 84.650 -9.0434
56.000000 84.651 -9.3114
57.000000 84.637 -9.6078
58.000000 84.632 -9.9154
59.000000 84.612 -10.3156
60.000000 84.583 -10.6295
60.799999 84.567 -10.8890
61.500000 84.549 -11.1497
62.200001 84.527 -11.3804
63.000000 84.506 -11.6096
64.000000 84.481 -11.9116
65.000000 84.451 -12.1569
66.000000 84.427 -12.4095
67.000000 84.395 -12.6769
68.000000 84.364 -12.9151
69.000000 84.332 -13.1602
70.000000 84.305 -13.3913
71.000000 84.275 -13.6693
72.000000 84.238 -13.8615
73.000000 84.213 -14.0302
74.000000 84.184 -14.2204
75.000000 84.157 -14.3667
76.199997 84.127 -14.5697
77.500000 84.092 -14.7845
78.800003 84.062 -14.9788
80.000000 84.036 -15.1680
81.199997 84.015 -15.3280
82.500000 83.996 -15.5990
83.800003 83.965 -15.8483
85.000000 83.941 -16.0581
86.199997 83.921 -16.2750
87.500000 83.893 -16.5532
88.500000 83.868 -16.7146
90.000000 83.832 -16.9904
91.199997 83.801 -17.1689
92.500000 83.771 -17.4182
93.800003 83.736 -17.6212
95.000000 83.711 -17.8104
96.199997 83.682 -18.0051
97.500000 83.650 -18.1753
98.800003 83.623 -18.3649
100.000000 83.588 -18.5391
101.500000 83.562 -18.7457
103.000000 83.519 -18.9869
104.400002 83.494 -19.1402
106.000000 83.462 -19.3754
107.500000 83.423 -19.6007
109.000000 83.387 -19.7609
110.599998 83.355 -19.9985
112.000000 83.319 -20.1870
113.800003 83.284 -20.3938
115.000000 83.256 -20.5751
117.199997 83.201 -20.8687
118.000000 83.177 -20.9382
120.599998 83.118 -21.2125
122.000000 83.095 -21.3597
124.099998 83.041 -21.6102
125.000000 83.019 -21.7077
126.500000 82.986 -21.8394
128.000000 82.954 -22.0186
131.500000 82.876 -22.3669
132.000000 82.864 -22.4327
134.000000 82.817 -22.6289
136.000000 82.770 -22.8374
138.000000 82.724 -22.9981
140.000000 82.680 -23.1794
143.000000 82.607 -23.4691
145.000000 82.558 -23.6294
147.500000 82.495 -23.8093
150.000000 82.442 -24.0220
152.500000 82.377 -24.1199
155.000000 82.332 -24.2715
157.500000 82.273 -24.4585
160.000000 82.215 -24.6056
162.500000 82.149 -24.7490
165.000000 82.086 -24.8742
167.500000 82.031 -24.9233
170.000000 81.975 -24.9729
172.500000 81.930 -24.9974
175.000000 81.889 -25.0506
177.500000 81.847 -25.1329
180.000000 81.814 -25.2811
182.500000 81.770 -25.4136
185.000000 81.730 -25.5915
187.500000 81.682 -25.7669
190.000000 81.627 -25.8949
192.500000 81.587 -26.0120
195.000000 81.535 -26.1632
197.500000 81.481 -26.2337
200.000000 81.435 -26.3750
203.000000 81.366 -26.4831
206.000000 81.305 -26.5556
209.000000 81.247 -26.6592
212.000000 81.191 -26.7453
214.000000 81.148 -26.7735
218.000000 81.066 -26.8769
220.000000 81.027 -26.9232
224.000000 80.939 -27.0243
227.000000 80.887 -27.0725
230.000000 80.829 -27.1298
233.000000 80.778 -27.1217
236.000000 80.720 -27.1453
240.000000 80.645 -27.1978
243.000000 80.584 -27.2325
247.000000 80.515 -27.2838
250.000000 80.464 -27.3017
254.000000 80.390 -27.3694
258.000000 80.317 -27.3435
262.000000 80.247 -27.3087
265.000000 80.195 -27.3198
269.000000 80.119 -27.2871
272.000000 80.074 -27.2349
276.000000 80.002 -27.2619
280.000000 79.937 -27.2530
285.000000 79.846 -27.2348
290.000000 79.758 -27.1483
295.000000 79.672 -27.0628
300.000000 79.593 -27.0017
304.000000 79.535 -26.9580
307.000000 79.482 -26.8900
311.000000 79.413 -26.8375
315.000000 79.355 -26.7511
320.000000 79.271 -26.6825
325.000000 79.198 -26.5266
330.000000 79.116 -26.3797
335.000000 79.038 -26.3124
340.000000 78.974 -26.1833
345.000000 78.893 -25.9485
