* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 22:24:02 21-04-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Quattro W1 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.555 136.2261
1.015000 84.448 135.7340
1.030000 84.339 135.2559
1.044000 84.236 134.8230
1.060000 84.118 134.3450
1.075000 84.005 133.9139
1.090000 83.891 133.5002
1.106000 83.768 133.0770
1.120000 83.658 132.7124
1.138000 83.512 132.2497
1.150000 83.413 131.9459
1.172000 83.226 131.4008
1.180000 83.157 131.2068
1.206000 82.928 130.5951
1.220000 82.803 130.2787
1.241000 82.613 129.8239
1.250000 82.531 129.6368
1.265000 82.393 129.3362
1.280000 82.255 129.0506
1.315000 81.931 128.4488
1.320000 81.884 128.3708
1.340000 81.699 128.0801
1.360000 81.515 127.8257
1.380000 81.333 127.6100
1.400000 81.153 127.4356
1.430000 80.887 127.2570
1.450000 80.715 127.1969
1.475000 80.504 127.1943
1.500000 80.289 127.2864
1.525000 80.068 127.4682
1.550000 79.843 127.7302
1.575000 79.617 128.0633
1.600000 79.392 128.4580
1.625000 79.170 128.9049
1.650000 78.952 129.3947
1.675000 78.741 129.9180
1.700000 78.539 130.4656
1.725000 78.348 131.0279
1.750000 78.170 131.5957
1.775000 78.006 132.1597
1.800000 77.859 132.7104
1.825000 77.732 133.2385
1.850000 77.623 133.7692
1.875000 77.531 134.3719
1.900000 77.454 135.0349
1.925000 77.391 135.7424
1.950000 77.341 136.4788
1.975000 77.303 137.2287
2.000000 77.275 137.9764
2.030000 77.253 138.8489
2.060000 77.244 139.6689
2.090000 77.244 140.4096
2.120000 77.252 141.0439
2.140000 77.261 141.3945
2.180000 77.284 141.8861
2.200000 77.298 142.0116
2.240000 77.343 142.0846
2.270000 77.396 142.0136
2.300000 77.462 141.8407
2.330000 77.538 141.5713
2.360000 77.622 141.2108
2.400000 77.742 140.5978
2.430000 77.835 140.0457
2.470000 77.956 139.1967
2.500000 78.042 138.4823
2.540000 78.145 137.4365
2.580000 78.231 136.2858
2.620000 78.312 134.9607
2.650000 78.371 133.8546
2.690000 78.447 132.2508
2.720000 78.502 130.9655
2.760000 78.571 129.1627
2.800000 78.636 127.2819
2.850000 78.709 124.8609
2.900000 78.774 122.4096
2.950000 78.828 119.9607
3.000000 78.872 117.3977
3.040000 78.900 115.2637
3.070000 78.918 113.6275
3.110000 78.937 111.4142
3.150000 78.951 109.1827
3.200000 78.965 106.3982
3.250000 78.973 103.6550
3.300000 78.979 100.9915
3.350000 78.979 98.3480
3.400000 78.972 95.6850
3.450000 78.959 93.0325
3.500000 78.942 90.4202
3.550000 78.922 87.8781
3.600000 78.899 85.4362
3.650000 78.876 83.1241
3.700000 78.851 80.9397
3.750000 78.820 78.8279
3.820000 78.770 76.0160
3.870000 78.734 74.1306
3.950000 78.680 71.3681
4.000000 78.653 69.8231
4.060000 78.629 68.1766
4.120000 78.604 66.7546
4.180000 78.581 65.5324
4.250000 78.564 64.3249
4.310000 78.564 63.4481
4.370000 78.585 62.6901
4.440000 78.637 61.9703
4.500000 78.701 61.5751
4.550000 78.767 61.3645
4.620000 78.877 61.1791
4.680000 78.988 61.0553
4.750000 79.136 60.8657
4.820000 79.309 60.6300
4.870000 79.451 60.4965
4.940000 79.668 60.3247
5.000000 79.864 60.1593
5.080000 80.127 59.8587
5.150000 80.348 59.4733
5.220000 80.575 58.9846
5.300000 80.839 58.3335
5.380000 81.098 57.6104
5.450000 81.312 56.9408
5.520000 81.505 56.2497
5.600000 81.710 55.3812
5.700000 81.945 54.2218
5.800000 82.151 53.0745
5.900000 82.326 52.0234
6.000000 82.467 51.0041
6.080000 82.559 50.2301
6.150000 82.629 49.6112
6.220000 82.692 49.0700
6.300000 82.753 48.5503
6.400000 82.808 48.0190
6.500000 82.852 47.6127
6.600000 82.898 47.3250
6.700000 82.944 47.1893
6.800000 82.987 47.1836
6.900000 83.035 47.2390
7.000000 83.093 47.3014
7.100000 83.162 47.4255
7.200000 83.238 47.5730
7.300000 83.316 47.6777
7.400000 83.398 47.7049
7.500000 83.485 47.6908
7.620000 83.588 47.6063
7.750000 83.685 47.4072
7.880000 83.772 47.0862
8.000000 83.839 46.7310
8.120000 83.887 46.3570
8.250000 83.920 45.9005
8.380000 83.936 45.4449
8.500000 83.939 45.0690
8.620000 83.926 44.7161
8.750000 83.905 44.3708
8.850000 83.888 44.1429
9.000000 83.856 43.8625
9.120000 83.831 43.6595
9.250000 83.809 43.4454
9.380000 83.791 43.2485
9.500000 83.777 43.0448
9.620000 83.767 42.8015
9.750000 83.761 42.5080
9.880000 83.756 42.1689
10.000000 83.752 41.8054
10.150000 83.747 41.2942
10.300000 83.741 40.7396
10.440000 83.733 40.1773
10.600000 83.723 39.5036
10.750000 83.713 38.8590
10.900000 83.704 38.1974
11.060000 83.696 37.4874
11.200000 83.693 36.8611
11.380000 83.692 36.0515
11.500000 83.695 35.5076
11.720000 83.706 34.5133
11.800000 83.712 34.1547
12.060000 83.736 33.0079
12.200000 83.752 32.4225
12.410000 83.781 31.5887
12.500000 83.796 31.2561
12.650000 83.825 30.7344
12.800000 83.859 30.2466
13.150000 83.965 29.2313
13.200000 83.982 29.0925
13.400000 84.059 28.5542
13.600000 84.141 28.0189
13.800000 84.225 27.4743
14.000000 84.304 26.9343
14.300000 84.411 26.1483
14.500000 84.471 25.6751
14.750000 84.534 25.1700
15.000000 84.587 24.7713
15.250000 84.636 24.4720
15.500000 84.683 24.2321
15.750000 84.728 24.0261
16.000000 84.768 23.8151
16.250000 84.801 23.5911
16.500000 84.823 23.3548
16.750000 84.834 23.1156
17.000000 84.837 22.8814
17.250000 84.832 22.6484
17.500000 84.823 22.4096
17.750000 84.811 22.1453
18.000000 84.795 21.8499
18.250000 84.775 21.5173
18.500000 84.750 21.1571
18.750000 84.723 20.7795
19.000000 84.693 20.3940
19.250000 84.664 20.0087
19.500000 84.639 19.6222
19.750000 84.617 19.2344
20.000000 84.599 18.8455
20.299999 84.584 18.3897
20.600000 84.577 17.9622
20.900000 84.580 17.5793
21.200001 84.597 17.2454
21.400000 84.618 17.0378
21.799999 84.682 16.6191
22.000000 84.722 16.3882
22.400000 84.809 15.8559
22.700001 84.872 15.4048
23.000000 84.925 14.9400
23.299999 84.968 14.4969
23.600000 85.001 14.0993
24.000000 85.031 13.6594
24.299999 85.048 13.3922
24.700001 85.066 13.0953
25.000000 85.075 12.8942
25.400000 85.083 12.6280
25.799999 85.084 12.3440
26.200001 85.075 12.0368
26.500000 85.064 11.7947
26.900000 85.043 11.4621
27.200001 85.025 11.2061
27.600000 85.003 10.8519
28.000000 84.983 10.4760
28.500000 84.964 9.9716
29.000000 84.953 9.4329
29.500000 84.949 8.8662
30.000000 84.949 8.2904
30.400000 84.950 7.8506
30.700001 84.952 7.5481
31.100000 84.957 7.1892
31.500000 84.966 6.8719
32.000000 84.983 6.5037
32.500000 84.998 6.1480
33.000000 85.006 5.8166
33.500000 85.007 5.5243
34.000000 85.004 5.2602
34.500000 84.998 4.9995
35.000000 84.987 4.7305
35.500000 84.972 4.4551
36.000000 84.955 4.1759
36.500000 84.940 3.8881
37.000000 84.928 3.5805
37.500000 84.919 3.2448
38.200001 84.906 2.7455
38.700001 84.896 2.4021
39.500000 84.886 1.9067
40.000000 84.883 1.6101
40.599998 84.879 1.2641
41.200001 84.872 0.9536
41.799999 84.865 0.6717
42.500000 84.855 0.3421
43.099998 84.842 0.0676
43.700001 84.829 -0.1874
44.400002 84.817 -0.5003
45.000000 84.805 -0.7983
45.500000 84.793 -1.0418
46.200001 84.779 -1.3601
46.799999 84.770 -1.6450
47.500000 84.756 -1.9955
48.200001 84.736 -2.2895
48.700001 84.727 -2.4592
49.400002 84.722 -2.7277
50.000000 84.714 -3.0215
50.799999 84.686 -3.3803
51.500000 84.664 -3.6023
52.200001 84.654 -3.8419
53.000000 84.640 -4.1804
53.799999 84.622 -4.4962
54.500000 84.608 -4.7519
55.200001 84.596 -5.0116
56.000000 84.578 -5.2920
57.000000 84.554 -5.5868
58.000000 84.536 -5.8754
59.000000 84.511 -6.2068
60.000000 84.487 -6.4867
60.799999 84.475 -6.7496
61.500000 84.461 -7.0164
62.200001 84.444 -7.2438
63.000000 84.431 -7.4785
64.000000 84.416 -7.8259
65.000000 84.390 -8.1178
66.000000 84.369 -8.3695
67.000000 84.347 -8.6510
68.000000 84.323 -8.9291
69.000000 84.298 -9.2340
70.000000 84.273 -9.4954
71.000000 84.257 -9.7806
72.000000 84.231 -10.0982
73.000000 84.202 -10.3010
74.000000 84.186 -10.5149
75.000000 84.161 -10.7977
76.199997 84.124 -11.0622
77.500000 84.091 -11.3608
78.800003 84.054 -11.6637
80.000000 84.020 -11.9224
81.199997 83.985 -12.1535
82.500000 83.949 -12.3686
83.800003 83.911 -12.6088
85.000000 83.871 -12.7715
86.199997 83.839 -12.9240
87.500000 83.804 -13.0537
88.500000 83.784 -13.1209
90.000000 83.763 -13.2383
91.199997 83.751 -13.3400
92.500000 83.747 -13.5257
93.800003 83.734 -13.7711
95.000000 83.721 -13.9962
96.199997 83.707 -14.2173
97.500000 83.689 -14.5064
98.800003 83.666 -14.7399
100.000000 83.644 -14.9880
101.500000 83.614 -15.2368
103.000000 83.580 -15.4930
104.400002 83.552 -15.6991
106.000000 83.513 -15.9203
107.500000 83.478 -16.1139
109.000000 83.450 -16.2928
110.599998 83.422 -16.5293
112.000000 83.396 -16.7240
113.800003 83.365 -16.8802
115.000000 83.353 -17.0549
117.199997 83.312 -17.3644
118.000000 83.302 -17.4570
120.599998 83.263 -17.8572
122.000000 83.239 -18.0724
124.099998 83.201 -18.3877
125.000000 83.185 -18.5126
126.500000 83.154 -18.7784
128.000000 83.121 -18.9444
131.500000 83.051 -19.4333
132.000000 83.038 -19.4857
134.000000 82.996 -19.7149
136.000000 82.955 -19.9932
138.000000 82.905 -20.2401
140.000000 82.859 -20.4653
143.000000 82.798 -20.7453
145.000000 82.753 -20.9243
147.500000 82.702 -21.1936
150.000000 82.648 -21.4615
152.500000 82.592 -21.6445
155.000000 82.536 -21.8418
157.500000 82.481 -22.0551
160.000000 82.430 -22.2632
162.500000 82.376 -22.5064
165.000000 82.322 -22.7201
167.500000 82.266 -22.9267
170.000000 82.210 -23.1067
172.500000 82.155 -23.2605
175.000000 82.098 -23.4345
177.500000 82.040 -23.5867
180.000000 81.989 -23.7514
182.500000 81.932 -23.8996
185.000000 81.876 -24.0324
187.500000 81.811 -24.1314
190.000000 81.756 -24.2633
192.500000 81.694 -24.2917
195.000000 81.633 -24.2957
197.500000 81.587 -24.3004
200.000000 81.539 -24.2279
203.000000 81.518 -24.1398
206.000000 81.505 -24.2707
209.000000 81.470 -24.4854
212.000000 81.414 -24.7824
214.000000 81.383 -24.9028
218.000000 81.301 -25.1274
220.000000 81.257 -25.2340
224.000000 81.179 -25.3768
227.000000 81.120 -25.5581
230.000000 81.054 -25.6474
233.000000 80.991 -25.7433
236.000000 80.944 -25.8081
240.000000 80.868 -25.8877
243.000000 80.809 -25.9607
247.000000 80.728 -25.9994
250.000000 80.667 -25.9990
254.000000 80.596 -26.0982
258.000000 80.525 -26.1424
262.000000 80.455 -26.2219
265.000000 80.403 -26.2331
269.000000 80.331 -26.2206
272.000000 80.268 -26.2271
276.000000 80.204 -26.2642
280.000000 80.134 -26.3227
285.000000 80.048 -26.2140
290.000000 79.961 -26.2397
295.000000 79.881 -26.1683
300.000000 79.783 -26.1428
304.000000 79.728 -26.1070
307.000000 79.673 -26.0889
311.000000 79.608 -25.9862
315.000000 79.547 -26.0156
320.000000 79.474 -25.8628
325.000000 79.388 -25.7707
330.000000 79.305 -25.7366
335.000000 79.222 -25.6222
340.000000 79.160 -25.4504
345.000000 79.084 -25.3087
350.000000 79.001 -25.1881
355.000000 78.931 -25.0574
