* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 21:52:39 13-12-2023
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Shortbus Glamdring small tip L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 75.782 -58.4512
1.015000 75.588 -59.4555
1.030000 75.386 -60.4839
1.044000 75.190 -61.4673
1.060000 74.957 -62.6212
1.075000 74.729 -63.7341
1.090000 74.490 -64.8790
1.106000 74.224 -66.1908
1.120000 73.974 -67.6995
1.138000 73.629 -70.1477
1.150000 73.385 -72.0529
1.172000 72.915 -76.0035
1.180000 72.737 -77.5586
1.206000 72.138 -82.9095
1.220000 71.804 -85.9030
1.241000 71.292 -90.4144
1.250000 71.069 -92.3221
1.265000 70.696 -95.4216
1.280000 70.321 -98.3716
1.315000 69.448 -104.3532
1.320000 69.324 -105.0737
1.340000 68.836 -107.5358
1.360000 68.359 -109.2249
1.380000 67.898 -110.0057
1.400000 67.458 -109.7429
1.430000 66.843 -107.0962
1.450000 66.470 -103.6327
1.475000 66.047 -97.0628
1.500000 65.626 -87.2027
1.525000 65.203 -74.3242
1.550000 64.783 -58.9396
1.575000 64.373 -41.5613
1.600000 63.979 -22.7017
1.625000 63.609 -2.8733
1.650000 63.267 17.4118
1.675000 62.962 37.6409
1.700000 62.699 57.3020
1.725000 62.484 75.8823
1.750000 62.324 92.8697
1.775000 62.226 107.7517
1.800000 62.197 120.0159
1.825000 62.241 129.1501
1.850000 62.378 135.0201
1.875000 62.627 138.4248
1.900000 62.976 139.6785
1.925000 63.409 139.0649
1.950000 63.909 136.8675
1.975000 64.463 133.3699
2.000000 65.054 128.8557
2.030000 65.792 122.4961
2.060000 66.534 115.5709
2.090000 67.256 108.5702
2.120000 67.929 101.9841
2.140000 68.338 98.0656
2.180000 69.026 92.0156
2.200000 69.289 90.1665
2.240000 69.715 87.4109
2.270000 69.978 85.6198
2.300000 70.198 84.0395
2.330000 70.379 82.6467
2.360000 70.527 81.4185
2.400000 70.683 79.9968
2.430000 70.774 79.0627
2.470000 70.873 77.9495
2.500000 70.936 77.1839
2.540000 71.016 76.2117
2.580000 71.096 75.2590
2.620000 71.142 74.4145
2.650000 71.151 73.8703
2.690000 71.136 73.2657
2.720000 71.109 72.9043
2.760000 71.059 72.5470
2.800000 70.999 72.3343
2.850000 70.923 72.2756
2.900000 70.861 72.4514
2.950000 70.822 72.8814
3.000000 70.770 73.6752
3.040000 70.719 74.5427
3.070000 70.680 75.3007
3.110000 70.630 76.4202
3.150000 70.590 77.6249
3.200000 70.561 79.1852
3.250000 70.569 80.7279
3.300000 70.625 82.1705
3.350000 70.732 83.6594
3.400000 70.880 85.2824
3.450000 71.061 86.9600
3.500000 71.266 88.6130
3.550000 71.487 90.1619
3.600000 71.715 91.5275
3.650000 71.941 92.6302
3.700000 72.169 93.4372
3.750000 72.420 94.0324
3.820000 72.793 94.5620
3.870000 73.063 94.7559
3.950000 73.480 94.8134
4.000000 73.717 94.7288
4.060000 73.967 94.5162
4.120000 74.198 94.0763
4.180000 74.411 93.4480
4.250000 74.637 92.5601
4.310000 74.808 91.7378
4.370000 74.956 90.9251
4.440000 75.098 90.0113
4.500000 75.192 89.1542
4.550000 75.253 88.4074
4.620000 75.316 87.3578
4.680000 75.354 86.4968
4.750000 75.384 85.5921
4.820000 75.394 84.7985
4.870000 75.385 84.2622
4.940000 75.354 83.5681
5.000000 75.319 83.0396
5.080000 75.270 82.4534
5.150000 75.233 82.0740
5.220000 75.190 81.8388
5.300000 75.134 81.7119
5.380000 75.083 81.6863
5.450000 75.053 81.7058
5.520000 75.043 81.7392
5.600000 75.049 81.8836
5.700000 75.080 82.1539
5.800000 75.134 82.3704
5.900000 75.213 82.3915
6.000000 75.325 82.2952
6.080000 75.430 82.1312
6.150000 75.525 81.9033
6.220000 75.616 81.5791
6.300000 75.719 81.0712
6.400000 75.852 80.2552
6.500000 75.980 79.3004
6.600000 76.091 78.2733
6.700000 76.183 77.1358
6.800000 76.262 75.8940
6.900000 76.327 74.6368
7.000000 76.378 73.4379
7.100000 76.411 72.2423
7.200000 76.432 71.0736
7.300000 76.450 69.9828
7.400000 76.468 69.0019
7.500000 76.479 68.1056
7.620000 76.495 67.1273
7.750000 76.532 66.1807
7.880000 76.583 65.3793
8.000000 76.644 64.6971
8.120000 76.725 64.0074
8.250000 76.834 63.2914
8.380000 76.956 62.5564
8.500000 77.076 61.8128
8.620000 77.205 61.0230
8.750000 77.347 60.1318
8.850000 77.450 59.4235
9.000000 77.603 58.3083
9.120000 77.718 57.4203
9.250000 77.832 56.4950
9.380000 77.937 55.5886
9.500000 78.028 54.8027
9.620000 78.115 54.0861
9.750000 78.202 53.3729
9.880000 78.288 52.7230
10.000000 78.368 52.1863
10.150000 78.468 51.5908
10.300000 78.569 51.0368
10.440000 78.666 50.5633
10.600000 78.776 50.0482
10.750000 78.879 49.5661
10.900000 78.979 49.0936
11.060000 79.080 48.5931
11.200000 79.163 48.1568
11.380000 79.261 47.6142
11.500000 79.320 47.2666
11.720000 79.419 46.6592
11.800000 79.453 46.4508
12.060000 79.553 45.8097
12.200000 79.602 45.4768
12.410000 79.672 44.9893
12.500000 79.700 44.7758
12.650000 79.744 44.4167
12.800000 79.785 44.0506
13.150000 79.862 43.1590
13.200000 79.871 43.0302
13.400000 79.903 42.5109
13.600000 79.930 41.9931
13.800000 79.953 41.4816
14.000000 79.975 40.9657
14.300000 80.008 40.1734
14.500000 80.033 39.6121
14.750000 80.063 38.8627
15.000000 80.092 38.0588
15.250000 80.117 37.2158
15.500000 80.138 36.3635
15.750000 80.158 35.5192
16.000000 80.179 34.7055
16.250000 80.205 33.9199
16.500000 80.237 33.1574
16.750000 80.277 32.4052
17.000000 80.322 31.6549
17.250000 80.371 30.9080
17.500000 80.420 30.1690
17.750000 80.469 29.4532
18.000000 80.516 28.7682
18.250000 80.562 28.1219
18.500000 80.607 27.5171
18.750000 80.651 26.9527
19.000000 80.693 26.4274
19.250000 80.734 25.9383
19.500000 80.773 25.4813
19.750000 80.810 25.0521
20.000000 80.846 24.6401
20.299999 80.886 24.1546
20.600000 80.920 23.6677
20.900000 80.947 23.1748
21.200001 80.965 22.6831
21.400000 80.972 22.3653
21.799999 80.977 21.7622
22.000000 80.978 21.4757
22.400000 80.981 20.9126
22.700001 80.985 20.4700
23.000000 80.990 19.9874
23.299999 80.994 19.4645
23.600000 80.993 18.9159
24.000000 80.988 18.1778
24.299999 80.983 17.6412
24.700001 80.981 16.9545
25.000000 80.986 16.4494
25.400000 81.000 15.7668
25.799999 81.019 15.0602
26.200001 81.037 14.3422
26.500000 81.047 13.8189
26.900000 81.056 13.1749
27.200001 81.061 12.7499
27.600000 81.072 12.2601
28.000000 81.091 11.8190
28.500000 81.122 11.2447
29.000000 81.144 10.5963
29.500000 81.142 9.9449
30.000000 81.124 9.4048
30.400000 81.111 9.0589
30.700001 81.107 8.8126
31.100000 81.109 8.4409
31.500000 81.109 7.9939
32.000000 81.098 7.3708
32.500000 81.075 6.7736
33.000000 81.054 6.2524
33.500000 81.045 5.7654
34.000000 81.048 5.2419
34.500000 81.054 4.6548
35.000000 81.055 4.0346
35.500000 81.047 3.4398
36.000000 81.034 2.9116
36.500000 81.022 2.4496
37.000000 81.014 2.0240
37.500000 81.007 1.6098
38.200001 80.997 1.0307
38.700001 80.988 0.6046
39.500000 80.963 -0.0982
40.000000 80.940 -0.5065
40.599998 80.916 -0.9455
41.200001 80.903 -1.4021
41.799999 80.889 -1.9326
42.500000 80.857 -2.5501
43.099998 80.828 -2.9717
43.700001 80.812 -3.3485
44.400002 80.802 -3.8588
45.000000 80.783 -4.3282
45.500000 80.763 -4.6745
46.200001 80.742 -5.1182
46.799999 80.726 -5.5482
47.500000 80.696 -6.0699
48.200001 80.661 -6.5073
48.700001 80.645 -6.8106
49.400002 80.621 -7.3076
50.000000 80.588 -7.7256
50.799999 80.546 -8.1474
51.500000 80.524 -8.5017
52.200001 80.502 -8.9152
53.000000 80.468 -9.3668
53.799999 80.435 -9.7952
54.500000 80.403 -10.1697
55.200001 80.370 -10.5072
56.000000 80.341 -10.8991
57.000000 80.299 -11.4668
58.000000 80.248 -11.9601
59.000000 80.206 -12.4243
60.000000 80.158 -12.8824
60.799999 80.123 -13.2012
61.500000 80.095 -13.5141
62.200001 80.060 -13.8205
63.000000 80.025 -14.1312
64.000000 79.985 -14.6129
65.000000 79.930 -15.0089
66.000000 79.902 -15.3795
67.000000 79.862 -15.9027
68.000000 79.807 -16.2826
69.000000 79.761 -16.6252
70.000000 79.712 -16.9402
71.000000 79.664 -17.2774
72.000000 79.612 -17.5605
73.000000 79.575 -17.8820
74.000000 79.525 -18.2681
75.000000 79.478 -18.5666
76.199997 79.425 -18.9539
77.500000 79.369 -19.3439
78.800003 79.302 -19.7508
80.000000 79.247 -20.0139
81.199997 79.198 -20.4027
82.500000 79.126 -20.7613
83.800003 79.070 -21.0584
85.000000 79.015 -21.3605
86.199997 78.961 -21.6447
87.500000 78.896 -21.9529
88.500000 78.851 -22.1397
90.000000 78.785 -22.5296
91.199997 78.733 -22.7520
92.500000 78.677 -23.1253
93.800003 78.609 -23.2794
95.000000 78.566 -23.4806
96.199997 78.511 -23.6857
97.500000 78.446 -23.8735
98.800003 78.391 -24.1918
100.000000 78.294 -24.3246
101.500000 78.274 -24.4292
103.000000 78.196 -24.8539
104.400002 78.148 -25.0396
106.000000 78.082 -25.3118
107.500000 78.019 -25.4494
109.000000 77.959 -25.6647
110.599998 77.888 -25.8815
112.000000 77.819 -26.0804
113.800003 77.754 -26.2508
115.000000 77.701 -26.3702
117.199997 77.623 -26.5617
118.000000 77.588 -26.6786
120.599998 77.471 -26.8975
122.000000 77.408 -26.9954
124.099998 77.333 -27.2209
125.000000 77.301 -27.2683
126.500000 77.241 -27.4124
128.000000 77.179 -27.4889
131.500000 77.049 -27.7098
132.000000 77.029 -27.7584
134.000000 76.953 -27.8867
136.000000 76.875 -27.9544
138.000000 76.796 -28.1251
140.000000 76.727 -28.1931
143.000000 76.613 -28.2910
145.000000 76.534 -28.3739
147.500000 76.450 -28.4739
150.000000 76.359 -28.4745
152.500000 76.266 -28.5150
155.000000 76.173 -28.5922
157.500000 76.091 -28.6091
160.000000 76.003 -28.5029
162.500000 75.912 -28.5065
165.000000 75.825 -28.4276
167.500000 75.736 -28.3013
170.000000 75.664 -28.2002
172.500000 75.592 -28.0138
175.000000 75.504 -27.8320
177.500000 75.442 -27.7483
180.000000 75.405 -27.5125
182.500000 75.354 -27.3763
185.000000 75.311 -27.3287
187.500000 75.284 -27.2471
190.000000 75.231 -27.2167
192.500000 75.189 -27.2321
195.000000 75.124 -27.3670
197.500000 75.043 -27.3863
200.000000 75.002 -27.3306
203.000000 74.939 -27.4138
206.000000 74.862 -27.2845
209.000000 74.774 -27.2396
212.000000 74.708 -27.0949
214.000000 74.656 -26.9848
218.000000 74.570 -26.8342
220.000000 74.523 -26.7834
224.000000 74.439 -26.4928
227.000000 74.383 -26.3355
230.000000 74.306 -26.2586
233.000000 74.247 -26.0399
236.000000 74.204 -25.8067
240.000000 74.132 -25.6550
243.000000 74.071 -25.4895
247.000000 74.016 -25.3369
250.000000 73.990 -25.3667
254.000000 73.895 -25.1642
258.000000 73.837 -25.0390
262.000000 73.797 -24.7557
265.000000 73.728 -24.6182
269.000000 73.672 -24.4607
272.000000 73.601 -24.2688
276.000000 73.542 -24.1689
280.000000 73.461 -24.1135
285.000000 73.390 -23.8064
290.000000 73.320 -23.3850
295.000000 73.252 -23.2141
300.000000 73.156 -22.7929
304.000000 73.090 -22.7096
307.000000 73.055 -22.3921
311.000000 73.015 -22.2883
315.000000 72.952 -21.9793
320.000000 72.871 -21.7012
325.000000 72.819 -21.3851
330.000000 72.751 -21.1172
335.000000 72.678 -20.6792
