* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 22:04:32 13-12-2023
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Shortbus Glamdring small tip R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.058 122.5440
1.015000 83.874 121.6425
1.030000 83.681 120.7330
1.044000 83.494 119.8764
1.060000 83.272 118.8876
1.075000 83.054 117.9503
1.090000 82.827 117.0025
1.106000 82.575 116.0045
1.120000 82.346 115.2786
1.138000 82.042 114.5558
1.150000 81.834 114.1855
1.172000 81.439 113.6885
1.180000 81.292 113.5533
1.206000 80.799 113.2190
1.220000 80.526 113.0712
1.241000 80.105 112.8347
1.250000 79.921 112.7127
1.265000 79.609 112.4615
1.280000 79.291 112.1279
1.315000 78.527 110.8843
1.320000 78.416 110.6395
1.340000 77.964 109.4541
1.360000 77.503 107.8932
1.380000 77.033 105.8956
1.400000 76.556 103.4002
1.430000 75.825 98.5901
1.450000 75.330 94.5829
1.475000 74.691 88.5258
1.500000 73.955 80.9502
1.525000 73.123 71.9785
1.550000 72.218 61.8398
1.575000 71.265 50.7628
1.600000 70.286 38.9767
1.625000 69.306 26.7104
1.650000 68.348 14.1928
1.675000 67.436 1.6528
1.700000 66.593 -10.6805
1.725000 65.843 -22.5782
1.750000 65.210 -33.8114
1.775000 64.716 -44.1511
1.800000 64.387 -53.3683
1.825000 64.245 -61.2342
1.850000 64.319 -67.7505
1.875000 64.614 -73.3967
1.900000 65.102 -78.2739
1.925000 65.755 -82.4625
1.950000 66.542 -86.0428
1.975000 67.434 -89.0951
2.000000 68.401 -91.7000
2.030000 69.621 -94.3482
2.060000 70.857 -96.6066
2.090000 72.058 -98.6141
2.120000 73.174 -100.5096
2.140000 73.845 -101.7796
2.180000 74.945 -104.5200
2.200000 75.345 -106.0699
2.240000 75.962 -109.0059
2.270000 76.323 -110.9065
2.300000 76.607 -112.5802
2.330000 76.823 -114.0551
2.360000 76.983 -115.3595
2.400000 77.125 -116.8822
2.430000 77.190 -117.8983
2.470000 77.243 -119.1391
2.500000 77.269 -120.0206
2.540000 77.305 -121.1842
2.580000 77.356 -122.3852
2.620000 77.367 -123.5662
2.650000 77.344 -124.4101
2.690000 77.276 -125.4546
2.720000 77.202 -126.1607
2.760000 77.079 -126.9743
2.800000 76.936 -127.6137
2.850000 76.739 -128.1208
2.900000 76.538 -128.2472
2.950000 76.338 -127.9351
3.000000 76.082 -127.1827
3.040000 75.842 -126.2995
3.070000 75.651 -125.4916
3.110000 75.393 -124.2433
3.150000 75.145 -122.8251
3.200000 74.870 -120.8569
3.250000 74.662 -118.7229
3.300000 74.548 -116.4765
3.350000 74.521 -113.8431
3.400000 74.559 -110.7413
3.450000 74.650 -107.3725
3.500000 74.788 -103.9380
3.550000 74.961 -100.6393
3.600000 75.162 -97.6778
3.650000 75.381 -95.2548
3.700000 75.629 -93.4411
3.750000 75.937 -92.0024
3.820000 76.436 -90.5241
3.870000 76.813 -89.7968
3.950000 77.398 -89.0922
4.000000 77.721 -88.8766
4.060000 78.045 -88.8299
4.120000 78.336 -89.1978
4.180000 78.601 -89.9101
4.250000 78.874 -91.0272
4.310000 79.074 -92.1020
4.370000 79.238 -93.1669
4.440000 79.382 -94.3527
4.500000 79.464 -95.4980
4.550000 79.506 -96.5141
4.620000 79.529 -97.9589
4.680000 79.522 -99.1516
4.750000 79.488 -100.4034
4.820000 79.421 -101.5107
4.870000 79.346 -102.2778
4.940000 79.211 -103.2802
5.000000 79.079 -104.0367
5.080000 78.894 -104.8372
5.150000 78.736 -105.2873
5.220000 78.558 -105.4997
5.300000 78.336 -105.5030
5.380000 78.120 -105.3082
5.450000 77.957 -105.0222
5.520000 77.832 -104.6504
5.600000 77.720 -103.9604
5.700000 77.620 -102.8668
5.800000 77.571 -101.8440
5.900000 77.581 -101.1923
6.000000 77.667 -100.7338
6.080000 77.770 -100.5232
6.150000 77.869 -100.5082
6.220000 77.963 -100.6970
6.300000 78.069 -101.2012
6.400000 78.215 -102.2001
6.500000 78.355 -103.4881
6.600000 78.465 -104.9372
6.700000 78.541 -106.6184
6.800000 78.594 -108.5220
6.900000 78.623 -110.4799
7.000000 78.626 -112.3553
7.100000 78.598 -114.2591
7.200000 78.548 -116.1347
7.300000 78.492 -117.8693
7.400000 78.431 -119.4008
7.500000 78.356 -120.7892
7.620000 78.273 -122.2587
7.750000 78.220 -123.5773
7.880000 78.193 -124.5707
8.000000 78.200 -125.3409
8.120000 78.253 -126.0857
8.250000 78.359 -126.7801
8.380000 78.499 -127.4927
8.500000 78.649 -128.2847
8.620000 78.826 -129.1605
8.750000 79.025 -130.1886
8.850000 79.170 -131.0417
9.000000 79.385 -132.4452
9.120000 79.546 -133.5771
9.250000 79.698 -134.7522
9.380000 79.832 -135.9110
9.500000 79.944 -136.8909
9.620000 80.043 -137.7423
9.750000 80.137 -138.5514
9.880000 80.226 -139.2356
10.000000 80.308 -139.7377
10.150000 80.407 -140.2144
10.300000 80.510 -140.6041
10.440000 80.613 -140.8745
10.600000 80.732 -141.1346
10.750000 80.845 -141.3858
10.900000 80.956 -141.6263
11.060000 81.065 -141.8976
11.200000 81.153 -142.1492
11.380000 81.251 -142.4613
11.500000 81.307 -142.6588
11.720000 81.392 -142.9913
11.800000 81.419 -143.0957
12.060000 81.489 -143.3934
12.200000 81.522 -143.5432
12.410000 81.562 -143.7631
12.500000 81.577 -143.8717
12.650000 81.598 -144.0674
12.800000 81.613 -144.2856
13.150000 81.620 -144.8993
13.200000 81.618 -144.9927
13.400000 81.602 -145.3811
13.600000 81.580 -145.7761
13.800000 81.551 -146.1664
14.000000 81.526 -146.5766
14.300000 81.494 -147.2516
14.500000 81.481 -147.7884
14.750000 81.468 -148.5772
15.000000 81.455 -149.4980
15.250000 81.437 -150.5095
15.500000 81.416 -151.5422
15.750000 81.395 -152.5569
16.000000 81.383 -153.5064
16.250000 81.387 -154.4078
16.500000 81.410 -155.2789
16.750000 81.452 -156.1569
17.000000 81.505 -157.0550
17.250000 81.563 -157.9585
17.500000 81.619 -158.8429
17.750000 81.673 -159.6538
18.000000 81.725 -160.3743
18.250000 81.777 -160.9868
18.500000 81.833 -161.5115
18.750000 81.892 -161.9727
19.000000 81.952 -162.3931
19.250000 82.007 -162.7937
19.500000 82.055 -163.1690
19.750000 82.094 -163.5153
20.000000 82.122 -163.8177
20.299999 82.145 -164.1235
20.600000 82.160 -164.3790
20.900000 82.168 -164.6095
21.200001 82.171 -164.8466
21.400000 82.170 -165.0222
21.799999 82.160 -165.4317
22.000000 82.150 -165.6728
22.400000 82.121 -166.2352
22.700001 82.089 -166.7213
23.000000 82.050 -167.2417
23.299999 82.005 -167.7637
23.600000 81.962 -168.2636
24.000000 81.917 -168.8897
24.299999 81.902 -169.3643
24.700001 81.908 -170.0817
25.000000 81.924 -170.7220
25.400000 81.948 -171.6983
25.799999 81.959 -172.7114
26.200001 81.957 -173.6290
26.500000 81.952 -174.2038
26.900000 81.949 -174.8082
27.200001 81.954 -175.1589
27.600000 81.969 -175.5272
28.000000 81.994 -175.8272
28.500000 82.033 -176.1812
29.000000 82.068 -176.5891
29.500000 82.084 -177.0647
30.000000 82.076 -177.5545
30.400000 82.055 -177.9298
30.700001 82.035 -178.2075
31.100000 82.004 -178.5920
31.500000 81.968 -178.9990
32.000000 81.918 -179.5188
32.500000 81.868 179.9757
33.000000 81.829 179.4738
33.500000 81.802 178.9479
34.000000 81.784 178.3959
34.500000 81.774 177.8344
35.000000 81.769 177.2751
35.500000 81.766 176.7317
36.000000 81.762 176.2242
36.500000 81.758 175.7574
37.000000 81.753 175.3163
37.500000 81.742 174.8960
38.200001 81.718 174.3668
38.700001 81.699 174.0175
39.500000 81.666 173.4076
40.000000 81.637 172.9995
40.599998 81.595 172.5384
41.200001 81.556 172.1167
41.799999 81.524 171.6948
42.500000 81.493 171.1694
43.099998 81.466 170.6934
43.700001 81.435 170.2211
44.400002 81.393 169.7213
45.000000 81.359 169.3451
45.500000 81.334 169.0464
46.200001 81.303 168.6064
46.799999 81.276 168.1797
47.500000 81.234 167.6618
48.200001 81.185 167.2271
48.700001 81.157 166.9719
49.400002 81.135 166.5936
50.000000 81.118 166.2004
50.799999 81.085 165.6489
51.500000 81.045 165.2296
52.200001 81.003 164.8919
53.000000 80.958 164.5511
53.799999 80.911 164.2150
54.500000 80.872 163.9320
55.200001 80.838 163.6013
56.000000 80.792 163.1335
57.000000 80.720 162.6139
58.000000 80.667 162.1736
59.000000 80.621 161.6766
60.000000 80.568 161.2430
60.799999 80.529 160.9440
61.500000 80.495 160.6682
62.200001 80.457 160.3993
63.000000 80.412 160.0983
64.000000 80.352 159.6746
65.000000 80.286 159.3101
66.000000 80.233 158.9598
67.000000 80.181 158.5862
68.000000 80.133 158.2419
69.000000 80.080 157.8677
70.000000 80.019 157.5867
71.000000 79.968 157.2711
72.000000 79.899 156.9462
73.000000 79.840 156.7241
74.000000 79.794 156.4145
75.000000 79.741 156.0705
76.199997 79.668 155.7285
77.500000 79.604 155.4853
78.800003 79.546 155.1225
80.000000 79.476 154.8131
81.199997 79.411 154.5420
82.500000 79.339 154.2644
83.800003 79.275 153.9857
85.000000 79.208 153.7357
86.199997 79.148 153.5219
87.500000 79.082 153.2352
88.500000 79.023 153.0330
90.000000 78.944 152.7816
91.199997 78.885 152.5727
92.500000 78.811 152.3232
93.800003 78.748 152.2359
95.000000 78.698 151.9657
96.199997 78.629 151.8493
97.500000 78.580 151.6296
98.800003 78.508 151.5534
100.000000 78.484 151.3636
101.500000 78.385 151.0156
103.000000 78.302 150.8947
104.400002 78.237 150.7616
106.000000 78.162 150.5673
107.500000 78.098 150.3175
109.000000 78.024 150.2788
110.599998 77.950 150.0972
112.000000 77.887 150.0245
113.800003 77.807 149.9059
115.000000 77.750 149.7776
117.199997 77.657 149.6481
118.000000 77.616 149.5474
120.599998 77.502 149.4020
122.000000 77.444 149.3236
124.099998 77.369 149.1979
125.000000 77.328 149.1500
126.500000 77.264 149.1344
128.000000 77.199 149.0522
131.500000 77.053 148.8445
132.000000 77.030 148.8359
134.000000 76.956 148.8208
136.000000 76.879 148.7351
138.000000 76.797 148.7882
140.000000 76.721 148.7402
143.000000 76.608 148.6493
145.000000 76.526 148.6689
147.500000 76.432 148.6472
150.000000 76.332 148.7191
152.500000 76.255 148.7040
155.000000 76.172 148.6925
157.500000 76.079 148.7951
160.000000 75.990 148.7382
162.500000 75.908 148.7312
165.000000 75.818 148.8672
167.500000 75.724 148.9302
170.000000 75.639 149.0273
172.500000 75.560 149.0978
175.000000 75.482 149.2039
177.500000 75.391 149.3743
180.000000 75.308 149.5129
182.500000 75.231 149.7291
185.000000 75.149 150.0390
187.500000 75.083 150.3981
190.000000 75.034 150.6689
192.500000 75.004 150.8781
195.000000 74.969 151.0625
197.500000 74.933 151.2625
200.000000 74.889 151.1848
203.000000 74.839 151.3146
206.000000 74.777 151.3593
209.000000 74.708 151.3726
212.000000 74.633 151.4684
214.000000 74.587 151.4783
218.000000 74.486 151.6899
220.000000 74.445 151.8545
224.000000 74.364 152.0262
227.000000 74.304 152.2628
230.000000 74.237 152.3996
233.000000 74.161 152.5361
236.000000 74.126 152.8195
240.000000 74.036 153.1476
243.000000 73.985 153.2844
247.000000 73.927 153.5058
250.000000 73.883 153.7363
254.000000 73.818 153.9646
258.000000 73.730 154.2433
262.000000 73.656 154.5287
265.000000 73.625 154.6897
269.000000 73.578 154.9709
272.000000 73.536 155.2440
276.000000 73.485 155.4485
280.000000 73.437 155.7550
285.000000 73.363 155.8907
290.000000 73.311 156.1190
295.000000 73.234 156.5121
300.000000 73.154 156.7815
304.000000 73.101 156.8989
307.000000 73.069 157.1248
311.000000 73.004 157.2853
315.000000 72.961 157.4852
320.000000 72.902 157.8179
325.000000 72.828 158.0559
330.000000 72.777 158.4246
