* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 21:53:05 13-12-2023
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Shortbus Glamdring small tip L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 75.817 -57.8076
1.015000 75.622 -58.7905
1.030000 75.420 -59.7958
1.044000 75.223 -60.7559
1.060000 74.988 -61.8809
1.075000 74.758 -62.9644
1.090000 74.518 -64.0777
1.106000 74.249 -65.3520
1.120000 73.997 -66.8186
1.138000 73.649 -69.1998
1.150000 73.403 -71.0534
1.172000 72.930 -74.8975
1.180000 72.750 -76.4106
1.206000 72.146 -81.6163
1.220000 71.809 -84.5279
1.241000 71.293 -88.9143
1.250000 71.068 -90.7684
1.265000 70.691 -93.7796
1.280000 70.312 -96.6438
1.315000 69.430 -102.4416
1.320000 69.305 -103.1384
1.340000 68.811 -105.5143
1.360000 68.327 -107.1329
1.380000 67.860 -107.8621
1.400000 67.412 -107.5696
1.430000 66.785 -104.9260
1.450000 66.403 -101.5009
1.475000 65.968 -95.0268
1.500000 65.532 -85.3294
1.525000 65.091 -72.6744
1.550000 64.651 -57.5641
1.575000 64.218 -40.5004
1.600000 63.802 -21.9856
1.625000 63.408 -2.5218
1.650000 63.043 17.3888
1.675000 62.715 37.2442
1.700000 62.432 56.5421
1.725000 62.199 74.7804
1.750000 62.024 91.4570
1.775000 61.914 106.0697
1.800000 61.876 118.1164
1.825000 61.918 127.0951
1.850000 62.057 132.8743
1.875000 62.315 136.2369
1.900000 62.677 137.4911
1.925000 63.127 136.9147
1.950000 63.648 134.7856
1.975000 64.225 131.3818
2.000000 64.841 126.9811
2.030000 65.610 120.7756
2.060000 66.385 114.0150
2.090000 67.136 107.1795
2.120000 67.838 100.7492
2.140000 68.264 96.9247
2.180000 68.979 91.0254
2.200000 69.252 89.2273
2.240000 69.693 86.5525
2.270000 69.963 84.8144
2.300000 70.187 83.2813
2.330000 70.371 81.9308
2.360000 70.521 80.7407
2.400000 70.677 79.3648
2.430000 70.768 78.4622
2.470000 70.865 77.3888
2.500000 70.928 76.6524
2.540000 71.008 75.7197
2.580000 71.090 74.8085
2.620000 71.138 74.0036
2.650000 71.148 73.4874
2.690000 71.135 72.9180
2.720000 71.109 72.5815
2.760000 71.060 72.2558
2.800000 71.001 72.0732
2.850000 70.927 72.0502
2.900000 70.866 72.2603
2.950000 70.830 72.7237
3.000000 70.781 73.5501
3.040000 70.733 74.4427
3.070000 70.695 75.2188
3.110000 70.649 76.3612
3.150000 70.611 77.5871
3.200000 70.586 79.1711
3.250000 70.597 80.7338
3.300000 70.656 82.1923
3.350000 70.766 83.6919
3.400000 70.917 85.3208
3.450000 71.102 87.0006
3.500000 71.310 88.6531
3.550000 71.534 90.2000
3.600000 71.764 91.5629
3.650000 71.992 92.6637
3.700000 72.222 93.4690
3.750000 72.473 94.0612
3.820000 72.847 94.5847
3.870000 73.118 94.7738
3.950000 73.534 94.8242
4.000000 73.771 94.7362
4.060000 74.021 94.5212
4.120000 74.251 94.0801
4.180000 74.464 93.4513
4.250000 74.689 92.5637
4.310000 74.859 91.7423
4.370000 75.006 90.9310
4.440000 75.147 90.0193
4.500000 75.240 89.1645
4.550000 75.300 88.4201
4.620000 75.362 87.3744
4.680000 75.399 86.5174
4.750000 75.427 85.6181
4.820000 75.436 84.8307
4.870000 75.425 84.2991
4.940000 75.393 83.6124
5.000000 75.356 83.0910
5.080000 75.305 82.5156
5.150000 75.267 82.1475
5.220000 75.221 81.9250
5.300000 75.163 81.8144
5.380000 75.111 81.8065
5.450000 75.078 81.8426
5.520000 75.067 81.8933
5.600000 75.072 82.0597
5.700000 75.102 82.3592
5.800000 75.156 82.6048
5.900000 75.234 82.6528
6.000000 75.347 82.5827
6.080000 75.453 82.4388
6.150000 75.549 82.2270
6.220000 75.641 81.9174
6.300000 75.745 81.4239
6.400000 75.880 80.6233
6.500000 76.010 79.6810
6.600000 76.123 78.6638
6.700000 76.217 77.5332
6.800000 76.297 76.2954
6.900000 76.363 75.0402
7.000000 76.416 73.8414
7.100000 76.450 72.6436
7.200000 76.472 71.4710
7.300000 76.490 70.3757
7.400000 76.508 69.3898
7.500000 76.519 68.4873
7.620000 76.535 67.5018
7.750000 76.570 66.5500
7.880000 76.620 65.7451
8.000000 76.680 65.0618
8.120000 76.759 64.3745
8.250000 76.867 63.6648
8.380000 76.987 62.9386
8.500000 77.106 62.2048
8.620000 77.235 61.4272
8.750000 77.376 60.5497
8.850000 77.480 59.8512
9.000000 77.633 58.7505
9.120000 77.749 57.8731
9.250000 77.865 56.9568
9.380000 77.972 56.0574
9.500000 78.064 55.2767
9.620000 78.152 54.5638
9.750000 78.241 53.8528
9.880000 78.328 53.2050
10.000000 78.409 52.6704
10.150000 78.509 52.0777
10.300000 78.611 51.5289
10.440000 78.709 51.0623
10.600000 78.820 50.5572
10.750000 78.924 50.0868
10.900000 79.026 49.6277
11.060000 79.128 49.1407
11.200000 79.213 48.7159
11.380000 79.315 48.1847
11.500000 79.377 47.8419
11.720000 79.480 47.2378
11.800000 79.515 47.0285
12.060000 79.619 46.3782
12.200000 79.671 46.0388
12.410000 79.742 45.5402
12.500000 79.770 45.3237
12.650000 79.814 44.9607
12.800000 79.854 44.5938
13.150000 79.930 43.7158
13.200000 79.939 43.5900
13.400000 79.971 43.0865
13.600000 79.998 42.5851
13.800000 80.023 42.0891
14.000000 80.046 41.5846
14.300000 80.082 40.8012
14.500000 80.108 40.2411
14.750000 80.138 39.4937
15.000000 80.166 38.6950
15.250000 80.190 37.8658
15.500000 80.210 37.0343
15.750000 80.230 36.2159
16.000000 80.253 35.4271
16.250000 80.282 34.6592
16.500000 80.318 33.9049
16.750000 80.360 33.1503
17.000000 80.407 32.3926
17.250000 80.455 31.6380
17.500000 80.504 30.8967
17.750000 80.551 30.1873
18.000000 80.598 29.5151
18.250000 80.645 28.8854
18.500000 80.693 28.2927
18.750000 80.740 27.7323
19.000000 80.785 27.2004
19.250000 80.827 26.6962
19.500000 80.866 26.2219
19.750000 80.902 25.7785
20.000000 80.935 25.3642
20.299999 80.971 24.8934
20.600000 81.004 24.4375
20.900000 81.032 23.9827
21.200001 81.054 23.5233
21.400000 81.065 23.2172
21.799999 81.078 22.6121
22.000000 81.082 22.3135
22.400000 81.087 21.7163
22.700001 81.090 21.2540
23.000000 81.091 20.7685
23.299999 81.091 20.2622
23.600000 81.089 19.7450
24.000000 81.086 19.0542
24.299999 81.086 18.5402
24.700001 81.092 17.8520
25.000000 81.100 17.3256
25.400000 81.113 16.6109
25.799999 81.126 15.9036
26.200001 81.140 15.2321
26.500000 81.152 14.7587
26.900000 81.171 14.1617
27.200001 81.186 13.7313
27.600000 81.206 13.1757
28.000000 81.222 12.6484
28.500000 81.236 12.0452
29.000000 81.247 11.5000
29.500000 81.255 10.9833
30.000000 81.260 10.4642
30.400000 81.259 10.0398
30.700001 81.255 9.7180
31.100000 81.247 9.2887
31.500000 81.237 8.8617
32.000000 81.225 8.3257
32.500000 81.214 7.7722
33.000000 81.204 7.1958
33.500000 81.194 6.6133
34.000000 81.184 6.0479
34.500000 81.177 5.5023
35.000000 81.174 4.9656
35.500000 81.170 4.4411
36.000000 81.164 3.9491
36.500000 81.159 3.4990
37.000000 81.155 3.0737
37.500000 81.152 2.6513
38.200001 81.142 2.0599
38.700001 81.130 1.6510
39.500000 81.109 1.0233
40.000000 81.096 0.6275
40.599998 81.080 0.1286
41.200001 81.058 -0.3817
41.799999 81.034 -0.8634
42.500000 81.011 -1.3862
43.099998 80.997 -1.8493
43.700001 80.980 -2.3277
44.400002 80.957 -2.8534
45.000000 80.938 -3.2797
45.500000 80.922 -3.6389
46.200001 80.893 -4.1157
46.799999 80.869 -4.4653
47.500000 80.852 -4.8749
48.200001 80.834 -5.3610
48.700001 80.813 -5.7114
49.400002 80.780 -6.1216
50.000000 80.762 -6.4358
50.799999 80.743 -6.9247
51.500000 80.715 -7.3759
52.200001 80.683 -7.7539
53.000000 80.654 -8.1490
53.799999 80.627 -8.5932
54.500000 80.597 -8.9948
55.200001 80.562 -9.3683
56.000000 80.526 -9.7519
57.000000 80.492 -10.2572
58.000000 80.450 -10.7847
59.000000 80.413 -11.2378
60.000000 80.374 -11.7374
60.799999 80.335 -12.0598
61.500000 80.311 -12.3179
62.200001 80.287 -12.6558
63.000000 80.242 -13.0329
64.000000 80.191 -13.3606
65.000000 80.159 -13.7792
66.000000 80.113 -14.2506
67.000000 80.068 -14.6557
68.000000 80.023 -15.0583
69.000000 79.975 -15.3974
70.000000 79.934 -15.6965
71.000000 79.896 -16.0399
72.000000 79.847 -16.3923
73.000000 79.799 -16.6457
74.000000 79.768 -16.9404
75.000000 79.724 -17.3088
76.199997 79.675 -17.5993
77.500000 79.631 -18.0902
78.800003 79.566 -18.4579
80.000000 79.517 -18.8312
81.199997 79.459 -19.1608
82.500000 79.402 -19.5068
83.800003 79.347 -19.8146
85.000000 79.298 -20.1376
86.199997 79.241 -20.4612
87.500000 79.178 -20.7404
88.500000 79.139 -20.9662
90.000000 79.077 -21.3376
91.199997 79.023 -21.6345
92.500000 78.969 -21.7985
93.800003 78.924 -22.1511
95.000000 78.854 -22.2887
96.199997 78.815 -22.5360
97.500000 78.735 -22.7372
98.800003 78.683 -23.0567
100.000000 78.599 -23.0776
101.500000 78.589 -23.3437
103.000000 78.521 -23.6681
104.400002 78.463 -23.9939
106.000000 78.401 -24.1986
107.500000 78.338 -24.3562
109.000000 78.288 -24.6311
110.599998 78.213 -24.8203
112.000000 78.148 -24.9848
113.800003 78.088 -25.1880
115.000000 78.027 -25.3064
117.199997 77.945 -25.5686
118.000000 77.913 -25.5768
120.599998 77.815 -25.8687
122.000000 77.767 -25.9877
124.099998 77.693 -26.1542
125.000000 77.657 -26.2676
126.500000 77.602 -26.3364
128.000000 77.541 -26.5578
131.500000 77.413 -26.7586
132.000000 77.397 -26.8015
134.000000 77.324 -26.9129
136.000000 77.251 -27.0435
138.000000 77.181 -27.1632
140.000000 77.104 -27.1799
143.000000 77.022 -27.2983
145.000000 76.936 -27.4752
147.500000 76.855 -27.4817
150.000000 76.774 -27.6022
152.500000 76.697 -27.6087
155.000000 76.616 -27.7627
157.500000 76.531 -27.7560
160.000000 76.459 -27.8143
162.500000 76.373 -27.7492
165.000000 76.303 -27.9098
167.500000 76.231 -27.8741
170.000000 76.161 -27.8502
172.500000 76.077 -27.8783
175.000000 76.005 -27.8518
177.500000 75.941 -27.9221
180.000000 75.873 -27.9336
182.500000 75.806 -27.8395
185.000000 75.731 -27.8546
187.500000 75.672 -27.7609
190.000000 75.614 -27.7037
192.500000 75.543 -27.6326
195.000000 75.467 -27.5769
197.500000 75.395 -27.5661
200.000000 75.335 -27.4630
203.000000 75.260 -27.4641
206.000000 75.196 -27.3293
209.000000 75.118 -27.3369
212.000000 75.047 -27.1169
214.000000 75.008 -27.0401
218.000000 74.911 -26.9007
220.000000 74.860 -26.7976
224.000000 74.768 -26.6878
227.000000 74.701 -26.6096
230.000000 74.652 -26.4111
233.000000 74.570 -26.2102
236.000000 74.506 -26.0915
240.000000 74.434 -25.7207
243.000000 74.362 -25.5516
247.000000 74.306 -25.2948
250.000000 74.279 -24.9255
254.000000 74.202 -24.8367
258.000000 74.154 -24.7649
262.000000 74.087 -24.5502
265.000000 74.024 -24.3729
269.000000 73.956 -24.1116
272.000000 73.919 -24.0248
276.000000 73.856 -23.7760
280.000000 73.793 -23.5776
285.000000 73.732 -23.3604
290.000000 73.654 -23.0132
295.000000 73.578 -22.8227
300.000000 73.534 -22.4707
304.000000 73.467 -22.3078
307.000000 73.431 -22.1057
311.000000 73.356 -21.8992
315.000000 73.308 -21.7030
320.000000 73.260 -21.4337
325.000000 73.196 -21.1576
330.000000 73.116 -20.7427
335.000000 73.072 -20.4429
340.000000 73.017 -20.2235
