* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 22:02:48 13-12-2023
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Shortbus Glamdring small tip R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.073 122.6790
1.015000 83.889 121.7803
1.030000 83.696 120.8737
1.044000 83.509 120.0199
1.060000 83.286 119.0344
1.075000 83.069 118.1004
1.090000 82.842 117.1560
1.106000 82.589 116.1619
1.120000 82.360 115.4404
1.138000 82.056 114.7245
1.150000 81.848 114.3595
1.172000 81.453 113.8734
1.180000 81.305 113.7426
1.206000 80.812 113.4230
1.220000 80.538 113.2835
1.241000 80.117 113.0595
1.250000 79.933 112.9429
1.265000 79.620 112.7004
1.280000 79.302 112.3751
1.315000 78.538 111.1490
1.320000 78.426 110.9063
1.340000 77.974 109.7286
1.360000 77.512 108.1735
1.380000 77.043 106.1795
1.400000 76.565 103.6852
1.430000 75.834 98.8712
1.450000 75.338 94.8573
1.475000 74.700 88.7862
1.500000 73.964 81.1876
1.525000 73.132 72.1848
1.550000 72.227 62.0081
1.575000 71.274 50.8880
1.600000 70.296 39.0551
1.625000 69.316 26.7397
1.650000 68.359 14.1724
1.675000 67.447 1.5836
1.700000 66.605 -10.7963
1.725000 65.855 -22.7367
1.750000 65.223 -34.0072
1.775000 64.730 -44.3773
1.800000 64.402 -53.6165
1.825000 64.261 -61.4946
1.850000 64.336 -68.0122
1.875000 64.632 -73.6504
1.900000 65.122 -78.5116
1.925000 65.776 -82.6771
1.950000 66.564 -86.2286
1.975000 67.458 -89.2476
2.000000 68.427 -91.8157
2.030000 69.649 -94.4172
2.060000 70.887 -96.6278
2.090000 72.090 -98.5884
2.120000 73.208 -100.4401
2.140000 73.880 -101.6837
2.180000 74.983 -104.3805
2.200000 75.383 -105.9144
2.240000 76.003 -108.8253
2.270000 76.364 -110.7108
2.300000 76.649 -112.3721
2.330000 76.866 -113.8369
2.360000 77.026 -115.1332
2.400000 77.169 -116.6472
2.430000 77.235 -117.6580
2.470000 77.289 -118.8923
2.500000 77.316 -119.7690
2.540000 77.354 -120.9254
2.580000 77.407 -122.1175
2.620000 77.420 -123.2882
2.650000 77.398 -124.1240
2.690000 77.333 -125.1578
2.720000 77.261 -125.8563
2.760000 77.141 -126.6609
2.800000 77.001 -127.2931
2.850000 76.808 -127.7951
2.900000 76.610 -127.9217
2.950000 76.415 -127.6164
3.000000 76.165 -126.8769
3.040000 75.929 -126.0077
3.070000 75.742 -125.2123
3.110000 75.489 -123.9826
3.150000 75.246 -122.5853
3.200000 74.976 -120.6455
3.250000 74.772 -118.5419
3.300000 74.659 -116.3268
3.350000 74.633 -113.7309
3.400000 74.668 -110.6738
3.450000 74.757 -107.3533
3.500000 74.890 -103.9671
3.550000 75.059 -100.7129
3.600000 75.256 -97.7885
3.650000 75.471 -95.3914
3.700000 75.715 -93.5901
3.750000 76.018 -92.1533
3.820000 76.510 -90.6643
3.870000 76.883 -89.9227
3.950000 77.461 -89.1904
4.000000 77.781 -88.9579
4.060000 78.101 -88.8934
4.120000 78.391 -89.2410
4.180000 78.655 -89.9308
4.250000 78.927 -91.0200
4.310000 79.126 -92.0710
4.370000 79.291 -93.1134
4.440000 79.436 -94.2749
4.500000 79.518 -95.4000
4.550000 79.561 -96.3994
4.620000 79.586 -97.8217
4.680000 79.581 -98.9961
4.750000 79.549 -100.2282
4.820000 79.485 -101.3170
4.870000 79.411 -102.0712
4.940000 79.280 -103.0566
5.000000 79.151 -103.8002
5.080000 78.971 -104.5869
5.150000 78.816 -105.0289
5.220000 78.642 -105.2364
5.300000 78.425 -105.2379
5.380000 78.214 -105.0448
5.450000 78.055 -104.7632
5.520000 77.934 -104.3986
5.600000 77.825 -103.7228
5.700000 77.728 -102.6526
5.800000 77.682 -101.6526
5.900000 77.693 -101.0171
6.000000 77.778 -100.5718
6.080000 77.881 -100.3693
6.150000 77.979 -100.3585
6.220000 78.072 -100.5479
6.300000 78.176 -101.0476
6.400000 78.322 -102.0344
6.500000 78.461 -103.3055
6.600000 78.569 -104.7354
6.700000 78.645 -106.3942
6.800000 78.699 -108.2718
6.900000 78.728 -110.2032
7.000000 78.733 -112.0535
7.100000 78.706 -113.9316
7.200000 78.658 -115.7822
7.300000 78.604 -117.4948
7.400000 78.546 -119.0081
7.500000 78.474 -120.3810
7.620000 78.395 -121.8366
7.750000 78.344 -123.1478
7.880000 78.320 -124.1424
8.000000 78.330 -124.9182
8.120000 78.383 -125.6706
8.250000 78.490 -126.3779
8.380000 78.628 -127.1032
8.500000 78.776 -127.9032
8.620000 78.951 -128.7853
8.750000 79.147 -129.8167
8.850000 79.289 -130.6690
9.000000 79.500 -132.0663
9.120000 79.658 -133.1903
9.250000 79.808 -134.3541
9.380000 79.940 -135.4987
9.500000 80.050 -136.4644
9.620000 80.149 -137.3013
9.750000 80.241 -138.0937
9.880000 80.330 -138.7620
10.000000 80.413 -139.2507
10.150000 80.513 -139.7122
10.300000 80.618 -140.0897
10.440000 80.723 -140.3517
10.600000 80.845 -140.6053
10.750000 80.959 -140.8539
10.900000 81.073 -141.0946
11.060000 81.185 -141.3680
11.200000 81.274 -141.6235
11.380000 81.375 -141.9414
11.500000 81.432 -142.1432
11.720000 81.520 -142.4834
11.800000 81.547 -142.5900
12.060000 81.619 -142.8934
12.200000 81.653 -143.0444
12.410000 81.695 -143.2638
12.500000 81.710 -143.3716
12.650000 81.732 -143.5646
12.800000 81.749 -143.7796
13.150000 81.759 -144.3850
13.200000 81.758 -144.4772
13.400000 81.744 -144.8615
13.600000 81.723 -145.2521
13.800000 81.696 -145.6380
14.000000 81.671 -146.0421
14.300000 81.641 -146.7045
14.500000 81.629 -147.2297
14.750000 81.617 -148.0029
15.000000 81.606 -148.9084
15.250000 81.590 -149.9089
15.500000 81.570 -150.9369
15.750000 81.550 -151.9532
16.000000 81.537 -152.9088
16.250000 81.539 -153.8155
16.500000 81.558 -154.6884
16.750000 81.596 -155.5604
17.000000 81.645 -156.4458
17.250000 81.700 -157.3323
17.500000 81.755 -158.1991
17.750000 81.808 -158.9968
18.000000 81.860 -159.7093
18.250000 81.913 -160.3193
18.500000 81.969 -160.8424
18.750000 82.027 -161.2994
19.000000 82.087 -161.7096
19.250000 82.144 -162.0925
19.500000 82.195 -162.4475
19.750000 82.240 -162.7752
20.000000 82.277 -163.0726
20.299999 82.313 -163.4023
20.600000 82.339 -163.7224
20.900000 82.356 -164.0576
21.200001 82.359 -164.4251
21.400000 82.351 -164.6850
21.799999 82.316 -165.2179
22.000000 82.289 -165.4783
22.400000 82.223 -165.9660
22.700001 82.168 -166.3012
23.000000 82.116 -166.6187
23.299999 82.071 -166.9315
23.600000 82.035 -167.2556
24.000000 82.008 -167.7386
24.299999 82.002 -168.1687
24.700001 82.008 -168.8569
25.000000 82.018 -169.4491
25.400000 82.030 -170.2885
25.799999 82.042 -171.1053
26.200001 82.058 -171.8506
26.500000 82.075 -172.3663
26.900000 82.103 -173.0170
27.200001 82.124 -173.4815
27.600000 82.147 -174.0509
28.000000 82.164 -174.5348
28.500000 82.186 -175.0350
29.000000 82.206 -175.5147
29.500000 82.214 -176.0344
30.000000 82.200 -176.5500
30.400000 82.178 -176.9216
30.700001 82.162 -177.1834
31.100000 82.142 -177.5478
31.500000 82.123 -177.9612
32.000000 82.097 -178.5478
32.500000 82.066 -179.1660
33.000000 82.036 -179.7774
33.500000 82.014 179.6208
34.000000 81.998 179.0275
34.500000 81.987 178.4535
35.000000 81.981 177.9106
35.500000 81.978 177.4057
36.000000 81.976 176.9370
36.500000 81.974 176.4922
37.000000 81.966 176.0632
37.500000 81.950 175.6649
38.200001 81.919 175.1883
38.700001 81.897 174.8726
39.500000 81.861 174.3007
40.000000 81.832 173.9189
40.599998 81.796 173.4765
41.200001 81.765 173.0264
41.799999 81.738 172.5428
42.500000 81.704 171.9821
43.099998 81.677 171.5394
43.700001 81.655 171.1123
44.400002 81.630 170.6170
45.000000 81.605 170.2117
45.500000 81.582 169.8956
46.200001 81.550 169.4661
46.799999 81.519 169.0950
47.500000 81.478 168.7019
48.200001 81.446 168.3546
48.700001 81.432 168.0600
49.400002 81.406 167.5360
50.000000 81.365 167.1084
50.799999 81.312 166.7019
51.500000 81.280 166.3677
52.200001 81.246 165.9929
53.000000 81.200 165.6006
53.799999 81.156 165.2209
54.500000 81.114 164.8781
55.200001 81.071 164.5511
56.000000 81.029 164.1825
57.000000 80.984 163.6761
58.000000 80.938 163.1450
59.000000 80.890 162.6550
60.000000 80.836 162.2458
60.799999 80.799 161.9727
61.500000 80.763 161.6936
62.200001 80.718 161.4543
63.000000 80.679 161.2151
64.000000 80.623 160.7373
65.000000 80.557 160.4228
66.000000 80.522 159.9733
67.000000 80.456 159.5825
68.000000 80.427 159.2596
69.000000 80.362 158.8666
70.000000 80.329 158.6992
71.000000 80.266 158.1750
72.000000 80.196 158.1634
73.000000 80.176 157.6819
74.000000 80.072 157.3806
75.000000 80.052 157.2112
76.199997 79.955 156.7333
77.500000 79.931 156.5344
78.800003 79.834 156.0900
80.000000 79.798 155.8372
81.199997 79.716 155.5749
82.500000 79.676 155.2578
83.800003 79.588 155.0361
85.000000 79.548 154.7689
86.199997 79.468 154.5072
87.500000 79.412 154.2333
88.500000 79.347 153.9871
90.000000 79.276 153.7661
91.199997 79.220 153.5273
92.500000 79.164 153.2980
93.800003 79.082 153.0134
95.000000 79.019 153.0358
96.199997 78.976 152.7713
97.500000 78.913 152.5937
98.800003 78.832 152.1790
100.000000 78.755 152.3841
101.500000 78.739 152.0331
103.000000 78.632 151.9351
104.400002 78.617 151.7712
106.000000 78.500 151.4203
107.500000 78.454 151.3944
109.000000 78.398 151.1221
110.599998 78.297 151.0220
112.000000 78.266 150.9407
113.800003 78.178 150.7540
115.000000 78.125 150.6549
117.199997 78.042 150.5255
118.000000 78.007 150.4144
120.599998 77.891 150.2167
122.000000 77.820 150.1854
124.099998 77.750 150.0053
125.000000 77.707 149.9927
126.500000 77.646 149.8921
128.000000 77.579 149.8943
131.500000 77.447 149.7211
132.000000 77.433 149.7270
134.000000 77.354 149.5856
136.000000 77.279 149.5938
138.000000 77.202 149.5395
140.000000 77.137 149.5589
143.000000 77.026 149.4593
145.000000 76.939 149.4412
147.500000 76.859 149.3610
150.000000 76.769 149.3978
152.500000 76.692 149.3526
155.000000 76.617 149.4187
157.500000 76.532 149.4306
160.000000 76.452 149.4652
162.500000 76.353 149.4455
165.000000 76.277 149.4972
167.500000 76.205 149.4772
170.000000 76.125 149.4976
172.500000 76.068 149.6108
175.000000 75.981 149.6828
177.500000 75.919 149.7630
180.000000 75.847 149.8992
182.500000 75.775 149.8861
185.000000 75.691 150.0672
187.500000 75.636 150.0455
190.000000 75.572 150.1436
192.500000 75.510 150.3134
195.000000 75.433 150.4350
197.500000 75.370 150.4821
200.000000 75.314 150.5755
203.000000 75.246 150.6537
206.000000 75.167 150.9057
209.000000 75.087 150.9209
212.000000 75.018 151.0933
214.000000 74.985 151.1346
218.000000 74.907 151.3787
220.000000 74.864 151.5782
224.000000 74.772 151.7483
227.000000 74.709 151.9703
230.000000 74.638 152.1357
233.000000 74.586 152.2464
236.000000 74.517 152.3650
240.000000 74.441 152.6625
243.000000 74.377 152.7755
247.000000 74.300 153.0716
250.000000 74.245 153.3260
254.000000 74.178 153.5413
258.000000 74.119 153.7669
262.000000 74.031 153.9798
265.000000 73.996 154.1580
269.000000 73.936 154.4004
272.000000 73.882 154.5786
276.000000 73.816 154.7971
280.000000 73.741 155.1266
285.000000 73.679 155.5800
290.000000 73.609 155.8195
295.000000 73.544 156.1605
300.000000 73.471 156.3696
304.000000 73.410 156.7757
307.000000 73.356 157.0403
311.000000 73.336 157.1170
315.000000 73.280 157.4689
320.000000 73.201 157.7917
325.000000 73.173 158.1544
330.000000 73.108 158.4756
