* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 22:13:28 13-12-2023
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Shortbus Glamdring wide tip L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 76.066 122.6994
1.015000 75.877 121.7453
1.030000 75.680 120.7731
1.044000 75.489 119.8482
1.060000 75.261 118.7689
1.075000 75.038 117.7339
1.090000 74.805 116.6751
1.106000 74.546 115.5378
1.120000 74.305 114.6435
1.138000 73.977 113.6402
1.150000 73.747 113.0477
1.172000 73.305 112.0826
1.180000 73.139 111.7609
1.206000 72.580 110.7757
1.220000 72.269 110.2577
1.241000 71.791 109.4540
1.250000 71.584 109.0883
1.265000 71.234 108.4352
1.280000 70.881 107.7106
1.315000 70.052 105.6325
1.320000 69.933 105.2809
1.340000 69.462 103.7086
1.360000 68.995 101.8365
1.380000 68.536 99.6189
1.400000 68.088 97.0095
1.430000 67.442 92.2604
1.450000 67.033 88.4705
1.475000 66.545 82.9156
1.500000 66.028 76.1490
1.525000 65.478 68.2640
1.550000 64.908 59.4449
1.575000 64.329 49.8756
1.600000 63.753 39.7404
1.625000 63.192 29.2234
1.650000 62.657 18.5087
1.675000 62.160 7.7804
1.700000 61.713 -2.7774
1.725000 61.328 -12.9805
1.750000 61.016 -22.6448
1.775000 60.789 -31.5862
1.800000 60.658 -39.6206
1.825000 60.636 -46.5638
1.850000 60.743 -52.4251
1.875000 60.993 -57.6056
1.900000 61.370 -62.1816
1.925000 61.853 -66.2118
1.950000 62.423 -69.7550
1.975000 63.062 -72.8700
2.000000 63.750 -75.6156
2.030000 64.612 -78.5056
2.060000 65.484 -81.0500
2.090000 66.333 -83.3503
2.120000 67.124 -85.5082
2.140000 67.603 -86.9178
2.180000 68.402 -89.8032
2.200000 68.703 -91.3368
2.240000 69.183 -94.1782
2.270000 69.476 -95.9956
2.300000 69.718 -97.5747
2.330000 69.914 -98.9435
2.360000 70.073 -100.1295
2.400000 70.235 -101.4746
2.430000 70.329 -102.3421
2.470000 70.428 -103.3630
2.500000 70.492 -104.0629
2.540000 70.574 -104.9609
2.580000 70.660 -105.8620
2.620000 70.710 -106.6619
2.650000 70.721 -107.1731
2.690000 70.706 -107.7335
2.720000 70.677 -108.0605
2.760000 70.623 -108.3692
2.800000 70.560 -108.5288
2.850000 70.478 -108.5124
2.900000 70.412 -108.2491
2.950000 70.370 -107.7157
3.000000 70.315 -106.7984
3.040000 70.261 -105.8204
3.070000 70.218 -104.9746
3.110000 70.165 -103.7339
3.150000 70.122 -102.4060
3.200000 70.091 -100.6933
3.250000 70.099 -99.0054
3.300000 70.158 -97.4306
3.350000 70.272 -95.8146
3.400000 70.431 -94.0642
3.450000 70.626 -92.2620
3.500000 70.845 -90.4909
3.550000 71.081 -88.8337
3.600000 71.324 -87.3732
3.650000 71.563 -86.1923
3.700000 71.803 -85.3272
3.750000 72.064 -84.6932
3.820000 72.453 -84.1341
3.870000 72.735 -83.9315
3.950000 73.167 -83.8707
4.000000 73.412 -83.9536
4.060000 73.670 -84.1610
4.120000 73.907 -84.6017
4.180000 74.125 -85.2367
4.250000 74.353 -86.1359
4.310000 74.526 -86.9678
4.370000 74.675 -87.7873
4.440000 74.818 -88.7039
4.500000 74.911 -89.5628
4.550000 74.970 -90.3103
4.620000 75.030 -91.3589
4.680000 75.065 -92.2166
4.750000 75.091 -93.1134
4.820000 75.097 -93.8945
4.870000 75.084 -94.4195
4.940000 75.048 -95.0949
5.000000 75.008 -95.6044
5.080000 74.952 -96.1614
5.150000 74.910 -96.5111
5.220000 74.862 -96.7112
5.300000 74.800 -96.7925
5.380000 74.744 -96.7699
5.450000 74.709 -96.7087
5.520000 74.696 -96.6356
5.600000 74.699 -96.4440
5.700000 74.728 -96.1147
5.800000 74.781 -95.8455
5.900000 74.859 -95.7843
6.000000 74.971 -95.8510
6.080000 75.077 -95.9978
6.150000 75.172 -96.2153
6.220000 75.264 -96.5331
6.300000 75.366 -97.0399
6.400000 75.499 -97.8635
6.500000 75.627 -98.8328
6.600000 75.736 -99.8778
6.700000 75.827 -101.0373
6.800000 75.902 -102.3061
6.900000 75.965 -103.5923
7.000000 76.013 -104.8206
7.100000 76.042 -106.0473
7.200000 76.060 -107.2483
7.300000 76.074 -108.3710
7.400000 76.088 -109.3829
7.500000 76.096 -110.3103
7.620000 76.108 -111.3248
7.750000 76.141 -112.3077
7.880000 76.188 -113.1431
8.000000 76.247 -113.8540
8.120000 76.326 -114.5688
8.250000 76.433 -115.3086
8.380000 76.554 -116.0635
8.500000 76.674 -116.8219
8.620000 76.804 -117.6228
8.750000 76.947 -118.5232
8.850000 77.053 -119.2369
9.000000 77.209 -120.3568
9.120000 77.329 -121.2477
9.250000 77.449 -122.1769
9.380000 77.561 -123.0872
9.500000 77.660 -123.8792
9.620000 77.753 -124.6057
9.750000 77.849 -125.3329
9.880000 77.944 -126.0010
10.000000 78.031 -126.5593
10.150000 78.140 -127.1869
10.300000 78.248 -127.7744
10.440000 78.351 -128.2820
10.600000 78.467 -128.8338
10.750000 78.573 -129.3441
10.900000 78.676 -129.8397
11.060000 78.778 -130.3548
11.200000 78.862 -130.7954
11.380000 78.962 -131.3350
11.500000 79.023 -131.6746
11.720000 79.125 -132.2612
11.800000 79.160 -132.4619
12.060000 79.266 -133.0780
12.200000 79.320 -133.4030
12.410000 79.395 -133.8854
12.500000 79.425 -134.0994
12.650000 79.473 -134.4640
12.800000 79.515 -134.8379
13.150000 79.595 -135.7507
13.200000 79.604 -135.8816
13.400000 79.635 -136.4072
13.600000 79.660 -136.9263
13.800000 79.681 -137.4330
14.000000 79.702 -137.9423
14.300000 79.735 -138.7241
14.500000 79.759 -139.2833
14.750000 79.789 -140.0361
15.000000 79.818 -140.8501
15.250000 79.842 -141.7052
15.500000 79.862 -142.5676
15.750000 79.881 -143.4185
16.000000 79.902 -144.2354
16.250000 79.930 -145.0268
16.500000 79.965 -145.8016
16.750000 80.009 -146.5778
17.000000 80.057 -147.3629
17.250000 80.108 -148.1507
17.500000 80.157 -148.9306
17.750000 80.204 -149.6757
18.000000 80.250 -150.3754
18.250000 80.295 -151.0182
18.500000 80.340 -151.6074
18.750000 80.387 -152.1530
19.000000 80.436 -152.6641
19.250000 80.483 -153.1547
19.500000 80.529 -153.6288
19.750000 80.571 -154.0897
20.000000 80.609 -154.5379
20.299999 80.647 -155.0577
20.600000 80.678 -155.5566
20.900000 80.700 -156.0332
21.200001 80.716 -156.4864
21.400000 80.725 -156.7768
21.799999 80.737 -157.3417
22.000000 80.743 -157.6258
22.400000 80.753 -158.2220
22.700001 80.759 -158.7087
23.000000 80.762 -159.2304
23.299999 80.760 -159.7715
23.600000 80.755 -160.3152
24.000000 80.748 -161.0258
24.299999 80.747 -161.5497
24.700001 80.752 -162.2547
25.000000 80.761 -162.7989
25.400000 80.774 -163.5398
25.799999 80.788 -164.2695
26.200001 80.804 -164.9621
26.500000 80.819 -165.4570
26.900000 80.840 -166.0967
27.200001 80.856 -166.5666
27.600000 80.873 -167.1703
28.000000 80.883 -167.7205
28.500000 80.891 -168.3067
29.000000 80.901 -168.8123
29.500000 80.914 -169.3079
30.000000 80.923 -169.8395
30.400000 80.923 -170.2876
30.700001 80.919 -170.6284
31.100000 80.909 -171.0797
31.500000 80.896 -171.5251
32.000000 80.880 -172.0792
32.500000 80.865 -172.6441
33.000000 80.852 -173.2281
33.500000 80.839 -173.8218
34.000000 80.828 -174.4053
34.500000 80.819 -174.9691
35.000000 80.814 -175.5167
35.500000 80.810 -176.0494
36.000000 80.806 -176.5589
36.500000 80.801 -177.0392
37.000000 80.797 -177.4939
37.500000 80.791 -177.9305
38.200001 80.781 -178.5269
38.700001 80.772 -178.9563
39.500000 80.747 -179.6483
40.000000 80.727 179.9404
40.599998 80.704 179.4720
41.200001 80.685 178.9946
41.799999 80.667 178.4910
42.500000 80.641 177.9050
43.099998 80.619 177.4314
43.700001 80.599 176.9808
44.400002 80.578 176.4714
45.000000 80.562 176.0361
45.500000 80.548 175.6699
46.200001 80.524 175.1657
46.799999 80.501 174.7533
47.500000 80.474 174.2892
48.200001 80.447 173.8459
48.700001 80.429 173.5431
49.400002 80.409 173.1050
50.000000 80.391 172.6890
50.799999 80.353 172.1420
51.500000 80.317 171.7516
52.200001 80.289 171.3931
53.000000 80.259 170.9383
53.799999 80.221 170.4988
54.500000 80.192 170.1366
55.200001 80.164 169.7446
56.000000 80.127 169.3031
57.000000 80.087 168.7808
58.000000 80.047 168.2222
59.000000 80.004 167.7126
60.000000 79.960 167.2274
60.799999 79.923 166.8823
61.500000 79.893 166.5930
62.200001 79.862 166.2797
63.000000 79.820 165.9382
64.000000 79.774 165.5792
65.000000 79.737 165.1138
66.000000 79.679 164.6747
67.000000 79.642 164.3652
68.000000 79.609 163.8892
69.000000 79.555 163.4861
70.000000 79.508 163.1385
71.000000 79.458 162.7861
72.000000 79.409 162.4386
73.000000 79.356 162.1115
74.000000 79.310 161.7992
75.000000 79.262 161.4809
76.199997 79.215 161.1092
77.500000 79.147 160.6945
78.800003 79.099 160.3273
80.000000 79.031 159.9326
81.199997 78.980 159.6455
82.500000 78.915 159.2584
83.800003 78.861 158.9318
85.000000 78.805 158.5978
86.199997 78.752 158.3045
87.500000 78.690 157.9598
88.500000 78.638 157.7542
90.000000 78.574 157.4412
91.199997 78.513 157.1987
92.500000 78.458 157.0182
93.800003 78.414 156.7323
95.000000 78.352 156.4353
96.199997 78.295 156.2213
97.500000 78.234 156.0110
98.800003 78.169 155.6948
100.000000 78.099 155.7645
101.500000 78.085 155.3179
103.000000 77.985 155.1004
104.400002 77.927 154.8337
106.000000 77.864 154.6474
107.500000 77.796 154.3669
109.000000 77.725 154.1824
110.599998 77.655 153.9575
112.000000 77.587 153.8051
113.800003 77.517 153.5773
115.000000 77.462 153.4701
117.199997 77.383 153.1929
118.000000 77.340 153.1635
120.599998 77.229 152.9131
122.000000 77.178 152.7959
124.099998 77.085 152.5813
125.000000 77.050 152.4867
126.500000 76.985 152.4220
128.000000 76.929 152.3435
131.500000 76.790 152.1400
132.000000 76.767 152.1107
134.000000 76.683 151.9565
136.000000 76.591 151.9365
138.000000 76.509 151.8345
140.000000 76.437 151.8044
143.000000 76.301 151.8773
145.000000 76.224 151.8257
147.500000 76.137 152.0188
150.000000 76.054 152.2063
152.500000 75.988 152.3820
155.000000 75.937 152.4858
157.500000 75.902 152.5021
160.000000 75.861 152.4524
162.500000 75.801 152.3438
165.000000 75.739 152.1785
167.500000 75.682 152.0181
170.000000 75.607 151.8606
172.500000 75.514 151.9254
175.000000 75.439 151.8818
177.500000 75.349 151.8777
180.000000 75.294 151.8996
182.500000 75.206 151.9862
185.000000 75.131 151.9905
187.500000 75.057 152.0774
190.000000 74.993 152.1242
192.500000 74.929 152.3635
195.000000 74.874 152.3730
197.500000 74.818 152.5904
200.000000 74.764 152.7028
203.000000 74.714 152.7792
206.000000 74.660 152.8903
209.000000 74.599 153.0343
212.000000 74.545 153.0633
214.000000 74.493 153.2055
218.000000 74.430 153.2401
220.000000 74.393 153.1967
224.000000 74.318 153.2738
227.000000 74.256 153.3026
230.000000 74.194 153.3945
233.000000 74.140 153.4785
236.000000 74.083 153.4712
240.000000 74.011 153.5988
243.000000 73.931 153.7728
247.000000 73.849 153.8300
250.000000 73.801 154.0314
254.000000 73.715 154.1688
258.000000 73.642 154.3437
262.000000 73.572 154.5315
265.000000 73.497 154.6181
269.000000 73.427 154.8268
272.000000 73.394 154.9885
276.000000 73.308 155.2000
280.000000 73.227 155.3178
285.000000 73.161 155.6370
290.000000 73.067 155.8393
295.000000 73.011 156.2170
300.000000 72.929 156.6003
304.000000 72.869 156.7386
307.000000 72.822 157.0107
311.000000 72.757 157.2841
315.000000 72.708 157.3821
320.000000 72.631 157.8160
325.000000 72.567 158.2217
