* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 22:11:47 13-12-2023
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Shortbus Glamdring wide tip R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.142 122.6140
1.015000 83.958 121.7170
1.030000 83.766 120.8127
1.044000 83.580 119.9616
1.060000 83.358 118.9799
1.075000 83.142 118.0500
1.090000 82.916 117.1104
1.106000 82.665 116.1225
1.120000 82.438 115.4081
1.138000 82.138 114.7036
1.150000 81.932 114.3474
1.172000 81.544 113.8798
1.180000 81.400 113.7563
1.206000 80.917 113.4622
1.220000 80.648 113.3373
1.241000 80.236 113.1358
1.250000 80.055 113.0290
1.265000 79.748 112.8028
1.280000 79.436 112.4937
1.315000 78.682 111.3032
1.320000 78.572 111.0654
1.340000 78.123 109.9057
1.360000 77.665 108.3664
1.380000 77.195 106.3856
1.400000 76.716 103.9014
1.430000 75.977 99.0956
1.450000 75.473 95.0818
1.475000 74.818 89.0042
1.500000 74.058 81.3927
1.525000 73.194 72.3713
1.550000 72.252 62.1712
1.575000 71.256 51.0232
1.600000 70.232 39.1586
1.625000 69.204 26.8085
1.650000 68.198 14.2038
1.675000 67.239 1.5758
1.700000 66.351 -10.8447
1.725000 65.559 -22.8263
1.750000 64.889 -34.1381
1.775000 64.366 -44.5490
1.800000 64.014 -53.8280
1.825000 63.858 -61.7440
1.850000 63.928 -68.2987
1.875000 64.228 -73.9766
1.900000 64.729 -78.8795
1.925000 65.400 -83.0884
1.950000 66.212 -86.6843
1.975000 67.132 -89.7483
2.000000 68.131 -92.3614
2.030000 69.391 -95.0161
2.060000 70.668 -97.2783
2.090000 71.909 -99.2881
2.120000 73.062 -101.1855
2.140000 73.755 -102.4572
2.180000 74.889 -105.2034
2.200000 75.301 -106.7581
2.240000 75.935 -109.7020
2.270000 76.304 -111.6060
2.300000 76.593 -113.2812
2.330000 76.813 -114.7565
2.360000 76.973 -116.0604
2.400000 77.114 -117.5822
2.430000 77.178 -118.5981
2.470000 77.228 -119.8400
2.500000 77.252 -120.7241
2.540000 77.286 -121.8944
2.580000 77.337 -123.1069
2.620000 77.348 -124.3042
2.650000 77.324 -125.1629
2.690000 77.256 -126.2298
2.720000 77.181 -126.9538
2.760000 77.057 -127.7921
2.800000 76.911 -128.4559
2.850000 76.710 -128.9914
2.900000 76.504 -129.1418
2.950000 76.297 -128.8482
3.000000 76.031 -128.1176
3.040000 75.782 -127.2534
3.070000 75.583 -126.4593
3.110000 75.314 -125.2267
3.150000 75.055 -123.8196
3.200000 74.768 -121.8551
3.250000 74.547 -119.7098
3.300000 74.423 -117.4325
3.350000 74.387 -114.7419
3.400000 74.416 -111.5591
3.450000 74.499 -108.0934
3.500000 74.629 -104.5543
3.550000 74.797 -101.1512
3.600000 74.994 -98.0936
3.650000 75.210 -95.5907
3.700000 75.458 -93.7155
3.750000 75.769 -92.2234
3.820000 76.275 -90.6819
3.870000 76.659 -89.9170
3.950000 77.254 -89.1642
4.000000 77.583 -88.9252
4.060000 77.910 -88.8572
4.120000 78.205 -89.2154
4.180000 78.474 -89.9274
4.250000 78.749 -91.0519
4.310000 78.950 -92.1360
4.370000 79.116 -93.2098
4.440000 79.260 -94.4036
4.500000 79.341 -95.5585
4.550000 79.382 -96.5839
4.620000 79.403 -98.0426
4.680000 79.394 -99.2465
4.750000 79.356 -100.5091
4.820000 79.285 -101.6251
4.870000 79.206 -102.3987
4.940000 79.067 -103.4091
5.000000 78.929 -104.1702
5.080000 78.737 -104.9712
5.150000 78.573 -105.4146
5.220000 78.387 -105.6141
5.300000 78.156 -105.5965
5.380000 77.931 -105.3749
5.450000 77.761 -105.0612
5.520000 77.631 -104.6576
5.600000 77.514 -103.9209
5.700000 77.409 -102.7604
5.800000 77.356 -101.6742
5.900000 77.365 -100.9746
6.000000 77.452 -100.4774
6.080000 77.558 -100.2423
6.150000 77.660 -100.2123
6.220000 77.755 -100.3931
6.300000 77.863 -100.8987
6.400000 78.012 -101.9130
6.500000 78.154 -103.2265
6.600000 78.265 -104.7059
6.700000 78.341 -106.4241
6.800000 78.393 -108.3716
6.900000 78.420 -110.3759
7.000000 78.422 -112.2966
7.100000 78.390 -114.2477
7.200000 78.337 -116.1707
7.300000 78.276 -117.9497
7.400000 78.212 -119.5209
7.500000 78.133 -120.9463
7.620000 78.044 -122.4548
7.750000 77.986 -123.8063
7.880000 77.955 -124.8224
8.000000 77.959 -125.6079
8.120000 78.010 -126.3649
8.250000 78.117 -127.0668
8.380000 78.258 -127.7855
8.500000 78.409 -128.5858
8.620000 78.589 -129.4709
8.750000 78.792 -130.5099
8.850000 78.938 -131.3723
9.000000 79.157 -132.7917
9.120000 79.320 -133.9354
9.250000 79.475 -135.1204
9.380000 79.611 -136.2874
9.500000 79.724 -137.2715
9.620000 79.824 -138.1226
9.750000 79.919 -138.9272
9.880000 80.009 -139.6033
10.000000 80.092 -140.0943
10.150000 80.193 -140.5531
10.300000 80.299 -140.9246
10.440000 80.404 -141.1772
10.600000 80.527 -141.4185
10.750000 80.642 -141.6559
10.900000 80.757 -141.8855
11.060000 80.869 -142.1480
11.200000 80.958 -142.3950
11.380000 81.059 -142.7020
11.500000 81.115 -142.8964
11.720000 81.201 -143.2226
11.800000 81.228 -143.3239
12.060000 81.298 -143.6094
12.200000 81.331 -143.7520
12.410000 81.371 -143.9608
12.500000 81.386 -144.0659
12.650000 81.407 -144.2567
12.800000 81.422 -144.4723
13.150000 81.428 -145.0913
13.200000 81.426 -145.1862
13.400000 81.408 -145.5834
13.600000 81.382 -145.9870
13.800000 81.350 -146.3847
14.000000 81.320 -146.7984
14.300000 81.283 -147.4710
14.500000 81.266 -148.0018
14.750000 81.250 -148.7832
15.000000 81.236 -149.6995
15.250000 81.217 -150.7148
15.500000 81.196 -151.7600
15.750000 81.175 -152.7955
16.000000 81.162 -153.7705
16.250000 81.165 -154.6964
16.500000 81.186 -155.5883
16.750000 81.226 -156.4795
17.000000 81.278 -157.3845
17.250000 81.336 -158.2910
17.500000 81.393 -159.1780
17.750000 81.449 -159.9959
18.000000 81.503 -160.7280
18.250000 81.556 -161.3569
18.500000 81.613 -161.8971
18.750000 81.670 -162.3679
19.000000 81.727 -162.7874
19.250000 81.781 -163.1729
19.500000 81.829 -163.5237
19.750000 81.869 -163.8403
20.000000 81.902 -164.1206
20.299999 81.932 -164.4226
20.600000 81.953 -164.7059
20.900000 81.964 -164.9922
21.200001 81.964 -165.2944
21.400000 81.957 -165.5018
21.799999 81.930 -165.9233
22.000000 81.912 -166.1384
22.400000 81.874 -166.5957
22.700001 81.847 -166.9921
23.000000 81.819 -167.4567
23.299999 81.790 -167.9846
23.600000 81.759 -168.5553
24.000000 81.719 -169.3446
24.299999 81.694 -169.9402
24.700001 81.673 -170.7418
25.000000 81.666 -171.3551
25.400000 81.664 -172.1795
25.799999 81.669 -172.9704
26.200001 81.680 -173.6850
26.500000 81.693 -174.1647
26.900000 81.716 -174.7414
27.200001 81.736 -175.1357
27.600000 81.761 -175.6084
28.000000 81.781 -176.0085
28.500000 81.803 -176.4158
29.000000 81.822 -176.7836
29.500000 81.830 -177.1686
30.000000 81.823 -177.5776
30.400000 81.808 -177.9183
30.700001 81.794 -178.1887
31.100000 81.770 -178.5826
31.500000 81.742 -179.0163
32.000000 81.701 -179.5950
32.500000 81.661 179.8061
33.000000 81.627 179.1858
33.500000 81.598 178.5465
34.000000 81.574 177.9166
34.500000 81.557 177.3192
35.000000 81.548 176.7507
35.500000 81.542 176.2106
36.000000 81.536 175.7189
36.500000 81.530 175.2842
37.000000 81.524 174.8829
37.500000 81.515 174.4899
38.200001 81.491 173.9587
38.700001 81.467 173.6010
39.500000 81.423 173.0356
40.000000 81.393 172.6729
40.599998 81.359 172.2139
41.200001 81.325 171.7140
41.799999 81.289 171.2031
42.500000 81.249 170.6439
43.099998 81.221 170.1696
43.700001 81.193 169.6848
44.400002 81.154 169.1735
45.000000 81.123 168.8008
45.500000 81.101 168.4981
46.200001 81.069 168.0652
46.799999 81.038 167.7054
47.500000 81.002 167.2892
48.200001 80.964 166.8667
48.700001 80.936 166.5795
49.400002 80.900 166.2002
50.000000 80.875 165.8602
50.799999 80.837 165.3722
51.500000 80.796 164.9835
52.200001 80.757 164.6616
53.000000 80.722 164.2735
53.799999 80.681 163.8165
54.500000 80.636 163.4330
55.200001 80.592 163.0716
56.000000 80.543 162.6557
57.000000 80.487 162.1501
58.000000 80.438 161.6454
59.000000 80.390 161.1750
60.000000 80.339 160.7181
60.799999 80.292 160.3966
61.500000 80.252 160.1497
62.200001 80.213 159.8860
63.000000 80.163 159.5521
64.000000 80.096 159.1514
65.000000 80.036 158.7450
66.000000 79.974 158.3405
67.000000 79.921 157.9964
68.000000 79.872 157.6278
69.000000 79.820 157.3154
70.000000 79.770 156.9724
71.000000 79.704 156.6567
72.000000 79.647 156.4034
73.000000 79.592 156.0693
74.000000 79.528 155.7554
75.000000 79.472 155.5004
76.199997 79.409 155.1368
77.500000 79.332 154.8233
78.800003 79.265 154.5086
80.000000 79.194 154.1892
81.199997 79.122 153.9454
82.500000 79.062 153.6576
83.800003 78.985 153.3212
85.000000 78.922 153.1398
86.199997 78.861 152.8712
87.500000 78.788 152.6336
88.500000 78.737 152.4681
90.000000 78.665 152.1376
91.199997 78.598 151.9130
92.500000 78.526 151.6686
93.800003 78.451 151.5490
95.000000 78.398 151.3582
96.199997 78.329 151.1726
97.500000 78.272 151.0049
98.800003 78.191 150.7972
100.000000 78.142 150.8751
101.500000 78.091 150.4828
103.000000 77.996 150.3432
104.400002 77.924 150.1529
106.000000 77.848 149.9513
107.500000 77.777 149.8124
109.000000 77.706 149.6287
110.599998 77.641 149.5502
112.000000 77.560 149.3286
113.800003 77.479 149.2892
115.000000 77.421 149.1626
117.199997 77.334 148.9926
118.000000 77.296 148.9037
120.599998 77.177 148.7874
122.000000 77.119 148.6690
124.099998 77.018 148.6411
125.000000 76.987 148.5978
126.500000 76.912 148.4866
128.000000 76.845 148.4873
131.500000 76.701 148.3677
132.000000 76.683 148.3343
134.000000 76.591 148.3266
136.000000 76.517 148.2897
138.000000 76.425 148.2086
140.000000 76.339 148.2225
143.000000 76.219 148.3156
145.000000 76.140 148.3355
147.500000 76.049 148.4165
150.000000 75.963 148.5243
152.500000 75.878 148.6254
155.000000 75.802 148.7808
157.500000 75.734 148.7947
160.000000 75.642 148.9261
162.500000 75.579 148.8984
165.000000 75.487 148.9746
167.500000 75.424 149.0258
170.000000 75.342 149.1121
172.500000 75.269 149.1757
175.000000 75.190 149.3975
177.500000 75.112 149.4556
180.000000 75.057 149.4680
182.500000 74.984 149.6186
185.000000 74.926 149.8372
187.500000 74.860 149.9471
190.000000 74.804 150.0650
192.500000 74.746 150.1553
195.000000 74.687 150.4415
197.500000 74.620 150.5095
200.000000 74.544 150.5333
203.000000 74.506 150.7594
206.000000 74.424 150.8981
209.000000 74.363 150.9872
212.000000 74.293 151.1257
214.000000 74.272 151.4630
218.000000 74.166 151.4937
220.000000 74.143 151.6139
224.000000 74.072 151.8522
227.000000 74.032 152.0552
230.000000 73.980 152.1903
233.000000 73.929 152.2428
236.000000 73.885 152.3161
240.000000 73.792 152.4865
243.000000 73.731 152.5285
247.000000 73.662 152.7037
250.000000 73.591 152.9267
254.000000 73.537 152.9797
258.000000 73.447 153.3221
262.000000 73.355 153.5187
265.000000 73.306 153.6257
269.000000 73.246 153.9020
272.000000 73.183 154.0998
276.000000 73.100 154.4059
280.000000 73.027 154.6319
285.000000 72.943 155.0309
290.000000 72.875 155.3281
295.000000 72.776 155.5887
300.000000 72.721 156.0993
304.000000 72.643 156.3848
307.000000 72.596 156.6861
311.000000 72.547 157.0151
315.000000 72.480 157.5765
320.000000 72.425 157.9719
325.000000 72.361 158.5581
330.000000 72.353 159.0809
