* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 22:13:04 13-12-2023
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Shortbus Glamdring wide tip L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 75.973 122.4304
1.015000 75.783 121.4660
1.030000 75.585 120.4825
1.044000 75.394 119.5460
1.060000 75.166 118.4521
1.075000 74.942 117.4021
1.090000 74.710 116.3267
1.106000 74.450 115.1698
1.120000 74.208 114.2538
1.138000 73.879 113.2164
1.150000 73.648 112.5977
1.172000 73.204 111.5788
1.180000 73.036 111.2360
1.206000 72.474 110.1776
1.220000 72.160 109.6181
1.241000 71.680 108.7510
1.250000 71.470 108.3582
1.265000 71.119 107.6599
1.280000 70.764 106.8911
1.315000 69.932 104.7170
1.320000 69.813 104.3528
1.340000 69.341 102.7338
1.360000 68.874 100.8223
1.380000 68.417 98.5735
1.400000 67.972 95.9429
1.430000 67.332 91.1838
1.450000 66.930 87.4038
1.475000 66.452 81.8828
1.500000 65.950 75.1782
1.525000 65.421 67.3806
1.550000 64.874 58.6701
1.575000 64.321 49.2268
1.600000 63.773 39.2309
1.625000 63.241 28.8623
1.650000 62.735 18.3012
1.675000 62.267 7.7276
1.700000 61.847 -2.6784
1.725000 61.487 -12.7367
1.750000 61.197 -22.2672
1.775000 60.987 -31.0899
1.800000 60.870 -39.0246
1.825000 60.856 -45.8913
1.850000 60.964 -51.6996
1.875000 61.211 -56.8429
1.900000 61.579 -61.3955
1.925000 62.049 -65.4143
1.950000 62.604 -68.9565
1.975000 63.224 -72.0792
2.000000 63.891 -74.8394
2.030000 64.727 -77.7536
2.060000 65.573 -80.3266
2.090000 66.395 -82.6572
2.120000 67.162 -84.8439
2.140000 67.627 -86.2705
2.180000 68.402 -89.1804
2.200000 68.694 -90.7199
2.240000 69.163 -93.5704
2.270000 69.448 -95.3956
2.300000 69.685 -96.9833
2.330000 69.878 -98.3607
2.360000 70.034 -99.5554
2.400000 70.195 -100.9113
2.430000 70.288 -101.7860
2.470000 70.386 -102.8148
2.500000 70.449 -103.5188
2.540000 70.530 -104.4193
2.580000 70.615 -105.3190
2.620000 70.662 -106.1133
2.650000 70.671 -106.6182
2.690000 70.655 -107.1676
2.720000 70.625 -107.4850
2.760000 70.571 -107.7796
2.800000 70.507 -107.9240
2.850000 70.426 -107.8885
2.900000 70.360 -107.6072
2.950000 70.320 -107.0575
3.000000 70.268 -106.1208
3.040000 70.217 -105.1255
3.070000 70.177 -104.2664
3.110000 70.128 -103.0083
3.150000 70.089 -101.6647
3.200000 70.064 -99.9364
3.250000 70.077 -98.2395
3.300000 70.142 -96.6643
3.350000 70.261 -95.0577
3.400000 70.426 -93.3247
3.450000 70.626 -91.5459
3.500000 70.852 -89.8024
3.550000 71.093 -88.1748
3.600000 71.340 -86.7441
3.650000 71.583 -85.5912
3.700000 71.825 -84.7525
3.750000 72.089 -84.1469
3.820000 72.479 -83.6295
3.870000 72.761 -83.4566
3.950000 73.193 -83.4403
4.000000 73.437 -83.5475
4.060000 73.695 -83.7792
4.120000 73.930 -84.2407
4.180000 74.147 -84.8934
4.250000 74.374 -85.8099
4.310000 74.545 -86.6540
4.370000 74.693 -87.4836
4.440000 74.834 -88.4094
4.500000 74.926 -89.2733
4.550000 74.984 -90.0233
4.620000 75.043 -91.0729
4.680000 75.076 -91.9293
4.750000 75.101 -92.8224
4.820000 75.106 -93.5973
4.870000 75.092 -94.1160
4.940000 75.056 -94.7801
5.000000 75.015 -95.2785
5.080000 74.959 -95.8194
5.150000 74.918 -96.1543
5.220000 74.871 -96.3370
5.300000 74.811 -96.3965
5.380000 74.757 -96.3519
5.450000 74.724 -96.2732
5.520000 74.713 -96.1857
5.600000 74.721 -95.9791
5.700000 74.755 -95.6338
5.800000 74.813 -95.3531
5.900000 74.897 -95.2870
6.000000 75.014 -95.3559
6.080000 75.124 -95.5080
6.150000 75.223 -95.7315
6.220000 75.317 -96.0555
6.300000 75.422 -96.5704
6.400000 75.558 -97.4070
6.500000 75.688 -98.3894
6.600000 75.799 -99.4447
6.700000 75.889 -100.6124
6.800000 75.965 -101.8875
6.900000 76.027 -103.1769
7.000000 76.074 -104.4035
7.100000 76.102 -105.6243
7.200000 76.118 -106.8154
7.300000 76.132 -107.9240
7.400000 76.144 -108.9171
7.500000 76.151 -109.8204
7.620000 76.162 -110.8024
7.750000 76.195 -111.7482
7.880000 76.244 -112.5420
8.000000 76.305 -113.2159
8.120000 76.386 -113.8999
8.250000 76.498 -114.6103
8.380000 76.625 -115.3434
8.500000 76.748 -116.0915
8.620000 76.884 -116.8906
8.750000 77.032 -117.7966
8.850000 77.140 -118.5196
9.000000 77.300 -119.6630
9.120000 77.421 -120.5762
9.250000 77.541 -121.5302
9.380000 77.652 -122.4678
9.500000 77.748 -123.2820
9.620000 77.839 -124.0255
9.750000 77.931 -124.7672
9.880000 78.021 -125.4426
10.000000 78.104 -125.9996
10.150000 78.206 -126.6167
10.300000 78.311 -127.1864
10.440000 78.410 -127.6692
10.600000 78.524 -128.1894
10.750000 78.630 -128.6711
10.900000 78.733 -129.1386
11.060000 78.838 -129.6312
11.200000 78.924 -130.0580
11.380000 79.027 -130.5878
11.500000 79.090 -130.9270
11.720000 79.196 -131.5203
11.800000 79.232 -131.7246
12.060000 79.340 -132.3555
12.200000 79.393 -132.6850
12.410000 79.468 -133.1699
12.500000 79.498 -133.3826
12.650000 79.546 -133.7410
12.800000 79.589 -134.1066
13.150000 79.671 -134.9963
13.200000 79.681 -135.1249
13.400000 79.715 -135.6431
13.600000 79.744 -136.1606
13.800000 79.768 -136.6731
14.000000 79.791 -137.1911
14.300000 79.826 -137.9877
14.500000 79.849 -138.5509
14.750000 79.879 -139.2989
15.000000 79.907 -140.0963
15.250000 79.932 -140.9270
15.500000 79.954 -141.7654
15.750000 79.977 -142.5975
16.000000 80.002 -143.4072
16.250000 80.034 -144.2012
16.500000 80.072 -144.9853
16.750000 80.116 -145.7714
17.000000 80.163 -146.5604
17.250000 80.213 -147.3451
17.500000 80.261 -148.1142
17.750000 80.308 -148.8468
18.000000 80.355 -149.5361
18.250000 80.401 -150.1753
18.500000 80.448 -150.7689
18.750000 80.496 -151.3231
19.000000 80.543 -151.8440
19.250000 80.588 -152.3377
19.500000 80.631 -152.8058
19.750000 80.671 -153.2502
20.000000 80.708 -153.6744
20.299999 80.748 -154.1648
20.600000 80.782 -154.6426
20.900000 80.810 -155.1140
21.200001 80.830 -155.5791
21.400000 80.840 -155.8828
21.799999 80.854 -156.4750
22.000000 80.859 -156.7672
22.400000 80.868 -157.3611
22.700001 80.874 -157.8337
23.000000 80.879 -158.3404
23.299999 80.881 -158.8751
23.600000 80.880 -159.4239
24.000000 80.876 -160.1543
24.299999 80.875 -160.6911
24.700001 80.879 -161.3968
25.000000 80.887 -161.9272
25.400000 80.903 -162.6416
25.799999 80.922 -163.3535
26.200001 80.942 -164.0422
26.500000 80.957 -164.5336
26.900000 80.980 -165.1510
27.200001 80.998 -165.5879
27.600000 81.024 -166.1429
28.000000 81.049 -166.6798
28.500000 81.074 -167.3444
29.000000 81.086 -167.9965
29.500000 81.081 -168.5925
30.000000 81.066 -169.0897
30.400000 81.055 -169.4299
30.700001 81.051 -169.6768
31.100000 81.048 -170.0312
31.500000 81.046 -170.4322
32.000000 81.041 -170.9903
32.500000 81.030 -171.5804
33.000000 81.017 -172.1782
33.500000 81.004 -172.7712
34.000000 80.992 -173.3467
34.500000 80.984 -173.9004
35.000000 80.981 -174.4414
35.500000 80.979 -174.9777
36.000000 80.977 -175.5018
36.500000 80.972 -175.9993
37.000000 80.964 -176.4613
37.500000 80.956 -176.8884
38.200001 80.945 -177.4562
38.700001 80.937 -177.8741
39.500000 80.913 -178.5663
40.000000 80.890 -178.9622
40.599998 80.868 -179.3882
41.200001 80.856 -179.8387
41.799999 80.843 179.6425
42.500000 80.817 179.0343
43.099998 80.793 178.5881
43.700001 80.778 178.1810
44.400002 80.769 177.6772
45.000000 80.757 177.2125
45.500000 80.741 176.8392
46.200001 80.716 176.3801
46.799999 80.702 176.0131
47.500000 80.687 175.5287
48.200001 80.659 175.0174
48.700001 80.634 174.7020
49.400002 80.606 174.3307
50.000000 80.593 173.9920
50.799999 80.572 173.4631
51.500000 80.545 172.9960
52.200001 80.513 172.5629
53.000000 80.476 172.1147
53.799999 80.442 171.6944
54.500000 80.415 171.3010
55.200001 80.382 170.9085
56.000000 80.345 170.5079
57.000000 80.307 169.9975
58.000000 80.271 169.5062
59.000000 80.239 168.9680
60.000000 80.183 168.4676
60.799999 80.147 168.2254
61.500000 80.130 167.9579
62.200001 80.106 167.6141
63.000000 80.068 167.2482
64.000000 80.020 166.7978
65.000000 79.967 166.4221
66.000000 79.936 166.0729
67.000000 79.900 165.5740
68.000000 79.846 165.2055
69.000000 79.814 164.9146
70.000000 79.781 164.4542
71.000000 79.719 164.0815
72.000000 79.682 163.8299
73.000000 79.646 163.3508
74.000000 79.573 162.9940
75.000000 79.535 162.8493
76.199997 79.506 162.3766
77.500000 79.436 161.9455
78.800003 79.381 161.5895
80.000000 79.321 161.2648
81.199997 79.273 160.9699
82.500000 79.221 160.6090
83.800003 79.170 160.2056
85.000000 79.111 159.9036
86.199997 79.061 159.6227
87.500000 79.003 159.3753
88.500000 78.967 159.1296
90.000000 78.882 158.7869
91.199997 78.838 158.6453
92.500000 78.786 158.2896
93.800003 78.730 158.1161
95.000000 78.688 157.8219
96.199997 78.639 157.5966
97.500000 78.579 157.2730
98.800003 78.517 156.9968
100.000000 78.433 156.8687
101.500000 78.421 156.7239
103.000000 78.341 156.2722
104.400002 78.293 156.0403
106.000000 78.226 155.7820
107.500000 78.170 155.6140
109.000000 78.113 155.3995
110.599998 78.041 155.1596
112.000000 77.978 155.0590
113.800003 77.909 154.7638
115.000000 77.854 154.6876
117.199997 77.780 154.4058
118.000000 77.747 154.3050
120.599998 77.640 154.0415
122.000000 77.584 153.8641
124.099998 77.507 153.6886
125.000000 77.473 153.6584
126.500000 77.423 153.4960
128.000000 77.365 153.4241
131.500000 77.229 153.1141
132.000000 77.208 153.0870
134.000000 77.138 152.9399
136.000000 77.070 152.8065
138.000000 76.999 152.7543
140.000000 76.924 152.6516
143.000000 76.827 152.5096
145.000000 76.746 152.3433
147.500000 76.664 152.2656
150.000000 76.588 152.2202
152.500000 76.499 152.1260
155.000000 76.409 152.0596
157.500000 76.338 152.0381
160.000000 76.252 152.0129
162.500000 76.166 151.9547
165.000000 76.092 151.9480
167.500000 76.023 151.9008
170.000000 75.937 151.9759
172.500000 75.856 151.9189
175.000000 75.790 151.9261
177.500000 75.721 152.0225
180.000000 75.644 152.0917
182.500000 75.569 152.1374
185.000000 75.500 152.1412
187.500000 75.437 152.3243
190.000000 75.376 152.3309
192.500000 75.309 152.4346
195.000000 75.252 152.5374
197.500000 75.187 152.6767
200.000000 75.128 152.7176
203.000000 75.065 152.7546
206.000000 75.008 152.8936
209.000000 74.944 152.9407
212.000000 74.875 152.9817
214.000000 74.834 152.9900
218.000000 74.754 153.1115
220.000000 74.705 153.1422
224.000000 74.613 153.3907
227.000000 74.537 153.4769
230.000000 74.469 153.5991
233.000000 74.398 153.6873
236.000000 74.325 153.9633
240.000000 74.243 154.2417
243.000000 74.180 154.3903
247.000000 74.122 154.7990
250.000000 74.071 154.9816
254.000000 74.009 155.4229
258.000000 73.973 155.8523
262.000000 73.965 155.8864
265.000000 73.933 155.9683
269.000000 73.885 156.1476
272.000000 73.834 156.0541
276.000000 73.770 156.1968
280.000000 73.727 156.1732
285.000000 73.639 156.4245
290.000000 73.557 156.6216
295.000000 73.484 156.8004
300.000000 73.389 157.0619
304.000000 73.339 157.3010
307.000000 73.289 157.3597
311.000000 73.238 157.5720
315.000000 73.203 157.8813
320.000000 73.115 158.0260
325.000000 73.075 158.2911
