* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 22:09:37 13-12-2023
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Shortbus Glamdring wide tip R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.092 122.5357
1.015000 83.908 121.6358
1.030000 83.716 120.7285
1.044000 83.530 119.8742
1.060000 83.309 118.8885
1.075000 83.092 117.9546
1.090000 82.867 117.0107
1.106000 82.616 116.0174
1.120000 82.389 115.2961
1.138000 82.089 114.5799
1.150000 81.884 114.2142
1.172000 81.496 113.7265
1.180000 81.351 113.5949
1.206000 80.868 113.2728
1.220000 80.600 113.1320
1.241000 80.187 112.9065
1.250000 80.006 112.7895
1.265000 79.699 112.5466
1.280000 79.387 112.2215
1.315000 78.633 110.9986
1.320000 78.523 110.7568
1.340000 78.075 109.5836
1.360000 77.617 108.0351
1.380000 77.148 106.0500
1.400000 76.670 103.5672
1.430000 75.933 98.7759
1.450000 75.430 94.7812
1.475000 74.778 88.7400
1.500000 74.021 81.1844
1.525000 73.162 72.2368
1.550000 72.225 62.1251
1.575000 71.235 51.0772
1.600000 70.217 39.3208
1.625000 69.196 27.0840
1.650000 68.197 14.5944
1.675000 67.243 2.0800
1.700000 66.361 -10.2314
1.725000 65.574 -22.1120
1.750000 64.909 -33.3339
1.775000 64.389 -43.6692
1.800000 64.039 -52.8901
1.825000 63.884 -60.7689
1.850000 63.952 -67.3089
1.875000 64.250 -72.9914
1.900000 64.747 -77.9155
1.925000 65.413 -82.1598
1.950000 66.218 -85.8030
1.975000 67.132 -88.9236
2.000000 68.124 -91.6003
2.030000 69.375 -94.3369
2.060000 70.643 -96.6833
2.090000 71.875 -98.7753
2.120000 73.019 -100.7486
2.140000 73.707 -102.0653
2.180000 74.834 -104.8827
2.200000 75.243 -106.4610
2.240000 75.873 -109.4385
2.270000 76.240 -111.3602
2.300000 76.527 -113.0476
2.330000 76.746 -114.5305
2.360000 76.907 -115.8381
2.400000 77.047 -117.3602
2.430000 77.112 -118.3739
2.470000 77.161 -119.6111
2.500000 77.186 -120.4915
2.540000 77.220 -121.6581
2.580000 77.269 -122.8695
2.620000 77.279 -124.0656
2.650000 77.255 -124.9226
2.690000 77.185 -125.9859
2.720000 77.109 -126.7063
2.760000 76.983 -127.5382
2.800000 76.836 -128.1935
2.850000 76.634 -128.7153
2.900000 76.426 -128.8480
2.950000 76.218 -128.5319
3.000000 75.952 -127.7708
3.040000 75.702 -126.8775
3.070000 75.503 -126.0598
3.110000 75.234 -124.7943
3.150000 74.975 -123.3541
3.200000 74.689 -121.3498
3.250000 74.470 -119.1691
3.300000 74.349 -116.8636
3.350000 74.318 -114.1496
3.400000 74.354 -110.9457
3.450000 74.445 -107.4619
3.500000 74.583 -103.9080
3.550000 74.759 -100.4937
3.600000 74.963 -97.4291
3.650000 75.186 -94.9239
3.700000 75.439 -93.0524
3.750000 75.754 -91.5718
3.820000 76.265 -90.0555
3.870000 76.652 -89.3119
3.950000 77.251 -88.5924
4.000000 77.582 -88.3702
4.060000 77.912 -88.3157
4.120000 78.209 -88.6841
4.180000 78.478 -89.4041
4.250000 78.755 -90.5351
4.310000 78.956 -91.6228
4.370000 79.123 -92.6985
4.440000 79.269 -93.8921
4.500000 79.351 -95.0444
4.550000 79.393 -96.0661
4.620000 79.416 -97.5178
4.680000 79.408 -98.7146
4.750000 79.373 -99.9682
4.820000 79.304 -101.0741
4.870000 79.227 -101.8391
4.940000 79.091 -102.8363
5.000000 78.956 -103.5859
5.080000 78.768 -104.3729
5.150000 78.607 -104.8064
5.220000 78.426 -104.9965
5.300000 78.201 -104.9692
5.380000 77.982 -104.7402
5.450000 77.817 -104.4233
5.520000 77.692 -104.0207
5.600000 77.580 -103.2911
5.700000 77.481 -102.1454
5.800000 77.434 -101.0755
5.900000 77.447 -100.3895
6.000000 77.537 -99.9073
6.080000 77.644 -99.6836
6.150000 77.746 -99.6609
6.220000 77.842 -99.8449
6.300000 77.950 -100.3487
6.400000 78.098 -101.3548
6.500000 78.240 -102.6544
6.600000 78.350 -104.1153
6.700000 78.425 -105.8093
6.800000 78.477 -107.7272
6.900000 78.504 -109.6992
7.000000 78.505 -111.5862
7.100000 78.474 -113.5006
7.200000 78.422 -115.3852
7.300000 78.362 -117.1267
7.400000 78.299 -118.6620
7.500000 78.221 -120.0516
7.620000 78.135 -121.5200
7.750000 78.079 -122.8351
7.880000 78.050 -123.8211
8.000000 78.057 -124.5841
8.120000 78.110 -125.3242
8.250000 78.218 -126.0148
8.380000 78.360 -126.7261
8.500000 78.511 -127.5210
8.620000 78.691 -128.4033
8.750000 78.894 -129.4406
8.850000 79.040 -130.3017
9.000000 79.259 -131.7200
9.120000 79.422 -132.8644
9.250000 79.577 -134.0523
9.380000 79.714 -135.2240
9.500000 79.827 -136.2152
9.620000 79.929 -137.0771
9.750000 80.025 -137.8969
9.880000 80.116 -138.5910
10.000000 80.200 -139.1019
10.150000 80.301 -139.5890
10.300000 80.407 -139.9882
10.440000 80.512 -140.2670
10.600000 80.633 -140.5356
10.750000 80.747 -140.7933
10.900000 80.860 -141.0391
11.060000 80.970 -141.3137
11.200000 81.059 -141.5665
11.380000 81.159 -141.8781
11.500000 81.215 -142.0736
11.720000 81.302 -142.4008
11.800000 81.330 -142.5029
12.060000 81.403 -142.7922
12.200000 81.437 -142.9381
12.410000 81.480 -143.1528
12.500000 81.495 -143.2599
12.650000 81.518 -143.4538
12.800000 81.534 -143.6709
13.150000 81.544 -144.2842
13.200000 81.542 -144.3774
13.400000 81.526 -144.7657
13.600000 81.504 -145.1592
13.800000 81.475 -145.5465
14.000000 81.449 -145.9512
14.300000 81.417 -146.6134
14.500000 81.403 -147.1386
14.750000 81.390 -147.9117
15.000000 81.378 -148.8173
15.250000 81.362 -149.8176
15.500000 81.342 -150.8466
15.750000 81.323 -151.8663
16.000000 81.312 -152.8301
16.250000 81.317 -153.7508
16.500000 81.339 -154.6424
16.750000 81.379 -155.5359
17.000000 81.429 -156.4407
17.250000 81.484 -157.3429
17.500000 81.540 -158.2198
17.750000 81.595 -159.0252
18.000000 81.648 -159.7461
18.250000 81.703 -160.3693
18.500000 81.761 -160.9132
18.750000 81.820 -161.3960
19.000000 81.878 -161.8340
19.250000 81.931 -162.2381
19.500000 81.978 -162.6031
19.750000 82.016 -162.9261
20.000000 82.048 -163.2033
20.299999 82.078 -163.4932
20.600000 82.101 -163.7610
20.900000 82.116 -164.0348
21.200001 82.120 -164.3320
21.400000 82.116 -164.5397
21.799999 82.095 -164.9663
22.000000 82.080 -165.1841
22.400000 82.047 -165.6431
22.700001 82.023 -166.0379
23.000000 81.998 -166.5005
23.299999 81.972 -167.0267
23.600000 81.943 -167.5947
24.000000 81.905 -168.3749
24.299999 81.881 -168.9569
24.700001 81.863 -169.7331
25.000000 81.859 -170.3287
25.400000 81.864 -171.1430
25.799999 81.875 -171.9470
26.200001 81.891 -172.6945
26.500000 81.906 -173.2043
26.900000 81.930 -173.8199
27.200001 81.951 -174.2416
27.600000 81.977 -174.7546
28.000000 81.999 -175.2091
28.500000 82.019 -175.7036
29.000000 82.029 -176.1489
29.500000 82.025 -176.5626
30.000000 82.007 -176.9417
30.400000 81.990 -177.2371
30.700001 81.976 -177.4761
31.100000 81.955 -177.8432
31.500000 81.929 -178.2647
32.000000 81.888 -178.8256
32.500000 81.846 -179.3806
33.000000 81.813 -179.9399
33.500000 81.790 179.4648
34.000000 81.772 178.8426
34.500000 81.756 178.2357
35.000000 81.745 177.6710
35.500000 81.738 177.1509
36.000000 81.734 176.6697
36.500000 81.730 176.2202
37.000000 81.723 175.7957
37.500000 81.710 175.3989
38.200001 81.686 174.8969
38.700001 81.666 174.5535
39.500000 81.628 173.9725
40.000000 81.600 173.6018
40.599998 81.566 173.1595
41.200001 81.537 172.6908
41.799999 81.507 172.1909
42.500000 81.471 171.6114
43.099998 81.441 171.1381
43.700001 81.411 170.6951
44.400002 81.378 170.2285
45.000000 81.353 169.8448
45.500000 81.331 169.5181
46.200001 81.297 169.0725
46.799999 81.267 168.7090
47.500000 81.233 168.2662
48.200001 81.195 167.8085
48.700001 81.167 167.4930
49.400002 81.128 167.0680
50.000000 81.096 166.7254
50.799999 81.058 166.3101
51.500000 81.031 165.9341
52.200001 80.999 165.5364
53.000000 80.953 165.1343
53.799999 80.910 164.7797
54.500000 80.877 164.4293
55.200001 80.836 164.0332
56.000000 80.780 163.6268
57.000000 80.727 163.2227
58.000000 80.691 162.6989
59.000000 80.636 162.1816
60.000000 80.588 161.7944
60.799999 80.551 161.4476
61.500000 80.507 161.1573
62.200001 80.462 160.9296
63.000000 80.417 160.6629
64.000000 80.358 160.2546
65.000000 80.296 159.8622
66.000000 80.240 159.4665
67.000000 80.187 159.0766
68.000000 80.135 158.7111
69.000000 80.087 158.3885
70.000000 80.037 158.0433
71.000000 79.977 157.7186
72.000000 79.917 157.4379
73.000000 79.860 157.1701
74.000000 79.806 156.8805
75.000000 79.750 156.6198
76.199997 79.694 156.3162
77.500000 79.626 155.9159
78.800003 79.547 155.6260
80.000000 79.486 155.3781
81.199997 79.424 155.0818
82.500000 79.358 154.7711
83.800003 79.287 154.4461
85.000000 79.222 154.2223
86.199997 79.165 153.9943
87.500000 79.098 153.6899
88.500000 79.040 153.5277
90.000000 78.973 153.2378
91.199997 78.900 153.0607
92.500000 78.845 152.8318
93.800003 78.755 152.6407
95.000000 78.712 152.5393
96.199997 78.647 152.2730
97.500000 78.590 152.1142
98.800003 78.513 152.0042
100.000000 78.495 152.0021
101.500000 78.412 151.5341
103.000000 78.328 151.5159
104.400002 78.254 151.3249
106.000000 78.185 151.2001
107.500000 78.119 151.0458
109.000000 78.061 150.9268
110.599998 77.994 150.8421
112.000000 77.935 150.6753
113.800003 77.858 150.5167
115.000000 77.800 150.4037
117.199997 77.720 150.1810
118.000000 77.680 150.1187
120.599998 77.577 149.9232
122.000000 77.513 149.8290
124.099998 77.424 149.7454
125.000000 77.391 149.6927
126.500000 77.326 149.5930
128.000000 77.263 149.5625
131.500000 77.128 149.3903
132.000000 77.110 149.3145
134.000000 77.019 149.2953
136.000000 76.938 149.2118
138.000000 76.863 149.2159
140.000000 76.791 149.1974
143.000000 76.666 149.1495
145.000000 76.594 149.1485
147.500000 76.504 149.1469
150.000000 76.423 149.1603
152.500000 76.317 149.2728
155.000000 76.218 149.2631
157.500000 76.144 149.3421
160.000000 76.078 149.3636
162.500000 75.996 149.5196
165.000000 75.923 149.6676
167.500000 75.850 149.8004
170.000000 75.781 149.8863
172.500000 75.700 149.9771
175.000000 75.648 150.1212
177.500000 75.589 150.1250
180.000000 75.532 150.2248
182.500000 75.483 150.3102
185.000000 75.427 150.3776
187.500000 75.361 150.4198
190.000000 75.302 150.4266
192.500000 75.237 150.4899
195.000000 75.187 150.6081
197.500000 75.121 150.6507
200.000000 75.054 150.6296
203.000000 74.999 150.7123
206.000000 74.914 150.8730
209.000000 74.843 150.8935
212.000000 74.772 151.0880
214.000000 74.727 151.0885
218.000000 74.624 151.2520
220.000000 74.588 151.4087
224.000000 74.492 151.5842
227.000000 74.429 151.6809
230.000000 74.368 151.8503
233.000000 74.286 152.0858
236.000000 74.234 152.2498
240.000000 74.155 152.4186
243.000000 74.104 152.6478
247.000000 74.008 152.8242
250.000000 73.972 153.0763
254.000000 73.888 153.3748
258.000000 73.818 153.4666
262.000000 73.741 153.7595
265.000000 73.689 154.0568
269.000000 73.645 154.2899
272.000000 73.588 154.4083
276.000000 73.514 154.6669
280.000000 73.445 154.9150
285.000000 73.370 155.3997
290.000000 73.305 155.5409
295.000000 73.224 156.0166
300.000000 73.177 156.4604
304.000000 73.109 156.7409
307.000000 73.088 156.9605
311.000000 73.031 157.2269
315.000000 72.994 157.4846
320.000000 72.929 157.8197
325.000000 72.870 158.1085
330.000000 72.834 158.5260
