* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 20:28:04 25-11-2023
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Shure SE846 diy L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 80.875 -152.5890
20.600000 80.936 -153.1910
20.900000 80.986 -153.6957
21.200001 81.030 -154.1876
21.400000 81.056 -154.5199
21.799999 81.101 -155.2018
22.000000 81.119 -155.5519
22.400000 81.149 -156.2629
22.700001 81.167 -156.7984
23.000000 81.184 -157.3344
23.299999 81.201 -157.8760
23.600000 81.220 -158.4287
24.000000 81.245 -159.1873
24.299999 81.264 -159.7686
24.700001 81.289 -160.5458
25.000000 81.307 -161.1179
25.400000 81.331 -161.8560
25.799999 81.358 -162.5657
26.200001 81.388 -163.2546
26.500000 81.411 -163.7617
26.900000 81.441 -164.4246
27.200001 81.462 -164.9082
27.600000 81.487 -165.5297
28.000000 81.511 -166.1228
28.500000 81.537 -166.8333
29.000000 81.561 -167.5266
29.500000 81.581 -168.2150
30.000000 81.595 -168.8994
30.400000 81.603 -169.4413
30.700001 81.607 -169.8436
31.100000 81.612 -170.3755
31.500000 81.616 -170.9041
32.000000 81.620 -171.5627
32.500000 81.625 -172.2192
33.000000 81.630 -172.8741
33.500000 81.637 -173.5301
34.000000 81.644 -174.1884
34.500000 81.650 -174.8412
35.000000 81.653 -175.4731
35.500000 81.655 -176.0730
36.000000 81.657 -176.6465
36.500000 81.660 -177.2080
37.000000 81.661 -177.7637
37.500000 81.659 -178.3052
38.200001 81.654 -179.0312
38.700001 81.651 -179.5435
39.500000 81.642 179.6174
40.000000 81.632 179.0991
40.599998 81.621 178.5016
41.200001 81.613 177.9077
41.799999 81.605 177.2936
42.500000 81.593 176.5790
43.099998 81.582 175.9966
43.700001 81.572 175.4258
44.400002 81.558 174.7677
45.000000 81.545 174.2369
45.500000 81.536 173.8105
46.200001 81.523 173.1872
46.799999 81.504 172.6443
47.500000 81.478 172.0880
48.200001 81.464 171.5535
48.700001 81.457 171.0991
49.400002 81.429 170.3973
50.000000 81.390 169.8824
50.799999 81.351 169.3473
51.500000 81.333 168.8464
52.200001 81.312 168.2915
53.000000 81.282 167.7021
53.799999 81.257 167.1306
54.500000 81.233 166.6141
55.200001 81.204 166.1241
56.000000 81.174 165.5961
57.000000 81.137 164.9200
58.000000 81.095 164.2405
59.000000 81.051 163.5881
60.000000 81.008 162.9264
60.799999 80.968 162.3958
61.500000 80.931 161.9705
62.200001 80.896 161.5859
63.000000 80.865 161.1358
64.000000 80.822 160.5082
65.000000 80.769 159.9298
66.000000 80.722 159.3787
67.000000 80.671 158.8187
68.000000 80.623 158.3141
69.000000 80.578 157.7622
70.000000 80.523 157.2188
71.000000 80.470 156.7257
72.000000 80.418 156.2246
73.000000 80.364 155.7412
74.000000 80.312 155.2743
75.000000 80.259 154.8160
76.199997 80.200 154.2838
77.500000 80.129 153.6808
78.800003 80.060 153.1391
80.000000 79.992 152.6128
81.199997 79.922 152.1384
82.500000 79.847 151.6304
83.800003 79.775 151.1157
85.000000 79.704 150.6740
86.199997 79.642 150.2477
87.500000 79.571 149.7533
88.500000 79.513 149.4147
90.000000 79.433 148.9056
91.199997 79.360 148.5077
92.500000 79.287 148.1241
93.800003 79.210 147.7180
95.000000 79.144 147.3427
96.199997 79.069 146.9680
97.500000 78.998 146.6216
98.800003 78.926 146.2225
100.000000 78.856 145.8992
101.500000 78.773 145.5340
103.000000 78.689 145.1495
104.400002 78.607 144.7760
106.000000 78.513 144.4441
107.500000 78.431 144.0309
109.000000 78.346 143.7411
110.599998 78.263 143.3595
112.000000 78.178 143.0844
113.800003 78.077 142.7409
115.000000 78.005 142.5498
117.199997 77.886 142.1022
118.000000 77.837 141.9803
120.599998 77.691 141.5552
122.000000 77.619 141.3198
124.099998 77.505 141.0562
125.000000 77.454 140.8751
126.500000 77.367 140.6294
128.000000 77.277 140.4554
131.500000 77.093 140.0331
132.000000 77.065 139.9847
134.000000 76.960 139.7711
136.000000 76.857 139.5929
138.000000 76.748 139.4264
140.000000 76.647 139.2038
143.000000 76.486 138.9669
145.000000 76.379 138.8316
147.500000 76.252 138.6192
150.000000 76.118 138.3146
152.500000 75.990 138.2769
155.000000 75.878 138.2207
157.500000 75.737 138.1260
160.000000 75.603 137.9912
162.500000 75.488 137.9370
165.000000 75.355 137.9066
167.500000 75.222 137.9507
170.000000 75.105 137.9324
172.500000 74.975 137.9571
175.000000 74.856 138.0244
177.500000 74.739 138.1867
180.000000 74.624 138.3144
182.500000 74.493 138.5339
185.000000 74.377 138.6818
187.500000 74.282 138.9677
190.000000 74.191 139.1750
192.500000 74.084 139.4104
195.000000 73.997 139.7233
197.500000 73.933 139.9348
200.000000 73.870 140.2997
203.000000 73.794 140.5025
206.000000 73.722 140.6422
209.000000 73.655 140.8453
212.000000 73.589 140.8989
214.000000 73.546 140.8616
218.000000 73.435 140.7581
220.000000 73.369 140.7311
224.000000 73.213 140.6163
227.000000 73.097 140.6354
230.000000 72.979 140.7631
233.000000 72.854 140.8739
236.000000 72.753 141.0950
240.000000 72.584 141.2277
243.000000 72.468 141.5128
247.000000 72.297 141.9639
250.000000 72.158 142.2816
254.000000 72.043 142.8155
258.000000 71.881 143.3712
262.000000 71.767 144.1217
265.000000 71.686 144.8409
269.000000 71.609 145.8238
272.000000 71.583 146.5432
276.000000 71.578 147.1769
280.000000 71.561 147.4202
285.000000 71.494 147.4821
290.000000 71.390 147.6632
295.000000 71.277 147.9704
300.000000 71.176 148.3609
304.000000 71.081 148.8111
307.000000 70.997 149.0782
311.000000 70.936 149.6089
315.000000 70.825 149.9098
320.000000 70.746 150.6225
325.000000 70.639 151.2355
330.000000 70.553 151.8267
335.000000 70.468 152.4159
340.000000 70.388 152.9147
345.000000 70.302 153.7252
350.000000 70.258 154.2568
355.000000 70.171 154.7241
360.000000 70.083 155.4962
365.000000 70.038 156.1613
370.000000 69.993 156.8541
375.000000 69.922 157.3597
382.000000 69.857 158.3838
387.000000 69.806 158.8826
395.000000 69.763 159.8352
400.000000 69.701 160.5956
406.000000 69.640 161.1121
412.000000 69.614 161.9103
418.000000 69.564 162.5018
425.000000 69.511 163.4222
431.000000 69.490 164.0555
437.000000 69.447 164.6404
444.000000 69.408 165.5536
450.000000 69.399 166.1544
455.000000 69.377 166.6802
462.000000 69.371 167.5255
468.000000 69.333 168.1314
475.000000 69.306 168.8615
482.000000 69.265 169.3702
487.000000 69.267 170.0535
494.000000 69.250 170.8513
500.000000 69.230 171.5017
508.000000 69.209 171.9939
515.000000 69.231 172.8105
522.000000 69.199 173.3438
530.000000 69.211 174.1145
538.000000 69.186 174.8705
545.000000 69.180 175.4779
552.000000 69.180 176.0284
560.000000 69.173 176.7007
570.000000 69.175 177.6851
580.000000 69.214 178.4879
590.000000 69.211 179.3868
600.000000 69.202 179.9666
608.000000 69.204 -179.1264
615.000000 69.228 -178.7132
622.000000 69.222 -178.0268
630.000000 69.247 -177.4974
640.000000 69.284 -176.7567
650.000000 69.268 -175.9273
660.000000 69.302 -175.3100
670.000000 69.315 -174.3757
680.000000 69.316 -173.7000
690.000000 69.316 -173.0543
700.000000 69.396 -172.1949
710.000000 69.418 -171.6477
720.000000 69.461 -170.8592
730.000000 69.431 -170.2500
740.000000 69.509 -169.4975
750.000000 69.514 -168.9114
762.000000 69.601 -168.1529
775.000000 69.604 -167.0058
788.000000 69.690 -166.2596
800.000000 69.754 -165.4210
812.000000 69.796 -164.6559
825.000000 69.864 -164.0515
838.000000 69.945 -163.1823
850.000000 70.021 -162.3760
862.000000 70.078 -161.5188
875.000000 70.173 -160.8518
885.000000 70.202 -160.1380
900.000000 70.359 -159.4234
912.000000 70.428 -158.6752
925.000000 70.520 -158.0358
938.000000 70.596 -157.3820
950.000000 70.660 -156.8061
962.000000 70.782 -156.2120
975.000000 70.885 -155.5060
988.000000 71.016 -155.0486
1000.000000 71.224 -154.8552
1015.000000 71.240 -154.1828
1030.000000 71.342 -153.7706
1044.000000 71.498 -153.2410
1060.000000 71.598 -152.9136
1075.000000 71.772 -152.6642
1090.000000 71.901 -152.1621
1106.000000 72.039 -152.1053
1120.000000 72.167 -151.9636
1138.000000 72.306 -151.6021
1150.000000 72.389 -151.4770
1172.000000 72.567 -151.3789
1180.000000 72.620 -151.1412
1206.000000 72.815 -151.2784
1220.000000 72.908 -151.2184
1241.000000 73.055 -151.2479
1250.000000 73.117 -151.2936
1265.000000 73.217 -151.1830
1280.000000 73.293 -151.2400
1315.000000 73.499 -151.5058
1320.000000 73.525 -151.3655
1340.000000 73.640 -151.4429
1360.000000 73.753 -151.4214
1380.000000 73.853 -151.6108
1400.000000 73.957 -151.4928
1430.000000 74.101 -151.7715
1450.000000 74.212 -151.7054
1475.000000 74.294 -151.7562
1500.000000 74.412 -151.9608
1525.000000 74.546 -151.9076
1550.000000 74.647 -151.9802
1575.000000 74.762 -152.0670
1600.000000 74.881 -152.2724
1625.000000 74.995 -152.3400
1650.000000 75.118 -152.4569
1675.000000 75.209 -152.5884
1700.000000 75.322 -152.8793
1725.000000 75.406 -152.9211
1750.000000 75.514 -153.1199
1775.000000 75.600 -153.3340
1800.000000 75.710 -153.6545
1825.000000 75.798 -153.6985
1850.000000 75.907 -153.9744
1875.000000 76.000 -154.1072
1900.000000 76.103 -154.3086
1925.000000 76.194 -154.7142
1950.000000 76.284 -154.8756
1975.000000 76.333 -155.0385
2000.000000 76.419 -155.7453
2030.000000 76.547 -155.8138
2060.000000 76.619 -155.9356
2090.000000 76.735 -156.2759
2120.000000 76.812 -156.4999
2140.000000 76.846 -156.6283
2180.000000 76.991 -156.8567
2200.000000 77.055 -157.0781
2240.000000 77.228 -157.4819
2270.000000 77.358 -157.9836
2300.000000 77.448 -158.6796
2330.000000 77.529 -159.3220
2360.000000 77.583 -159.7966
2400.000000 77.628 -160.3340
2430.000000 77.663 -160.7449
2470.000000 77.757 -160.9895
2500.000000 77.812 -161.1564
2540.000000 77.918 -161.5044
2580.000000 78.020 -161.9382
2620.000000 78.117 -162.3228
2650.000000 78.180 -162.8092
2690.000000 78.280 -163.1728
2720.000000 78.350 -163.4328
2760.000000 78.455 -163.9719
2800.000000 78.544 -164.3296
2850.000000 78.689 -164.9542
2900.000000 78.830 -165.7173
2950.000000 78.952 -166.4191
3000.000000 79.077 -167.0010
3040.000000 79.184 -168.1352
3070.000000 79.268 -168.9219
3110.000000 79.372 -169.8913
3150.000000 79.463 -171.1362
3200.000000 79.537 -172.9189
3250.000000 79.553 -175.1730
3300.000000 79.404 -177.5947
3350.000000 79.060 -179.4906
3400.000000 78.635 -179.3276
3450.000000 78.377 -177.7332
3500.000000 78.397 -176.3950
3550.000000 78.443 -175.6972
3600.000000 78.480 -176.0666
3650.000000 78.441 -176.2843
3700.000000 78.348 -176.3042
3750.000000 78.248 -176.1985
3820.000000 78.060 -175.2812
3870.000000 77.974 -174.3564
3950.000000 77.863 -172.0963
4000.000000 77.824 -170.5097
4060.000000 77.896 -168.0831
4120.000000 78.046 -165.7507
4180.000000 78.270 -163.5894
4250.000000 78.655 -160.9886
4310.000000 79.036 -159.1797
4370.000000 79.505 -157.6495
4440.000000 80.126 -156.7389
4500.000000 80.695 -156.5104
4550.000000 81.176 -156.7970
4620.000000 81.819 -158.2105
4680.000000 82.334 -160.1305
4750.000000 82.836 -163.0060
4820.000000 83.213 -166.4672
4870.000000 83.398 -169.0729
4940.000000 83.530 -173.0871
5000.000000 83.537 -176.3634
5080.000000 83.338 179.4777
5150.000000 83.074 176.3218
5220.000000 82.727 173.6574
5300.000000 82.289 171.5389
5380.000000 81.820 169.8766
5450.000000 81.413 169.0568
5520.000000 81.010 168.8000
5600.000000 80.586 169.0309
5700.000000 80.143 170.1481
5800.000000 79.848 171.8759
5900.000000 79.548 173.5831
6000.000000 79.371 175.6038
