* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 20:31:51 25-11-2023
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Shure SE846 diy R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 80.143 -144.1943
20.600000 80.239 -144.8931
20.900000 80.320 -145.4812
21.200001 80.393 -146.0447
21.400000 80.437 -146.4172
21.799999 80.516 -147.1649
22.000000 80.550 -147.5435
22.400000 80.612 -148.3098
22.700001 80.654 -148.8904
23.000000 80.692 -149.4759
23.299999 80.730 -150.0700
23.600000 80.766 -150.6765
24.000000 80.814 -151.5077
24.299999 80.850 -152.1448
24.700001 80.894 -153.0007
25.000000 80.927 -153.6365
25.400000 80.971 -154.4645
25.799999 81.016 -155.2670
26.200001 81.064 -156.0506
26.500000 81.101 -156.6315
26.900000 81.150 -157.3993
27.200001 81.184 -157.9666
27.600000 81.227 -158.7026
28.000000 81.266 -159.4040
28.500000 81.312 -160.2285
29.000000 81.356 -161.0135
29.500000 81.397 -161.7854
30.000000 81.434 -162.5562
30.400000 81.460 -163.1676
30.700001 81.477 -163.6203
31.100000 81.498 -164.2177
31.500000 81.518 -164.8147
32.000000 81.541 -165.5687
32.500000 81.561 -166.3259
33.000000 81.579 -167.0710
33.500000 81.598 -167.8017
34.000000 81.618 -168.5325
34.500000 81.638 -169.2692
35.000000 81.654 -169.9929
35.500000 81.667 -170.6784
36.000000 81.682 -171.3274
36.500000 81.699 -171.9643
37.000000 81.715 -172.6049
37.500000 81.726 -173.2381
38.200001 81.736 -174.0811
38.700001 81.742 -174.6586
39.500000 81.750 -175.5809
40.000000 81.752 -176.1555
40.599998 81.752 -176.8352
41.200001 81.753 -177.5137
41.799999 81.752 -178.2012
42.500000 81.748 -179.0012
43.099998 81.742 -179.6626
43.700001 81.739 179.7007
44.400002 81.738 178.9637
45.000000 81.737 178.3227
45.500000 81.733 177.7942
46.200001 81.725 177.0836
46.799999 81.716 176.4954
47.500000 81.703 175.8358
48.200001 81.690 175.2344
48.700001 81.687 174.8127
49.400002 81.686 174.1424
50.000000 81.671 173.5121
50.799999 81.634 172.7751
51.500000 81.609 172.2391
52.200001 81.595 171.6664
53.000000 81.572 170.9694
53.799999 81.546 170.3104
54.500000 81.524 169.7404
55.200001 81.501 169.1844
56.000000 81.477 168.5680
57.000000 81.445 167.7611
58.000000 81.404 167.0203
59.000000 81.372 166.3151
60.000000 81.337 165.5704
60.799999 81.303 165.0010
61.500000 81.273 164.5233
62.200001 81.245 164.0480
63.000000 81.211 163.4964
64.000000 81.163 162.8225
65.000000 81.115 162.1889
66.000000 81.070 161.5751
67.000000 81.026 160.9572
68.000000 80.979 160.3534
69.000000 80.934 159.7824
70.000000 80.889 159.2025
71.000000 80.842 158.6515
72.000000 80.798 158.0875
73.000000 80.746 157.5057
74.000000 80.688 156.9759
75.000000 80.634 156.4967
76.199997 80.577 155.9116
77.500000 80.507 155.2574
78.800003 80.442 154.6276
80.000000 80.370 154.0445
81.199997 80.311 153.5057
82.500000 80.229 152.8886
83.800003 80.166 152.3782
85.000000 80.098 151.8754
86.199997 80.045 151.3793
87.500000 79.963 150.8612
88.500000 79.918 150.4978
90.000000 79.826 149.9356
91.199997 79.767 149.4431
92.500000 79.678 149.0448
93.800003 79.619 148.5431
95.000000 79.535 148.1686
96.199997 79.478 147.7642
97.500000 79.394 147.3787
98.800003 79.334 146.9314
100.000000 79.254 146.5816
101.500000 79.181 146.1086
103.000000 79.088 145.7152
104.400002 79.018 145.2965
106.000000 78.919 144.8300
107.500000 78.838 144.4676
109.000000 78.741 144.0431
110.599998 78.664 143.6998
112.000000 78.576 143.2962
113.800003 78.469 142.9139
115.000000 78.398 142.7180
117.199997 78.277 142.1591
118.000000 78.223 142.0305
120.599998 78.080 141.5338
122.000000 77.987 141.2640
124.099998 77.868 140.9512
125.000000 77.819 140.7908
126.500000 77.727 140.5277
128.000000 77.648 140.3405
131.500000 77.451 139.8626
132.000000 77.420 139.7798
134.000000 77.308 139.5635
136.000000 77.192 139.2706
138.000000 77.082 139.0796
140.000000 76.973 138.8406
143.000000 76.806 138.5725
145.000000 76.687 138.5389
147.500000 76.555 138.2826
150.000000 76.406 138.2979
152.500000 76.263 138.1970
155.000000 76.121 138.2180
157.500000 75.988 138.2491
160.000000 75.862 138.4622
162.500000 75.766 138.6959
165.000000 75.692 138.8856
167.500000 75.617 138.9405
170.000000 75.563 138.8379
172.500000 75.502 138.6017
175.000000 75.430 138.3846
177.500000 75.319 138.1623
180.000000 75.207 137.9558
182.500000 75.107 137.7596
185.000000 74.992 137.6625
187.500000 74.875 137.5718
190.000000 74.752 137.4786
192.500000 74.651 137.4279
195.000000 74.534 137.5807
197.500000 74.422 137.5894
200.000000 74.317 137.5559
203.000000 74.184 137.5261
206.000000 74.058 137.5795
209.000000 73.936 137.8071
212.000000 73.819 137.9211
214.000000 73.730 138.0387
218.000000 73.577 138.1996
220.000000 73.480 138.2756
224.000000 73.327 138.5110
227.000000 73.217 138.7166
230.000000 73.118 138.9205
233.000000 72.987 139.2137
236.000000 72.872 139.4509
240.000000 72.725 139.7480
243.000000 72.619 139.9740
247.000000 72.469 140.4437
250.000000 72.364 140.9347
254.000000 72.240 141.2321
258.000000 72.072 141.6214
262.000000 71.950 142.1769
265.000000 71.867 142.5296
269.000000 71.723 143.2186
272.000000 71.634 143.7470
276.000000 71.518 144.3807
280.000000 71.408 145.0772
285.000000 71.316 145.8545
290.000000 71.192 146.9001
295.000000 71.101 147.7607
300.000000 71.036 148.9220
304.000000 70.995 149.5964
307.000000 70.995 150.0844
311.000000 71.009 150.7418
315.000000 70.993 150.7708
320.000000 70.961 150.9700
325.000000 70.885 151.1549
330.000000 70.788 151.3614
335.000000 70.715 151.5839
340.000000 70.617 152.3168
345.000000 70.517 152.7155
350.000000 70.433 153.1621
355.000000 70.358 153.8263
360.000000 70.279 154.3566
365.000000 70.209 154.9920
370.000000 70.141 155.5547
375.000000 70.066 156.2149
382.000000 69.993 157.2668
387.000000 69.907 157.7467
395.000000 69.837 158.7724
400.000000 69.784 159.3228
406.000000 69.739 160.1891
412.000000 69.699 160.8279
418.000000 69.647 161.5233
425.000000 69.599 162.3908
431.000000 69.561 163.0022
437.000000 69.536 163.7707
444.000000 69.484 164.6512
450.000000 69.446 165.1285
455.000000 69.436 165.7255
462.000000 69.419 166.5828
468.000000 69.405 167.2170
475.000000 69.364 168.0167
482.000000 69.332 168.5822
487.000000 69.325 169.1556
494.000000 69.319 169.8579
500.000000 69.297 170.5610
508.000000 69.287 171.2615
515.000000 69.283 172.0343
522.000000 69.270 172.7301
530.000000 69.271 173.5160
538.000000 69.247 174.1268
545.000000 69.271 174.7238
552.000000 69.249 175.4263
560.000000 69.251 176.1284
570.000000 69.263 176.9160
580.000000 69.259 177.8231
590.000000 69.267 178.6234
600.000000 69.265 179.5618
608.000000 69.300 -179.7773
615.000000 69.289 -179.4053
622.000000 69.325 -178.7115
630.000000 69.315 -178.1028
640.000000 69.328 -177.2107
650.000000 69.366 -176.5048
660.000000 69.379 -175.7490
670.000000 69.396 -174.9911
680.000000 69.451 -174.3019
690.000000 69.479 -173.6117
700.000000 69.463 -173.0162
710.000000 69.509 -172.2297
720.000000 69.542 -171.3875
730.000000 69.595 -170.6695
740.000000 69.622 -170.1653
750.000000 69.669 -169.3290
762.000000 69.712 -168.6129
775.000000 69.748 -167.7182
788.000000 69.811 -166.8391
800.000000 69.860 -165.9222
812.000000 69.950 -165.2789
825.000000 70.005 -164.4900
838.000000 70.082 -163.6132
850.000000 70.142 -162.9406
862.000000 70.247 -162.1384
875.000000 70.314 -161.4697
885.000000 70.384 -160.9227
900.000000 70.476 -160.0009
912.000000 70.594 -159.5061
925.000000 70.676 -158.7077
938.000000 70.787 -158.1631
950.000000 70.884 -157.6014
962.000000 70.987 -157.0251
975.000000 71.103 -156.6078
988.000000 71.191 -156.0620
1000.000000 71.227 -155.3759
1015.000000 71.445 -155.1000
1030.000000 71.572 -154.7268
1044.000000 71.708 -154.4035
1060.000000 71.867 -153.9107
1075.000000 71.999 -153.7500
1090.000000 72.132 -153.5062
1106.000000 72.278 -153.2160
1120.000000 72.396 -152.9509
1138.000000 72.545 -152.9105
1150.000000 72.654 -152.8470
1172.000000 72.821 -152.8820
1180.000000 72.883 -152.7164
1206.000000 73.073 -152.7090
1220.000000 73.180 -152.7973
1241.000000 73.348 -152.7321
1250.000000 73.410 -152.9815
1265.000000 73.501 -153.0466
1280.000000 73.593 -153.0249
1315.000000 73.821 -153.3569
1320.000000 73.844 -153.3833
1340.000000 73.954 -153.5735
1360.000000 74.075 -153.5987
1380.000000 74.185 -153.7909
1400.000000 74.273 -153.9610
1430.000000 74.459 -154.2475
1450.000000 74.523 -154.3889
1475.000000 74.631 -154.6131
1500.000000 74.772 -154.9492
1525.000000 74.881 -155.2053
1550.000000 74.981 -155.4401
1575.000000 75.088 -155.7143
1600.000000 75.208 -155.8891
1625.000000 75.312 -156.2464
1650.000000 75.404 -156.6233
1675.000000 75.500 -156.9420
1700.000000 75.612 -157.2314
1725.000000 75.702 -157.5665
1750.000000 75.778 -157.8574
1775.000000 75.870 -158.3108
1800.000000 75.970 -158.6546
1825.000000 76.015 -159.0432
1850.000000 76.104 -159.3974
1875.000000 76.170 -159.6380
1900.000000 76.225 -159.9574
1925.000000 76.287 -160.4351
1950.000000 76.343 -160.5832
1975.000000 76.396 -160.8052
2000.000000 76.426 -161.1950
2030.000000 76.559 -161.1169
2060.000000 76.691 -161.0400
2090.000000 76.851 -161.5062
2120.000000 77.000 -162.2230
2140.000000 77.071 -162.7469
2180.000000 77.189 -163.8802
2200.000000 77.226 -164.3624
2240.000000 77.278 -165.3068
2270.000000 77.323 -165.9727
2300.000000 77.368 -166.5816
2330.000000 77.389 -167.0410
2360.000000 77.421 -167.5637
2400.000000 77.473 -168.2657
2430.000000 77.499 -168.5171
2470.000000 77.535 -169.0627
2500.000000 77.548 -169.4183
2540.000000 77.609 -169.9279
2580.000000 77.653 -170.1404
2620.000000 77.703 -170.5396
2650.000000 77.754 -170.7316
2690.000000 77.815 -171.1644
2720.000000 77.872 -171.4212
2760.000000 77.963 -171.7823
2800.000000 78.037 -172.2652
2850.000000 78.150 -172.8250
2900.000000 78.262 -173.5132
2950.000000 78.380 -174.3200
3000.000000 78.517 -175.4854
3040.000000 78.597 -176.0013
3070.000000 78.651 -176.6282
3110.000000 78.750 -177.6304
3150.000000 78.824 -178.8039
3200.000000 78.918 179.5884
3250.000000 78.975 177.7209
3300.000000 78.975 175.5370
3350.000000 78.899 173.0234
3400.000000 78.667 170.2279
3450.000000 78.217 168.0036
3500.000000 77.630 167.6194
3550.000000 77.184 169.2610
3600.000000 76.984 170.9937
3650.000000 76.870 172.2556
3700.000000 76.766 173.2052
3750.000000 76.632 174.0863
3820.000000 76.469 175.7125
3870.000000 76.324 177.0919
3950.000000 76.231 -179.6850
4000.000000 76.280 -177.6004
4060.000000 76.336 -175.0193
4120.000000 76.504 -172.5344
4180.000000 76.757 -170.1559
4250.000000 77.154 -167.4915
4310.000000 77.607 -165.6507
4370.000000 78.090 -164.1844
4440.000000 78.723 -163.3116
4500.000000 79.295 -163.1710
4550.000000 79.805 -163.5656
4620.000000 80.475 -165.2683
4680.000000 80.974 -167.3573
4750.000000 81.477 -170.5263
4820.000000 81.840 -174.2658
4870.000000 81.999 -177.1423
4940.000000 82.059 178.6985
5000.000000 81.962 175.2922
5080.000000 81.714 170.9384
5150.000000 81.326 167.8978
5220.000000 80.900 165.6635
5300.000000 80.337 163.8781
5380.000000 79.782 163.0562
5450.000000 79.318 163.0160
5520.000000 78.921 163.3326
5600.000000 78.510 164.1541
5700.000000 78.076 165.5367
5800.000000 77.698 167.4399
5900.000000 77.428 169.8433
6000.000000 77.232 172.3349
6080.000000 77.134 174.7690
