* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 22:45:26 04-02-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Simgot EA1000 black L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 76.400 120.7622
1.015000 76.215 119.7897
1.030000 76.023 118.8023
1.044000 75.837 117.8662
1.060000 75.615 116.7779
1.075000 75.399 115.7384
1.090000 75.174 114.6793
1.106000 74.924 113.5461
1.120000 74.695 112.6568
1.138000 74.387 111.6614
1.150000 74.174 111.0752
1.172000 73.769 110.1242
1.180000 73.617 109.8086
1.206000 73.108 108.8469
1.220000 72.825 108.3442
1.241000 72.391 107.5673
1.250000 72.201 107.2148
1.265000 71.882 106.5856
1.280000 71.557 105.8879
1.315000 70.787 103.8850
1.320000 70.676 103.5456
1.340000 70.229 102.0263
1.360000 69.779 100.2143
1.380000 69.328 98.0638
1.400000 68.878 95.5294
1.430000 68.207 90.9081
1.450000 67.765 87.2144
1.475000 67.212 81.7977
1.500000 66.598 75.2284
1.525000 65.922 67.5978
1.550000 65.201 59.0767
1.575000 64.451 49.8360
1.600000 63.690 40.0464
1.625000 62.934 29.8789
1.650000 62.201 19.5041
1.675000 61.507 9.0931
1.700000 60.869 -1.1836
1.725000 60.303 -11.1549
1.750000 59.827 -20.6502
1.775000 59.458 -29.4985
1.800000 59.213 -37.5290
1.825000 59.107 -44.5711
1.850000 59.165 -50.6496
1.875000 59.394 -56.1700
1.900000 59.773 -61.1921
1.925000 60.279 -65.7582
1.950000 60.890 -69.9103
1.975000 61.583 -73.6904
2.000000 62.335 -77.1407
2.030000 63.282 -80.9049
2.060000 64.243 -84.3274
2.090000 65.178 -87.4810
2.120000 66.046 -90.4383
2.140000 66.570 -92.3368
2.180000 67.429 -96.0552
2.200000 67.743 -97.9165
2.240000 68.235 -101.2966
2.270000 68.529 -103.4480
2.300000 68.765 -105.3095
2.330000 68.951 -106.9163
2.360000 69.093 -108.3035
2.400000 69.225 -109.8721
2.430000 69.290 -110.8833
2.470000 69.344 -112.0781
2.500000 69.368 -112.9047
2.540000 69.391 -113.9806
2.580000 69.412 -115.0885
2.620000 69.385 -116.1456
2.650000 69.331 -116.8708
2.690000 69.221 -117.7215
2.720000 69.117 -118.2549
2.760000 68.955 -118.8007
2.800000 68.779 -119.1278
2.850000 68.552 -119.1804
2.900000 68.336 -118.7782
2.950000 68.143 -117.8455
3.000000 67.907 -116.2697
3.040000 67.691 -114.6104
3.070000 67.523 -113.1799
3.110000 67.304 -111.0811
3.150000 67.103 -108.8284
3.200000 66.900 -105.9037
3.250000 66.778 -102.9873
3.300000 66.766 -100.2145
3.350000 66.872 -97.3006
3.400000 67.074 -94.0949
3.450000 67.349 -90.7648
3.500000 67.676 -87.4778
3.550000 68.032 -84.4015
3.600000 68.395 -81.7032
3.650000 68.744 -79.5505
3.700000 69.082 -78.0316
3.750000 69.454 -76.9979
3.820000 70.008 -76.2038
3.870000 70.408 -75.9943
3.950000 71.013 -76.0570
4.000000 71.347 -76.2201
4.060000 71.686 -76.4762
4.120000 71.983 -77.0446
4.180000 72.245 -77.8787
4.250000 72.507 -79.0541
4.310000 72.698 -80.1207
4.370000 72.858 -81.1363
4.440000 73.005 -82.2153
4.500000 73.089 -83.2058
4.550000 73.134 -84.0531
4.620000 73.165 -85.2125
4.680000 73.170 -86.1252
4.750000 73.158 -87.0230
4.820000 73.123 -87.7340
4.870000 73.073 -88.1761
4.940000 72.981 -88.6875
5.000000 72.892 -89.0102
5.080000 72.777 -89.2488
5.150000 72.692 -89.2489
5.220000 72.603 -89.0018
5.300000 72.499 -88.4811
5.380000 72.409 -87.8126
5.450000 72.357 -87.1935
5.520000 72.341 -86.5991
5.600000 72.362 -85.7882
5.700000 72.432 -84.6842
5.800000 72.539 -83.7333
5.900000 72.673 -83.1756
6.000000 72.854 -82.9148
6.080000 73.018 -82.8903
6.150000 73.161 -83.0081
6.220000 73.293 -83.2600
6.300000 73.431 -83.7492
6.400000 73.600 -84.6520
6.500000 73.753 -85.7519
6.600000 73.877 -86.9139
6.700000 73.968 -88.1882
6.800000 74.033 -89.5823
6.900000 74.077 -90.9696
7.000000 74.105 -92.2441
7.100000 74.106 -93.4754
7.200000 74.093 -94.6437
7.300000 74.079 -95.6942
7.400000 74.069 -96.5851
7.500000 74.055 -97.3395
7.620000 74.049 -98.1170
7.750000 74.077 -98.8484
7.880000 74.135 -99.4094
8.000000 74.213 -99.8910
8.120000 74.319 -100.4467
8.250000 74.468 -101.0747
8.380000 74.635 -101.7779
8.500000 74.793 -102.5500
8.620000 74.963 -103.4281
8.750000 75.147 -104.4444
8.850000 75.278 -105.2513
9.000000 75.467 -106.5413
9.120000 75.609 -107.5620
9.250000 75.750 -108.6004
9.380000 75.879 -109.6004
9.500000 75.992 -110.4488
9.620000 76.102 -111.1980
9.750000 76.216 -111.9173
9.880000 76.331 -112.5563
10.000000 76.441 -113.0696
10.150000 76.582 -113.6176
10.300000 76.727 -114.1267
10.440000 76.868 -114.5609
10.600000 77.030 -115.0357
10.750000 77.181 -115.4905
10.900000 77.330 -115.9422
11.060000 77.480 -116.4207
11.200000 77.605 -116.8390
11.380000 77.755 -117.3544
11.500000 77.849 -117.6794
11.720000 78.008 -118.2402
11.800000 78.063 -118.4302
12.060000 78.231 -119.0079
12.200000 78.316 -119.3075
12.410000 78.435 -119.7450
12.500000 78.483 -119.9359
12.650000 78.560 -120.2570
12.800000 78.630 -120.5808
13.150000 78.773 -121.3474
13.200000 78.791 -121.4556
13.400000 78.858 -121.8835
13.600000 78.921 -122.3077
13.800000 78.979 -122.7259
14.000000 79.037 -123.1635
14.300000 79.123 -123.8716
14.500000 79.180 -124.4043
14.750000 79.245 -125.1353
15.000000 79.304 -125.9323
15.250000 79.354 -126.7602
15.500000 79.400 -127.5875
15.750000 79.445 -128.3996
16.000000 79.494 -129.1875
16.250000 79.551 -129.9727
16.500000 79.615 -130.7667
16.750000 79.686 -131.5879
17.000000 79.759 -132.4283
17.250000 79.831 -133.2730
17.500000 79.902 -134.0998
17.750000 79.971 -134.8806
18.000000 80.042 -135.6110
18.250000 80.115 -136.2870
18.500000 80.191 -136.9248
18.750000 80.270 -137.5353
19.000000 80.349 -138.1281
19.250000 80.425 -138.7059
19.500000 80.497 -139.2627
19.750000 80.565 -139.7939
20.000000 80.627 -140.2930
20.299999 80.697 -140.8539
20.600000 80.761 -141.3816
20.900000 80.819 -141.8880
21.200001 80.872 -142.3832
21.400000 80.904 -142.7095
21.799999 80.961 -143.3573
22.000000 80.986 -143.6826
22.400000 81.031 -144.3474
22.700001 81.061 -144.8677
23.000000 81.087 -145.4091
23.299999 81.108 -145.9637
23.600000 81.127 -146.5227
24.000000 81.151 -147.2655
24.299999 81.171 -147.8243
24.700001 81.202 -148.5856
25.000000 81.229 -149.1753
25.400000 81.264 -149.9795
25.799999 81.300 -150.7767
26.200001 81.336 -151.5387
26.500000 81.365 -152.0812
26.900000 81.407 -152.7717
27.200001 81.440 -153.2728
27.600000 81.486 -153.9258
28.000000 81.529 -154.5613
28.500000 81.577 -155.3204
29.000000 81.615 -156.0220
29.500000 81.648 -156.6592
30.000000 81.678 -157.2569
30.400000 81.701 -157.7381
30.700001 81.716 -158.1106
31.100000 81.731 -158.6167
31.500000 81.741 -159.1170
32.000000 81.752 -159.7241
32.500000 81.767 -160.3462
33.000000 81.782 -161.0237
33.500000 81.789 -161.7269
34.000000 81.790 -162.3752
34.500000 81.797 -162.9422
35.000000 81.817 -163.4891
35.500000 81.845 -164.0861
36.000000 81.867 -164.7266
36.500000 81.881 -165.3536
37.000000 81.888 -165.9276
37.500000 81.893 -166.4507
38.200001 81.899 -167.1241
38.700001 81.904 -167.5802
39.500000 81.915 -168.3174
40.000000 81.919 -168.7941
40.599998 81.922 -169.3704
41.200001 81.922 -169.9502
41.799999 81.921 -170.5344
42.500000 81.915 -171.1917
43.099998 81.912 -171.7223
43.700001 81.911 -172.2463
44.400002 81.910 -172.8521
45.000000 81.910 -173.3589
45.500000 81.911 -173.7966
46.200001 81.906 -174.4408
46.799999 81.894 -174.9558
47.500000 81.887 -175.5044
48.200001 81.882 -176.1220
48.700001 81.867 -176.5623
49.400002 81.844 -176.9928
50.000000 81.859 -177.3124
50.799999 81.890 -178.1268
51.500000 81.848 -178.9310
52.200001 81.784 -179.2713
53.000000 81.780 -179.4603
53.799999 81.788 179.9810
54.500000 81.758 179.5049
55.200001 81.734 179.1884
56.000000 81.726 178.7326
57.000000 81.694 178.0901
58.000000 81.668 177.5824
59.000000 81.660 177.0053
60.000000 81.640 176.3683
60.799999 81.614 175.9337
61.500000 81.596 175.6180
62.200001 81.585 175.2972
63.000000 81.571 174.8848
64.000000 81.544 174.3705
65.000000 81.520 173.8686
66.000000 81.490 173.3431
67.000000 81.460 172.9017
68.000000 81.443 172.4427
69.000000 81.418 171.9430
70.000000 81.387 171.5061
71.000000 81.357 171.1161
72.000000 81.332 170.7278
73.000000 81.305 170.3046
74.000000 81.273 169.8936
75.000000 81.244 169.5125
76.199997 81.217 169.0421
77.500000 81.182 168.4990
78.800003 81.145 168.0485
80.000000 81.120 167.5884
81.199997 81.081 167.1372
82.500000 81.049 166.7001
83.800003 81.010 166.2298
85.000000 80.980 165.8272
86.199997 80.946 165.3835
87.500000 80.907 164.9044
88.500000 80.866 164.5603
90.000000 80.824 164.1607
91.199997 80.789 163.7263
92.500000 80.744 163.3306
93.800003 80.696 162.9293
95.000000 80.656 162.6372
96.199997 80.623 162.2832
97.500000 80.573 161.8929
98.800003 80.528 161.5759
100.000000 80.483 161.2504
101.500000 80.432 160.9062
103.000000 80.375 160.5212
104.400002 80.321 160.2126
106.000000 80.278 159.8904
107.500000 80.208 159.5016
109.000000 80.157 159.2835
110.599998 80.094 159.0744
112.000000 80.053 158.8211
113.800003 79.994 158.5900
115.000000 79.954 158.4337
117.199997 79.907 158.3185
118.000000 79.892 158.2226
120.599998 79.846 157.8312
122.000000 79.827 157.5611
124.099998 79.782 157.0803
125.000000 79.750 156.8339
126.500000 79.707 156.6730
128.000000 79.670 156.3346
131.500000 79.567 155.7054
132.000000 79.550 155.6250
134.000000 79.486 155.3110
136.000000 79.429 155.0083
138.000000 79.375 154.8001
140.000000 79.309 154.5090
143.000000 79.223 154.1595
145.000000 79.167 153.8528
147.500000 79.093 153.6500
150.000000 79.018 153.4301
152.500000 78.945 153.1899
155.000000 78.868 152.9072
157.500000 78.811 152.7452
160.000000 78.730 152.5793
162.500000 78.674 152.3278
165.000000 78.613 152.2053
167.500000 78.543 152.0439
170.000000 78.478 151.8642
172.500000 78.421 151.7616
175.000000 78.359 151.6351
177.500000 78.293 151.5263
180.000000 78.238 151.3630
182.500000 78.177 151.2789
185.000000 78.114 151.1671
187.500000 78.048 151.0179
190.000000 78.002 150.9409
192.500000 77.937 150.8244
195.000000 77.886 150.7416
197.500000 77.830 150.7632
200.000000 77.778 150.6370
203.000000 77.715 150.5188
206.000000 77.648 150.4547
209.000000 77.577 150.4386
212.000000 77.521 150.3763
214.000000 77.483 150.4340
218.000000 77.395 150.3624
220.000000 77.361 150.2903
224.000000 77.280 150.2366
227.000000 77.227 150.2678
230.000000 77.178 150.2445
233.000000 77.122 150.2531
236.000000 77.069 150.3613
240.000000 76.988 150.3117
243.000000 76.933 150.3325
247.000000 76.868 150.2656
250.000000 76.818 150.3060
254.000000 76.760 150.3335
258.000000 76.689 150.3522
262.000000 76.624 150.4537
265.000000 76.587 150.4888
269.000000 76.521 150.5287
272.000000 76.472 150.5826
276.000000 76.416 150.7425
280.000000 76.351 150.8066
285.000000 76.291 150.9047
290.000000 76.214 150.9296
295.000000 76.150 151.1451
300.000000 76.092 151.1294
304.000000 76.028 151.3604
307.000000 76.003 151.3966
311.000000 75.965 151.5377
315.000000 75.905 151.5854
320.000000 75.859 151.8340
