* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 22:41:01 04-02-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Simgot EA1000 black R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.468 120.8071
1.015000 84.291 119.8926
1.030000 84.107 118.9733
1.044000 83.929 118.1107
1.060000 83.718 117.1189
1.075000 83.512 116.1828
1.090000 83.298 115.2405
1.106000 83.062 114.2516
1.120000 82.858 113.5277
1.138000 82.598 112.7983
1.150000 82.425 112.4189
1.172000 82.110 111.8986
1.180000 81.994 111.7535
1.206000 81.613 111.3852
1.220000 81.402 111.2199
1.241000 81.077 110.9614
1.250000 80.933 110.8324
1.265000 80.687 110.5739
1.280000 80.431 110.2397
1.315000 79.788 109.0291
1.320000 79.691 108.7937
1.340000 79.285 107.6599
1.360000 78.850 106.1753
1.380000 78.384 104.2824
1.400000 77.883 101.9233
1.430000 77.061 97.3847
1.450000 76.461 93.6082
1.475000 75.634 87.9119
1.500000 74.617 80.8652
1.525000 73.417 72.5812
1.550000 72.074 63.2548
1.575000 70.628 53.0803
1.600000 69.119 42.2527
1.625000 67.585 30.9664
1.650000 66.065 19.4160
1.675000 64.601 7.7963
1.700000 63.230 -3.6983
1.725000 61.993 -14.8729
1.750000 60.928 -25.5331
1.775000 60.076 -35.4842
1.800000 59.475 -44.5315
1.825000 59.166 -52.4805
1.850000 59.185 -59.3699
1.875000 59.525 -65.6818
1.900000 60.146 -71.4779
1.925000 61.003 -76.7987
1.950000 62.056 -81.6844
1.975000 63.262 -86.1752
2.000000 64.578 -90.3114
2.030000 66.244 -94.8637
2.060000 67.934 -99.0330
2.090000 69.577 -102.8890
2.120000 71.098 -106.5014
2.140000 72.009 -108.8086
2.180000 73.484 -113.2735
2.200000 74.007 -115.4703
2.240000 74.792 -119.3807
2.270000 75.235 -121.8087
2.300000 75.569 -123.8664
2.330000 75.808 -125.6098
2.360000 75.967 -127.0952
2.400000 76.081 -128.7713
2.430000 76.110 -129.8727
2.470000 76.103 -131.2404
2.500000 76.082 -132.2634
2.540000 76.061 -133.7302
2.580000 76.069 -135.4151
2.620000 76.043 -137.2006
2.650000 75.991 -138.5488
2.690000 75.879 -140.3110
2.720000 75.766 -141.5735
2.760000 75.576 -143.1305
2.800000 75.346 -144.4887
2.850000 75.002 -145.8162
2.900000 74.603 -146.6243
2.950000 74.138 -146.8490
3.000000 73.512 -146.8340
3.040000 72.916 -146.6336
3.070000 72.435 -146.3247
3.110000 71.776 -145.6420
3.150000 71.127 -144.5818
3.200000 70.381 -142.6129
3.250000 69.769 -139.7938
3.300000 69.355 -135.9755
3.350000 69.109 -130.4764
3.400000 68.974 -123.3250
3.450000 68.941 -115.1669
3.500000 69.002 -106.6479
3.550000 69.148 -98.4140
3.600000 69.372 -91.1108
3.650000 69.665 -85.3841
3.700000 70.058 -81.5071
3.750000 70.614 -78.8020
3.820000 71.575 -76.5492
3.870000 72.319 -75.7612
3.950000 73.462 -75.3636
4.000000 74.064 -75.3393
4.060000 74.609 -75.3614
4.120000 75.050 -76.0168
4.180000 75.413 -77.2219
4.250000 75.752 -79.0463
4.310000 75.979 -80.7320
4.370000 76.160 -82.3115
4.440000 76.312 -83.9235
4.500000 76.375 -85.4121
4.550000 76.384 -86.6922
4.620000 76.341 -88.4453
4.680000 76.262 -89.8195
4.750000 76.133 -91.1531
4.820000 75.954 -92.2196
4.870000 75.781 -92.9154
4.940000 75.495 -93.7224
5.000000 75.227 -94.1889
5.080000 74.867 -94.3700
5.150000 74.570 -94.0028
5.220000 74.242 -93.0799
5.300000 73.846 -91.4924
5.380000 73.481 -89.5389
5.450000 73.230 -87.6952
5.520000 73.078 -85.8222
5.600000 73.008 -83.2384
5.700000 73.036 -79.6963
5.800000 73.152 -76.5493
5.900000 73.326 -74.5110
6.000000 73.613 -73.3538
6.080000 73.888 -72.9193
6.150000 74.121 -72.8616
6.220000 74.316 -73.0759
6.300000 74.495 -73.7400
6.400000 74.693 -75.2243
6.500000 74.845 -77.1286
6.600000 74.933 -79.1251
6.700000 74.948 -81.3033
6.800000 74.903 -83.7046
6.900000 74.813 -86.0886
7.000000 74.688 -88.2560
7.100000 74.508 -90.3515
7.200000 74.295 -92.3172
7.300000 74.083 -94.0226
7.400000 73.881 -95.3717
7.500000 73.667 -96.4218
7.620000 73.440 -97.3938
7.750000 73.294 -98.1746
7.880000 73.233 -98.5312
8.000000 73.249 -98.8103
8.120000 73.345 -99.3494
8.250000 73.550 -100.0745
8.380000 73.805 -101.0429
8.500000 74.049 -102.2862
8.620000 74.324 -103.8471
8.750000 74.619 -105.7096
8.850000 74.822 -107.1824
9.000000 75.105 -109.5782
9.120000 75.309 -111.4489
9.250000 75.498 -113.2803
9.380000 75.657 -114.9922
9.500000 75.792 -116.3685
9.620000 75.919 -117.4806
9.750000 76.043 -118.4351
9.880000 76.173 -119.1761
10.000000 76.306 -119.6550
10.150000 76.481 -120.0055
10.300000 76.673 -120.2704
10.440000 76.872 -120.4227
10.600000 77.108 -120.5657
10.750000 77.328 -120.7606
10.900000 77.547 -120.9767
11.060000 77.762 -121.2297
11.200000 77.936 -121.4781
11.380000 78.138 -121.7664
11.500000 78.257 -121.9267
11.720000 78.451 -122.1579
11.800000 78.516 -122.2128
12.060000 78.707 -122.3152
12.200000 78.802 -122.3572
12.410000 78.932 -122.4114
12.500000 78.983 -122.4525
12.650000 79.061 -122.5414
12.800000 79.129 -122.6507
13.150000 79.239 -122.9845
13.200000 79.250 -123.0319
13.400000 79.283 -123.2174
13.600000 79.305 -123.3916
13.800000 79.321 -123.5428
14.000000 79.338 -123.7292
14.300000 79.371 -124.1150
14.500000 79.396 -124.5150
14.750000 79.423 -125.1843
15.000000 79.440 -126.0347
15.250000 79.441 -126.9924
15.500000 79.435 -127.9778
15.750000 79.427 -128.9518
16.000000 79.433 -129.8832
16.250000 79.460 -130.8170
16.500000 79.510 -131.7798
16.750000 79.579 -132.8163
17.000000 79.659 -133.9140
17.250000 79.743 -135.0406
17.500000 79.826 -136.1477
17.750000 79.909 -137.1679
18.000000 79.994 -138.0865
18.250000 80.086 -138.8891
18.500000 80.185 -139.6029
18.750000 80.288 -140.2475
19.000000 80.394 -140.8404
19.250000 80.495 -141.3868
19.500000 80.590 -141.8783
19.750000 80.678 -142.3101
20.000000 80.760 -142.6808
20.299999 80.849 -143.0680
20.600000 80.930 -143.4192
20.900000 81.000 -143.7609
21.200001 81.054 -144.1036
21.400000 81.082 -144.3270
21.799999 81.121 -144.7575
22.000000 81.135 -144.9699
22.400000 81.157 -145.4212
22.700001 81.169 -145.8192
23.000000 81.176 -146.2879
23.299999 81.175 -146.8135
23.600000 81.170 -147.3721
24.000000 81.162 -148.1388
24.299999 81.162 -148.7310
24.700001 81.175 -149.5724
25.000000 81.193 -150.2572
25.400000 81.222 -151.2242
25.799999 81.252 -152.1873
26.200001 81.288 -153.0819
26.500000 81.320 -153.6954
26.900000 81.373 -154.4500
27.200001 81.418 -154.9815
27.600000 81.480 -155.6506
28.000000 81.539 -156.2684
28.500000 81.604 -156.9603
29.000000 81.656 -157.5616
29.500000 81.695 -158.0726
30.000000 81.727 -158.5250
30.400000 81.749 -158.8992
30.700001 81.762 -159.2124
31.100000 81.769 -159.6700
31.500000 81.765 -160.1361
32.000000 81.754 -160.6813
32.500000 81.753 -161.2310
33.000000 81.762 -161.8961
33.500000 81.765 -162.6709
34.000000 81.755 -163.4029
34.500000 81.755 -163.9949
35.000000 81.782 -164.5435
35.500000 81.825 -165.2079
36.000000 81.854 -165.9733
36.500000 81.855 -166.6588
37.000000 81.849 -167.1261
37.500000 81.861 -167.4436
38.200001 81.906 -167.9827
38.700001 81.928 -168.5236
39.500000 81.918 -169.3728
40.000000 81.904 -169.7959
40.599998 81.898 -170.2880
41.200001 81.894 -170.8453
41.799999 81.885 -171.4113
42.500000 81.882 -172.0390
43.099998 81.887 -172.6116
43.700001 81.886 -173.2058
44.400002 81.881 -173.8475
45.000000 81.877 -174.3640
45.500000 81.871 -174.7891
46.200001 81.857 -175.3415
46.799999 81.847 -175.7779
47.500000 81.837 -176.3081
48.200001 81.820 -176.8363
48.700001 81.808 -177.1841
49.400002 81.799 -177.6609
50.000000 81.796 -178.0947
50.799999 81.794 -178.7271
51.500000 81.782 -179.3331
52.200001 81.751 -179.8877
53.000000 81.711 179.6674
53.799999 81.693 179.2700
54.500000 81.677 178.8256
55.200001 81.646 178.3814
56.000000 81.609 177.9766
57.000000 81.581 177.4719
58.000000 81.548 176.9148
59.000000 81.510 176.4733
60.000000 81.487 176.1642
60.799999 81.482 175.9170
61.500000 81.479 175.6517
62.200001 81.470 175.3854
63.000000 81.462 175.0927
64.000000 81.456 174.6788
65.000000 81.452 174.2185
66.000000 81.448 173.6904
67.000000 81.439 173.1585
68.000000 81.430 172.6287
69.000000 81.411 172.1134
70.000000 81.391 171.6502
71.000000 81.367 171.1566
72.000000 81.332 170.7014
73.000000 81.307 170.2646
74.000000 81.276 169.7816
75.000000 81.248 169.3909
76.199997 81.226 168.8381
77.500000 81.183 168.2946
78.800003 81.151 167.7924
80.000000 81.110 167.3239
81.199997 81.077 166.9024
82.500000 81.035 166.4033
83.800003 80.999 165.9411
85.000000 80.956 165.5040
86.199997 80.915 165.1335
87.500000 80.871 164.7148
88.500000 80.838 164.4336
90.000000 80.797 163.9509
91.199997 80.758 163.6297
92.500000 80.722 163.2145
93.800003 80.674 162.9068
95.000000 80.637 162.5220
96.199997 80.585 162.2453
97.500000 80.547 161.8987
98.800003 80.507 161.5643
100.000000 80.471 161.2545
101.500000 80.433 160.8175
103.000000 80.368 160.5306
104.400002 80.330 160.1582
106.000000 80.279 159.9187
107.500000 80.226 159.4916
109.000000 80.187 159.2666
110.599998 80.127 158.9207
112.000000 80.092 158.6526
113.800003 80.026 158.3492
115.000000 79.999 158.0743
117.199997 79.926 157.7739
118.000000 79.908 157.5571
120.599998 79.825 157.1422
122.000000 79.767 156.8879
124.099998 79.710 156.5833
125.000000 79.676 156.4219
126.500000 79.633 156.2922
128.000000 79.597 155.9475
131.500000 79.490 155.5001
132.000000 79.473 155.4183
134.000000 79.414 155.2425
136.000000 79.351 154.9712
138.000000 79.297 154.7371
140.000000 79.241 154.4598
143.000000 79.147 154.1718
145.000000 79.084 154.0106
147.500000 79.027 153.7602
150.000000 78.954 153.4434
152.500000 78.880 153.2538
155.000000 78.812 153.0897
157.500000 78.752 152.9336
160.000000 78.675 152.7525
162.500000 78.612 152.6042
165.000000 78.540 152.4034
167.500000 78.485 152.2660
170.000000 78.412 152.1120
172.500000 78.353 152.0254
175.000000 78.297 151.8050
177.500000 78.233 151.7762
180.000000 78.185 151.6028
182.500000 78.115 151.5030
185.000000 78.051 151.4614
187.500000 78.001 151.3588
190.000000 77.948 151.3625
192.500000 77.885 151.2641
195.000000 77.819 151.2246
197.500000 77.776 151.1287
200.000000 77.722 151.0625
203.000000 77.655 150.9368
206.000000 77.585 150.9156
209.000000 77.523 150.9481
212.000000 77.480 150.9094
214.000000 77.429 150.8301
218.000000 77.353 150.8865
220.000000 77.312 150.8087
224.000000 77.241 150.8339
227.000000 77.187 150.8126
230.000000 77.120 150.8228
233.000000 77.086 150.8311
236.000000 77.020 150.8733
240.000000 76.955 150.9031
243.000000 76.899 150.9733
247.000000 76.841 150.9987
250.000000 76.784 150.9666
254.000000 76.723 150.9647
258.000000 76.659 151.1741
262.000000 76.594 151.2352
265.000000 76.545 151.2433
269.000000 76.497 151.2917
272.000000 76.467 151.2417
276.000000 76.402 151.4740
280.000000 76.333 151.5254
285.000000 76.281 151.6481
290.000000 76.205 151.7992
295.000000 76.151 151.8777
300.000000 76.084 152.0439
304.000000 76.025 152.1294
307.000000 75.996 152.2477
311.000000 75.959 152.3391
315.000000 75.915 152.5159
320.000000 75.851 152.6120
