* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 22:51:04 04-02-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Simgot EA1000 gold L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 76.340 121.0404
1.015000 76.156 120.0773
1.030000 75.964 119.1000
1.044000 75.777 118.1740
1.060000 75.556 117.0983
1.075000 75.340 116.0716
1.090000 75.115 115.0262
1.106000 74.865 113.9093
1.120000 74.636 113.0381
1.138000 74.329 112.0711
1.150000 74.117 111.5067
1.172000 73.713 110.6007
1.180000 73.562 110.3028
1.206000 73.056 109.4022
1.220000 72.774 108.9339
1.241000 72.342 108.2097
1.250000 72.153 107.8797
1.265000 71.835 107.2877
1.280000 71.512 106.6263
1.315000 70.743 104.7014
1.320000 70.632 104.3721
1.340000 70.185 102.8899
1.360000 69.734 101.1085
1.380000 69.282 98.9812
1.400000 68.829 96.4610
1.430000 68.152 91.8418
1.450000 67.704 88.1348
1.475000 67.142 82.6821
1.500000 66.514 76.0501
1.525000 65.820 68.3326
1.550000 65.078 59.7045
1.575000 64.305 50.3405
1.600000 63.519 40.4157
1.625000 62.738 30.1047
1.650000 61.979 19.5825
1.675000 61.260 9.0240
1.700000 60.598 -1.3962
1.725000 60.011 -11.5029
1.750000 59.517 -21.1214
1.775000 59.133 -30.0769
1.800000 58.877 -38.1945
1.825000 58.767 -45.2994
1.850000 58.825 -51.4158
1.875000 59.060 -56.9559
1.900000 59.450 -61.9820
1.925000 59.971 -66.5381
1.950000 60.599 -70.6685
1.975000 61.313 -74.4171
2.000000 62.087 -77.8282
2.030000 63.063 -81.5380
2.060000 64.052 -84.9014
2.090000 65.015 -87.9947
2.120000 65.910 -90.8941
2.140000 66.449 -92.7569
2.180000 67.334 -96.4160
2.200000 67.658 -98.2555
2.240000 68.164 -101.5966
2.270000 68.466 -103.7186
2.300000 68.708 -105.5509
2.330000 68.898 -107.1289
2.360000 69.044 -108.4879
2.400000 69.179 -110.0205
2.430000 69.246 -111.0061
2.470000 69.303 -112.1691
2.500000 69.330 -112.9737
2.540000 69.359 -114.0238
2.580000 69.387 -115.1091
2.620000 69.368 -116.1420
2.650000 69.321 -116.8480
2.690000 69.220 -117.6741
2.720000 69.123 -118.1908
2.760000 68.971 -118.7187
2.800000 68.804 -119.0352
2.850000 68.589 -119.0880
2.900000 68.386 -118.7055
2.950000 68.204 -117.8169
3.000000 67.982 -116.3145
3.040000 67.778 -114.7313
3.070000 67.620 -113.3653
3.110000 67.412 -111.3594
3.150000 67.222 -109.2037
3.200000 67.030 -106.4004
3.250000 66.915 -103.5981
3.300000 66.903 -100.9248
3.350000 67.004 -98.1069
3.400000 67.194 -95.0014
3.450000 67.453 -91.7704
3.500000 67.762 -88.5758
3.550000 68.099 -85.5796
3.600000 68.445 -82.9438
3.650000 68.779 -80.8305
3.700000 69.105 -79.3225
3.750000 69.466 -78.2727
3.820000 70.006 -77.4225
3.870000 70.396 -77.1573
3.950000 70.989 -77.1214
4.000000 71.317 -77.2267
4.060000 71.651 -77.4242
4.120000 71.946 -77.9322
4.180000 72.206 -78.7031
4.250000 72.469 -79.8037
4.310000 72.662 -80.8072
4.370000 72.826 -81.7625
4.440000 72.977 -82.7750
4.500000 73.067 -83.7079
4.550000 73.117 -84.5081
4.620000 73.157 -85.6050
4.680000 73.170 -86.4698
4.750000 73.170 -87.3207
4.820000 73.148 -87.9925
4.870000 73.110 -88.4080
4.940000 73.035 -88.8883
5.000000 72.961 -89.1943
5.080000 72.866 -89.4315
5.150000 72.800 -89.4561
5.220000 72.731 -89.2563
5.300000 72.650 -88.8131
5.380000 72.583 -88.2432
5.450000 72.548 -87.7245
5.520000 72.545 -87.2424
5.600000 72.576 -86.5896
5.700000 72.655 -85.7104
5.800000 72.764 -84.9813
5.900000 72.894 -84.6117
6.000000 73.063 -84.5227
6.080000 73.214 -84.6228
6.150000 73.344 -84.8354
6.220000 73.463 -85.1646
6.300000 73.586 -85.7188
6.400000 73.733 -86.6738
6.500000 73.864 -87.7983
6.600000 73.968 -88.9624
6.700000 74.038 -90.2144
6.800000 74.084 -91.5614
6.900000 74.110 -92.8822
7.000000 74.122 -94.0744
7.100000 74.109 -95.2021
7.200000 74.083 -96.2506
7.300000 74.059 -97.1729
7.400000 74.044 -97.9280
7.500000 74.027 -98.5331
7.620000 74.021 -99.1312
7.750000 74.054 -99.6887
7.880000 74.124 -100.0870
8.000000 74.216 -100.4392
8.120000 74.335 -100.8992
8.250000 74.501 -101.4583
8.380000 74.684 -102.1204
8.500000 74.854 -102.8765
8.620000 75.035 -103.7634
8.750000 75.226 -104.8026
8.850000 75.361 -105.6286
9.000000 75.553 -106.9589
9.120000 75.694 -108.0114
9.250000 75.832 -109.0756
9.380000 75.955 -110.0969
9.500000 76.062 -110.9573
9.620000 76.166 -111.7081
9.750000 76.271 -112.4192
9.880000 76.379 -113.0429
10.000000 76.484 -113.5351
10.150000 76.618 -114.0487
10.300000 76.759 -114.5248
10.440000 76.898 -114.9282
10.600000 77.059 -115.3732
10.750000 77.209 -115.8108
10.900000 77.359 -116.2535
11.060000 77.510 -116.7329
11.200000 77.636 -117.1616
11.380000 77.787 -117.6975
11.500000 77.880 -118.0406
11.720000 78.037 -118.6386
11.800000 78.091 -118.8416
12.060000 78.253 -119.4599
12.200000 78.335 -119.7767
12.410000 78.449 -120.2346
12.500000 78.496 -120.4322
12.650000 78.569 -120.7614
12.800000 78.637 -121.0911
13.150000 78.776 -121.8665
13.200000 78.794 -121.9761
13.400000 78.860 -122.4093
13.600000 78.922 -122.8400
13.800000 78.981 -123.2665
14.000000 79.040 -123.7129
14.300000 79.127 -124.4350
14.500000 79.185 -124.9760
14.750000 79.252 -125.7162
15.000000 79.313 -126.5213
15.250000 79.367 -127.3575
15.500000 79.416 -128.1952
15.750000 79.465 -129.0204
16.000000 79.518 -129.8253
16.250000 79.578 -130.6296
16.500000 79.644 -131.4431
16.750000 79.716 -132.2816
17.000000 79.790 -133.1346
17.250000 79.863 -133.9870
17.500000 79.934 -134.8170
17.750000 80.004 -135.5991
18.000000 80.075 -136.3312
18.250000 80.149 -137.0113
18.500000 80.227 -137.6565
18.750000 80.305 -138.2759
19.000000 80.383 -138.8775
19.250000 80.458 -139.4602
19.500000 80.529 -140.0171
19.750000 80.594 -140.5433
20.000000 80.656 -141.0349
20.299999 80.726 -141.5894
20.600000 80.792 -142.1188
20.900000 80.853 -142.6382
21.200001 80.906 -143.1558
21.400000 80.938 -143.4980
21.799999 80.992 -144.1707
22.000000 81.015 -144.5016
22.400000 81.059 -145.1623
22.700001 81.089 -145.6728
23.000000 81.117 -146.2085
23.299999 81.142 -146.7683
23.600000 81.164 -147.3435
24.000000 81.191 -148.1185
24.299999 81.212 -148.6990
24.700001 81.243 -149.4760
25.000000 81.269 -150.0673
25.400000 81.307 -150.8690
25.799999 81.345 -151.6728
26.200001 81.384 -152.4565
26.500000 81.413 -153.0199
26.900000 81.452 -153.7310
27.200001 81.483 -154.2335
27.600000 81.525 -154.8669
28.000000 81.567 -155.4695
28.500000 81.619 -156.1969
29.000000 81.664 -156.8988
29.500000 81.701 -157.5641
30.000000 81.732 -158.2032
30.400000 81.755 -158.7210
30.700001 81.768 -159.1203
31.100000 81.778 -159.6523
31.500000 81.783 -160.1562
32.000000 81.790 -160.7328
32.500000 81.810 -161.3164
33.000000 81.833 -161.9922
33.500000 81.846 -162.7259
34.000000 81.848 -163.3823
34.500000 81.861 -163.9163
35.000000 81.900 -164.4586
35.500000 81.946 -165.1629
36.000000 81.969 -165.9836
36.500000 81.960 -166.7149
37.000000 81.943 -167.2146
37.500000 81.946 -167.5631
38.200001 81.982 -168.1432
38.700001 82.000 -168.6892
39.500000 82.000 -169.5227
40.000000 81.998 -169.9660
40.599998 82.002 -170.5057
41.200001 82.005 -171.0819
41.799999 82.005 -171.6448
42.500000 82.011 -172.3016
43.099998 82.015 -172.9102
43.700001 82.010 -173.4999
44.400002 82.004 -174.0965
45.000000 82.008 -174.5910
45.500000 82.011 -175.0310
46.200001 82.009 -175.6412
46.799999 82.006 -176.1239
47.500000 82.006 -176.6877
48.200001 82.002 -177.2704
48.700001 81.996 -177.6771
49.400002 81.986 -178.2189
50.000000 81.977 -178.6523
50.799999 81.972 -179.1969
51.500000 81.974 -179.7137
52.200001 81.968 179.7160
53.000000 81.948 179.1039
53.799999 81.928 178.5480
54.500000 81.910 178.0592
55.200001 81.887 177.6136
56.000000 81.873 177.1663
57.000000 81.872 176.4832
58.000000 81.848 175.7273
59.000000 81.819 175.1637
60.000000 81.810 174.6029
60.799999 81.795 174.1085
61.500000 81.776 173.7127
62.200001 81.756 173.3472
63.000000 81.734 172.9320
64.000000 81.707 172.4084
65.000000 81.678 171.8712
66.000000 81.647 171.3524
67.000000 81.619 170.8543
68.000000 81.591 170.3680
69.000000 81.561 169.9209
70.000000 81.531 169.5247
71.000000 81.505 169.1629
72.000000 81.484 168.7794
73.000000 81.457 168.3692
74.000000 81.432 168.0367
75.000000 81.424 167.6532
76.199997 81.394 167.1144
77.500000 81.377 166.6949
78.800003 81.360 166.1276
80.000000 81.340 165.6678
81.199997 81.321 165.1574
82.500000 81.294 164.6009
83.800003 81.259 164.0855
85.000000 81.236 163.6350
86.199997 81.206 163.1160
87.500000 81.169 162.6176
88.500000 81.141 162.2038
90.000000 81.084 161.6570
91.199997 81.052 161.2740
92.500000 81.012 160.8011
93.800003 80.970 160.3804
95.000000 80.927 159.9810
96.199997 80.887 159.6747
97.500000 80.845 159.2633
98.800003 80.804 159.0611
100.000000 80.786 158.6285
101.500000 80.710 158.2757
103.000000 80.673 157.9729
104.400002 80.628 157.6497
106.000000 80.591 157.2661
107.500000 80.542 156.8971
109.000000 80.502 156.5370
110.599998 80.447 156.2453
112.000000 80.415 156.0466
113.800003 80.372 155.6587
115.000000 80.343 155.4851
117.199997 80.295 155.1235
118.000000 80.287 154.9595
120.599998 80.231 154.4018
122.000000 80.207 154.0821
124.099998 80.162 153.6301
125.000000 80.141 153.4534
126.500000 80.109 153.1320
128.000000 80.069 152.8296
131.500000 79.980 152.1291
132.000000 79.969 152.0481
134.000000 79.918 151.6298
136.000000 79.867 151.3041
138.000000 79.815 150.9836
140.000000 79.765 150.5991
143.000000 79.687 150.1781
145.000000 79.631 149.8211
147.500000 79.562 149.4851
150.000000 79.502 149.1020
152.500000 79.440 148.7912
155.000000 79.379 148.4310
157.500000 79.312 148.1519
160.000000 79.249 147.8672
162.500000 79.195 147.5441
165.000000 79.133 147.2340
167.500000 79.075 147.0502
170.000000 79.013 146.8019
172.500000 78.953 146.5391
175.000000 78.901 146.2375
177.500000 78.835 146.0911
180.000000 78.780 145.7861
182.500000 78.723 145.6407
185.000000 78.672 145.4434
187.500000 78.612 145.3022
190.000000 78.556 145.0625
192.500000 78.501 144.8935
195.000000 78.455 144.7756
197.500000 78.392 144.5446
200.000000 78.333 144.4002
203.000000 78.284 144.2649
206.000000 78.222 144.1407
209.000000 78.158 143.9569
212.000000 78.109 143.8103
214.000000 78.065 143.7281
218.000000 77.983 143.5764
220.000000 77.948 143.4581
224.000000 77.869 143.3305
227.000000 77.810 143.1981
230.000000 77.768 143.0981
233.000000 77.705 143.0632
236.000000 77.665 142.9846
240.000000 77.593 142.8755
243.000000 77.546 142.8212
247.000000 77.478 142.6695
250.000000 77.426 142.6477
254.000000 77.365 142.5049
258.000000 77.300 142.5410
262.000000 77.236 142.4327
265.000000 77.194 142.4117
269.000000 77.134 142.2992
272.000000 77.099 142.2615
276.000000 77.041 142.3163
280.000000 76.989 142.3181
285.000000 76.922 142.2601
290.000000 76.853 142.2255
295.000000 76.790 142.2252
300.000000 76.731 142.2963
304.000000 76.689 142.2944
307.000000 76.656 142.3001
311.000000 76.597 142.2746
315.000000 76.557 142.3094
320.000000 76.492 142.3505
