* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 22:58:36 04-02-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Simgot EA1000 gold R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.463 121.0042
1.015000 84.286 120.0969
1.030000 84.103 119.1853
1.044000 83.925 118.3304
1.060000 83.714 117.3482
1.075000 83.508 116.4220
1.090000 83.294 115.4902
1.106000 83.058 114.5145
1.120000 82.854 113.8081
1.138000 82.596 113.1101
1.150000 82.425 112.7562
1.172000 82.114 112.2907
1.180000 82.000 112.1676
1.206000 81.625 111.8760
1.220000 81.418 111.7540
1.241000 81.098 111.5612
1.250000 80.956 111.4601
1.265000 80.713 111.2467
1.280000 80.460 110.9554
1.315000 79.823 109.8305
1.320000 79.726 109.6052
1.340000 79.320 108.5050
1.360000 78.885 107.0415
1.380000 78.415 105.1549
1.400000 77.910 102.7852
1.430000 77.075 98.1937
1.450000 76.463 94.3541
1.475000 75.616 88.5416
1.500000 74.569 81.3188
1.525000 73.331 72.8036
1.550000 71.943 63.2008
1.575000 70.448 52.7151
1.600000 68.885 41.5512
1.625000 67.295 29.9140
1.650000 65.721 18.0081
1.675000 64.202 6.0381
1.700000 62.780 -5.7911
1.725000 61.497 -17.2748
1.750000 60.393 -28.2083
1.775000 59.509 -38.3869
1.800000 58.887 -47.6058
1.825000 58.568 -55.6603
1.850000 58.589 -62.5834
1.875000 58.945 -68.8666
1.900000 59.591 -74.5798
1.925000 60.483 -79.7714
1.950000 61.578 -84.4896
1.975000 62.831 -88.7828
2.000000 64.199 -92.6991
2.030000 65.929 -96.9693
2.060000 67.685 -100.8498
2.090000 69.390 -104.4240
2.120000 70.970 -107.7755
2.140000 71.915 -109.9271
2.180000 73.445 -114.1435
2.200000 73.986 -116.2552
2.240000 74.796 -120.0433
2.270000 75.251 -122.4060
2.300000 75.591 -124.4176
2.330000 75.832 -126.1310
2.360000 75.989 -127.5992
2.400000 76.097 -129.2671
2.430000 76.120 -130.3693
2.470000 76.105 -131.7415
2.500000 76.078 -132.7663
2.540000 76.052 -134.2275
2.580000 76.061 -135.8929
2.620000 76.036 -137.6578
2.650000 75.985 -138.9924
2.690000 75.875 -140.7385
2.720000 75.762 -141.9905
2.760000 75.573 -143.5353
2.800000 75.343 -144.8833
2.850000 75.002 -146.2007
2.900000 74.604 -147.0012
2.950000 74.142 -147.2207
3.000000 73.519 -147.2022
3.040000 72.927 -147.0007
3.070000 72.449 -146.6921
3.110000 71.794 -146.0115
3.150000 71.149 -144.9557
3.200000 70.408 -142.9956
3.250000 69.798 -140.1894
3.300000 69.384 -136.3889
3.350000 69.136 -130.9177
3.400000 68.997 -123.8044
3.450000 68.959 -115.6902
3.500000 69.014 -107.2161
3.550000 69.155 -99.0233
3.600000 69.373 -91.7528
3.650000 69.660 -86.0457
3.700000 70.050 -82.1719
3.750000 70.603 -79.4567
3.820000 71.559 -77.1740
3.870000 72.300 -76.3580
3.950000 73.439 -75.9137
4.000000 74.039 -75.8646
4.060000 74.582 -75.8653
4.120000 75.021 -76.5032
4.180000 75.383 -77.6926
4.250000 75.721 -79.4997
4.310000 75.948 -81.1701
4.370000 76.127 -82.7329
4.440000 76.278 -84.3234
4.500000 76.340 -85.7940
4.550000 76.348 -87.0588
4.620000 76.304 -88.7886
4.680000 76.224 -90.1398
4.750000 76.095 -91.4415
4.820000 75.915 -92.4693
4.870000 75.742 -93.1336
4.940000 75.456 -93.8928
5.000000 75.189 -94.3160
5.080000 74.831 -94.4384
5.150000 74.539 -94.0197
5.220000 74.220 -93.0346
5.300000 73.836 -91.3700
5.380000 73.484 -89.3485
5.450000 73.246 -87.4654
5.520000 73.108 -85.5824
5.600000 73.057 -83.0189
5.700000 73.111 -79.5362
5.800000 73.251 -76.4727
5.900000 73.441 -74.5309
6.000000 73.738 -73.4980
6.080000 74.018 -73.1744
6.150000 74.254 -73.2129
6.220000 74.451 -73.5148
6.300000 74.631 -74.2677
6.400000 74.826 -75.8561
6.500000 74.974 -77.8569
6.600000 75.057 -79.9426
6.700000 75.066 -82.2040
6.800000 75.013 -84.6816
6.900000 74.913 -87.1319
7.000000 74.777 -89.3542
7.100000 74.583 -91.4994
7.200000 74.355 -93.5017
7.300000 74.127 -95.2195
7.400000 73.907 -96.5511
7.500000 73.672 -97.5598
7.620000 73.422 -98.4482
7.750000 73.256 -99.0886
7.880000 73.181 -99.2412
8.000000 73.189 -99.3155
8.120000 73.287 -99.6673
8.250000 73.503 -100.1877
8.380000 73.775 -100.9787
8.500000 74.038 -102.1091
8.620000 74.335 -103.5961
8.750000 74.655 -105.4172
8.850000 74.875 -106.8845
9.000000 75.183 -109.3190
9.120000 75.404 -111.2503
9.250000 75.608 -113.1714
9.380000 75.780 -115.0021
9.500000 75.923 -116.5009
9.620000 76.053 -117.7446
9.750000 76.177 -118.8557
9.880000 76.302 -119.7467
10.000000 76.425 -120.3530
10.150000 76.583 -120.8513
10.300000 76.756 -121.2297
10.440000 76.934 -121.4545
10.600000 77.145 -121.6479
10.750000 77.344 -121.8574
10.900000 77.544 -122.0608
11.060000 77.742 -122.2888
11.200000 77.904 -122.5025
11.380000 78.094 -122.7460
11.500000 78.207 -122.8790
11.720000 78.393 -123.0689
11.800000 78.456 -123.1146
12.060000 78.641 -123.2038
12.200000 78.733 -123.2500
12.410000 78.857 -123.3226
12.500000 78.905 -123.3728
12.650000 78.976 -123.4810
12.800000 79.037 -123.6071
13.150000 79.124 -123.9545
13.200000 79.132 -123.9984
13.400000 79.149 -124.1557
13.600000 79.157 -124.2741
13.800000 79.161 -124.3379
14.000000 79.171 -124.4160
14.300000 79.202 -124.6113
14.500000 79.234 -124.8876
14.750000 79.277 -125.4316
15.000000 79.317 -126.2020
15.250000 79.344 -127.1389
15.500000 79.362 -128.1549
15.750000 79.375 -129.2024
16.000000 79.395 -130.2294
16.250000 79.430 -131.2565
16.500000 79.483 -132.2984
16.750000 79.554 -133.3867
17.000000 79.635 -134.5140
17.250000 79.722 -135.6550
17.500000 79.810 -136.7716
17.750000 79.898 -137.8081
18.000000 79.990 -138.7509
18.250000 80.086 -139.5867
18.500000 80.187 -140.3351
18.750000 80.292 -141.0109
19.000000 80.397 -141.6274
19.250000 80.498 -142.1891
19.500000 80.593 -142.6921
19.750000 80.682 -143.1349
20.000000 80.765 -143.5222
20.299999 80.857 -143.9374
20.600000 80.938 -144.3233
20.900000 81.006 -144.7008
21.200001 81.059 -145.0739
21.400000 81.086 -145.3133
21.799999 81.123 -145.7680
22.000000 81.137 -145.9910
22.400000 81.160 -146.4663
22.700001 81.173 -146.8869
23.000000 81.182 -147.3814
23.299999 81.184 -147.9346
23.600000 81.182 -148.5222
24.000000 81.178 -149.3313
24.299999 81.181 -149.9589
24.700001 81.198 -150.8496
25.000000 81.217 -151.5671
25.400000 81.246 -152.5640
25.799999 81.279 -153.5395
26.200001 81.318 -154.4400
26.500000 81.355 -155.0643
26.900000 81.413 -155.8479
27.200001 81.460 -156.4077
27.600000 81.521 -157.1077
28.000000 81.578 -157.7325
28.500000 81.645 -158.4070
29.000000 81.704 -159.0138
29.500000 81.750 -159.5877
30.000000 81.779 -160.1210
30.400000 81.795 -160.5228
30.700001 81.804 -160.8257
31.100000 81.812 -161.2556
31.500000 81.816 -161.7225
32.000000 81.816 -162.3448
32.500000 81.814 -162.9998
33.000000 81.816 -163.6994
33.500000 81.821 -164.4425
34.000000 81.827 -165.1934
34.500000 81.838 -165.9186
35.000000 81.857 -166.6153
35.500000 81.880 -167.2883
36.000000 81.904 -167.9311
36.500000 81.928 -168.5358
37.000000 81.948 -169.0992
37.500000 81.964 -169.6157
38.200001 81.983 -170.2739
38.700001 81.995 -170.7430
39.500000 82.001 -171.5381
40.000000 81.995 -172.0185
40.599998 81.989 -172.5676
41.200001 81.988 -173.1484
41.799999 81.985 -173.7681
42.500000 81.980 -174.4673
43.099998 81.981 -175.0451
43.700001 81.985 -175.6373
44.400002 81.986 -176.3139
45.000000 81.984 -176.8486
45.500000 81.984 -177.2748
46.200001 81.984 -177.8601
46.799999 81.982 -178.3505
47.500000 81.980 -178.9240
48.200001 81.976 -179.5161
48.700001 81.971 -179.9433
49.400002 81.962 179.4722
50.000000 81.953 178.9918
50.799999 81.944 178.3844
51.500000 81.940 177.8764
52.200001 81.938 177.3424
53.000000 81.922 176.6977
53.799999 81.891 176.1813
54.500000 81.881 175.8119
55.200001 81.882 175.3202
56.000000 81.862 174.6749
57.000000 81.833 174.0423
58.000000 81.825 173.3669
59.000000 81.805 172.6628
60.000000 81.783 172.0484
60.799999 81.765 171.5971
61.500000 81.752 171.2044
62.200001 81.737 170.7841
63.000000 81.711 170.2878
64.000000 81.670 169.7148
65.000000 81.638 169.1870
66.000000 81.612 168.6236
67.000000 81.585 168.0778
68.000000 81.559 167.5630
69.000000 81.529 167.1205
70.000000 81.507 166.7259
71.000000 81.485 166.2807
72.000000 81.455 165.8730
73.000000 81.435 165.4650
74.000000 81.412 164.9844
75.000000 81.384 164.5708
76.199997 81.368 164.1077
77.500000 81.354 163.4600
78.800003 81.314 162.8557
80.000000 81.287 162.3908
81.199997 81.260 161.8526
82.500000 81.224 161.3177
83.800003 81.186 160.7871
85.000000 81.152 160.3702
86.199997 81.125 159.8993
87.500000 81.081 159.3666
88.500000 81.051 159.0316
90.000000 81.016 158.4818
91.199997 80.987 158.0853
92.500000 80.958 157.6325
93.800003 80.926 157.2475
95.000000 80.900 156.8326
96.199997 80.862 156.4552
97.500000 80.837 156.0420
98.800003 80.800 155.5982
100.000000 80.783 155.2573
101.500000 80.751 154.6440
103.000000 80.706 154.1271
104.400002 80.660 153.6738
106.000000 80.614 153.1559
107.500000 80.568 152.7432
109.000000 80.531 152.2582
110.599998 80.476 151.8162
112.000000 80.435 151.3976
113.800003 80.372 150.9104
115.000000 80.336 150.5877
117.199997 80.265 150.0789
118.000000 80.244 149.8819
120.599998 80.163 149.2581
122.000000 80.117 148.9511
124.099998 80.056 148.5041
125.000000 80.030 148.3131
126.500000 79.984 148.0052
128.000000 79.939 147.7299
131.500000 79.838 147.0855
132.000000 79.825 146.9935
134.000000 79.772 146.6524
136.000000 79.722 146.3115
138.000000 79.670 145.9701
140.000000 79.625 145.6843
143.000000 79.560 145.1445
145.000000 79.507 144.7456
147.500000 79.456 144.3063
150.000000 79.402 143.9087
152.500000 79.333 143.5009
155.000000 79.271 143.0555
157.500000 79.223 142.6810
160.000000 79.156 142.3311
162.500000 79.079 141.9216
165.000000 79.025 141.5564
167.500000 78.967 141.2627
170.000000 78.906 140.9518
172.500000 78.840 140.6633
175.000000 78.786 140.3148
177.500000 78.730 140.0398
180.000000 78.668 139.7858
182.500000 78.610 139.5035
185.000000 78.557 139.2443
187.500000 78.501 138.9489
190.000000 78.447 138.7600
192.500000 78.399 138.5125
195.000000 78.340 138.2683
197.500000 78.286 138.0298
200.000000 78.237 137.8144
203.000000 78.174 137.5829
206.000000 78.117 137.3990
209.000000 78.066 137.1591
212.000000 78.002 136.9157
214.000000 77.975 136.7399
218.000000 77.891 136.5161
220.000000 77.855 136.3665
224.000000 77.781 136.0875
227.000000 77.733 135.8875
230.000000 77.683 135.6909
233.000000 77.631 135.4460
236.000000 77.581 135.3044
240.000000 77.522 135.0692
243.000000 77.468 134.9020
247.000000 77.417 134.6813
250.000000 77.366 134.4535
254.000000 77.296 134.3286
258.000000 77.244 134.1617
262.000000 77.190 134.0112
265.000000 77.141 133.8650
269.000000 77.085 133.6960
272.000000 77.046 133.5851
276.000000 76.986 133.3854
280.000000 76.923 133.2239
285.000000 76.862 133.0788
290.000000 76.805 132.9450
295.000000 76.748 132.7264
300.000000 76.689 132.5528
304.000000 76.644 132.4510
307.000000 76.608 132.3416
311.000000 76.567 132.3516
315.000000 76.527 132.1161
320.000000 76.476 131.9500
