* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 23:31:32 04-02-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Simgot EA1000 red R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.410 120.8827
1.015000 84.234 119.9733
1.030000 84.050 119.0596
1.044000 83.873 118.2027
1.060000 83.662 117.2183
1.075000 83.457 116.2900
1.090000 83.244 115.3561
1.106000 83.008 114.3779
1.120000 82.805 113.6674
1.138000 82.549 112.9612
1.150000 82.380 112.6005
1.172000 82.072 112.1200
1.180000 81.959 111.9908
1.206000 81.589 111.6779
1.220000 81.385 111.5439
1.241000 81.068 111.3332
1.250000 80.928 111.2247
1.265000 80.688 110.9994
1.280000 80.437 110.6972
1.315000 79.805 109.5524
1.320000 79.709 109.3250
1.340000 79.305 108.2192
1.360000 78.871 106.7547
1.380000 78.402 104.8724
1.400000 77.895 102.5131
1.430000 77.057 97.9506
1.450000 76.441 94.1401
1.475000 75.587 88.3777
1.500000 74.530 81.2299
1.525000 73.278 72.8129
1.550000 71.874 63.3269
1.575000 70.359 52.9720
1.600000 68.775 41.9485
1.625000 67.165 30.4566
1.650000 65.569 18.6963
1.675000 64.029 6.8680
1.700000 62.587 -4.8283
1.725000 61.285 -16.1924
1.750000 60.165 -27.0240
1.775000 59.267 -37.1230
1.800000 58.635 -46.2892
1.825000 58.309 -54.3225
1.850000 58.329 -61.2595
1.875000 58.686 -67.5895
1.900000 59.337 -73.3784
1.925000 60.237 -78.6698
1.950000 61.342 -83.5077
1.975000 62.608 -87.9360
2.000000 63.989 -91.9984
2.030000 65.736 -96.4522
2.060000 67.510 -100.5182
2.090000 69.232 -104.2722
2.120000 70.827 -107.7899
2.140000 71.782 -110.0413
2.180000 73.327 -114.4199
2.200000 73.873 -116.5899
2.240000 74.691 -120.4621
2.270000 75.149 -122.8682
2.300000 75.492 -124.9090
2.330000 75.734 -126.6404
2.360000 75.893 -128.1180
2.400000 76.000 -129.7893
2.430000 76.023 -130.8910
2.470000 76.007 -132.2631
2.500000 75.980 -133.2919
2.540000 75.953 -134.7688
2.580000 75.962 -136.4659
2.620000 75.938 -138.2673
2.650000 75.887 -139.6302
2.690000 75.778 -141.4159
2.720000 75.666 -142.6990
2.760000 75.477 -144.2874
2.800000 75.246 -145.6816
2.850000 74.901 -147.0609
2.900000 74.496 -147.9284
2.950000 74.021 -148.2248
3.000000 73.381 -148.3266
3.040000 72.771 -148.2439
3.070000 72.278 -148.0294
3.110000 71.603 -147.4711
3.150000 70.936 -146.5222
3.200000 70.168 -144.6555
3.250000 69.534 -141.8749
3.300000 69.101 -138.0079
3.350000 68.834 -132.3457
3.400000 68.674 -124.9329
3.450000 68.617 -116.4501
3.500000 68.655 -107.5778
3.550000 68.782 -98.9965
3.600000 68.992 -91.3869
3.650000 69.280 -85.4293
3.700000 69.678 -81.4118
3.750000 70.250 -78.6199
3.820000 71.245 -76.3126
3.870000 72.017 -75.5188
3.950000 73.205 -75.1392
4.000000 73.829 -75.1264
4.060000 74.392 -75.1516
4.120000 74.845 -75.8238
4.180000 75.218 -77.0593
4.250000 75.563 -78.9290
4.310000 75.796 -80.6555
4.370000 75.981 -82.2721
4.440000 76.139 -83.9187
4.500000 76.205 -85.4354
4.550000 76.217 -86.7385
4.620000 76.178 -88.5236
4.680000 76.101 -89.9252
4.750000 75.974 -91.2914
4.820000 75.796 -92.3914
4.870000 75.624 -93.1119
4.940000 75.339 -93.9536
5.000000 75.071 -94.4495
5.080000 74.709 -94.6685
5.150000 74.411 -94.3327
5.220000 74.080 -93.4423
5.300000 73.680 -91.8917
5.380000 73.310 -89.9711
5.450000 73.055 -88.1499
5.520000 72.898 -86.2909
5.600000 72.823 -83.7121
5.700000 72.844 -80.1653
5.800000 72.952 -77.0088
5.900000 73.121 -74.9628
6.000000 73.405 -73.7947
6.080000 73.677 -73.3504
6.150000 73.909 -73.2860
6.220000 74.103 -73.4967
6.300000 74.279 -74.1616
6.400000 74.474 -75.6517
6.500000 74.623 -77.5649
6.600000 74.708 -79.5710
6.700000 74.718 -81.7616
6.800000 74.668 -84.1773
6.900000 74.572 -86.5734
7.000000 74.440 -88.7474
7.100000 74.251 -90.8486
7.200000 74.028 -92.8149
7.300000 73.806 -94.5091
7.400000 73.593 -95.8318
7.500000 73.367 -96.8437
7.620000 73.127 -97.7537
7.750000 72.970 -98.4443
7.880000 72.900 -98.6811
8.000000 72.912 -98.8415
8.120000 73.008 -99.2699
8.250000 73.217 -99.8748
8.380000 73.480 -100.7327
8.500000 73.733 -101.8924
8.620000 74.018 -103.3842
8.750000 74.326 -105.1841
8.850000 74.538 -106.6156
9.000000 74.836 -108.9626
9.120000 75.051 -110.8040
9.250000 75.254 -112.6115
9.380000 75.427 -114.3086
9.500000 75.575 -115.6824
9.620000 75.716 -116.8044
9.750000 75.855 -117.7823
9.880000 75.999 -118.5613
10.000000 76.142 -119.0910
10.150000 76.330 -119.5224
10.300000 76.531 -119.8765
10.440000 76.735 -120.1229
10.600000 76.972 -120.3729
10.750000 77.190 -120.6575
10.900000 77.404 -120.9557
11.060000 77.612 -121.2773
11.200000 77.778 -121.5703
11.380000 77.970 -121.8973
11.500000 78.082 -122.0703
11.720000 78.265 -122.3065
11.800000 78.327 -122.3594
12.060000 78.508 -122.4427
12.200000 78.599 -122.4748
12.410000 78.726 -122.5146
12.500000 78.775 -122.5518
12.650000 78.850 -122.6370
12.800000 78.916 -122.7442
13.150000 79.019 -123.0758
13.200000 79.029 -123.1219
13.400000 79.056 -123.2996
13.600000 79.073 -123.4600
13.800000 79.084 -123.5900
14.000000 79.098 -123.7523
14.300000 79.127 -124.0998
14.500000 79.152 -124.4786
14.750000 79.177 -125.1265
15.000000 79.194 -125.9607
15.250000 79.194 -126.9015
15.500000 79.187 -127.8653
15.750000 79.180 -128.8125
16.000000 79.188 -129.7136
16.250000 79.220 -130.6234
16.500000 79.276 -131.5734
16.750000 79.353 -132.6153
17.000000 79.438 -133.7347
17.250000 79.527 -134.8938
17.500000 79.611 -136.0361
17.750000 79.694 -137.0820
18.000000 79.778 -138.0132
18.250000 79.867 -138.8116
18.500000 79.966 -139.5103
18.750000 80.071 -140.1364
19.000000 80.180 -140.7148
19.250000 80.286 -141.2594
19.500000 80.385 -141.7611
19.750000 80.476 -142.2142
20.000000 80.557 -142.6097
20.299999 80.645 -143.0211
20.600000 80.722 -143.3824
20.900000 80.787 -143.7170
21.200001 80.839 -144.0391
21.400000 80.866 -144.2464
21.799999 80.905 -144.6476
22.000000 80.920 -144.8500
22.400000 80.943 -145.2917
22.700001 80.956 -145.6870
23.000000 80.962 -146.1510
23.299999 80.962 -146.6667
23.600000 80.957 -147.2104
24.000000 80.951 -147.9532
24.299999 80.955 -148.5296
24.700001 80.974 -149.3578
25.000000 80.998 -150.0397
25.400000 81.034 -151.0120
25.799999 81.072 -151.9901
26.200001 81.114 -152.9097
26.500000 81.151 -153.5480
26.900000 81.208 -154.3387
27.200001 81.254 -154.8930
27.600000 81.315 -155.5780
28.000000 81.375 -156.1926
28.500000 81.445 -156.8729
29.000000 81.505 -157.4930
29.500000 81.548 -158.0631
30.000000 81.576 -158.5682
30.400000 81.593 -158.9429
30.700001 81.605 -159.2322
31.100000 81.617 -159.6607
31.500000 81.623 -160.1450
32.000000 81.619 -160.8004
32.500000 81.609 -161.4704
33.000000 81.600 -162.1400
33.500000 81.599 -162.8150
34.000000 81.609 -163.5085
34.500000 81.627 -164.2370
35.000000 81.645 -164.9912
35.500000 81.657 -165.7073
36.000000 81.666 -166.3172
36.500000 81.683 -166.8279
37.000000 81.707 -167.3132
37.500000 81.730 -167.8159
38.200001 81.747 -168.4963
38.700001 81.753 -168.9362
39.500000 81.759 -169.6439
40.000000 81.757 -170.1154
40.599998 81.749 -170.6885
41.200001 81.740 -171.2622
41.799999 81.732 -171.8463
42.500000 81.724 -172.5344
43.099998 81.716 -173.1105
43.700001 81.709 -173.6487
44.400002 81.708 -174.2249
45.000000 81.714 -174.7200
45.500000 81.718 -175.1587
46.200001 81.716 -175.7858
46.799999 81.707 -176.2975
47.500000 81.693 -176.8531
48.200001 81.681 -177.3819
48.700001 81.675 -177.7648
49.400002 81.665 -178.3188
50.000000 81.653 -178.7764
50.799999 81.640 -179.3416
51.500000 81.631 -179.8422
52.200001 81.617 179.6598
53.000000 81.595 179.1470
53.799999 81.577 178.6626
54.500000 81.562 178.2182
55.200001 81.543 177.7523
56.000000 81.519 177.2202
57.000000 81.489 176.5756
58.000000 81.465 175.9462
59.000000 81.443 175.3049
60.000000 81.412 174.7099
60.799999 81.387 174.2877
61.500000 81.363 173.9109
62.200001 81.333 173.5703
63.000000 81.304 173.2086
64.000000 81.267 172.6556
65.000000 81.214 172.1560
66.000000 81.176 171.7175
67.000000 81.138 171.2509
68.000000 81.095 170.8836
69.000000 81.061 170.6331
70.000000 81.041 170.4338
71.000000 81.033 170.1939
72.000000 81.026 169.8961
73.000000 81.027 169.5401
74.000000 81.024 169.0659
75.000000 81.015 168.5732
76.199997 80.990 167.9164
77.500000 80.954 167.3936
78.800003 80.924 166.7351
80.000000 80.879 166.2707
81.199997 80.846 165.7175
82.500000 80.789 165.2181
83.800003 80.743 164.7642
85.000000 80.702 164.3904
86.199997 80.659 163.9532
87.500000 80.604 163.5363
88.500000 80.562 163.2269
90.000000 80.507 162.7878
91.199997 80.459 162.4740
92.500000 80.426 162.1668
93.800003 80.383 161.8239
95.000000 80.349 161.5669
96.199997 80.314 161.2587
97.500000 80.276 160.9354
98.800003 80.236 160.5309
100.000000 80.185 160.2775
101.500000 80.154 159.9449
103.000000 80.110 159.5789
104.400002 80.068 159.2220
106.000000 80.022 158.8240
107.500000 79.972 158.5187
109.000000 79.927 158.1356
110.599998 79.871 157.8141
112.000000 79.829 157.5229
113.800003 79.775 157.1218
115.000000 79.736 156.8923
117.199997 79.663 156.4908
118.000000 79.637 156.3651
120.599998 79.558 155.9042
122.000000 79.513 155.5668
124.099998 79.445 155.2719
125.000000 79.419 155.1414
126.500000 79.377 154.9004
128.000000 79.316 154.6605
131.500000 79.212 154.1558
132.000000 79.197 154.0885
134.000000 79.143 153.8212
136.000000 79.079 153.5523
138.000000 79.017 153.3434
140.000000 78.956 153.0870
143.000000 78.859 152.7054
145.000000 78.806 152.5750
147.500000 78.726 152.2617
150.000000 78.646 151.9945
152.500000 78.584 151.7778
155.000000 78.508 151.5831
157.500000 78.446 151.3718
160.000000 78.372 151.1794
162.500000 78.302 151.0371
165.000000 78.236 150.8456
167.500000 78.174 150.6894
170.000000 78.104 150.4882
172.500000 78.042 150.3469
175.000000 77.982 150.2459
177.500000 77.918 150.1161
180.000000 77.861 150.0362
182.500000 77.798 149.9290
185.000000 77.738 149.8533
187.500000 77.674 149.7318
190.000000 77.611 149.6560
192.500000 77.555 149.5816
195.000000 77.497 149.4638
197.500000 77.451 149.4172
200.000000 77.403 149.3707
203.000000 77.319 149.2822
206.000000 77.248 149.2700
209.000000 77.198 149.1904
212.000000 77.139 149.1748
214.000000 77.094 149.1130
218.000000 77.020 149.0779
220.000000 76.974 149.0218
224.000000 76.886 148.9991
227.000000 76.838 149.0331
230.000000 76.782 148.9682
233.000000 76.725 149.0136
236.000000 76.671 149.0455
240.000000 76.595 149.0204
243.000000 76.549 148.9985
247.000000 76.470 148.9820
250.000000 76.422 149.0331
254.000000 76.362 149.0355
258.000000 76.297 149.1961
262.000000 76.235 149.1636
265.000000 76.190 149.2078
269.000000 76.129 149.2398
272.000000 76.089 149.2758
276.000000 76.039 149.4095
280.000000 75.961 149.5394
285.000000 75.900 149.5923
290.000000 75.837 149.6762
295.000000 75.775 149.8475
300.000000 75.689 149.9871
304.000000 75.667 150.1136
307.000000 75.616 150.0911
311.000000 75.563 150.1926
315.000000 75.520 150.3487
320.000000 75.471 150.4770
