* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 11:57:00 30-09-2023
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EA500 black no foam L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 80.645 -139.0208
20.600000 80.728 -139.5324
20.900000 80.798 -140.0259
21.200001 80.856 -140.5425
21.400000 80.888 -140.8932
21.799999 80.940 -141.5963
22.000000 80.961 -141.9437
22.400000 80.999 -142.6268
22.700001 81.028 -143.1359
23.000000 81.058 -143.6540
23.299999 81.092 -144.1934
23.600000 81.126 -144.7612
24.000000 81.171 -145.5634
24.299999 81.202 -146.1850
24.700001 81.237 -147.0061
25.000000 81.260 -147.5871
25.400000 81.289 -148.2887
25.799999 81.323 -148.9084
26.200001 81.365 -149.4804
26.500000 81.400 -149.9030
26.900000 81.448 -150.4722
27.200001 81.480 -150.8962
27.600000 81.515 -151.4320
28.000000 81.543 -151.9044
28.500000 81.577 -152.3973
29.000000 81.614 -152.8295
29.500000 81.654 -153.2657
30.000000 81.690 -153.7390
30.400000 81.713 -154.1376
30.700001 81.725 -154.4388
31.100000 81.738 -154.8337
31.500000 81.747 -155.2171
32.000000 81.756 -155.6819
32.500000 81.763 -156.1325
33.000000 81.772 -156.5650
33.500000 81.784 -156.9824
34.000000 81.803 -157.4097
34.500000 81.826 -157.8795
35.000000 81.846 -158.3941
35.500000 81.858 -158.9156
36.000000 81.864 -159.4018
36.500000 81.869 -159.8436
37.000000 81.874 -160.2567
37.500000 81.879 -160.6483
38.200001 81.885 -161.1476
38.700001 81.895 -161.4830
39.500000 81.915 -162.0684
40.000000 81.923 -162.4728
40.599998 81.924 -162.9484
41.200001 81.921 -163.3659
41.799999 81.921 -163.7309
42.500000 81.932 -164.1539
43.099998 81.942 -164.5555
43.700001 81.948 -164.9672
44.400002 81.951 -165.4097
45.000000 81.955 -165.7674
45.500000 81.958 -166.0685
46.200001 81.960 -166.4798
46.799999 81.963 -166.8271
47.500000 81.963 -167.2718
48.200001 81.949 -167.6891
48.700001 81.938 -167.9091
49.400002 81.940 -168.1872
50.000000 81.948 -168.5212
50.799999 81.941 -169.0224
51.500000 81.928 -169.3695
52.200001 81.923 -169.7001
53.000000 81.914 -170.1029
53.799999 81.899 -170.4389
54.500000 81.892 -170.6991
55.200001 81.887 -170.9568
56.000000 81.883 -171.2471
57.000000 81.880 -171.6164
58.000000 81.878 -172.0377
59.000000 81.855 -172.4610
60.000000 81.844 -172.6669
60.799999 81.860 -172.9579
61.500000 81.858 -173.3054
62.200001 81.847 -173.5869
63.000000 81.839 -173.8841
64.000000 81.825 -174.2045
65.000000 81.827 -174.5018
66.000000 81.818 -174.8892
67.000000 81.806 -175.1659
68.000000 81.804 -175.5140
69.000000 81.785 -175.8759
70.000000 81.769 -176.1648
71.000000 81.757 -176.5169
72.000000 81.731 -176.8069
73.000000 81.731 -177.0711
74.000000 81.712 -177.5092
75.000000 81.689 -177.7405
76.199997 81.667 -178.1835
77.500000 81.640 -178.4485
78.800003 81.597 -178.8691
80.000000 81.582 -179.0542
81.199997 81.532 -179.3521
82.500000 81.527 -179.5216
83.800003 81.471 -179.6732
85.000000 81.478 -179.8130
86.199997 81.439 -179.8121
87.500000 81.478 179.9431
88.500000 81.436 179.7412
90.000000 81.473 179.5290
91.199997 81.425 179.0965
92.500000 81.439 178.9802
93.800003 81.393 178.4333
95.000000 81.385 178.4869
96.199997 81.379 177.9460
97.500000 81.324 177.8644
98.800003 81.325 177.5994
100.000000 81.285 177.3470
101.500000 81.270 177.1853
103.000000 81.220 176.7969
104.400002 81.201 176.8116
106.000000 81.173 176.4574
107.500000 81.145 176.3492
109.000000 81.123 176.1786
110.599998 81.119 175.8713
112.000000 81.060 175.5993
113.800003 81.054 175.5190
115.000000 81.032 175.2006
117.199997 80.982 174.9828
118.000000 80.970 174.8690
120.599998 80.927 174.5257
122.000000 80.887 174.3716
124.099998 80.847 174.2853
125.000000 80.843 174.1600
126.500000 80.800 173.9287
128.000000 80.772 173.7928
131.500000 80.696 173.5324
132.000000 80.689 173.5106
134.000000 80.650 173.3406
136.000000 80.596 173.2120
138.000000 80.571 172.9897
140.000000 80.543 172.8952
143.000000 80.462 172.6613
145.000000 80.432 172.6501
147.500000 80.391 172.5628
150.000000 80.346 172.3359
152.500000 80.313 172.2672
155.000000 80.268 172.1273
157.500000 80.221 172.0178
160.000000 80.174 171.9346
162.500000 80.122 171.8563
165.000000 80.075 171.7335
167.500000 80.038 171.7097
170.000000 80.000 171.6679
172.500000 79.967 171.6792
175.000000 79.921 171.6496
177.500000 79.868 171.6172
180.000000 79.830 171.5580
182.500000 79.787 171.5288
185.000000 79.748 171.5434
187.500000 79.708 171.5788
190.000000 79.667 171.6105
192.500000 79.629 171.5305
195.000000 79.605 171.4843
197.500000 79.562 171.5746
200.000000 79.526 171.5956
203.000000 79.475 171.5798
206.000000 79.431 171.6082
209.000000 79.386 171.6852
212.000000 79.349 171.6946
214.000000 79.315 171.7755
218.000000 79.262 171.9033
220.000000 79.226 171.9381
224.000000 79.171 171.9984
227.000000 79.138 172.0386
230.000000 79.093 172.1408
233.000000 79.053 172.2521
236.000000 79.017 172.3860
240.000000 78.965 172.4628
243.000000 78.919 172.5672
247.000000 78.897 172.7401
250.000000 78.851 172.7704
254.000000 78.790 172.9420
258.000000 78.753 173.1093
262.000000 78.709 173.2458
265.000000 78.668 173.3961
269.000000 78.620 173.6231
272.000000 78.586 173.6961
276.000000 78.551 173.9595
280.000000 78.512 174.0756
285.000000 78.458 174.3228
290.000000 78.404 174.5793
295.000000 78.359 174.7484
300.000000 78.317 175.0415
304.000000 78.271 175.2844
307.000000 78.241 175.4216
311.000000 78.204 175.7035
315.000000 78.162 175.8516
320.000000 78.119 176.2107
325.000000 78.077 176.4384
330.000000 78.051 176.6606
335.000000 78.011 176.9196
340.000000 77.983 177.2785
345.000000 77.950 177.5616
350.000000 77.901 177.7983
355.000000 77.872 178.0468
360.000000 77.832 178.4627
365.000000 77.806 178.7132
370.000000 77.761 179.0051
375.000000 77.741 179.3412
382.000000 77.686 179.6939
387.000000 77.649 -179.9451
395.000000 77.610 -179.5077
400.000000 77.587 -179.1578
406.000000 77.543 -178.7702
412.000000 77.515 -178.3941
418.000000 77.492 -177.9652
425.000000 77.456 -177.5016
431.000000 77.450 -177.1458
437.000000 77.411 -176.9116
444.000000 77.386 -176.4783
450.000000 77.359 -175.9817
455.000000 77.333 -175.6505
462.000000 77.307 -175.1460
468.000000 77.283 -174.7337
475.000000 77.270 -174.3284
482.000000 77.234 -173.9204
487.000000 77.219 -173.6139
494.000000 77.213 -173.0871
500.000000 77.192 -172.7378
508.000000 77.169 -172.1937
515.000000 77.159 -171.6738
522.000000 77.145 -171.2284
530.000000 77.127 -170.7431
538.000000 77.115 -170.2676
545.000000 77.095 -169.7389
552.000000 77.090 -169.3174
560.000000 77.073 -168.7477
570.000000 77.046 -168.0601
580.000000 77.035 -167.4165
590.000000 77.046 -166.7735
600.000000 77.032 -166.0679
608.000000 77.042 -165.5415
615.000000 77.003 -165.1013
622.000000 77.000 -164.5583
630.000000 77.002 -164.0679
640.000000 77.003 -163.2794
650.000000 77.005 -162.6376
660.000000 77.018 -162.0238
670.000000 77.012 -161.3225
680.000000 77.007 -160.5523
690.000000 77.019 -159.8297
700.000000 77.016 -159.1216
710.000000 77.035 -158.5306
720.000000 77.060 -157.8417
730.000000 77.096 -157.1742
740.000000 77.110 -156.4386
750.000000 77.138 -155.7557
762.000000 77.181 -154.9602
775.000000 77.215 -154.1350
788.000000 77.268 -153.2224
800.000000 77.297 -152.4491
812.000000 77.340 -151.8950
825.000000 77.384 -151.1780
838.000000 77.411 -150.8159
850.000000 77.373 -149.9806
862.000000 77.373 -148.9436
875.000000 77.427 -147.6152
885.000000 77.479 -146.8234
900.000000 77.593 -145.7289
912.000000 77.670 -145.1243
925.000000 77.774 -144.4505
938.000000 77.839 -143.7755
950.000000 77.896 -143.1813
962.000000 77.924 -142.4100
975.000000 77.987 -141.3961
988.000000 78.082 -140.4733
1000.000000 78.175 -140.0031
1015.000000 78.305 -138.9079
1030.000000 78.440 -138.0119
1044.000000 78.563 -137.3374
1060.000000 78.686 -136.6171
1075.000000 78.826 -135.9916
1090.000000 78.950 -135.4557
1106.000000 79.087 -134.7820
1120.000000 79.205 -134.3392
1138.000000 79.345 -133.8176
1150.000000 79.458 -133.5219
1172.000000 79.637 -132.8222
1180.000000 79.694 -132.7309
1206.000000 79.901 -132.1011
1220.000000 80.000 -131.7651
1241.000000 80.160 -131.3258
1250.000000 80.220 -131.1391
1265.000000 80.333 -130.8190
1280.000000 80.440 -130.5125
1315.000000 80.695 -129.9263
1320.000000 80.720 -129.8698
1340.000000 80.859 -129.5188
1360.000000 80.995 -129.2170
1380.000000 81.132 -128.9202
1400.000000 81.254 -128.6137
1430.000000 81.462 -128.2253
1450.000000 81.598 -127.9525
1475.000000 81.761 -127.5805
1500.000000 81.925 -127.2805
1525.000000 82.093 -127.0182
1550.000000 82.261 -126.7168
1575.000000 82.422 -126.4768
1600.000000 82.600 -126.2407
1625.000000 82.769 -126.0942
1650.000000 82.946 -125.9060
1675.000000 83.120 -125.7846
1700.000000 83.300 -125.6872
1725.000000 83.476 -125.5905
1750.000000 83.657 -125.5606
1775.000000 83.833 -125.5657
1800.000000 84.009 -125.5751
1825.000000 84.182 -125.6734
1850.000000 84.364 -125.7800
1875.000000 84.545 -125.9605
1900.000000 84.732 -126.1438
1925.000000 84.916 -126.4359
1950.000000 85.101 -126.7364
1975.000000 85.275 -127.1196
2000.000000 85.460 -127.4392
2030.000000 85.666 -128.1302
2060.000000 85.874 -128.8208
2090.000000 86.078 -129.6744
2120.000000 86.281 -130.5033
2140.000000 86.393 -131.1424
2180.000000 86.597 -132.4365
2200.000000 86.682 -133.1841
2240.000000 86.895 -134.8557
2270.000000 87.025 -136.0914
2300.000000 87.149 -137.2865
2330.000000 87.256 -138.7061
2360.000000 87.360 -139.9263
2400.000000 87.488 -141.7545
2430.000000 87.550 -143.3006
2470.000000 87.606 -145.3540
2500.000000 87.588 -146.8144
2540.000000 87.556 -148.5251
2580.000000 87.500 -149.8974
2620.000000 87.464 -150.8245
2650.000000 87.463 -151.5396
2690.000000 87.520 -152.6591
2720.000000 87.579 -153.5930
2760.000000 87.643 -155.1381
2800.000000 87.679 -157.1890
2850.000000 87.614 -159.8551
2900.000000 87.452 -162.3385
2950.000000 87.231 -164.3561
3000.000000 86.988 -165.9896
3040.000000 86.795 -166.9255
3070.000000 86.650 -167.5132
3110.000000 86.445 -168.1710
3150.000000 86.258 -168.6347
3200.000000 86.040 -169.0636
3250.000000 85.825 -169.2968
3300.000000 85.619 -169.3876
3350.000000 85.425 -169.3443
3400.000000 85.251 -169.1252
3450.000000 85.110 -168.9084
3500.000000 84.987 -168.7333
3550.000000 84.843 -168.7260
3600.000000 84.679 -168.6338
3650.000000 84.495 -168.3499
3700.000000 84.305 -167.7684
3750.000000 84.109 -166.7309
3820.000000 83.943 -164.7383
3870.000000 83.883 -163.2657
3950.000000 83.906 -161.0578
4000.000000 84.011 -160.0412
4060.000000 84.060 -158.8809
4120.000000 84.156 -157.8746
4180.000000 84.246 -157.0839
4250.000000 84.373 -156.1358
4310.000000 84.482 -155.4522
4370.000000 84.608 -154.8647
4440.000000 84.764 -154.1142
4500.000000 84.902 -153.6623
4550.000000 85.040 -153.3196
4620.000000 85.238 -152.8929
4680.000000 85.408 -152.7543
4750.000000 85.625 -152.6167
4820.000000 85.863 -152.7474
4870.000000 86.032 -152.9716
4940.000000 86.270 -153.5058
5000.000000 86.480 -154.2129
5080.000000 86.728 -155.3049
5150.000000 86.935 -156.6123
5220.000000 87.126 -158.2250
5300.000000 87.293 -160.3385
5380.000000 87.408 -162.6481
5450.000000 87.459 -164.8111
