* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 11:58:42 30-09-2023
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EA500 black no foam R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 82.703 -145.3915
20.600000 82.759 -145.8355
20.900000 82.804 -146.2105
21.200001 82.841 -146.5830
21.400000 82.863 -146.8383
21.799999 82.895 -147.3620
22.000000 82.907 -147.6255
22.400000 82.926 -148.1404
22.700001 82.939 -148.5145
23.000000 82.955 -148.8921
23.299999 82.975 -149.2948
23.600000 82.997 -149.7327
24.000000 83.023 -150.3628
24.299999 83.040 -150.8410
24.700001 83.059 -151.4445
25.000000 83.077 -151.8631
25.400000 83.109 -152.4028
25.799999 83.148 -152.9711
26.200001 83.182 -153.5756
26.500000 83.200 -154.0158
26.900000 83.217 -154.5244
27.200001 83.231 -154.8293
27.600000 83.260 -155.1733
28.000000 83.304 -155.5511
28.500000 83.357 -156.1809
29.000000 83.378 -156.8918
29.500000 83.368 -157.4602
30.000000 83.362 -157.8094
30.400000 83.379 -158.0506
30.700001 83.400 -158.2888
31.100000 83.427 -158.7156
31.500000 83.440 -159.2116
32.000000 83.436 -159.7806
32.500000 83.431 -160.2139
33.000000 83.442 -160.5916
33.500000 83.467 -161.0229
34.000000 83.490 -161.5225
34.500000 83.506 -162.0353
35.000000 83.515 -162.5263
35.500000 83.519 -162.9796
36.000000 83.518 -163.3645
36.500000 83.520 -163.6606
37.000000 83.533 -163.9163
37.500000 83.558 -164.2232
38.200001 83.587 -164.7995
38.700001 83.592 -165.2433
39.500000 83.586 -165.8918
40.000000 83.579 -166.2826
40.599998 83.561 -166.7092
41.200001 83.545 -166.9987
41.799999 83.556 -167.2160
42.500000 83.599 -167.6684
43.099998 83.619 -168.2900
43.700001 83.601 -168.8892
44.400002 83.564 -169.3296
45.000000 83.546 -169.5412
45.500000 83.545 -169.6937
46.200001 83.560 -169.9348
46.799999 83.584 -170.2401
47.500000 83.601 -170.7725
48.200001 83.585 -171.3110
48.700001 83.565 -171.5756
49.400002 83.555 -171.8513
50.000000 83.558 -172.1570
50.799999 83.547 -172.6156
51.500000 83.534 -172.9057
52.200001 83.536 -173.1738
53.000000 83.543 -173.5994
53.799999 83.532 -174.0451
54.500000 83.520 -174.3696
55.200001 83.514 -174.6918
56.000000 83.507 -175.1103
57.000000 83.489 -175.6316
58.000000 83.469 -176.1210
59.000000 83.445 -176.5549
60.000000 83.426 -176.9004
60.799999 83.413 -177.1706
61.500000 83.401 -177.3613
62.200001 83.399 -177.5392
63.000000 83.402 -177.8911
64.000000 83.362 -178.4509
65.000000 83.303 -178.7453
66.000000 83.273 -179.0124
67.000000 83.241 -179.3423
68.000000 83.216 -179.6766
69.000000 83.165 -179.9731
70.000000 83.137 -179.8782
71.000000 83.160 -179.9999
72.000000 83.138 179.8553
73.000000 83.155 179.9205
74.000000 83.181 179.5955
75.000000 83.170 179.2908
76.199997 83.170 178.8601
77.500000 83.150 178.4241
78.800003 83.156 177.9030
80.000000 83.126 177.4482
81.199997 83.121 177.1906
82.500000 83.107 176.7517
83.800003 83.081 176.4715
85.000000 83.063 176.1622
86.199997 83.036 175.8671
87.500000 83.016 175.5610
88.500000 82.999 175.2595
90.000000 82.968 174.8948
91.199997 82.945 174.5748
92.500000 82.910 174.3023
93.800003 82.882 174.0995
95.000000 82.866 173.8350
96.199997 82.833 173.5374
97.500000 82.797 173.3028
98.800003 82.773 173.0806
100.000000 82.744 172.8123
101.500000 82.709 172.6311
103.000000 82.687 172.3665
104.400002 82.650 172.0396
106.000000 82.610 171.8384
107.500000 82.568 171.5153
109.000000 82.537 171.4417
110.599998 82.509 171.0657
112.000000 82.467 170.9558
113.800003 82.433 170.7150
115.000000 82.411 170.5141
117.199997 82.363 170.2303
118.000000 82.346 170.0714
120.599998 82.284 169.7282
122.000000 82.259 169.6321
124.099998 82.205 169.3379
125.000000 82.182 169.3075
126.500000 82.161 169.1136
128.000000 82.111 168.9721
131.500000 82.035 168.6864
132.000000 82.026 168.6178
134.000000 81.975 168.3837
136.000000 81.929 168.2961
138.000000 81.896 168.1179
140.000000 81.859 167.9736
143.000000 81.791 167.7080
145.000000 81.747 167.4720
147.500000 81.705 167.3311
150.000000 81.644 167.1275
152.500000 81.597 167.0807
155.000000 81.541 166.8674
157.500000 81.485 166.7506
160.000000 81.433 166.7044
162.500000 81.385 166.7261
165.000000 81.335 166.5797
167.500000 81.286 166.4477
170.000000 81.250 166.3194
172.500000 81.201 166.2516
175.000000 81.158 166.1164
177.500000 81.112 166.0633
180.000000 81.059 165.9726
182.500000 81.009 165.8634
185.000000 80.960 165.7629
187.500000 80.908 165.7371
190.000000 80.863 165.6777
192.500000 80.809 165.6149
195.000000 80.776 165.5650
197.500000 80.728 165.5810
200.000000 80.677 165.5922
203.000000 80.616 165.5510
206.000000 80.557 165.5221
209.000000 80.507 165.4887
212.000000 80.465 165.4994
214.000000 80.425 165.4922
218.000000 80.348 165.5235
220.000000 80.318 165.5807
224.000000 80.250 165.6193
227.000000 80.198 165.6541
230.000000 80.146 165.7083
233.000000 80.086 165.7235
236.000000 80.046 165.8066
240.000000 79.985 165.9123
243.000000 79.931 165.9717
247.000000 79.872 166.0389
250.000000 79.827 166.1124
254.000000 79.765 166.2363
258.000000 79.712 166.3291
262.000000 79.652 166.4416
265.000000 79.606 166.5043
269.000000 79.551 166.6796
272.000000 79.507 166.7879
276.000000 79.446 166.9568
280.000000 79.398 167.1409
285.000000 79.339 167.3136
290.000000 79.261 167.5370
295.000000 79.204 167.7397
300.000000 79.128 168.0239
304.000000 79.094 168.1512
307.000000 79.048 168.2874
311.000000 79.005 168.5265
315.000000 78.952 168.6637
320.000000 78.905 168.9754
325.000000 78.839 169.1447
330.000000 78.797 169.4544
335.000000 78.733 169.7201
340.000000 78.683 169.9481
345.000000 78.632 170.2554
350.000000 78.590 170.4927
355.000000 78.536 170.7339
360.000000 78.487 171.0250
365.000000 78.449 171.3738
370.000000 78.398 171.5621
375.000000 78.349 171.9549
382.000000 78.298 172.3766
387.000000 78.249 172.6920
395.000000 78.178 173.1541
400.000000 78.145 173.4641
406.000000 78.100 173.8161
412.000000 78.059 174.2039
418.000000 78.012 174.5363
425.000000 77.967 175.0117
431.000000 77.927 175.4460
437.000000 77.892 175.7556
444.000000 77.843 176.2030
450.000000 77.827 176.6142
455.000000 77.781 176.9438
462.000000 77.749 177.4090
468.000000 77.708 177.8369
475.000000 77.668 178.3048
482.000000 77.626 178.7271
487.000000 77.606 179.1216
494.000000 77.576 179.5100
500.000000 77.544 179.9391
508.000000 77.504 -179.5486
515.000000 77.490 -179.0510
522.000000 77.454 -178.5335
530.000000 77.426 -177.9852
538.000000 77.395 -177.4749
545.000000 77.356 -176.9807
552.000000 77.344 -176.5766
560.000000 77.324 -175.9680
570.000000 77.301 -175.2284
580.000000 77.269 -174.6090
590.000000 77.243 -173.8085
600.000000 77.219 -173.2123
608.000000 77.199 -172.6774
615.000000 77.200 -172.1289
622.000000 77.179 -171.6752
630.000000 77.178 -171.1276
640.000000 77.160 -170.4083
650.000000 77.169 -169.6928
660.000000 77.136 -168.9884
670.000000 77.134 -168.3175
680.000000 77.144 -167.5563
690.000000 77.131 -166.9061
700.000000 77.135 -166.1897
710.000000 77.136 -165.4640
720.000000 77.146 -164.7507
730.000000 77.155 -163.9610
740.000000 77.175 -163.2743
750.000000 77.176 -162.6437
762.000000 77.187 -161.8616
775.000000 77.215 -160.8746
788.000000 77.256 -159.9618
800.000000 77.291 -159.2407
812.000000 77.322 -158.4828
825.000000 77.370 -157.5608
838.000000 77.410 -156.7624
850.000000 77.478 -156.0131
862.000000 77.520 -155.3463
875.000000 77.575 -154.5802
885.000000 77.625 -154.0323
900.000000 77.689 -153.2354
912.000000 77.738 -152.7645
925.000000 77.787 -152.1711
938.000000 77.831 -151.5220
950.000000 77.866 -150.8914
962.000000 77.904 -150.2920
975.000000 77.950 -149.5201
988.000000 78.005 -148.7646
1000.000000 78.085 -148.4304
1015.000000 78.146 -147.5577
1030.000000 78.204 -147.0396
1044.000000 78.222 -146.6234
1060.000000 78.242 -146.0111
1075.000000 78.284 -145.3846
1090.000000 78.317 -144.4972
1106.000000 78.374 -143.4156
1120.000000 78.459 -142.6361
1138.000000 78.565 -141.6495
1150.000000 78.650 -141.0375
1172.000000 78.792 -140.0247
1180.000000 78.860 -139.6761
1206.000000 79.042 -138.6591
1220.000000 79.138 -138.1177
1241.000000 79.291 -137.4416
1250.000000 79.361 -137.0594
1265.000000 79.459 -136.7052
1280.000000 79.579 -136.3160
1315.000000 79.808 -135.4178
1320.000000 79.838 -135.3254
1340.000000 79.960 -134.8532
1360.000000 80.099 -134.4163
1380.000000 80.220 -133.9841
1400.000000 80.342 -133.6056
1430.000000 80.525 -133.0191
1450.000000 80.649 -132.6183
1475.000000 80.788 -132.1517
1500.000000 80.946 -131.7071
1525.000000 81.097 -131.2743
1550.000000 81.249 -130.8880
1575.000000 81.397 -130.5086
1600.000000 81.542 -130.1087
1625.000000 81.709 -129.6929
1650.000000 81.856 -129.3318
1675.000000 82.020 -129.0536
1700.000000 82.175 -128.8185
1725.000000 82.338 -128.5073
1750.000000 82.503 -128.3047
1775.000000 82.672 -128.1022
1800.000000 82.839 -127.9207
1825.000000 83.002 -127.8322
1850.000000 83.177 -127.6785
1875.000000 83.349 -127.6596
1900.000000 83.530 -127.6855
1925.000000 83.702 -127.7655
1950.000000 83.884 -127.9253
1975.000000 84.046 -128.0292
2000.000000 84.228 -128.1171
2030.000000 84.418 -128.5784
2060.000000 84.617 -128.9550
2090.000000 84.807 -129.4390
2120.000000 84.995 -129.9230
2140.000000 85.111 -130.3586
2180.000000 85.345 -131.2346
2200.000000 85.444 -131.6882
2240.000000 85.651 -132.7180
2270.000000 85.794 -133.4379
2300.000000 85.926 -134.1906
2330.000000 86.046 -134.9413
2360.000000 86.159 -135.7980
2400.000000 86.290 -136.9654
2430.000000 86.354 -137.7669
2470.000000 86.452 -138.4501
2500.000000 86.552 -138.8951
2540.000000 86.739 -139.5911
2580.000000 86.965 -140.7472
2620.000000 87.132 -142.4848
2650.000000 87.223 -143.8103
2690.000000 87.318 -145.5483
2720.000000 87.391 -146.8956
2760.000000 87.461 -148.8929
2800.000000 87.474 -151.0081
2850.000000 87.420 -153.6329
2900.000000 87.299 -155.9132
2950.000000 87.141 -157.8235
3000.000000 86.956 -159.5520
3040.000000 86.807 -160.5138
3070.000000 86.694 -161.1295
3110.000000 86.537 -161.9254
3150.000000 86.382 -162.5517
3200.000000 86.200 -163.1116
3250.000000 86.030 -163.4910
3300.000000 85.866 -163.7883
3350.000000 85.715 -163.9610
3400.000000 85.577 -164.0344
3450.000000 85.461 -164.1904
3500.000000 85.323 -164.2943
3550.000000 85.180 -164.4175
3600.000000 85.012 -164.4013
3650.000000 84.842 -164.0985
3700.000000 84.673 -163.5104
3750.000000 84.526 -162.5154
3820.000000 84.401 -160.9240
3870.000000 84.389 -159.6736
3950.000000 84.398 -158.0213
4000.000000 84.453 -157.1362
4060.000000 84.519 -156.2284
4120.000000 84.607 -155.5061
4180.000000 84.679 -154.8527
4250.000000 84.774 -154.0209
4310.000000 84.873 -153.4337
4370.000000 84.980 -152.8413
4440.000000 85.122 -152.1557
4500.000000 85.261 -151.6338
4550.000000 85.385 -151.3043
4620.000000 85.582 -150.8570
4680.000000 85.765 -150.5870
4750.000000 85.995 -150.5861
4820.000000 86.220 -150.7410
4870.000000 86.394 -150.8793
4940.000000 86.636 -151.3737
5000.000000 86.856 -152.0669
5080.000000 87.111 -153.1568
5150.000000 87.341 -154.4737
5220.000000 87.546 -156.0829
5300.000000 87.736 -158.2561
5380.000000 87.871 -160.6948
5450.000000 87.940 -162.9361
5520.000000 87.954 -165.3317
5600.000000 87.909 -168.0283
