* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 11:17:50 30-09-2023
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EA500 L red 8k
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 80.629 -141.2351
20.600000 80.682 -141.7310
20.900000 80.724 -142.1400
21.200001 80.763 -142.5368
21.400000 80.786 -142.8068
21.799999 80.829 -143.3714
22.000000 80.848 -143.6689
22.400000 80.881 -144.2922
22.700001 80.903 -144.7782
23.000000 80.924 -145.2743
23.299999 80.943 -145.7766
23.600000 80.964 -146.2818
24.000000 80.993 -146.9559
24.299999 81.017 -147.4608
24.700001 81.052 -148.1350
25.000000 81.079 -148.6435
25.400000 81.117 -149.3229
25.799999 81.151 -149.9877
26.200001 81.181 -150.6104
26.500000 81.202 -151.0368
26.900000 81.231 -151.5518
27.200001 81.255 -151.9118
27.600000 81.290 -152.3824
28.000000 81.322 -152.8624
28.500000 81.354 -153.4640
29.000000 81.375 -154.0221
29.500000 81.393 -154.5230
30.000000 81.414 -155.0179
30.400000 81.432 -155.4502
30.700001 81.442 -155.7996
31.100000 81.449 -156.2785
31.500000 81.450 -156.7435
32.000000 81.450 -157.2809
32.500000 81.455 -157.7896
33.000000 81.466 -158.3107
33.500000 81.478 -158.8522
34.000000 81.488 -159.3858
34.500000 81.498 -159.8871
35.000000 81.511 -160.3622
35.500000 81.526 -160.8320
36.000000 81.539 -161.3012
36.500000 81.548 -161.7563
37.000000 81.553 -162.1850
37.500000 81.554 -162.5884
38.200001 81.552 -163.1173
38.700001 81.548 -163.4673
39.500000 81.541 -163.9953
40.000000 81.537 -164.3266
40.599998 81.533 -164.7314
41.200001 81.530 -165.1437
41.799999 81.527 -165.5775
42.500000 81.520 -166.0930
43.099998 81.513 -166.4903
43.700001 81.514 -166.8708
44.400002 81.519 -167.3769
45.000000 81.511 -167.8148
45.500000 81.503 -168.1156
46.200001 81.502 -168.5204
46.799999 81.496 -168.9523
47.500000 81.462 -169.3791
48.200001 81.437 -169.6043
48.700001 81.435 -169.8193
49.400002 81.405 -170.2822
50.000000 81.341 -170.4609
50.799999 81.305 -170.2036
51.500000 81.349 -170.2276
52.200001 81.358 -170.6394
53.000000 81.314 -170.7817
53.799999 81.333 -170.5804
54.500000 81.396 -170.6920
55.200001 81.444 -171.0560
56.000000 81.474 -171.5072
57.000000 81.498 -172.0492
58.000000 81.520 -172.5562
59.000000 81.541 -173.1281
60.000000 81.542 -173.7546
60.799999 81.527 -174.1767
61.500000 81.517 -174.4822
62.200001 81.510 -174.7990
63.000000 81.495 -175.1699
64.000000 81.477 -175.5789
65.000000 81.458 -176.0633
66.000000 81.426 -176.4493
67.000000 81.418 -176.8565
68.000000 81.378 -177.3796
69.000000 81.338 -177.5448
70.000000 81.342 -177.8028
71.000000 81.322 -178.1245
72.000000 81.314 -178.3188
73.000000 81.303 -178.5891
74.000000 81.294 -178.7518
75.000000 81.299 -179.0247
76.199997 81.286 -179.4014
77.500000 81.276 -179.8491
78.800003 81.247 179.7197
80.000000 81.230 179.3539
81.199997 81.207 179.0152
82.500000 81.196 178.6710
83.800003 81.170 178.2547
85.000000 81.141 177.9707
86.199997 81.116 177.6932
87.500000 81.092 177.3835
88.500000 81.070 177.1136
90.000000 81.036 176.7921
91.199997 81.012 176.5025
92.500000 80.982 176.2448
93.800003 80.955 175.9738
95.000000 80.924 175.7412
96.199997 80.897 175.5214
97.500000 80.869 175.2614
98.800003 80.836 174.9751
100.000000 80.803 174.7968
101.500000 80.779 174.5330
103.000000 80.739 174.2728
104.400002 80.707 174.0456
106.000000 80.666 173.8054
107.500000 80.628 173.5706
109.000000 80.584 173.3742
110.599998 80.550 173.2003
112.000000 80.511 173.0182
113.800003 80.465 172.8674
115.000000 80.434 172.7482
117.199997 80.378 172.6049
118.000000 80.357 172.5452
120.599998 80.306 172.3712
122.000000 80.275 172.3516
124.099998 80.245 172.2675
125.000000 80.239 172.2419
126.500000 80.225 172.0857
128.000000 80.209 171.9550
131.500000 80.158 171.5108
132.000000 80.139 171.4498
134.000000 80.112 171.3274
136.000000 80.068 171.1465
138.000000 80.024 170.9381
140.000000 79.990 170.7870
143.000000 79.923 170.5336
145.000000 79.889 170.3857
147.500000 79.839 170.2562
150.000000 79.787 170.1161
152.500000 79.737 169.9658
155.000000 79.682 169.8741
157.500000 79.636 169.7608
160.000000 79.582 169.6704
162.500000 79.536 169.5656
165.000000 79.487 169.4431
167.500000 79.435 169.4001
170.000000 79.392 169.3288
172.500000 79.345 169.2998
175.000000 79.295 169.2578
177.500000 79.236 169.2880
180.000000 79.196 169.3107
182.500000 79.142 169.3074
185.000000 79.102 169.4262
187.500000 79.058 169.4446
190.000000 79.023 169.4610
192.500000 79.001 169.4849
195.000000 78.962 169.4807
197.500000 78.927 169.4464
200.000000 78.892 169.4236
203.000000 78.840 169.4649
206.000000 78.787 169.4440
209.000000 78.734 169.4836
212.000000 78.687 169.5378
214.000000 78.649 169.4918
218.000000 78.592 169.5783
220.000000 78.549 169.6395
224.000000 78.488 169.7709
227.000000 78.446 169.8607
230.000000 78.409 169.9124
233.000000 78.362 169.9671
236.000000 78.324 170.0732
240.000000 78.267 170.1872
243.000000 78.231 170.3535
247.000000 78.178 170.4311
250.000000 78.130 170.6115
254.000000 78.088 170.6363
258.000000 78.040 170.8571
262.000000 77.993 171.0256
265.000000 77.951 171.1007
269.000000 77.923 171.3087
272.000000 77.880 171.4600
276.000000 77.831 171.6505
280.000000 77.790 171.8105
285.000000 77.733 172.0380
290.000000 77.681 172.2352
295.000000 77.628 172.5233
300.000000 77.587 172.7399
304.000000 77.537 172.9396
307.000000 77.513 173.0899
311.000000 77.482 173.3387
315.000000 77.441 173.5356
320.000000 77.396 173.7552
325.000000 77.366 174.0602
330.000000 77.312 174.3997
335.000000 77.263 174.6286
340.000000 77.231 174.9124
345.000000 77.191 175.2212
350.000000 77.152 175.4801
355.000000 77.124 175.7820
360.000000 77.092 176.0641
365.000000 77.059 176.3562
370.000000 77.016 176.6512
375.000000 76.981 176.9607
382.000000 76.947 177.3218
387.000000 76.911 177.5681
395.000000 76.863 178.1610
400.000000 76.830 178.4475
406.000000 76.807 178.8234
412.000000 76.762 179.3250
418.000000 76.730 179.5705
425.000000 76.699 -179.9179
431.000000 76.671 -179.6047
437.000000 76.639 -179.2365
444.000000 76.604 -178.8405
450.000000 76.574 -178.3739
455.000000 76.570 -178.1551
462.000000 76.536 -177.6349
468.000000 76.520 -177.3420
475.000000 76.502 -176.9349
482.000000 76.471 -176.3487
487.000000 76.455 -176.1263
494.000000 76.431 -175.6951
500.000000 76.416 -175.2896
508.000000 76.390 -174.7319
515.000000 76.371 -174.3002
522.000000 76.350 -173.8421
530.000000 76.340 -173.3903
538.000000 76.328 -172.8422
545.000000 76.293 -172.3856
552.000000 76.294 -171.9655
560.000000 76.276 -171.4363
570.000000 76.261 -170.7906
580.000000 76.248 -170.0710
590.000000 76.226 -169.5120
600.000000 76.217 -168.7983
608.000000 76.214 -168.2585
615.000000 76.209 -167.8607
622.000000 76.201 -167.3818
630.000000 76.184 -166.7611
640.000000 76.189 -166.1609
650.000000 76.198 -165.5515
660.000000 76.185 -164.8677
670.000000 76.190 -164.2076
680.000000 76.197 -163.5570
690.000000 76.213 -162.8884
700.000000 76.217 -162.2959
710.000000 76.215 -161.4905
720.000000 76.233 -160.9572
730.000000 76.260 -160.2062
740.000000 76.264 -159.5970
750.000000 76.289 -158.8846
762.000000 76.328 -158.0690
775.000000 76.345 -157.2710
788.000000 76.385 -156.4317
800.000000 76.432 -155.8184
812.000000 76.477 -155.2440
825.000000 76.509 -154.7318
838.000000 76.490 -154.1526
850.000000 76.474 -153.2849
862.000000 76.489 -152.1672
875.000000 76.540 -151.0943
885.000000 76.613 -150.2609
900.000000 76.717 -149.2852
912.000000 76.777 -148.6635
925.000000 76.867 -148.0089
938.000000 76.913 -147.3429
950.000000 76.962 -146.7519
962.000000 77.004 -146.0250
975.000000 77.096 -145.1480
988.000000 77.171 -144.2594
1000.000000 77.260 -143.7538
1015.000000 77.380 -142.6158
1030.000000 77.519 -141.9488
1044.000000 77.613 -141.3759
1060.000000 77.755 -140.7250
1075.000000 77.888 -140.1087
1090.000000 78.002 -139.6321
1106.000000 78.125 -138.9552
1120.000000 78.251 -138.6293
1138.000000 78.401 -138.1113
1150.000000 78.485 -137.8102
1172.000000 78.666 -137.3096
1180.000000 78.730 -137.0719
1206.000000 78.917 -136.6135
1220.000000 79.014 -136.3733
1241.000000 79.164 -136.0605
1250.000000 79.227 -135.8815
1265.000000 79.321 -135.6441
1280.000000 79.436 -135.5374
1315.000000 79.655 -135.0058
1320.000000 79.675 -134.9101
1340.000000 79.817 -134.7077
1360.000000 79.932 -134.4769
1380.000000 80.053 -134.2581
1400.000000 80.177 -134.0464
1430.000000 80.360 -133.7395
1450.000000 80.461 -133.6021
1475.000000 80.610 -133.3676
1500.000000 80.761 -133.2194
1525.000000 80.911 -133.0113
1550.000000 81.062 -132.8774
1575.000000 81.198 -132.7507
1600.000000 81.346 -132.6575
1625.000000 81.482 -132.5813
1650.000000 81.626 -132.5655
1675.000000 81.771 -132.5178
1700.000000 81.914 -132.4756
1725.000000 82.062 -132.4671
1750.000000 82.199 -132.4820
1775.000000 82.343 -132.5304
1800.000000 82.479 -132.5955
1825.000000 82.633 -132.7191
1850.000000 82.763 -132.8115
1875.000000 82.904 -133.0020
1900.000000 83.043 -133.1776
1925.000000 83.189 -133.4008
1950.000000 83.328 -133.6803
1975.000000 83.464 -133.9995
2000.000000 83.601 -134.1105
2030.000000 83.766 -134.7372
2060.000000 83.911 -135.2645
2090.000000 84.066 -135.8113
2120.000000 84.213 -136.4354
2140.000000 84.296 -136.8676
2180.000000 84.476 -137.7842
2200.000000 84.555 -138.2533
2240.000000 84.703 -139.2585
2270.000000 84.801 -139.9896
2300.000000 84.891 -140.7232
2330.000000 84.993 -141.4619
2360.000000 85.096 -142.2282
2400.000000 85.213 -143.4847
2430.000000 85.273 -144.3899
2470.000000 85.321 -145.6597
2500.000000 85.350 -146.3045
2540.000000 85.391 -146.9551
2580.000000 85.498 -147.3594
2620.000000 85.686 -148.1793
2650.000000 85.833 -149.3008
2690.000000 85.946 -151.2568
2720.000000 85.981 -152.7745
2760.000000 85.966 -154.7055
2800.000000 85.918 -156.3599
2850.000000 85.832 -158.1186
2900.000000 85.734 -159.8411
2950.000000 85.629 -161.3288
3000.000000 85.497 -162.8714
3040.000000 85.379 -163.6960
3070.000000 85.276 -164.3992
3110.000000 85.155 -165.1394
3150.000000 85.030 -165.7843
3200.000000 84.876 -166.4630
3250.000000 84.709 -166.9170
3300.000000 84.556 -167.3160
3350.000000 84.422 -167.4576
3400.000000 84.325 -167.6343
3450.000000 84.222 -167.8082
3500.000000 84.120 -168.1376
3550.000000 83.993 -168.3625
3600.000000 83.852 -168.5919
3650.000000 83.702 -168.5932
3700.000000 83.551 -168.2885
3750.000000 83.390 -167.8340
3820.000000 83.241 -166.8293
3870.000000 83.170 -165.9243
3950.000000 83.138 -164.4743
4000.000000 83.187 -163.4448
4060.000000 83.198 -162.9300
4120.000000 83.265 -162.3662
4180.000000 83.328 -161.8701
4250.000000 83.398 -161.4450
4310.000000 83.463 -161.2326
4370.000000 83.538 -160.9672
4440.000000 83.603 -160.7557
4500.000000 83.680 -160.6029
4550.000000 83.743 -160.4772
4620.000000 83.833 -160.3679
4680.000000 83.928 -160.2859
4750.000000 84.032 -160.4321
4820.000000 84.146 -160.5718
4870.000000 84.230 -160.7570
4940.000000 84.348 -161.2372
5000.000000 84.459 -161.6487
5080.000000 84.541 -162.3644
5150.000000 84.628 -163.0970
5220.000000 84.708 -164.0269
5300.000000 84.764 -165.0128
5380.000000 84.791 -166.2151
5450.000000 84.799 -167.3891
5520.000000 84.783 -168.4271
