* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 11:35:30 30-09-2023
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EA500 tanya filter L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 80.530 -141.5750
20.600000 80.574 -141.8565
20.900000 80.623 -142.0831
21.200001 80.678 -142.3637
21.400000 80.713 -142.6077
21.799999 80.774 -143.2324
22.000000 80.795 -143.5994
22.400000 80.816 -144.3799
22.700001 80.815 -144.9459
23.000000 80.809 -145.4550
23.299999 80.805 -145.9094
23.600000 80.808 -146.3345
24.000000 80.828 -146.9101
24.299999 80.851 -147.3801
24.700001 80.886 -148.0589
25.000000 80.912 -148.5824
25.400000 80.948 -149.2629
25.799999 80.989 -149.9113
26.200001 81.038 -150.5511
26.500000 81.076 -151.0409
26.900000 81.125 -151.7037
27.200001 81.156 -152.1877
27.600000 81.192 -152.7848
28.000000 81.225 -153.3155
28.500000 81.266 -153.9172
29.000000 81.301 -154.4851
29.500000 81.327 -154.9927
30.000000 81.352 -155.4131
30.400000 81.379 -155.7323
30.700001 81.403 -156.0050
31.100000 81.431 -156.4445
31.500000 81.447 -156.9452
32.000000 81.444 -157.5474
32.500000 81.432 -158.0345
33.000000 81.430 -158.4541
33.500000 81.437 -158.9115
34.000000 81.440 -159.4169
34.500000 81.437 -159.8855
35.000000 81.440 -160.2838
35.500000 81.456 -160.6818
36.000000 81.476 -161.1431
36.500000 81.490 -161.6336
37.000000 81.497 -162.0824
37.500000 81.508 -162.4932
38.200001 81.523 -163.1113
38.700001 81.522 -163.5665
39.500000 81.505 -164.1151
40.000000 81.506 -164.3860
40.599998 81.515 -164.7922
41.200001 81.506 -165.2533
41.799999 81.484 -165.5739
42.500000 81.488 -165.7893
43.099998 81.518 -166.1395
43.700001 81.526 -166.6613
44.400002 81.498 -167.0699
45.000000 81.502 -167.1369
45.500000 81.546 -167.2747
46.200001 81.611 -167.8868
46.799999 81.615 -168.5615
47.500000 81.582 -169.0518
48.200001 81.575 -169.3048
48.700001 81.585 -169.5275
49.400002 81.597 -169.9358
50.000000 81.602 -170.3043
50.799999 81.605 -170.8528
51.500000 81.586 -171.3588
52.200001 81.553 -171.7011
53.000000 81.545 -171.9008
53.799999 81.572 -172.2912
54.500000 81.571 -172.8362
55.200001 81.538 -173.2490
56.000000 81.516 -173.4971
57.000000 81.512 -173.9460
58.000000 81.482 -174.3633
59.000000 81.470 -174.6931
60.000000 81.459 -175.1264
60.799999 81.448 -175.4510
61.500000 81.442 -175.7393
62.200001 81.440 -176.0333
63.000000 81.441 -176.4066
64.000000 81.437 -176.9180
65.000000 81.424 -177.4523
66.000000 81.379 -177.9003
67.000000 81.353 -178.0517
68.000000 81.349 -178.3966
69.000000 81.318 -178.6544
70.000000 81.323 -178.9394
71.000000 81.293 -179.4217
72.000000 81.263 -179.6146
73.000000 81.259 -179.9476
74.000000 81.235 179.7189
75.000000 81.221 179.4207
76.199997 81.190 179.0677
77.500000 81.180 178.7229
78.800003 81.142 178.2875
80.000000 81.121 178.0211
81.199997 81.093 177.6570
82.500000 81.066 177.3969
83.800003 81.050 177.0694
85.000000 81.026 176.7676
86.199997 80.999 176.4890
87.500000 80.967 176.2286
88.500000 80.947 176.0230
90.000000 80.911 175.7152
91.199997 80.886 175.4247
92.500000 80.848 175.1856
93.800003 80.827 174.9405
95.000000 80.804 174.6808
96.199997 80.776 174.3975
97.500000 80.738 174.2083
98.800003 80.711 174.0316
100.000000 80.690 173.8727
101.500000 80.652 173.5656
103.000000 80.617 173.3851
104.400002 80.574 173.1156
106.000000 80.551 172.9459
107.500000 80.520 172.6156
109.000000 80.486 172.3890
110.599998 80.447 172.1777
112.000000 80.421 172.0555
113.800003 80.375 171.7563
115.000000 80.355 171.6570
117.199997 80.301 171.3177
118.000000 80.284 171.2261
120.599998 80.229 170.9902
122.000000 80.200 170.8853
124.099998 80.152 170.6893
125.000000 80.130 170.5595
126.500000 80.084 170.4259
128.000000 80.049 170.2921
131.500000 79.974 170.0073
132.000000 79.962 169.9717
134.000000 79.923 169.8040
136.000000 79.874 169.6508
138.000000 79.831 169.5140
140.000000 79.790 169.3877
143.000000 79.723 169.2173
145.000000 79.685 169.1018
147.500000 79.637 168.9781
150.000000 79.580 168.8194
152.500000 79.533 168.7174
155.000000 79.474 168.5806
157.500000 79.423 168.5384
160.000000 79.377 168.5117
162.500000 79.326 168.4116
165.000000 79.278 168.3333
167.500000 79.220 168.2350
170.000000 79.169 168.2468
172.500000 79.126 168.2040
175.000000 79.090 168.1461
177.500000 79.039 168.1795
180.000000 78.991 168.1440
182.500000 78.949 168.1327
185.000000 78.898 168.0830
187.500000 78.845 168.1269
190.000000 78.796 168.0717
192.500000 78.755 168.0562
195.000000 78.716 168.0977
197.500000 78.670 168.1360
200.000000 78.626 168.1855
203.000000 78.581 168.1868
206.000000 78.531 168.2942
209.000000 78.482 168.2890
212.000000 78.437 168.2974
214.000000 78.405 168.3782
218.000000 78.345 168.4963
220.000000 78.306 168.5255
224.000000 78.245 168.6147
227.000000 78.203 168.7405
230.000000 78.163 168.8409
233.000000 78.125 168.8665
236.000000 78.076 169.0266
240.000000 78.017 169.1699
243.000000 77.975 169.2646
247.000000 77.924 169.3696
250.000000 77.879 169.4706
254.000000 77.829 169.6697
258.000000 77.784 169.8616
262.000000 77.732 169.9787
265.000000 77.702 170.1057
269.000000 77.643 170.2666
272.000000 77.608 170.4232
276.000000 77.571 170.5451
280.000000 77.529 170.7911
285.000000 77.445 171.0476
290.000000 77.415 171.2601
295.000000 77.347 171.5737
300.000000 77.289 171.8167
304.000000 77.254 172.0270
307.000000 77.234 172.1726
311.000000 77.187 172.4744
315.000000 77.144 172.5489
320.000000 77.100 172.8635
325.000000 77.065 173.1743
330.000000 77.030 173.3683
335.000000 76.980 173.7547
340.000000 76.928 174.0543
345.000000 76.897 174.2587
350.000000 76.848 174.5724
355.000000 76.819 174.8728
360.000000 76.772 175.2249
365.000000 76.738 175.5262
370.000000 76.699 175.7090
375.000000 76.674 176.1030
382.000000 76.618 176.4973
387.000000 76.593 176.8270
395.000000 76.526 177.3514
400.000000 76.515 177.5602
406.000000 76.476 178.0528
412.000000 76.449 178.2420
418.000000 76.424 178.7331
425.000000 76.371 179.1592
431.000000 76.353 179.4901
437.000000 76.326 179.8986
444.000000 76.295 -179.6181
450.000000 76.269 -179.2113
455.000000 76.268 -178.9404
462.000000 76.229 -178.4900
468.000000 76.209 -178.1817
475.000000 76.187 -177.7777
482.000000 76.159 -177.2875
487.000000 76.142 -176.9549
494.000000 76.122 -176.4987
500.000000 76.094 -176.1145
508.000000 76.072 -175.6056
515.000000 76.051 -175.1199
522.000000 76.029 -174.6781
530.000000 76.010 -174.1995
538.000000 75.987 -173.7359
545.000000 75.974 -173.1899
552.000000 75.956 -172.7627
560.000000 75.936 -172.2651
570.000000 75.917 -171.5916
580.000000 75.903 -170.9445
590.000000 75.895 -170.3090
600.000000 75.880 -169.7079
608.000000 75.896 -169.1869
615.000000 75.881 -168.7215
622.000000 75.868 -168.2326
630.000000 75.871 -167.7282
640.000000 75.873 -167.0402
650.000000 75.854 -166.3588
660.000000 75.862 -165.7051
670.000000 75.858 -165.1067
680.000000 75.869 -164.4120
690.000000 75.867 -163.7435
700.000000 75.876 -163.1357
710.000000 75.893 -162.4265
720.000000 75.891 -161.8132
730.000000 75.927 -161.1508
740.000000 75.942 -160.4918
750.000000 75.952 -159.8184
762.000000 75.972 -159.0119
775.000000 76.020 -158.1721
788.000000 76.060 -157.4872
800.000000 76.106 -156.7722
812.000000 76.140 -156.1190
825.000000 76.175 -155.6818
838.000000 76.160 -155.1959
850.000000 76.131 -154.2003
862.000000 76.130 -153.2093
875.000000 76.186 -151.9944
885.000000 76.256 -151.2968
900.000000 76.346 -150.2702
912.000000 76.436 -149.5256
925.000000 76.485 -148.9070
938.000000 76.547 -148.3867
950.000000 76.591 -147.7841
962.000000 76.648 -146.9464
975.000000 76.714 -146.0565
988.000000 76.797 -145.3520
1000.000000 76.874 -144.7023
1015.000000 76.988 -143.7061
1030.000000 77.101 -142.8702
1044.000000 77.230 -142.3806
1060.000000 77.346 -141.6017
1075.000000 77.465 -141.0496
1090.000000 77.598 -140.5896
1106.000000 77.731 -140.0067
1120.000000 77.834 -139.6727
1138.000000 77.999 -139.2089
1150.000000 78.088 -138.8524
1172.000000 78.249 -138.4212
1180.000000 78.310 -138.2469
1206.000000 78.503 -137.6829
1220.000000 78.596 -137.5416
1241.000000 78.738 -137.2370
1250.000000 78.792 -137.0956
1265.000000 78.897 -136.8834
1280.000000 79.005 -136.6995
1315.000000 79.203 -136.2758
1320.000000 79.252 -136.2415
1340.000000 79.359 -135.9716
1360.000000 79.478 -135.7417
1380.000000 79.592 -135.5128
1400.000000 79.701 -135.2570
1430.000000 79.879 -135.0048
1450.000000 79.992 -134.8226
1475.000000 80.130 -134.6613
1500.000000 80.274 -134.5101
1525.000000 80.409 -134.3147
1550.000000 80.529 -134.2351
1575.000000 80.672 -134.0190
1600.000000 80.805 -133.9733
1625.000000 80.941 -133.8697
1650.000000 81.068 -133.7815
1675.000000 81.210 -133.6689
1700.000000 81.325 -133.6243
1725.000000 81.465 -133.5900
1750.000000 81.601 -133.5700
1775.000000 81.720 -133.5932
1800.000000 81.855 -133.6587
1825.000000 81.984 -133.6624
1850.000000 82.109 -133.7773
1875.000000 82.249 -133.8777
1900.000000 82.369 -133.9944
1925.000000 82.496 -134.1403
1950.000000 82.621 -134.2561
1975.000000 82.756 -134.5315
2000.000000 82.880 -134.6088
2030.000000 83.023 -135.0447
2060.000000 83.165 -135.4580
2090.000000 83.302 -135.9194
2120.000000 83.441 -136.3845
2140.000000 83.528 -136.6982
2180.000000 83.697 -137.3482
2200.000000 83.770 -137.7526
2240.000000 83.911 -138.5594
2270.000000 84.011 -139.1467
2300.000000 84.096 -139.6988
2330.000000 84.184 -140.2253
2360.000000 84.267 -140.5853
2400.000000 84.411 -141.0536
2430.000000 84.551 -141.5180
2470.000000 84.740 -142.4631
2500.000000 84.863 -143.4606
2540.000000 84.962 -144.9157
2580.000000 85.025 -146.2031
2620.000000 85.073 -147.3373
2650.000000 85.112 -148.0225
2690.000000 85.198 -149.0323
2720.000000 85.258 -149.8948
2760.000000 85.336 -151.3543
2800.000000 85.361 -152.8158
2850.000000 85.368 -154.5798
2900.000000 85.339 -156.3577
2950.000000 85.277 -157.9724
3000.000000 85.187 -159.6729
3040.000000 85.098 -160.5509
3070.000000 85.023 -161.2752
3110.000000 84.926 -162.1405
3150.000000 84.825 -162.9135
3200.000000 84.692 -163.7275
3250.000000 84.562 -164.3773
3300.000000 84.426 -164.9944
3350.000000 84.308 -165.4171
3400.000000 84.180 -165.7470
3450.000000 84.075 -165.9687
3500.000000 83.979 -166.2276
3550.000000 83.893 -166.5428
3600.000000 83.796 -166.9017
3650.000000 83.673 -167.1557
3700.000000 83.535 -167.4019
3750.000000 83.390 -167.4194
3820.000000 83.197 -167.0554
3870.000000 83.070 -166.6251
3950.000000 82.893 -165.4267
4000.000000 82.891 -164.3939
4060.000000 82.832 -163.5127
4120.000000 82.847 -162.6766
4180.000000 82.890 -162.0468
4250.000000 82.945 -161.4006
4310.000000 83.014 -161.0900
4370.000000 83.073 -160.6801
4440.000000 83.146 -160.4192
4500.000000 83.217 -160.1886
4550.000000 83.262 -160.1084
4620.000000 83.360 -159.9160
4680.000000 83.409 -159.9079
4750.000000 83.509 -159.7683
4820.000000 83.587 -159.8648
4870.000000 83.649 -159.9255
4940.000000 83.729 -160.0570
5000.000000 83.821 -160.4010
5080.000000 83.907 -160.6897
5150.000000 83.971 -161.1434
5220.000000 84.040 -161.6155
5300.000000 84.116 -162.3926
5380.000000 84.184 -163.0965
5450.000000 84.215 -163.9137
5520.000000 84.232 -164.6706
