* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 11:33:18 30-09-2023
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EA500 tanya filter R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 82.541 -147.1416
20.600000 82.591 -147.5981
20.900000 82.630 -147.9911
21.200001 82.661 -148.3833
21.400000 82.678 -148.6497
21.799999 82.705 -149.1927
22.000000 82.715 -149.4678
22.400000 82.731 -150.0209
22.700001 82.743 -150.4404
23.000000 82.756 -150.8715
23.299999 82.770 -151.3205
23.600000 82.786 -151.7885
24.000000 82.808 -152.4344
24.299999 82.824 -152.9243
24.700001 82.847 -153.5714
25.000000 82.865 -154.0482
25.400000 82.891 -154.6715
25.799999 82.916 -155.2746
26.200001 82.939 -155.8402
26.500000 82.955 -156.2290
26.900000 82.979 -156.6999
27.200001 82.999 -157.0305
27.600000 83.029 -157.4687
28.000000 83.056 -157.9241
28.500000 83.079 -158.4995
29.000000 83.090 -159.0200
29.500000 83.099 -159.4699
30.000000 83.115 -159.9228
30.400000 83.128 -160.3403
30.700001 83.133 -160.6856
31.100000 83.130 -161.1503
31.500000 83.121 -161.5748
32.000000 83.110 -162.0224
32.500000 83.112 -162.4317
33.000000 83.125 -162.8812
33.500000 83.138 -163.3797
34.000000 83.147 -163.8735
34.500000 83.156 -164.3218
35.000000 83.171 -164.7393
35.500000 83.191 -165.1708
36.000000 83.209 -165.6387
36.500000 83.218 -166.1189
37.000000 83.215 -166.5523
37.500000 83.207 -166.8979
38.200001 83.210 -167.2912
38.700001 83.222 -167.6114
39.500000 83.233 -168.2578
40.000000 83.229 -168.6633
40.599998 83.224 -169.1083
41.200001 83.224 -169.5682
41.799999 83.220 -170.0601
42.500000 83.208 -170.5870
43.099998 83.201 -170.9755
43.700001 83.200 -171.3560
44.400002 83.198 -171.7885
45.000000 83.196 -172.1167
45.500000 83.197 -172.3771
46.200001 83.201 -172.7640
46.799999 83.200 -173.1154
47.500000 83.193 -173.5298
48.200001 83.179 -173.9293
48.700001 83.167 -174.1870
49.400002 83.156 -174.5289
50.000000 83.151 -174.8619
50.799999 83.136 -175.3474
51.500000 83.119 -175.7071
52.200001 83.114 -176.0291
53.000000 83.115 -176.4845
53.799999 83.099 -176.9763
54.500000 83.078 -177.3034
55.200001 83.066 -177.5633
56.000000 83.061 -177.9099
57.000000 83.044 -178.3719
58.000000 83.028 -178.7842
59.000000 83.011 -179.2686
60.000000 82.983 -179.7048
60.799999 82.968 179.9798
61.500000 82.958 179.6748
62.200001 82.946 179.3578
63.000000 82.929 178.9878
64.000000 82.896 178.5697
65.000000 82.870 178.2654
66.000000 82.852 177.9216
67.000000 82.829 177.6203
68.000000 82.820 177.3038
69.000000 82.805 176.8938
70.000000 82.779 176.4453
71.000000 82.729 176.0660
72.000000 82.696 175.8826
73.000000 82.673 175.5356
74.000000 82.621 175.3239
75.000000 82.607 175.2413
76.199997 82.587 174.9041
77.500000 82.565 174.7034
78.800003 82.557 174.2988
80.000000 82.529 174.0360
81.199997 82.533 173.7822
82.500000 82.517 173.3306
83.800003 82.488 173.0240
85.000000 82.458 172.6347
86.199997 82.400 172.3436
87.500000 82.356 172.0685
88.500000 82.320 171.8024
90.000000 82.275 171.4009
91.199997 82.245 171.1125
92.500000 82.236 170.7329
93.800003 82.197 170.3540
95.000000 82.177 170.1239
96.199997 82.120 169.8317
97.500000 82.083 169.8702
98.800003 82.056 169.5444
100.000000 82.007 169.3391
101.500000 81.958 169.0705
103.000000 81.905 168.8080
104.400002 81.861 168.6978
106.000000 81.818 168.4830
107.500000 81.765 168.4481
109.000000 81.732 168.3269
110.599998 81.681 168.2745
112.000000 81.658 168.1817
113.800003 81.629 168.0574
115.000000 81.603 167.7859
117.199997 81.561 167.7516
118.000000 81.539 167.5985
120.599998 81.524 167.5057
122.000000 81.511 167.5397
124.099998 81.497 167.2007
125.000000 81.505 167.0568
126.500000 81.446 166.6797
128.000000 81.442 166.6432
131.500000 81.392 166.0376
132.000000 81.392 165.9528
134.000000 81.355 165.6951
136.000000 81.296 165.5567
138.000000 81.258 165.2401
140.000000 81.206 164.8573
143.000000 81.140 164.6260
145.000000 81.118 164.3871
147.500000 80.988 164.4353
150.000000 80.965 164.0222
152.500000 80.889 163.7908
155.000000 80.818 163.6527
157.500000 80.778 163.5710
160.000000 80.721 163.2949
162.500000 80.645 163.2234
165.000000 80.584 163.1612
167.500000 80.534 162.9862
170.000000 80.465 162.8456
172.500000 80.408 162.7948
175.000000 80.353 162.7094
177.500000 80.289 162.6730
180.000000 80.231 162.5470
182.500000 80.183 162.4983
185.000000 80.130 162.4659
187.500000 80.079 162.4094
190.000000 80.027 162.3619
192.500000 79.975 162.2747
195.000000 79.925 162.3192
197.500000 79.882 162.3298
200.000000 79.821 162.2988
203.000000 79.760 162.2441
206.000000 79.700 162.2295
209.000000 79.641 162.1845
212.000000 79.577 162.2396
214.000000 79.547 162.3247
218.000000 79.470 162.2778
220.000000 79.426 162.2501
224.000000 79.351 162.3754
227.000000 79.298 162.4415
230.000000 79.237 162.4700
233.000000 79.184 162.5533
236.000000 79.127 162.6182
240.000000 79.065 162.6600
243.000000 79.016 162.7864
247.000000 78.945 162.8755
250.000000 78.895 162.9031
254.000000 78.836 162.9794
258.000000 78.789 163.2812
262.000000 78.699 163.3571
265.000000 78.664 163.4424
269.000000 78.599 163.6260
272.000000 78.559 163.7114
276.000000 78.515 163.8491
280.000000 78.445 163.9974
285.000000 78.380 164.2447
290.000000 78.304 164.4512
295.000000 78.234 164.6512
300.000000 78.169 164.9320
304.000000 78.122 165.0859
307.000000 78.085 165.2579
311.000000 78.029 165.4513
315.000000 77.982 165.6213
320.000000 77.925 165.8517
325.000000 77.858 166.2371
330.000000 77.802 166.4497
335.000000 77.742 166.6611
340.000000 77.684 166.9501
345.000000 77.636 167.2482
350.000000 77.591 167.5459
355.000000 77.536 167.8140
360.000000 77.494 168.1511
365.000000 77.441 168.4126
370.000000 77.383 168.5975
375.000000 77.352 168.9760
382.000000 77.288 169.3651
387.000000 77.244 169.6169
395.000000 77.171 170.2083
400.000000 77.138 170.5204
406.000000 77.092 170.8618
412.000000 77.027 171.3107
418.000000 76.990 171.5724
425.000000 76.942 172.0250
431.000000 76.909 172.5219
437.000000 76.870 172.8226
444.000000 76.819 173.3286
450.000000 76.789 173.6919
455.000000 76.736 173.9961
462.000000 76.698 174.3792
468.000000 76.660 174.8762
475.000000 76.622 175.2562
482.000000 76.573 175.7501
487.000000 76.564 176.0583
494.000000 76.518 176.4386
500.000000 76.491 176.8632
508.000000 76.448 177.4865
515.000000 76.424 177.9961
522.000000 76.389 178.4053
530.000000 76.358 179.0088
538.000000 76.326 179.4311
545.000000 76.314 179.9247
552.000000 76.279 -179.5259
560.000000 76.259 -179.0147
570.000000 76.239 -178.3943
580.000000 76.190 -177.6989
590.000000 76.170 -177.0636
600.000000 76.163 -176.3797
608.000000 76.121 -175.8882
615.000000 76.113 -175.3527
622.000000 76.109 -174.8601
630.000000 76.097 -174.1837
640.000000 76.070 -173.5810
650.000000 76.053 -173.0577
660.000000 76.043 -172.2261
670.000000 76.033 -171.6090
680.000000 76.026 -170.8956
690.000000 76.023 -170.2082
700.000000 76.004 -169.5767
710.000000 76.014 -168.7218
720.000000 76.013 -168.1313
730.000000 76.021 -167.4855
740.000000 76.018 -166.7352
750.000000 76.044 -166.1574
762.000000 76.065 -165.3060
775.000000 76.069 -164.4270
788.000000 76.107 -163.5234
800.000000 76.146 -162.7993
812.000000 76.175 -162.0458
825.000000 76.211 -161.3066
838.000000 76.255 -160.5467
850.000000 76.307 -159.7587
862.000000 76.366 -159.1257
875.000000 76.392 -158.5600
885.000000 76.430 -158.0969
900.000000 76.473 -157.4719
912.000000 76.518 -156.9455
925.000000 76.540 -156.2798
938.000000 76.547 -155.5974
950.000000 76.581 -154.8565
962.000000 76.625 -154.1024
975.000000 76.682 -153.5367
988.000000 76.734 -152.9407
1000.000000 76.771 -152.7661
1015.000000 76.802 -152.0886
1030.000000 76.817 -151.5801
1044.000000 76.822 -150.8832
1060.000000 76.847 -149.9668
1075.000000 76.890 -149.0314
1090.000000 76.947 -148.0681
1106.000000 77.033 -147.0941
1120.000000 77.134 -146.3707
1138.000000 77.257 -145.4484
1150.000000 77.336 -144.9166
1172.000000 77.491 -144.0532
1180.000000 77.554 -143.6946
1206.000000 77.741 -142.8310
1220.000000 77.835 -142.3854
1241.000000 77.964 -141.8452
1250.000000 78.041 -141.6128
1265.000000 78.126 -141.2918
1280.000000 78.219 -140.8608
1315.000000 78.437 -140.2601
1320.000000 78.462 -140.1305
1340.000000 78.577 -139.6705
1360.000000 78.686 -139.2672
1380.000000 78.808 -138.9713
1400.000000 78.915 -138.6517
1430.000000 79.065 -138.1597
1450.000000 79.175 -137.8792
1475.000000 79.303 -137.5645
1500.000000 79.437 -137.1854
1525.000000 79.571 -136.8244
1550.000000 79.685 -136.5410
1575.000000 79.813 -136.1627
1600.000000 79.930 -135.8939
1625.000000 80.067 -135.5891
1650.000000 80.182 -135.3176
1675.000000 80.324 -135.0135
1700.000000 80.443 -134.7771
1725.000000 80.577 -134.5416
1750.000000 80.707 -134.3129
1775.000000 80.829 -134.2424
1800.000000 80.969 -133.9602
1825.000000 81.109 -133.8834
1850.000000 81.242 -133.8450
1875.000000 81.377 -133.7315
1900.000000 81.490 -133.6891
1925.000000 81.634 -133.7721
1950.000000 81.776 -133.7842
1975.000000 81.904 -133.8786
2000.000000 82.039 -133.6972
2030.000000 82.175 -133.9866
2060.000000 82.326 -134.2922
2090.000000 82.472 -134.4236
2120.000000 82.621 -134.7066
2140.000000 82.703 -135.0215
2180.000000 82.880 -135.4173
2200.000000 82.970 -135.6868
2240.000000 83.127 -136.2084
2270.000000 83.232 -136.5890
2300.000000 83.334 -137.0010
2330.000000 83.439 -137.3889
2360.000000 83.551 -137.6719
2400.000000 83.696 -138.2160
2430.000000 83.809 -138.7177
2470.000000 83.935 -139.4914
2500.000000 84.002 -140.0296
2540.000000 84.072 -140.5620
2580.000000 84.153 -140.7578
2620.000000 84.307 -140.7815
2650.000000 84.477 -141.0321
2690.000000 84.726 -141.8980
2720.000000 84.866 -142.9370
2760.000000 84.999 -144.5442
2800.000000 85.090 -146.0681
2850.000000 85.158 -147.8157
2900.000000 85.194 -149.5872
2950.000000 85.192 -151.3706
3000.000000 85.150 -153.1922
3040.000000 85.110 -154.2252
3070.000000 85.049 -155.0471
3110.000000 84.990 -155.9961
3150.000000 84.914 -156.8779
3200.000000 84.813 -157.8039
3250.000000 84.700 -158.5230
3300.000000 84.608 -159.1700
3350.000000 84.516 -159.6497
3400.000000 84.435 -159.9939
3450.000000 84.378 -160.5557
3500.000000 84.301 -161.1227
3550.000000 84.197 -161.7016
3600.000000 84.084 -162.1363
3650.000000 83.961 -162.4205
3700.000000 83.819 -162.4755
3750.000000 83.681 -162.3584
3820.000000 83.504 -161.8506
3870.000000 83.395 -161.1841
3950.000000 83.330 -159.8456
4000.000000 83.360 -159.0996
4060.000000 83.372 -158.3319
4120.000000 83.408 -157.6719
4180.000000 83.483 -157.1757
4250.000000 83.545 -156.8530
4310.000000 83.609 -156.5535
4370.000000 83.675 -156.2406
4440.000000 83.757 -156.0270
4500.000000 83.830 -155.8491
4550.000000 83.887 -155.7722
4620.000000 83.991 -155.6087
4680.000000 84.068 -155.6539
4750.000000 84.179 -155.6946
4820.000000 84.287 -155.7393
4870.000000 84.369 -155.8838
4940.000000 84.492 -156.2498
5000.000000 84.612 -156.5779
5080.000000 84.727 -157.1144
5150.000000 84.830 -157.7208
5220.000000 84.926 -158.5122
5300.000000 85.029 -159.5034
5380.000000 85.100 -160.5919
5450.000000 85.148 -161.6518
5520.000000 85.165 -162.6904
5600.000000 85.173 -164.0944
5700.000000 85.116 -165.4859
