* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 19:54:53 15-06-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Simgot EM6L L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.464 121.0600
1.015000 84.287 120.1618
1.030000 84.103 119.2608
1.044000 83.925 118.4170
1.060000 83.713 117.4490
1.075000 83.507 116.5378
1.090000 83.293 115.6227
1.106000 83.057 114.6690
1.120000 82.854 113.9973
1.138000 82.600 113.3653
1.150000 82.434 113.0673
1.172000 82.131 112.7235
1.180000 82.022 112.6498
1.206000 81.660 112.5316
1.220000 81.461 112.5080
1.241000 81.152 112.4640
1.250000 81.015 112.4257
1.265000 80.780 112.3139
1.280000 80.533 112.1181
1.315000 79.907 111.1792
1.320000 79.811 110.9749
1.340000 79.407 109.9416
1.360000 78.969 108.5129
1.380000 78.494 106.6233
1.400000 77.976 104.2073
1.430000 77.114 99.4526
1.450000 76.475 95.4334
1.475000 75.583 89.3010
1.500000 74.472 81.6025
1.525000 73.151 72.4678
1.550000 71.665 62.1283
1.575000 70.060 50.8152
1.600000 68.379 38.7601
1.625000 66.668 26.1943
1.650000 64.972 13.3490
1.675000 63.334 0.4557
1.700000 61.801 -12.2544
1.725000 60.417 -24.5498
1.750000 59.226 -36.1993
1.775000 58.273 -46.9714
1.800000 57.604 -56.6348
1.825000 57.262 -64.9583
1.850000 57.290 -71.9579
1.875000 57.679 -78.1471
1.900000 58.381 -83.6186
1.925000 59.349 -88.4428
1.950000 60.535 -92.6901
1.975000 61.892 -96.4308
2.000000 63.373 -99.7353
2.030000 65.245 -103.2240
2.060000 67.144 -106.3076
2.090000 68.987 -109.1076
2.120000 70.693 -111.7456
2.140000 71.713 -113.4744
2.180000 73.362 -117.0224
2.200000 73.944 -118.9108
2.240000 74.810 -122.3907
2.270000 75.289 -124.6013
2.300000 75.642 -126.5181
2.330000 75.887 -128.1848
2.360000 76.041 -129.6451
2.400000 76.135 -131.3465
2.430000 76.145 -132.4949
2.470000 76.112 -133.9391
2.500000 76.074 -135.0136
2.540000 76.039 -136.5178
2.580000 76.050 -138.1843
2.620000 76.030 -139.9406
2.650000 75.982 -141.2699
2.690000 75.877 -143.0134
2.720000 75.768 -144.2684
2.760000 75.585 -145.8262
2.800000 75.361 -147.2004
2.850000 75.027 -148.5740
2.900000 74.639 -149.4622
2.950000 74.189 -149.8075
3.000000 73.588 -149.9582
3.040000 73.017 -149.9184
3.070000 72.557 -149.7433
3.110000 71.924 -149.2534
3.150000 71.299 -148.3982
3.200000 70.573 -146.6959
3.250000 69.966 -144.1467
3.300000 69.536 -140.5933
3.350000 69.249 -135.3907
3.400000 69.049 -128.5794
3.450000 68.937 -120.7788
3.500000 68.911 -112.6086
3.550000 68.971 -104.6881
3.600000 69.117 -97.6369
3.650000 69.347 -92.0744
3.700000 69.695 -88.2468
3.750000 70.218 -85.4791
3.820000 71.145 -83.0130
3.870000 71.870 -82.0287
3.950000 72.988 -81.3339
4.000000 73.574 -81.1870
4.060000 74.098 -81.1667
4.120000 74.521 -81.8408
4.180000 74.870 -83.1066
4.250000 75.192 -85.0423
4.310000 75.403 -86.8473
4.370000 75.562 -88.5584
4.440000 75.684 -90.3374
4.500000 75.719 -91.9987
4.550000 75.703 -93.4387
4.620000 75.620 -95.4300
4.680000 75.501 -97.0125
4.750000 75.314 -98.5816
4.820000 75.067 -99.9024
4.870000 74.839 -100.8140
4.940000 74.469 -101.9279
5.000000 74.122 -102.6232
5.080000 73.646 -102.9952
5.150000 73.237 -102.6328
5.220000 72.770 -101.5981
5.300000 72.197 -99.7628
5.380000 71.659 -97.4316
5.450000 71.283 -95.1494
5.520000 71.045 -92.7193
5.600000 70.916 -89.2102
5.700000 70.912 -84.2951
5.800000 71.030 -79.9136
5.900000 71.233 -77.1466
6.000000 71.601 -75.6663
6.080000 71.958 -75.1754
6.150000 72.261 -75.1832
6.220000 72.510 -75.5427
6.300000 72.729 -76.4942
6.400000 72.962 -78.5514
6.500000 73.134 -81.1758
6.600000 73.226 -83.9436
6.700000 73.230 -86.9549
6.800000 73.157 -90.2745
6.900000 73.026 -93.6234
7.000000 72.847 -96.7759
7.100000 72.598 -99.9256
7.200000 72.303 -102.9632
7.300000 71.998 -105.6819
7.400000 71.689 -107.9673
7.500000 71.348 -109.9299
7.620000 70.968 -111.8443
7.750000 70.673 -113.2967
7.880000 70.465 -113.9686
8.000000 70.374 -114.3406
8.120000 70.418 -114.8518
8.250000 70.622 -115.3266
8.380000 70.915 -116.0201
8.500000 71.221 -117.1531
8.620000 71.591 -118.6747
8.750000 72.000 -120.5730
8.850000 72.281 -122.1416
9.000000 72.683 -124.8004
9.120000 72.973 -126.9206
9.250000 73.235 -129.0241
9.380000 73.451 -131.0338
9.500000 73.624 -132.6535
9.620000 73.773 -133.9540
9.750000 73.905 -135.0709
9.880000 74.032 -135.9000
10.000000 74.155 -136.3736
10.150000 74.307 -136.6236
10.300000 74.478 -136.7208
10.440000 74.659 -136.6402
10.600000 74.875 -136.4885
10.750000 75.082 -136.4267
10.900000 75.291 -136.3921
11.060000 75.491 -136.4193
11.200000 75.649 -136.5065
11.380000 75.824 -136.6082
11.500000 75.918 -136.6563
11.720000 76.061 -136.6857
11.800000 76.104 -136.6583
12.060000 76.220 -136.4762
12.200000 76.274 -136.3542
12.410000 76.345 -136.1591
12.500000 76.371 -136.1061
12.650000 76.410 -136.0496
12.800000 76.438 -136.0379
13.150000 76.450 -136.2134
13.200000 76.446 -136.2473
13.400000 76.413 -136.4053
13.600000 76.367 -136.5649
13.800000 76.311 -136.7024
14.000000 76.259 -136.8778
14.300000 76.196 -137.2638
14.500000 76.166 -137.7075
14.750000 76.130 -138.5106
15.000000 76.091 -139.5920
15.250000 76.037 -140.8638
15.500000 75.973 -142.1943
15.750000 75.910 -143.5117
16.000000 75.864 -144.7355
16.250000 75.853 -145.9104
16.500000 75.879 -147.0724
16.750000 75.941 -148.2929
17.000000 76.023 -149.5784
17.250000 76.115 -150.8905
17.500000 76.206 -152.1688
17.750000 76.293 -153.3077
18.000000 76.380 -154.2799
18.250000 76.472 -155.0573
18.500000 76.573 -155.6842
18.750000 76.679 -156.2015
19.000000 76.788 -156.6473
19.250000 76.890 -157.0469
19.500000 76.981 -157.3900
19.750000 77.058 -157.6707
20.000000 77.123 -157.8797
20.299999 77.187 -158.0643
20.600000 77.236 -158.2149
20.900000 77.269 -158.3741
21.200001 77.281 -158.5614
21.400000 77.277 -158.6902
21.799999 77.244 -158.9358
22.000000 77.221 -159.0540
22.400000 77.172 -159.3249
22.700001 77.139 -159.6288
23.000000 77.106 -160.0731
23.299999 77.066 -160.6478
23.600000 77.020 -161.3083
24.000000 76.955 -162.2413
24.299999 76.915 -162.9455
24.700001 76.885 -163.9088
25.000000 76.880 -164.6784
25.400000 76.891 -165.7684
25.799999 76.909 -166.8555
26.200001 76.935 -167.8404
26.500000 76.961 -168.4843
26.900000 77.008 -169.2289
27.200001 77.049 -169.7222
27.600000 77.102 -170.3050
28.000000 77.149 -170.7940
28.500000 77.195 -171.2732
29.000000 77.226 -171.6553
29.500000 77.236 -171.9908
30.000000 77.225 -172.3024
30.400000 77.205 -172.5584
30.700001 77.186 -172.7743
31.100000 77.153 -173.1115
31.500000 77.114 -173.5014
32.000000 77.061 -174.0468
32.500000 77.014 -174.6663
33.000000 76.973 -175.3708
33.500000 76.935 -176.1068
34.000000 76.910 -176.8030
34.500000 76.905 -177.4837
35.000000 76.910 -178.2057
35.500000 76.906 -178.9008
36.000000 76.893 -179.4234
36.500000 76.893 -179.7791
37.000000 76.907 179.8521
37.500000 76.906 179.3970
38.200001 76.857 178.9288
38.700001 76.829 178.8198
39.500000 76.834 178.3650
40.000000 76.810 177.7539
40.599998 76.723 177.1243
41.200001 76.645 176.9087
41.799999 76.634 176.7408
42.500000 76.656 176.1221
43.099998 76.646 175.4571
43.700001 76.627 174.9314
44.400002 76.619 174.3496
45.000000 76.598 173.8110
45.500000 76.565 173.4710
46.200001 76.530 173.1582
46.799999 76.510 172.8119
47.500000 76.458 172.3763
48.200001 76.407 172.1975
48.700001 76.405 172.0668
49.400002 76.413 171.5208
50.000000 76.379 170.9045
50.799999 76.306 170.3702
51.500000 76.267 170.0218
52.200001 76.228 169.6147
53.000000 76.179 169.2139
53.799999 76.137 168.7806
54.500000 76.086 168.3820
55.200001 76.039 168.0769
56.000000 76.005 167.6497
57.000000 75.940 167.0251
58.000000 75.889 166.6143
59.000000 75.840 166.1227
60.000000 75.787 165.9567
60.799999 75.783 165.6870
61.500000 75.738 165.2245
62.200001 75.651 165.0032
63.000000 75.584 164.9780
64.000000 75.519 164.6286
65.000000 75.423 164.2678
66.000000 75.341 164.0027
67.000000 75.284 163.7675
68.000000 75.230 163.3658
69.000000 75.129 163.2543
70.000000 75.095 163.6480
71.000000 75.125 163.5964
72.000000 75.101 163.3157
73.000000 75.077 163.1670
74.000000 75.051 162.8788
75.000000 75.021 162.6434
76.199997 74.999 162.1890
77.500000 74.928 161.7086
78.800003 74.887 161.4907
80.000000 74.837 161.0921
81.199997 74.780 160.9398
82.500000 74.732 160.7966
83.800003 74.679 160.3012
85.000000 74.555 160.4568
86.199997 74.591 160.3004
87.500000 74.480 159.8488
88.500000 74.490 159.8627
90.000000 74.391 159.2722
91.199997 74.391 159.6529
92.500000 74.354 158.9865
93.800003 74.264 159.1846
95.000000 74.227 158.8436
96.199997 74.174 158.7427
97.500000 74.136 158.1143
98.800003 74.056 157.9277
100.000000 74.017 157.8185
101.500000 73.981 157.6629
103.000000 73.889 157.4808
104.400002 73.816 157.3347
106.000000 73.731 157.2109
107.500000 73.699 157.1572
109.000000 73.673 156.9337
110.599998 73.611 156.7124
112.000000 73.509 156.9733
113.800003 73.464 156.9812
115.000000 73.412 156.8604
117.199997 73.329 156.3745
118.000000 73.277 156.3859
120.599998 73.162 156.6771
122.000000 73.254 156.9469
124.099998 73.089 156.5587
125.000000 73.095 156.5618
126.500000 73.010 156.0206
128.000000 72.986 156.4351
131.500000 72.929 156.1507
132.000000 72.916 156.0135
134.000000 72.829 155.9773
136.000000 72.782 155.7638
138.000000 72.696 155.4830
140.000000 72.637 155.7090
143.000000 72.556 155.4326
145.000000 72.513 155.4447
147.500000 72.413 155.4464
150.000000 72.345 155.4185
152.500000 72.257 155.4019
155.000000 72.208 155.5792
157.500000 72.164 155.4888
160.000000 72.060 155.3075
162.500000 71.995 155.5846
165.000000 71.875 155.6451
167.500000 71.858 155.6758
170.000000 71.826 155.7436
172.500000 71.767 155.6769
175.000000 71.682 155.7842
177.500000 71.630 155.7596
180.000000 71.574 155.6178
182.500000 71.517 155.8348
185.000000 71.479 155.8052
187.500000 71.397 155.9171
190.000000 71.338 155.9955
192.500000 71.298 156.0831
195.000000 71.238 156.1596
197.500000 71.167 156.2214
200.000000 71.131 156.4448
203.000000 71.072 156.3812
206.000000 71.033 156.5290
209.000000 70.951 156.5646
212.000000 70.889 156.7021
214.000000 70.876 156.7941
218.000000 70.785 156.7951
220.000000 70.758 156.9967
224.000000 70.687 157.0848
227.000000 70.644 157.3215
230.000000 70.595 157.4299
233.000000 70.520 157.5847
236.000000 70.470 157.6850
240.000000 70.389 158.0423
243.000000 70.355 158.1534
247.000000 70.270 158.3763
250.000000 70.219 158.5815
254.000000 70.161 159.1780
258.000000 70.147 159.4655
262.000000 70.131 159.7213
265.000000 70.131 159.8422
269.000000 70.105 159.8361
272.000000 70.091 159.8694
276.000000 70.058 160.0507
280.000000 69.984 159.9464
285.000000 69.936 159.9453
290.000000 69.889 160.3495
295.000000 69.798 160.3344
300.000000 69.723 160.6016
304.000000 69.706 160.7573
307.000000 69.685 160.8504
311.000000 69.623 161.0299
315.000000 69.602 161.2027
320.000000 69.524 161.5300
325.000000 69.448 161.6610
330.000000 69.391 161.9121
