* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 19:52:05 15-06-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Simgot EM6L R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.348 121.3280
1.015000 84.168 120.4236
1.030000 83.982 119.5145
1.044000 83.802 118.6615
1.060000 83.587 117.6807
1.075000 83.378 116.7552
1.090000 83.160 115.8235
1.106000 82.919 114.8484
1.120000 82.708 114.1502
1.138000 82.436 113.4734
1.150000 82.254 113.1395
1.172000 81.917 112.7198
1.180000 81.793 112.6157
1.206000 81.383 112.3911
1.220000 81.156 112.3069
1.241000 80.805 112.1698
1.250000 80.651 112.0915
1.265000 80.387 111.9135
1.280000 80.114 111.6533
1.315000 79.439 110.5765
1.320000 79.338 110.3546
1.340000 78.918 109.2571
1.360000 78.475 107.7768
1.380000 78.006 105.8505
1.400000 77.509 103.4152
1.430000 76.707 98.6697
1.450000 76.130 94.6858
1.475000 75.348 88.6349
1.500000 74.396 81.0631
1.525000 73.282 72.0956
1.550000 72.042 61.9579
1.575000 70.712 50.8754
1.600000 69.328 39.0735
1.625000 67.925 26.7778
1.650000 66.539 14.2137
1.675000 65.206 1.6065
1.700000 63.961 -10.8183
1.725000 62.841 -22.8352
1.750000 61.881 -34.2188
1.775000 61.117 -44.7436
1.800000 60.584 -54.1843
1.825000 60.319 -62.3155
1.850000 60.357 -69.1513
1.875000 60.694 -75.1894
1.900000 61.292 -80.5210
1.925000 62.111 -85.2157
1.950000 63.111 -89.3432
1.975000 64.254 -92.9731
2.000000 65.500 -96.1750
2.030000 67.074 -99.5506
2.060000 68.671 -102.5305
2.090000 70.222 -105.2352
2.120000 71.660 -107.7851
2.140000 72.522 -109.4584
2.180000 73.921 -112.9015
2.200000 74.419 -114.7399
2.240000 75.171 -118.1414
2.270000 75.597 -120.3136
2.300000 75.921 -122.2055
2.330000 76.155 -123.8573
2.360000 76.314 -125.3091
2.400000 76.433 -127.0030
2.430000 76.470 -128.1440
2.470000 76.476 -129.5691
2.500000 76.466 -130.6178
2.540000 76.460 -132.0654
2.580000 76.481 -133.6432
2.620000 76.467 -135.2827
2.650000 76.424 -136.5101
2.690000 76.326 -138.1029
2.720000 76.224 -139.2370
2.760000 76.055 -140.6277
2.800000 75.850 -141.8331
2.850000 75.551 -143.0019
2.900000 75.212 -143.7025
2.950000 74.830 -143.8723
3.000000 74.325 -143.7468
3.040000 73.847 -143.4344
3.070000 73.463 -143.0492
3.110000 72.936 -142.3008
3.150000 72.416 -141.2458
3.200000 71.816 -139.4326
3.250000 71.316 -136.9938
3.300000 70.967 -133.8448
3.350000 70.740 -129.4722
3.400000 70.591 -123.8748
3.450000 70.516 -117.5247
3.500000 70.516 -110.8943
3.550000 70.588 -104.4556
3.600000 70.730 -98.6810
3.650000 70.942 -94.0425
3.700000 71.251 -90.7125
3.750000 71.702 -88.1527
3.820000 72.494 -85.6227
3.870000 73.114 -84.4266
3.950000 74.076 -83.2833
4.000000 74.589 -82.8880
4.060000 75.065 -82.6693
4.120000 75.467 -83.1127
4.180000 75.813 -84.1091
4.250000 76.150 -85.7117
4.310000 76.385 -87.2406
4.370000 76.573 -88.7079
4.440000 76.731 -90.2522
4.500000 76.804 -91.7195
4.550000 76.826 -93.0086
4.620000 76.805 -94.8197
4.680000 76.747 -96.2895
4.750000 76.641 -97.7935
4.820000 76.487 -99.0934
4.870000 76.337 -99.9906
4.940000 76.084 -101.1304
5.000000 75.842 -101.9315
5.080000 75.504 -102.6334
5.150000 75.212 -102.8016
5.220000 74.880 -102.5524
5.300000 74.470 -101.8479
5.380000 74.074 -100.7923
5.450000 73.780 -99.6596
5.520000 73.565 -98.3626
5.600000 73.387 -96.3549
5.700000 73.248 -93.4196
5.800000 73.200 -90.7065
5.900000 73.248 -88.8672
6.000000 73.433 -87.6011
6.080000 73.638 -86.9574
6.150000 73.823 -86.7109
6.220000 73.983 -86.7988
6.300000 74.140 -87.3902
6.400000 74.336 -88.8045
6.500000 74.504 -90.6998
6.600000 74.615 -92.7897
6.700000 74.661 -95.1727
6.800000 74.657 -97.8702
6.900000 74.611 -100.6310
7.000000 74.528 -103.2501
7.100000 74.393 -105.8941
7.200000 74.223 -108.4773
7.300000 74.046 -110.8297
7.400000 73.867 -112.8576
7.500000 73.666 -114.6517
7.620000 73.443 -116.4836
7.750000 73.277 -118.0178
7.880000 73.168 -119.0021
8.000000 73.134 -119.6987
8.120000 73.188 -120.4210
8.250000 73.347 -121.0775
8.380000 73.569 -121.8290
8.500000 73.805 -122.8170
8.620000 74.089 -124.0179
8.750000 74.407 -125.4783
8.850000 74.631 -126.6955
9.000000 74.960 -128.7404
9.120000 75.201 -130.3814
9.250000 75.425 -132.0429
9.380000 75.617 -133.6549
9.500000 75.775 -134.9816
9.620000 75.913 -136.0842
9.750000 76.040 -137.0768
9.880000 76.162 -137.8626
10.000000 76.276 -138.3768
10.150000 76.415 -138.7723
10.300000 76.564 -139.0446
10.440000 76.716 -139.1635
10.600000 76.893 -139.2410
10.750000 77.061 -139.3526
10.900000 77.229 -139.4684
11.060000 77.390 -139.6293
11.200000 77.518 -139.8068
11.380000 77.661 -140.0234
11.500000 77.740 -140.1526
11.720000 77.859 -140.3462
11.800000 77.895 -140.3900
12.060000 77.992 -140.4672
12.200000 78.036 -140.4944
12.410000 78.092 -140.5301
12.500000 78.112 -140.5698
12.650000 78.141 -140.6613
12.800000 78.161 -140.7892
13.150000 78.164 -141.2518
13.200000 78.160 -141.3260
13.400000 78.130 -141.6434
13.600000 78.090 -141.9666
13.800000 78.042 -142.2775
14.000000 77.997 -142.6198
14.300000 77.943 -143.2314
14.500000 77.918 -143.7846
14.750000 77.892 -144.6739
15.000000 77.866 -145.7863
15.250000 77.830 -147.0568
15.500000 77.788 -148.3773
15.750000 77.745 -149.6864
16.000000 77.715 -150.9099
16.250000 77.710 -152.0712
16.500000 77.734 -153.1951
16.750000 77.787 -154.3343
17.000000 77.857 -155.5042
17.250000 77.935 -156.6814
17.500000 78.013 -157.8276
17.750000 78.088 -158.8647
18.000000 78.162 -159.7704
18.250000 78.236 -160.5211
18.500000 78.316 -161.1462
18.750000 78.398 -161.6772
19.000000 78.481 -162.1432
19.250000 78.557 -162.5672
19.500000 78.623 -162.9434
19.750000 78.678 -163.2690
20.000000 78.721 -163.5371
20.299999 78.761 -163.8034
20.600000 78.789 -164.0390
20.900000 78.803 -164.2788
21.200001 78.801 -164.5429
21.400000 78.790 -164.7273
21.799999 78.751 -165.1042
22.000000 78.726 -165.2997
22.400000 78.675 -165.7386
22.700001 78.638 -166.1611
23.000000 78.602 -166.7009
23.299999 78.560 -167.3459
23.600000 78.514 -168.0568
24.000000 78.451 -169.0372
24.299999 78.411 -169.7661
24.700001 78.379 -170.7423
25.000000 78.370 -171.5007
25.400000 78.372 -172.5476
25.799999 78.382 -173.5748
26.200001 78.398 -174.5035
26.500000 78.415 -175.1160
26.900000 78.448 -175.8352
27.200001 78.475 -176.3189
27.600000 78.509 -176.8970
28.000000 78.535 -177.3859
28.500000 78.557 -177.8729
29.000000 78.567 -178.2841
29.500000 78.560 -178.6794
30.000000 78.531 -179.0667
30.400000 78.499 -179.3764
30.700001 78.471 -179.6257
31.100000 78.430 179.9936
31.500000 78.383 179.5551
32.000000 78.320 178.9592
32.500000 78.260 178.3392
33.000000 78.215 177.6730
33.500000 78.180 176.9411
34.000000 78.151 176.1840
34.500000 78.128 175.4613
35.000000 78.112 174.7927
35.500000 78.101 174.1788
36.000000 78.090 173.6325
36.500000 78.079 173.1591
37.000000 78.066 172.7363
37.500000 78.048 172.3458
38.200001 78.009 171.8572
38.700001 77.978 171.5309
39.500000 77.922 170.9551
40.000000 77.880 170.5625
40.599998 77.828 170.0820
41.200001 77.780 169.5793
41.799999 77.733 169.0569
42.500000 77.684 168.4631
43.099998 77.648 167.9728
43.700001 77.616 167.4861
44.400002 77.578 166.9102
45.000000 77.534 166.4201
45.500000 77.487 166.0778
46.200001 77.425 165.7588
46.799999 77.392 165.4913
47.500000 77.350 165.0089
48.200001 77.282 164.5844
48.700001 77.243 164.4165
49.400002 77.226 164.1114
50.000000 77.211 163.6171
50.799999 77.146 162.9638
51.500000 77.085 162.6299
52.200001 77.041 162.3263
53.000000 76.985 161.9209
53.799999 76.923 161.5653
54.500000 76.871 161.2308
55.200001 76.811 160.8663
56.000000 76.744 160.5234
57.000000 76.683 160.0355
58.000000 76.610 159.5424
59.000000 76.565 159.1769
60.000000 76.500 158.6183
60.799999 76.420 158.4637
61.500000 76.383 158.4391
62.200001 76.356 158.1999
63.000000 76.291 157.8400
64.000000 76.205 157.5565
65.000000 76.140 157.1690
66.000000 76.064 156.7036
67.000000 75.986 156.3636
68.000000 75.928 156.0861
69.000000 75.864 155.7463
70.000000 75.793 155.5327
71.000000 75.723 155.2520
72.000000 75.630 155.0777
73.000000 75.569 154.9512
74.000000 75.496 154.6879
75.000000 75.437 154.5850
76.199997 75.372 154.2551
77.500000 75.286 154.1554
78.800003 75.216 153.9362
80.000000 75.111 153.8964
81.199997 75.064 153.9996
82.500000 74.966 153.6422
83.800003 74.887 153.8954
85.000000 74.834 153.6560
86.199997 74.765 153.7639
87.500000 74.727 153.7098
88.500000 74.697 153.6863
90.000000 74.636 153.6854
91.199997 74.624 153.7819
92.500000 74.594 153.5683
93.800003 74.541 153.5458
95.000000 74.542 153.3340
96.199997 74.471 153.0266
97.500000 74.495 152.9305
98.800003 74.392 152.2692
100.000000 74.373 152.6171
101.500000 74.320 152.0034
103.000000 74.248 151.7795
104.400002 74.158 151.5680
106.000000 74.083 151.1594
107.500000 74.019 151.1426
109.000000 73.978 150.9056
110.599998 73.899 150.7147
112.000000 73.820 150.5392
113.800003 73.714 150.4999
115.000000 73.674 150.3015
117.199997 73.611 150.2217
118.000000 73.579 150.0164
120.599998 73.412 150.4623
122.000000 73.534 150.4556
124.099998 73.299 150.2769
125.000000 73.272 150.0174
126.500000 73.167 150.2451
128.000000 73.127 149.8496
131.500000 73.009 150.0092
132.000000 73.010 149.9983
134.000000 72.940 149.8982
136.000000 72.865 149.7741
138.000000 72.781 149.8784
140.000000 72.761 149.8763
143.000000 72.626 149.8318
145.000000 72.532 149.7696
147.500000 72.449 149.7046
150.000000 72.391 149.6541
152.500000 72.311 149.7210
155.000000 72.210 149.8183
157.500000 72.145 149.9539
160.000000 72.065 150.0732
162.500000 71.993 150.1470
165.000000 71.935 150.0535
167.500000 71.841 150.3613
170.000000 71.779 150.3975
172.500000 71.738 150.5714
175.000000 71.681 150.4565
177.500000 71.611 150.5740
180.000000 71.577 150.6367
182.500000 71.520 150.7160
185.000000 71.447 150.7042
187.500000 71.388 150.6575
190.000000 71.328 150.8442
192.500000 71.277 150.9618
195.000000 71.222 151.0876
197.500000 71.149 151.1974
200.000000 71.095 151.0439
203.000000 71.023 151.3498
206.000000 70.973 151.5042
209.000000 70.907 151.5770
212.000000 70.874 151.7515
214.000000 70.798 151.7662
218.000000 70.723 151.9146
220.000000 70.686 152.0148
224.000000 70.626 152.2438
227.000000 70.562 152.4398
230.000000 70.507 152.5063
233.000000 70.461 152.7024
236.000000 70.408 152.7378
240.000000 70.325 153.0152
243.000000 70.266 153.1708
247.000000 70.233 153.1819
250.000000 70.200 153.3278
254.000000 70.103 153.7454
258.000000 70.048 153.8473
262.000000 69.989 153.9885
265.000000 69.982 154.1105
269.000000 69.899 154.4340
272.000000 69.858 154.5182
276.000000 69.810 154.7750
280.000000 69.726 154.9568
285.000000 69.653 155.1229
290.000000 69.584 155.5431
295.000000 69.517 155.8210
300.000000 69.493 156.0845
304.000000 69.458 156.3456
307.000000 69.425 156.2900
311.000000 69.396 156.4410
315.000000 69.357 156.8673
320.000000 69.298 156.9253
325.000000 69.262 157.1885
330.000000 69.178 157.5643
