* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 22:40:54 01-07-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Simgot Supermix 4 75ohm L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 84.548 150.1317
1.015000 84.502 149.7702
1.030000 84.457 149.4119
1.044000 84.415 149.0804
1.060000 84.367 148.7050
1.075000 84.323 148.3566
1.090000 84.279 148.0114
1.106000 84.232 147.6472
1.120000 84.190 147.3330
1.138000 84.137 146.9353
1.150000 84.100 146.6739
1.172000 84.033 146.2017
1.180000 84.009 146.0323
1.206000 83.929 145.4887
1.220000 83.885 145.2003
1.241000 83.820 144.7728
1.250000 83.792 144.5913
1.265000 83.746 144.2909
1.280000 83.700 143.9928
1.315000 83.593 143.3050
1.320000 83.578 143.2074
1.340000 83.518 142.8188
1.360000 83.459 142.4320
1.380000 83.401 142.0464
1.400000 83.344 141.6614
1.430000 83.261 141.0837
1.450000 83.208 140.6975
1.475000 83.144 140.2139
1.500000 83.081 139.7399
1.525000 83.020 139.2765
1.550000 82.959 138.8213
1.575000 82.899 138.3722
1.600000 82.841 137.9268
1.625000 82.784 137.4831
1.650000 82.729 137.0388
1.675000 82.676 136.5916
1.700000 82.625 136.1392
1.725000 82.576 135.6796
1.750000 82.529 135.2105
1.775000 82.484 134.7296
1.800000 82.442 134.2346
1.825000 82.403 133.7235
1.850000 82.366 133.1989
1.875000 82.332 132.6710
1.900000 82.301 132.1390
1.925000 82.271 131.6016
1.950000 82.244 131.0575
1.975000 82.219 130.5054
2.000000 82.197 129.9442
2.030000 82.172 129.2567
2.060000 82.150 128.5518
2.090000 82.130 127.8274
2.120000 82.113 127.0812
2.140000 82.102 126.5706
2.180000 82.084 125.5147
2.200000 82.077 124.9682
2.240000 82.065 123.8404
2.270000 82.060 122.9666
2.300000 82.058 122.0701
2.330000 82.059 121.1522
2.360000 82.061 120.2141
2.400000 82.068 118.9338
2.430000 82.075 117.9530
2.470000 82.087 116.6203
2.500000 82.096 115.6034
2.540000 82.111 114.2269
2.580000 82.126 112.8266
2.620000 82.144 111.3837
2.650000 82.159 110.2744
2.690000 82.182 108.7655
2.720000 82.201 107.6155
2.760000 82.228 106.0639
2.800000 82.256 104.4984
2.850000 82.292 102.5335
2.900000 82.329 100.5738
2.950000 82.366 98.6280
3.000000 82.404 96.6569
3.040000 82.436 95.0627
3.070000 82.461 93.8620
3.110000 82.495 92.2604
3.150000 82.529 90.6653
3.200000 82.572 88.6921
3.250000 82.616 86.7560
3.300000 82.658 84.8718
3.350000 82.700 83.0190
3.400000 82.743 81.1826
3.450000 82.786 79.3721
3.500000 82.828 77.5967
3.550000 82.871 75.8662
3.600000 82.915 74.1898
3.650000 82.958 72.5770
3.700000 83.001 71.0292
3.750000 83.043 69.5321
3.820000 83.102 67.5228
3.870000 83.145 66.1513
3.950000 83.216 64.0712
4.000000 83.262 62.8447
4.060000 83.319 61.4521
4.120000 83.378 60.1537
4.180000 83.437 58.9410
4.250000 83.510 57.6200
4.310000 83.575 56.5560
4.370000 83.644 55.5436
4.440000 83.730 54.4287
4.500000 83.808 53.5549
4.550000 83.875 52.8754
4.620000 83.973 51.9800
4.680000 84.059 51.2474
4.750000 84.162 50.4116
4.820000 84.269 49.5985
4.870000 84.349 49.0486
4.940000 84.463 48.3110
5.000000 84.562 47.6979
5.080000 84.693 46.8903
5.150000 84.804 46.1776
5.220000 84.915 45.4695
5.300000 85.042 44.6716
5.380000 85.166 43.8845
5.450000 85.270 43.2035
5.520000 85.366 42.5281
5.600000 85.471 41.7568
5.700000 85.593 40.8046
5.800000 85.705 39.8839
5.900000 85.804 39.0106
6.000000 85.889 38.1712
6.080000 85.950 37.5288
6.150000 85.998 36.9944
6.220000 86.042 36.4909
6.300000 86.088 35.9556
6.400000 86.136 35.3395
6.500000 86.178 34.7768
6.600000 86.217 34.2614
6.700000 86.254 33.8045
6.800000 86.286 33.3999
6.900000 86.318 33.0240
7.000000 86.350 32.6582
7.100000 86.383 32.3216
7.200000 86.416 32.0005
7.300000 86.447 31.6714
7.400000 86.478 31.3232
7.500000 86.509 30.9693
7.620000 86.543 30.5269
7.750000 86.573 30.0113
7.880000 86.597 29.4582
8.000000 86.614 28.9260
8.120000 86.622 28.3806
8.250000 86.623 27.7671
8.380000 86.617 27.1470
8.500000 86.605 26.5820
8.620000 86.587 26.0177
8.750000 86.563 25.4122
8.850000 86.543 24.9547
9.000000 86.510 24.2813
9.120000 86.483 23.7448
9.250000 86.455 23.1618
9.380000 86.427 22.5798
9.500000 86.403 22.0323
9.620000 86.381 21.4693
9.750000 86.359 20.8464
9.880000 86.338 20.2061
10.000000 86.320 19.5964
10.150000 86.299 18.8129
10.300000 86.279 18.0154
10.440000 86.262 17.2556
10.600000 86.245 16.3798
10.750000 86.231 15.5595
10.900000 86.220 14.7380
11.060000 86.213 13.8683
11.200000 86.210 13.1124
11.380000 86.212 12.1471
11.500000 86.217 11.5073
11.720000 86.232 10.3442
11.800000 86.239 9.9242
12.060000 86.267 8.5742
12.200000 86.283 7.8635
12.410000 86.310 6.8220
12.500000 86.322 6.3907
12.650000 86.342 5.6892
12.800000 86.362 5.0149
13.150000 86.408 3.5608
13.200000 86.415 3.3660
13.400000 86.442 2.6209
13.600000 86.468 1.9215
13.800000 86.494 1.2658
14.000000 86.517 0.6465
14.300000 86.547 -0.2180
14.500000 86.562 -0.7554
14.750000 86.574 -1.3883
15.000000 86.580 -1.9820
15.250000 86.578 -2.5459
15.500000 86.567 -3.0873
15.750000 86.549 -3.6093
16.000000 86.521 -4.1127
16.250000 86.485 -4.5898
16.500000 86.444 -5.0379
16.750000 86.399 -5.4524
17.000000 86.357 -5.8484
17.250000 86.320 -6.2450
17.500000 86.290 -6.6679
17.750000 86.267 -7.1558
18.000000 86.249 -7.7210
18.250000 86.233 -8.3764
18.500000 86.214 -9.1089
18.750000 86.192 -9.8966
19.000000 86.165 -10.7185
19.250000 86.135 -11.5410
19.500000 86.105 -12.3510
19.750000 86.077 -13.1385
20.000000 86.052 -13.9005
20.299999 86.030 -14.7875
20.600000 86.015 -15.6489
20.900000 86.005 -16.4868
21.200001 85.999 -17.2981
21.400000 85.995 -17.8198
21.799999 85.988 -18.8096
22.000000 85.985 -19.2741
22.400000 85.974 -20.1377
22.700001 85.964 -20.7287
23.000000 85.951 -21.2751
23.299999 85.936 -21.7846
23.600000 85.916 -22.2655
24.000000 85.884 -22.8729
24.299999 85.854 -23.3076
24.700001 85.807 -23.8594
25.000000 85.769 -24.2544
25.400000 85.717 -24.7697
25.799999 85.669 -25.3052
26.200001 85.625 -25.8995
26.500000 85.592 -26.3966
26.900000 85.548 -27.1244
27.200001 85.514 -27.7057
27.600000 85.468 -28.5066
28.000000 85.423 -29.3185
28.500000 85.372 -30.3344
29.000000 85.329 -31.3415
29.500000 85.290 -32.3260
30.000000 85.255 -33.2679
30.400000 85.227 -33.9770
30.700001 85.205 -34.4776
31.100000 85.177 -35.1024
31.500000 85.149 -35.6865
32.000000 85.114 -36.3855
32.500000 85.075 -37.0770
33.000000 85.027 -37.7655
33.500000 84.970 -38.4371
34.000000 84.908 -39.0881
34.500000 84.844 -39.7373
35.000000 84.782 -40.4066
35.500000 84.720 -41.1037
36.000000 84.658 -41.8201
36.500000 84.598 -42.5439
37.000000 84.540 -43.2661
37.500000 84.487 -43.9818
38.200001 84.416 -44.9626
38.700001 84.368 -45.6372
39.500000 84.292 -46.6556
40.000000 84.246 -47.2601
40.599998 84.190 -47.9658
41.200001 84.132 -48.6591
41.799999 84.071 -49.3485
42.500000 83.994 -50.1530
43.099998 83.925 -50.8308
43.700001 83.856 -51.4914
44.400002 83.780 -52.2600
45.000000 83.716 -52.9300
45.500000 83.664 -53.4919
46.200001 83.590 -54.2728
46.799999 83.525 -54.9185
47.500000 83.450 -55.6216
48.200001 83.382 -56.3152
48.700001 83.334 -56.8441
49.400002 83.254 -57.5978
50.000000 83.180 -58.1729
50.799999 83.095 -58.8541
51.500000 83.034 -59.5140
52.200001 82.968 -60.2458
53.000000 82.882 -61.0332
53.799999 82.801 -61.7464
54.500000 82.733 -62.3617
55.200001 82.664 -62.9651
56.000000 82.585 -63.6470
57.000000 82.479 -64.5076
58.000000 82.370 -65.3350
59.000000 82.265 -66.1707
60.000000 82.164 -67.0119
60.799999 82.086 -67.6885
61.500000 82.017 -68.2595
62.200001 81.952 -68.8039
63.000000 81.880 -69.4441
64.000000 81.776 -70.2158
65.000000 81.674 -70.8802
66.000000 81.579 -71.5803
67.000000 81.479 -72.3169
68.000000 81.380 -73.0481
69.000000 81.285 -73.7722
70.000000 81.194 -74.5144
71.000000 81.098 -75.2114
72.000000 81.010 -75.8443
73.000000 80.922 -76.5323
74.000000 80.823 -77.1763
75.000000 80.729 -77.7834
76.199997 80.615 -78.5450
77.500000 80.492 -79.3399
78.800003 80.374 -80.1004
80.000000 80.272 -80.8512
81.199997 80.153 -81.5740
82.500000 80.039 -82.2818
83.800003 79.916 -82.9935
85.000000 79.825 -83.6245
86.199997 79.708 -84.3362
87.500000 79.593 -84.9430
88.500000 79.489 -85.4375
90.000000 79.382 -85.9295
91.199997 79.300 -86.7146
92.500000 79.184 -87.4125
93.800003 79.075 -88.0520
95.000000 78.982 -88.6151
96.199997 78.873 -89.1755
97.500000 78.767 -89.6744
98.800003 78.650 -90.2545
100.000000 78.550 -90.6341
101.500000 78.447 -91.2879
103.000000 78.333 -91.8246
104.400002 78.247 -92.5304
106.000000 78.124 -93.2381
107.500000 78.005 -93.8997
109.000000 77.901 -94.4854
110.599998 77.791 -95.2168
112.000000 77.645 -95.6454
113.800003 77.556 -96.0166
115.000000 77.483 -96.5730
117.199997 77.322 -97.3832
118.000000 77.274 -97.6569
120.599998 77.100 -98.5141
122.000000 77.021 -98.9633
124.099998 76.875 -99.6409
125.000000 76.822 -100.0517
126.500000 76.725 -100.6753
128.000000 76.575 -101.2778
131.500000 76.383 -102.1610
132.000000 76.355 -102.2352
134.000000 76.253 -102.8126
136.000000 76.110 -103.3113
138.000000 75.988 -103.8095
140.000000 75.888 -104.4411
143.000000 75.716 -105.1779
145.000000 75.572 -105.6862
147.500000 75.436 -105.9214
150.000000 75.350 -106.4315
152.500000 75.263 -107.1949
155.000000 75.148 -108.0398
157.500000 75.004 -108.7220
160.000000 74.867 -109.3841
162.500000 74.740 -109.9455
165.000000 74.604 -110.4995
167.500000 74.481 -111.0366
170.000000 74.363 -111.6577
172.500000 74.236 -112.0795
175.000000 74.121 -112.5225
177.500000 74.001 -112.9396
180.000000 73.892 -113.4000
182.500000 73.760 -113.8423
185.000000 73.657 -114.2432
187.500000 73.552 -114.6682
190.000000 73.455 -115.0831
192.500000 73.340 -115.3726
195.000000 73.243 -115.8251
197.500000 73.147 -116.1070
200.000000 73.030 -116.4761
203.000000 72.926 -116.7062
206.000000 72.827 -117.1483
209.000000 72.703 -117.5323
212.000000 72.598 -117.8876
214.000000 72.529 -118.0766
218.000000 72.398 -118.4217
220.000000 72.337 -118.7792
224.000000 72.204 -119.0903
227.000000 72.108 -119.3083
230.000000 72.020 -119.6996
233.000000 71.920 -119.9678
236.000000 71.838 -120.0710
240.000000 71.724 -120.5046
243.000000 71.649 -120.7494
247.000000 71.533 -121.0362
250.000000 71.462 -121.4001
254.000000 71.353 -121.5532
258.000000 71.265 -121.8554
262.000000 71.141 -122.0019
265.000000 71.068 -122.2264
269.000000 70.987 -122.2505
272.000000 70.915 -122.4963
276.000000 70.820 -122.6421
280.000000 70.743 -122.8597
285.000000 70.633 -122.9765
290.000000 70.544 -123.2081
295.000000 70.448 -123.4252
300.000000 70.353 -123.5733
304.000000 70.290 -123.4965
307.000000 70.261 -123.2988
311.000000 70.182 -123.3446
315.000000 70.194 -123.4053
320.000000 70.149 -123.5332
325.000000 70.065 -124.0972
