* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 00:01:36 19-06-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Simgot Supermix 4 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 83.382 123.0578
1.015000 83.164 122.1585
1.030000 82.933 121.2473
1.044000 82.705 120.3853
1.060000 82.431 119.3853
1.075000 82.158 118.4324
1.090000 81.870 117.4634
1.106000 81.542 116.4412
1.120000 81.224 115.7171
1.138000 80.771 115.0302
1.150000 80.445 114.7012
1.172000 79.805 114.3081
1.180000 79.560 114.2175
1.206000 78.727 114.0421
1.220000 78.260 113.9830
1.241000 77.544 113.8739
1.250000 77.233 113.8020
1.265000 76.713 113.6244
1.280000 76.193 113.3485
1.315000 75.000 112.1530
1.320000 74.834 111.9027
1.340000 74.185 110.6584
1.360000 73.568 108.9710
1.380000 72.991 106.7692
1.400000 72.462 103.9813
1.430000 71.778 98.5442
1.450000 71.407 93.9783
1.475000 71.048 87.0292
1.500000 70.769 78.2047
1.525000 70.556 67.6511
1.550000 70.405 55.6621
1.575000 70.311 42.5315
1.600000 70.271 28.5533
1.625000 70.280 14.0212
1.650000 70.333 -0.7710
1.675000 70.427 -15.5292
1.700000 70.558 -29.9599
1.725000 70.721 -43.7691
1.750000 70.911 -56.6628
1.775000 71.125 -68.3475
1.800000 71.359 -78.5290
1.825000 71.608 -86.9138
1.850000 71.889 -93.4524
1.875000 72.245 -98.6578
1.900000 72.668 -102.6927
1.925000 73.145 -105.6989
1.950000 73.666 -107.8183
1.975000 74.219 -109.1929
2.000000 74.793 -109.9646
2.030000 75.492 -110.2945
2.060000 76.185 -110.2058
2.090000 76.852 -109.9437
2.120000 77.474 -109.7535
2.140000 77.853 -109.7876
2.180000 78.501 -110.5693
2.200000 78.758 -111.4579
2.240000 79.181 -113.4775
2.270000 79.439 -114.9287
2.300000 79.653 -116.3275
2.330000 79.828 -117.6759
2.360000 79.969 -118.9758
2.400000 80.112 -120.6368
2.430000 80.193 -121.8309
2.470000 80.276 -123.3579
2.500000 80.326 -124.4567
2.540000 80.386 -125.8635
2.580000 80.446 -127.2108
2.620000 80.476 -128.5212
2.650000 80.476 -129.4744
2.690000 80.450 -130.6927
2.720000 80.413 -131.5577
2.760000 80.344 -132.6331
2.800000 80.258 -133.6040
2.850000 80.132 -134.6456
2.900000 79.995 -135.4658
2.950000 79.851 -136.0393
3.000000 79.667 -136.4078
3.040000 79.495 -136.5637
3.070000 79.356 -136.5993
3.110000 79.164 -136.5379
3.150000 78.970 -136.3516
3.200000 78.738 -135.9423
3.250000 78.531 -135.3360
3.300000 78.364 -134.5307
3.350000 78.220 -133.3930
3.400000 78.086 -131.9061
3.450000 77.966 -130.1823
3.500000 77.867 -128.3340
3.550000 77.796 -126.4736
3.600000 77.757 -124.7134
3.650000 77.758 -123.1659
3.700000 77.807 -121.8278
3.750000 77.910 -120.5019
3.820000 78.119 -118.7344
3.870000 78.298 -117.5972
3.950000 78.598 -116.1215
4.000000 78.774 -115.4852
4.060000 78.960 -115.0820
4.120000 79.156 -115.0551
4.180000 79.358 -115.3356
4.250000 79.585 -115.9594
4.310000 79.759 -116.6691
4.370000 79.903 -117.4674
4.440000 80.024 -118.4961
4.500000 80.100 -119.5920
4.550000 80.146 -120.6219
4.620000 80.183 -122.1687
4.680000 80.189 -123.5240
4.750000 80.167 -125.0516
4.820000 80.109 -126.5360
4.870000 80.043 -127.6406
4.940000 79.923 -129.1973
5.000000 79.800 -130.4926
5.080000 79.614 -132.0824
5.150000 79.438 -133.2777
5.220000 79.231 -134.3548
5.300000 78.964 -135.4522
5.380000 78.687 -136.3710
5.450000 78.454 -136.9989
5.520000 78.241 -137.4308
5.600000 77.995 -137.6293
5.700000 77.698 -137.5627
5.800000 77.448 -137.3480
5.900000 77.280 -137.1518
6.000000 77.188 -136.7662
6.080000 77.157 -136.4336
6.150000 77.155 -136.2500
6.220000 77.171 -136.2693
6.300000 77.221 -136.5489
6.400000 77.335 -137.1517
6.500000 77.474 -138.0365
6.600000 77.600 -139.2052
6.700000 77.719 -140.7385
6.800000 77.840 -142.5775
6.900000 77.944 -144.5581
7.000000 78.019 -146.5510
7.100000 78.067 -148.6865
7.200000 78.095 -150.8734
7.300000 78.105 -152.9550
7.400000 78.096 -154.8627
7.500000 78.062 -156.6900
7.620000 78.011 -158.6759
7.750000 77.964 -160.4352
7.880000 77.910 -161.8007
8.000000 77.876 -162.7894
8.120000 77.880 -163.5514
8.250000 77.917 -164.0523
8.380000 77.989 -164.4185
8.500000 78.091 -164.7814
8.620000 78.229 -165.0889
8.750000 78.397 -165.4655
8.850000 78.526 -165.8583
9.000000 78.736 -166.5721
9.120000 78.898 -167.2040
9.250000 79.049 -167.9386
9.380000 79.184 -168.7389
9.500000 79.292 -169.4444
9.620000 79.377 -170.0777
9.750000 79.448 -170.7157
9.880000 79.505 -171.2473
10.000000 79.546 -171.6125
10.150000 79.584 -171.9330
10.300000 79.620 -172.1367
10.440000 79.653 -172.2008
10.600000 79.691 -172.2049
10.750000 79.731 -172.1966
10.900000 79.772 -172.1658
11.060000 79.809 -172.1741
11.200000 79.838 -172.2138
11.380000 79.863 -172.2934
11.500000 79.870 -172.3679
11.720000 79.866 -172.5232
11.800000 79.860 -172.5759
12.060000 79.822 -172.7499
12.200000 79.797 -172.8478
12.410000 79.753 -173.0134
12.500000 79.733 -173.1099
12.650000 79.698 -173.2973
12.800000 79.659 -173.5319
13.150000 79.550 -174.3019
13.200000 79.532 -174.4295
13.400000 79.452 -174.9909
13.600000 79.364 -175.5837
13.800000 79.271 -176.1889
14.000000 79.182 -176.8010
14.300000 79.067 -177.7454
14.500000 79.009 -178.4360
14.750000 78.956 -179.4208
15.000000 78.921 179.4425
15.250000 78.891 178.1683
15.500000 78.862 176.8480
15.750000 78.833 175.5430
16.000000 78.808 174.3517
16.250000 78.797 173.2984
16.500000 78.805 172.3763
16.750000 78.836 171.5513
17.000000 78.884 170.7709
17.250000 78.940 170.0282
17.500000 78.997 169.3197
17.750000 79.047 168.6927
18.000000 79.090 168.1688
18.250000 79.128 167.7725
18.500000 79.164 167.4885
18.750000 79.201 167.2831
19.000000 79.238 167.1242
19.250000 79.270 166.9676
19.500000 79.295 166.8069
19.750000 79.308 166.6369
20.000000 79.310 166.4654
20.299999 79.298 166.2530
20.600000 79.274 166.0170
20.900000 79.239 165.7313
21.200001 79.191 165.3733
21.400000 79.152 165.0970
21.799999 79.058 164.4800
22.000000 79.006 164.1498
22.400000 78.903 163.4520
22.700001 78.833 162.8688
23.000000 78.772 162.1998
23.299999 78.716 161.4401
23.600000 78.662 160.6176
24.000000 78.595 159.4957
24.299999 78.552 158.6890
24.700001 78.515 157.6827
25.000000 78.503 156.9643
25.400000 78.505 156.0302
25.799999 78.514 155.1372
26.200001 78.525 154.3351
26.500000 78.532 153.8138
26.900000 78.541 153.2200
27.200001 78.546 152.8321
27.600000 78.545 152.3730
28.000000 78.532 151.9778
28.500000 78.500 151.5661
29.000000 78.454 151.1868
29.500000 78.392 150.7740
30.000000 78.315 150.3190
30.400000 78.247 149.9302
30.700001 78.197 149.6107
31.100000 78.134 149.1163
31.500000 78.072 148.5340
32.000000 77.993 147.7285
32.500000 77.918 146.9164
33.000000 77.860 146.1169
33.500000 77.818 145.2970
34.000000 77.782 144.4725
34.500000 77.746 143.7188
35.000000 77.714 143.0785
35.500000 77.687 142.5284
36.000000 77.661 142.0304
36.500000 77.629 141.5754
37.000000 77.590 141.1670
37.500000 77.546 140.7953
38.200001 77.479 140.2797
38.700001 77.428 139.8681
39.500000 77.335 139.1352
40.000000 77.277 138.6769
40.599998 77.221 138.0908
41.200001 77.174 137.3622
41.799999 77.112 136.5553
42.500000 77.027 135.7598
43.099998 76.969 135.2055
43.700001 76.923 134.6224
44.400002 76.862 133.9270
45.000000 76.805 133.3905
45.500000 76.761 132.9436
46.200001 76.690 132.2938
46.799999 76.625 131.7897
47.500000 76.562 131.2297
48.200001 76.505 130.5617
48.700001 76.455 130.0581
49.400002 76.377 129.4607
50.000000 76.322 129.0392
50.799999 76.264 128.4281
51.500000 76.201 127.8279
52.200001 76.124 127.3047
53.000000 76.044 126.7923
53.799999 75.968 126.1782
54.500000 75.887 125.6179
55.200001 75.808 125.1487
56.000000 75.741 124.5930
57.000000 75.659 123.7601
58.000000 75.568 123.0508
59.000000 75.493 122.3938
60.000000 75.404 121.7190
60.799999 75.325 121.2476
61.500000 75.255 120.8182
62.200001 75.178 120.3929
63.000000 75.095 119.9492
64.000000 75.009 119.3222
65.000000 74.927 118.6193
66.000000 74.836 117.9445
67.000000 74.753 117.4666
68.000000 74.685 116.9351
69.000000 74.590 116.4889
70.000000 74.523 116.1362
71.000000 74.445 115.4966
72.000000 74.343 114.9691
73.000000 74.261 114.4476
74.000000 74.173 113.9200
75.000000 74.101 113.4826
76.199997 74.024 112.8864
77.500000 73.917 112.2069
78.800003 73.813 111.7667
80.000000 73.735 111.1613
81.199997 73.641 110.5790
82.500000 73.531 109.9261
83.800003 73.431 109.4162
85.000000 73.337 108.8929
86.199997 73.251 108.3521
87.500000 73.132 107.8335
88.500000 73.067 107.5674
90.000000 72.976 106.9965
91.199997 72.884 106.5811
92.500000 72.806 106.2963
93.800003 72.698 105.7230
95.000000 72.624 105.7195
96.199997 72.586 104.8969
97.500000 72.416 104.5838
98.800003 72.371 104.6014
100.000000 72.335 104.1740
101.500000 72.246 103.8071
103.000000 72.170 103.2435
104.400002 72.130 103.2191
106.000000 72.084 102.3840
107.500000 72.061 101.9489
109.000000 71.957 101.3494
110.599998 71.893 100.6382
112.000000 71.778 100.4585
113.800003 71.693 99.4982
115.000000 71.629 99.4441
117.199997 71.523 98.5390
118.000000 71.484 98.4214
120.599998 71.390 97.7020
122.000000 71.356 97.0993
124.099998 71.250 96.6246
125.000000 71.221 96.1739
126.500000 71.135 95.6628
128.000000 71.064 95.3219
131.500000 70.913 94.3309
132.000000 70.886 94.1375
134.000000 70.760 93.5802
136.000000 70.675 93.1382
138.000000 70.576 92.4925
140.000000 70.501 92.2199
143.000000 70.356 91.4334
145.000000 70.274 91.0272
147.500000 70.193 90.4851
150.000000 70.094 90.0059
152.500000 69.993 89.5070
155.000000 69.905 88.9492
157.500000 69.782 88.6546
160.000000 69.708 88.1747
162.500000 69.606 87.6865
165.000000 69.539 87.2941
167.500000 69.427 86.8172
170.000000 69.382 86.4908
172.500000 69.307 86.2497
175.000000 69.229 86.0161
177.500000 69.172 85.5739
180.000000 69.085 85.1261
182.500000 69.019 84.5974
185.000000 68.961 84.3114
187.500000 68.898 83.9579
190.000000 68.794 83.8225
192.500000 68.731 83.6138
195.000000 68.682 83.2700
197.500000 68.638 82.9985
200.000000 68.615 82.7826
203.000000 68.493 82.5569
206.000000 68.439 82.3667
209.000000 68.406 81.8871
212.000000 68.351 82.0223
214.000000 68.355 81.6627
218.000000 68.323 81.4714
220.000000 68.284 81.0336
224.000000 68.276 80.5696
227.000000 68.249 80.1774
230.000000 68.222 79.9721
233.000000 68.149 79.4993
236.000000 68.148 79.0244
240.000000 68.063 78.3959
243.000000 68.055 78.1819
247.000000 68.031 77.8085
250.000000 67.988 77.3166
254.000000 67.926 76.9172
258.000000 67.871 76.7180
262.000000 67.827 75.9730
265.000000 67.829 75.8520
269.000000 67.759 75.5978
272.000000 67.740 75.2516
276.000000 67.712 75.0417
280.000000 67.639 74.7576
285.000000 67.648 74.2905
290.000000 67.652 73.9405
295.000000 67.567 73.4877
300.000000 67.524 73.5292
304.000000 67.496 73.0714
307.000000 67.515 72.8914
311.000000 67.498 72.4165
315.000000 67.463 72.5067
320.000000 67.473 72.1904
325.000000 67.467 71.7507
330.000000 67.447 71.4425
335.000000 67.409 71.3079
340.000000 67.392 70.9231
345.000000 67.390 70.7307
350.000000 67.382 70.5065
