* Measurement data measured by REW V5.20.13
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), R, volume: 0,250
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS with no timing reference
* Dated: 00:25:00 19-06-2024
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Simgot Supermix 4 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 83.018 124.5036
1.015000 82.782 123.6521
1.030000 82.530 122.7932
1.044000 82.280 121.9841
1.060000 81.976 121.0500
1.075000 81.671 120.1644
1.090000 81.346 119.2685
1.106000 80.973 118.2622
1.120000 80.603 117.1309
1.138000 80.069 115.3221
1.150000 79.679 113.9266
1.172000 78.906 111.0531
1.180000 78.608 109.9274
1.206000 77.593 106.0717
1.220000 77.022 103.9249
1.241000 76.146 100.7025
1.250000 75.767 99.3447
1.265000 75.132 97.1456
1.280000 74.499 95.0615
1.315000 73.060 90.8766
1.320000 72.861 90.3785
1.340000 72.091 88.6958
1.360000 71.370 87.5818
1.380000 70.709 87.1335
1.400000 70.120 87.4479
1.430000 69.400 89.5619
1.450000 69.046 92.2076
1.475000 68.761 97.1419
1.500000 68.626 104.4584
1.525000 68.620 113.9623
1.550000 68.728 125.2859
1.575000 68.936 138.0618
1.600000 69.230 151.9224
1.625000 69.595 166.5001
1.650000 70.016 -178.5727
1.675000 70.479 -163.6634
1.700000 70.970 -149.1395
1.725000 71.474 -135.3688
1.750000 71.976 -122.7188
1.775000 72.463 -111.5568
1.800000 72.919 -102.2506
1.825000 73.329 -95.1676
1.850000 73.710 -90.3799
1.875000 74.121 -87.2668
1.900000 74.558 -85.6180
1.925000 75.016 -85.2482
1.950000 75.488 -85.9722
1.975000 75.969 -87.6045
2.000000 76.453 -89.9597
2.030000 77.028 -93.4793
2.060000 77.587 -97.4528
2.090000 78.121 -101.5598
2.120000 78.619 -105.4802
2.140000 78.926 -107.8318
2.180000 79.465 -111.4796
2.200000 79.691 -112.5913
2.240000 80.073 -114.3719
2.270000 80.310 -115.6801
2.300000 80.508 -116.9626
2.330000 80.673 -118.2178
2.360000 80.808 -119.4435
2.400000 80.950 -121.0291
2.430000 81.033 -122.1792
2.470000 81.121 -123.6569
2.500000 81.176 -124.7211
2.540000 81.242 -126.0774
2.580000 81.305 -127.3629
2.620000 81.341 -128.6107
2.650000 81.347 -129.5201
2.690000 81.332 -130.6859
2.720000 81.305 -131.5177
2.760000 81.252 -132.5587
2.800000 81.182 -133.5092
2.850000 81.080 -134.5486
2.900000 80.967 -135.3975
2.950000 80.849 -136.0341
3.000000 80.698 -136.4910
3.040000 80.555 -136.7351
3.070000 80.439 -136.8478
3.110000 80.278 -136.9045
3.150000 80.115 -136.8547
3.200000 79.919 -136.6435
3.250000 79.741 -136.2676
3.300000 79.595 -135.7273
3.350000 79.466 -134.9182
3.400000 79.342 -133.8256
3.450000 79.228 -132.5366
3.500000 79.131 -131.1382
3.550000 79.056 -129.7174
3.600000 79.008 -128.3610
3.650000 78.994 -127.1561
3.700000 79.020 -126.0937
3.750000 79.088 -125.0107
3.820000 79.237 -123.5314
3.870000 79.368 -122.5635
3.950000 79.594 -121.2954
4.000000 79.729 -120.7498
4.060000 79.878 -120.4106
4.120000 80.040 -120.3792
4.180000 80.211 -120.6016
4.250000 80.408 -121.1163
4.310000 80.561 -121.7199
4.370000 80.688 -122.4215
4.440000 80.796 -123.3593
4.500000 80.867 -124.3686
4.550000 80.913 -125.3224
4.620000 80.953 -126.7640
4.680000 80.966 -128.0372
4.750000 80.953 -129.4870
4.820000 80.908 -130.9129
4.870000 80.855 -131.9808
4.940000 80.756 -133.4972
5.000000 80.652 -134.7715
5.080000 80.494 -136.3589
5.150000 80.343 -137.5812
5.220000 80.164 -138.7100
5.300000 79.932 -139.8940
5.380000 79.690 -140.9277
5.450000 79.484 -141.6783
5.520000 79.293 -142.2551
5.600000 79.071 -142.6670
5.700000 78.800 -142.9095
5.800000 78.567 -142.9997
5.900000 78.403 -143.0587
6.000000 78.301 -142.9151
6.080000 78.255 -142.7550
6.150000 78.238 -142.6902
6.220000 78.240 -142.7844
6.300000 78.273 -143.0870
6.400000 78.364 -143.6435
6.500000 78.480 -144.4255
6.600000 78.591 -145.4636
6.700000 78.702 -146.8251
6.800000 78.818 -148.4516
6.900000 78.924 -150.2109
7.000000 79.003 -152.0004
7.100000 79.061 -153.9316
7.200000 79.102 -155.9204
7.300000 79.126 -157.8264
7.400000 79.132 -159.5896
7.500000 79.115 -161.2943
7.620000 79.083 -163.1666
7.750000 79.051 -164.8528
7.880000 79.010 -166.2021
8.000000 78.983 -167.2056
8.120000 78.985 -167.9959
8.250000 79.013 -168.5576
8.380000 79.068 -168.9839
8.500000 79.150 -169.3760
8.620000 79.263 -169.6984
8.750000 79.401 -170.0718
8.850000 79.510 -170.4439
9.000000 79.688 -171.0955
9.120000 79.825 -171.6683
9.250000 79.955 -172.3403
9.380000 80.073 -173.0727
9.500000 80.165 -173.7243
9.620000 80.238 -174.3195
9.750000 80.298 -174.9282
9.880000 80.345 -175.4460
10.000000 80.377 -175.8149
10.150000 80.404 -176.1589
10.300000 80.429 -176.3971
10.440000 80.452 -176.5052
10.600000 80.476 -176.5658
10.750000 80.503 -176.6092
10.900000 80.532 -176.6315
11.060000 80.557 -176.6967
11.200000 80.576 -176.7856
11.380000 80.589 -176.9338
11.500000 80.589 -177.0587
11.720000 80.574 -177.3150
11.800000 80.564 -177.4081
12.060000 80.513 -177.7228
12.200000 80.480 -177.8968
12.410000 80.424 -178.1749
12.500000 80.399 -178.3148
12.650000 80.355 -178.5695
12.800000 80.308 -178.8639
13.150000 80.184 -179.7404
13.200000 80.164 -179.8809
13.400000 80.079 179.5121
13.600000 79.989 178.8781
13.800000 79.895 178.2337
14.000000 79.807 177.5869
14.300000 79.693 176.6015
14.500000 79.638 175.8976
14.750000 79.588 174.9142
15.000000 79.557 173.7985
15.250000 79.534 172.5572
15.500000 79.514 171.2705
15.750000 79.494 169.9936
16.000000 79.477 168.8176
16.250000 79.473 167.7686
16.500000 79.484 166.8413
16.750000 79.515 166.0058
17.000000 79.560 165.2098
17.250000 79.612 164.4433
17.500000 79.663 163.6986
17.750000 79.705 163.0176
18.000000 79.737 162.4231
18.250000 79.760 161.9409
18.500000 79.779 161.5661
18.750000 79.794 161.2710
19.000000 79.806 161.0298
19.250000 79.813 160.8019
19.500000 79.811 160.5806
19.750000 79.798 160.3605
20.000000 79.774 160.1499
20.299999 79.732 159.9073
20.600000 79.681 159.6603
20.900000 79.622 159.3801
21.200001 79.557 159.0348
21.400000 79.509 158.7633
21.799999 79.402 158.1374
22.000000 79.346 157.7922
22.400000 79.234 157.0511
22.700001 79.157 156.4388
23.000000 79.088 155.7560
23.299999 79.027 154.9986
23.600000 78.970 154.1881
24.000000 78.901 153.0837
24.299999 78.858 152.2843
24.700001 78.816 151.2838
25.000000 78.800 150.5749
25.400000 78.792 149.6692
25.799999 78.792 148.8193
26.200001 78.792 148.0626
26.500000 78.791 147.5715
26.900000 78.788 147.0128
27.200001 78.783 146.6510
27.600000 78.769 146.2287
28.000000 78.746 145.8664
28.500000 78.704 145.4682
29.000000 78.650 145.0528
29.500000 78.579 144.5627
30.000000 78.486 144.0212
30.400000 78.404 143.5783
30.700001 78.344 143.2328
31.100000 78.268 142.7236
31.500000 78.196 142.1438
32.000000 78.108 141.3524
32.500000 78.029 140.5503
33.000000 77.967 139.7498
33.500000 77.918 138.9298
34.000000 77.873 138.1243
34.500000 77.828 137.4070
35.000000 77.789 136.7989
35.500000 77.754 136.2637
36.000000 77.718 135.7739
36.500000 77.678 135.3214
37.000000 77.632 134.8778
37.500000 77.576 134.4186
38.200001 77.476 133.8059
38.700001 77.402 133.4233
39.500000 77.304 132.7162
40.000000 77.242 132.1396
40.599998 77.155 131.4196
41.200001 77.072 130.7753
41.799999 77.004 130.1466
42.500000 76.930 129.3677
43.099998 76.859 128.7605
43.700001 76.793 128.2671
44.400002 76.731 127.7240
45.000000 76.679 127.1954
45.500000 76.627 126.7410
46.200001 76.547 126.1546
46.799999 76.482 125.6633
47.500000 76.406 125.0318
48.200001 76.322 124.4099
48.700001 76.264 124.0028
49.400002 76.190 123.4345
50.000000 76.124 122.9532
50.799999 76.037 122.3919
51.500000 75.967 121.9159
52.200001 75.891 121.4312
53.000000 75.801 120.9349
53.799999 75.720 120.4098
54.500000 75.647 119.8986
55.200001 75.576 119.3823
56.000000 75.498 118.7526
57.000000 75.396 118.0093
58.000000 75.309 117.3728
59.000000 75.220 116.6925
60.000000 75.109 116.1556
60.799999 75.033 115.8167
61.500000 74.972 115.4306
62.200001 74.901 114.9762
63.000000 74.814 114.4827
64.000000 74.720 113.8490
65.000000 74.632 113.1373
66.000000 74.537 112.4795
67.000000 74.450 111.9403
68.000000 74.359 111.4462
69.000000 74.276 111.0676
70.000000 74.192 110.5161
71.000000 74.080 110.0740
72.000000 74.004 109.6175
73.000000 73.908 108.9934
74.000000 73.820 108.5383
75.000000 73.741 107.9736
76.199997 73.628 107.4571
77.500000 73.525 106.9691
78.800003 73.424 106.5232
80.000000 73.344 105.9283
81.199997 73.203 105.4471
82.500000 73.145 105.2328
83.800003 73.029 104.4267
85.000000 72.949 104.1862
86.199997 72.847 103.4712
87.500000 72.747 103.2744
88.500000 72.693 102.7884
90.000000 72.575 102.5310
91.199997 72.543 102.2513
92.500000 72.463 101.7542
93.800003 72.399 101.5018
95.000000 72.347 101.0312
96.199997 72.318 100.4892
97.500000 72.196 99.5288
98.800003 72.109 99.4915
100.000000 72.050 98.7850
101.500000 71.948 98.4712
103.000000 71.840 97.7440
104.400002 71.769 97.4010
106.000000 71.684 96.8096
107.500000 71.605 96.3215
109.000000 71.530 95.9266
110.599998 71.436 95.2652
112.000000 71.346 94.9715
113.800003 71.261 94.4321
115.000000 71.219 94.0451
117.199997 71.075 93.5355
118.000000 71.043 93.3079
120.599998 70.902 92.5632
122.000000 70.828 92.2224
124.099998 70.718 91.5272
125.000000 70.668 91.4203
126.500000 70.614 91.1543
128.000000 70.543 90.8205
131.500000 70.390 90.0029
132.000000 70.361 89.8655
134.000000 70.258 89.5078
136.000000 70.197 89.0236
138.000000 70.106 88.6887
140.000000 70.014 88.3832
143.000000 69.891 87.5919
145.000000 69.818 87.2504
147.500000 69.727 86.8505
150.000000 69.637 86.3902
152.500000 69.545 85.9975
155.000000 69.465 85.5825
157.500000 69.390 85.2340
160.000000 69.313 84.9437
162.500000 69.227 84.6358
165.000000 69.155 84.1356
167.500000 69.089 83.9512
170.000000 69.025 83.6277
172.500000 68.973 83.1877
175.000000 68.897 83.1101
177.500000 68.869 82.5779
180.000000 68.793 82.2602
182.500000 68.791 81.9515
185.000000 68.716 81.6301
187.500000 68.700 81.4107
190.000000 68.678 81.0286
192.500000 68.644 80.8462
195.000000 68.609 80.1685
197.500000 68.583 80.1142
200.000000 68.485 79.5219
203.000000 68.456 79.0983
206.000000 68.434 78.7091
209.000000 68.414 78.2169
212.000000 68.334 77.9842
214.000000 68.309 77.5687
218.000000 68.247 76.9710
220.000000 68.232 76.9253
224.000000 68.174 76.4393
227.000000 68.133 76.0810
230.000000 68.109 75.7609
233.000000 68.050 75.5419
236.000000 67.990 75.1148
240.000000 67.985 74.8751
243.000000 67.926 74.5069
247.000000 67.901 74.0648
250.000000 67.900 73.9179
254.000000 67.868 73.5586
258.000000 67.832 73.1035
262.000000 67.828 73.0030
265.000000 67.792 72.9416
269.000000 67.778 72.3896
272.000000 67.743 72.2103
276.000000 67.699 71.9089
280.000000 67.690 71.3400
285.000000 67.725 71.2430
290.000000 67.667 70.9835
295.000000 67.630 70.4390
300.000000 67.630 69.9333
304.000000 67.635 70.0227
307.000000 67.622 69.6811
311.000000 67.632 69.4448
315.000000 67.606 69.2463
320.000000 67.595 68.9613
325.000000 67.582 68.6394
330.000000 67.585 68.2423
335.000000 67.583 68.1198
340.000000 67.590 67.6466
345.000000 67.585 67.5571
350.000000 67.566 67.1530
